time,births,population,reported_cases
44.01923,18,30277,0
44.0608967,18,30130,0
44.1025633,18,29997,0
44.14423,18,29877,0
44.1858967,18,29770,4
44.2275633,18,29676,2
44.26923,18,29593,0
44.3108967,17,29521,0
44.3525633,17,29460,0
44.39423,17,29409,0
44.4358967,17,29368,12
44.4775633,17,29336,41
44.51923,17,29313,29
44.5608967,17,29298,18
44.6025633,16,29291,3
44.64423,16,29291,2
44.6858967,16,29298,6
44.7275633,16,29311,2
44.76923,16,29329,0
44.8108967,16,29353,2
44.8525633,16,29381,0
44.89423,16,29413,7
44.9358967,16,29449,1
44.9775633,16,29488,0
45.01923,15,29529,2
45.0608967,15,29573,6
45.1025633,15,29619,9
45.14423,15,29666,32
45.1858967,15,29714,22
45.2275633,15,29764,2
45.26923,15,29814,2
45.3108967,15,29864,11
45.3525633,15,29915,11
45.39423,15,29965,7
45.4358967,15,30015,7
45.4775633,15,30064,1
45.51923,15,30112,2
45.5608967,15,30159,3
45.6025633,15,30204,2
45.64423,15,30247,1
45.6858967,15,30287,0
45.7275633,15,30325,0
45.76923,16,30361,0
45.8108967,16,30393,0
45.8525633,16,30421,0
45.89423,16,30446,0
45.9358967,16,30467,1
45.9775633,16,30483,2
46.01923,16,30495,0
46.0608967,16,30502,0
46.1025633,16,30505,0
46.14423,17,30503,3
46.1858967,17,30499,7
46.2275633,17,30490,21
46.26923,17,30479,13
46.3108967,17,30465,9
46.3525633,17,30449,1
46.39423,17,30431,1
46.4358967,18,30411,0
46.4775633,18,30389,0
46.51923,18,30367,0
46.5608967,18,30344,6
46.6025633,18,30320,0
46.64423,18,30297,1
46.6858967,19,30273,2
46.7275633,19,30251,3
46.76923,19,30229,2
46.8108967,19,30208,10
46.8525633,19,30189,3
46.89423,19,30172,6
46.9358967,19,30158,2
46.9775633,19,30145,0
47.01923,19,30136,38
47.0608967,19,30130,16
47.1025633,20,30126,5
47.14423,20,30125,18
47.1858967,20,30127,20
47.2275633,20,30130,60
47.26923,20,30135,43
47.3108967,20,30142,7
47.3525633,20,30151,3
47.39423,19,30161,0
47.4358967,19,30171,2
47.4775633,19,30183,1
47.51923,19,30195,3
47.5608967,19,30208,1
47.6025633,19,30221,2
47.64423,19,30233,2
47.6858967,19,30246,0
47.7275633,19,30258,0
47.76923,19,30269,0
47.8108967,19,30280,0
47.8525633,18,30289,0
47.89423,18,30297,0
47.9358967,18,30304,0
47.9775633,18,30308,0
48.01923,18,30311,0
48.0608967,18,30312,2
48.1025633,17,30311,0
48.14423,17,30308,0
48.1858967,17,30303,1
48.2275633,17,30297,0
48.26923,17,30290,18
48.3108967,17,30282,10
48.3525633,16,30272,4
48.39423,16,30262,17
48.4358967,16,30251,4
48.4775633,16,30240,3
48.51923,16,30228,0
48.5608967,15,30216,3
48.6025633,15,30204,8
48.64423,15,30191,1
48.6858967,15,30179,1
48.7275633,15,30168,0
48.76923,15,30157,0
48.8108967,15,30146,0
48.8525633,15,30136,1
48.89423,15,30127,9
48.9358967,15,30120,24
48.9775633,15,30113,22
49.01923,15,30108,56
49.0608967,15,30104,47
49.1025633,15,30101,43
49.14423,15,30100,28
49.1858967,15,30100,18
49.2275633,15,30101,50
49.26923,15,30102,9
49.3108967,15,30105,16
49.3525633,15,30108,1
49.39423,15,30112,3
49.4358967,15,30116,1
49.4775633,15,30121,3
49.51923,15,30125,0
49.5608967,16,30131,0
49.6025633,16,30136,0
49.64423,16,30141,0
49.6858967,16,30146,1
49.7275633,16,30151,2
49.76923,16,30155,0
49.8108967,16,30159,0
49.8525633,16,30163,3
49.89423,16,30166,0
49.9358967,16,30168,1
49.9775633,16,30170,0
50.01923,16,30170,0
50.0608967,16,30170,0
50.1025633,16,30168,0
50.14423,16,30166,2
50.1858967,16,30163,0
50.2275633,16,30159,0
50.26923,16,30154,2
50.3108967,16,30149,0
50.3525633,16,30142,0
50.39423,16,30136,0
50.4358967,16,30128,2
50.4775633,16,30120,2
50.51923,16,30111,0
50.5608967,16,30102,2
50.6025633,15,30092,10
50.64423,15,30082,7
50.6858967,15,30071,4
50.7275633,15,30060,3
50.76923,15,30049,9
50.8108967,15,30037,4
50.8525633,15,30025,25
50.89423,15,30012,48
50.9358967,15,30000,83
50.9775633,15,29987,40
51.01923,15,29974,25
51.0608967,15,29961,13
51.1025633,15,29948,13
51.14423,15,29935,1
51.1858967,15,29922,1
51.2275633,15,29908,16
51.26923,15,29895,13
51.3108967,15,29882,7
51.3525633,15,29870,1
51.39423,15,29857,1
51.4358967,15,29845,2
51.4775633,15,29833,2
51.51923,15,29821,4
51.5608967,15,29809,4
51.6025633,15,29798,15
51.64423,15,29788,18
51.6858967,15,29777,3
