time,births,population,reported_cases
44.01923,4,4612,0
44.0608967,4,4618,0
44.1025633,4,4624,0
44.14423,4,4632,0
44.1858967,4,4640,0
44.2275633,4,4649,0
44.26923,4,4658,0
44.3108967,4,4668,0
44.3525633,4,4679,0
44.39423,4,4691,0
44.4358967,4,4703,0
44.4775633,4,4716,0
44.51923,4,4729,0
44.5608967,4,4743,2
44.6025633,4,4757,0
44.64423,4,4771,0
44.6858967,4,4786,1
44.7275633,4,4801,0
44.76923,4,4817,0
44.8108967,4,4832,0
44.8525633,4,4848,0
44.89423,4,4864,0
44.9358967,4,4880,0
44.9775633,4,4896,0
45.01923,4,4912,0
45.0608967,4,4929,0
45.1025633,4,4945,2
45.14423,4,4961,13
45.1858967,4,4977,28
45.2275633,4,4993,12
45.26923,4,5009,8
45.3108967,4,5025,0
45.3525633,4,5040,9
45.39423,4,5056,26
45.4358967,4,5071,8
45.4775633,4,5086,0
45.51923,4,5101,0
45.5608967,4,5116,0
45.6025633,4,5130,0
45.64423,4,5144,0
45.6858967,4,5158,0
45.7275633,4,5171,0
45.76923,4,5184,0
45.8108967,4,5197,0
45.8525633,4,5209,0
45.89423,4,5221,0
45.9358967,4,5232,0
45.9775633,4,5243,0
46.01923,4,5254,0
46.0608967,4,5264,0
46.1025633,4,5273,0
46.14423,4,5282,0
46.1858967,4,5291,0
46.2275633,4,5299,0
46.26923,4,5307,0
46.3108967,4,5315,0
46.3525633,4,5322,0
46.39423,4,5329,0
46.4358967,4,5335,0
46.4775633,4,5342,0
46.51923,4,5348,2
46.5608967,4,5354,0
46.6025633,4,5359,0
46.64423,4,5365,0
46.6858967,4,5370,0
46.7275633,4,5375,0
46.76923,4,5381,0
46.8108967,4,5386,0
46.8525633,4,5391,0
46.89423,4,5396,0
46.9358967,4,5400,0
46.9775633,4,5405,0
47.01923,4,5410,0
47.0608967,4,5415,0
47.1025633,4,5420,0
47.14423,4,5425,0
47.1858967,4,5430,0
47.2275633,4,5435,0
47.26923,4,5439,0
47.3108967,4,5444,0
47.3525633,4,5448,0
47.39423,4,5452,0
47.4358967,4,5456,0
47.4775633,4,5459,0
47.51923,4,5462,0
47.5608967,4,5465,0
47.6025633,4,5468,0
47.64423,4,5470,0
47.6858967,4,5471,0
47.7275633,4,5472,0
47.76923,4,5473,0
47.8108967,4,5473,0
47.8525633,4,5472,0
47.89423,4,5471,0
47.9358967,4,5469,0
47.9775633,4,5467,0
48.01923,4,5463,0
48.0608967,4,5460,0
48.1025633,4,5455,0
48.14423,4,5450,0
48.1858967,4,5444,0
48.2275633,4,5438,0
48.26923,4,5432,0
48.3108967,4,5425,0
48.3525633,4,5418,0
48.39423,4,5410,0
48.4358967,4,5403,0
48.4775633,4,5395,0
48.51923,4,5387,0
48.5608967,4,5380,0
48.6025633,4,5372,0
48.64423,4,5364,0
48.6858967,4,5357,0
48.7275633,4,5349,0
48.76923,4,5342,0
48.8108967,4,5335,0
48.8525633,4,5329,0
48.89423,4,5323,0
48.9358967,4,5317,0
48.9775633,4,5312,0
49.01923,4,5308,0
49.0608967,3,5304,0
49.1025633,3,5301,1
49.14423,3,5298,36
49.1858967,3,5296,5
49.2275633,3,5294,1
49.26923,3,5293,0
49.3108967,3,5292,0
49.3525633,3,5292,1
49.39423,3,5291,0
49.4358967,3,5292,0
49.4775633,3,5292,2
49.51923,3,5292,0
49.5608967,3,5293,0
49.6025633,3,5294,0
49.64423,3,5295,0
49.6858967,3,5296,0
49.7275633,3,5297,0
49.76923,3,5299,0
49.8108967,3,5300,0
49.8525633,3,5301,0
49.89423,3,5302,0
49.9358967,3,5303,0
49.9775633,3,5304,0
50.01923,3,5304,0
50.0608967,3,5305,0
50.1025633,3,5305,0
50.14423,3,5305,2
50.1858967,3,5305,0
50.2275633,3,5304,0
50.26923,3,5303,0
50.3108967,3,5303,0
50.3525633,3,5302,0
50.39423,3,5300,0
50.4358967,3,5299,0
50.4775633,3,5297,0
50.51923,3,5296,0
50.5608967,3,5294,0
50.6025633,3,5291,0
50.64423,3,5289,3
50.6858967,3,5287,0
50.7275633,3,5284,0
50.76923,3,5281,0
50.8108967,3,5278,0
50.8525633,3,5275,0
50.89423,3,5271,0
50.9358967,3,5268,1
50.9775633,3,5264,0
51.01923,3,5260,0
51.0608967,3,5256,0
51.1025633,3,5252,0
51.14423,3,5248,0
51.1858967,3,5243,1
51.2275633,3,5239,0
51.26923,3,5235,0
51.3108967,3,5230,0
51.3525633,3,5226,0
51.39423,3,5222,0
51.4358967,3,5218,0
51.4775633,3,5214,2
51.51923,3,5210,0
51.5608967,4,5207,6
51.6025633,4,5204,1
51.64423,4,5201,1
51.6858967,4,5198,0
51.7275633,4,5196,0
51.76923,4,5194,0
51.8108967,4,5193,0
51.8525633,4,5192,0
51.89423,4,5191,0
51.9358967,4,5191,0
51.9775633,4,5192,0
52.01923,4,5193,0
52.0608967,4,5194,1
52.1025633,4,5196,0
52.14423,4,5199,0
52.1858967,4,5202,0
52.2275633,4,5205,0
52.26923,4,5209,0
52.3108967,3,5213,0
52.3525633,3,5218,0
52.39423,3,5222,0
52.43589670000001,3,5227,0
52.47756329999999,3,5232,0
52.51923000000001,3,5237,1
52.56089670000001,3,5242,3
52.60256329999999,3,5247,2
52.64423000000001,3,5252,0
52.68589670000001,3,5257,3
52.72756329999999,3,5262,2
52.76923000000001,3,5266,0
52.81089670000001,3,5271,20
52.85256329999999,3,5275,0
52.89423000000001,3,5279,2
52.93589670000001,3,5282,1
52.97756329999999,3,5285,0
53.01923000000001,3,5288,0
53.06089670000001,3,5290,9
53.10256329999999,3,5292,0
53.14423000000001,3,5294,0
53.18589670000001,3,5295,3
53.22756329999999,3,5296,0
53.26923000000001,3,5296,4
53.31089670000001,3,5296,0
53.35256329999999,3,5296,0
53.39423000000001,3,5296,1
53.43589670000001,3,5295,0
53.47756329999999,3,5295,0
53.51923000000001,3,5294,0
53.56089670000001,3,5293,2
53.60256329999999,3,5292,0
53.64423000000001,3,5291,0
53.68589670000001,3,5289,0
53.72756329999999,3,5288,0
53.76923000000001,3,5287,0
53.81089670000001,3,5285,0
53.85256329999999,3,5284,0
53.89423000000001,3,5283,0
53.93589670000001,3,5282,0
53.97756329999999,3,5281,0
54.01923000000001,3,5280,0
54.06089670000001,3,5279,0
54.10256329999999,3,5278,0
54.14423000000001,3,5278,0
54.18589670000001,3,5277,0
54.22756329999999,3,5277,0
54.26923000000001,3,5277,0
54.31089670000001,3,5277,0
54.35256329999999,3,5277,0
54.39423000000001,3,5277,0
54.43589670000001,3,5277,0
54.47756329999999,3,5277,0
54.51923000000001,3,5277,0
54.56089670000001,3,5278,0
54.60256329999999,3,5278,0
54.64423000000001,3,5278,0
54.68589670000001,3,5278,0
54.72756329999999,3,5279,0
54.76923000000001,3,5279,0
54.81089670000001,3,5279,0
54.85256329999999,3,5280,0
54.89423000000001,3,5280,0
54.93589670000001,3,5280,0
54.97756329999999,3,5280,0
55.01923000000001,3,5280,0
55.06089670000001,3,5280,0
55.10256329999999,3,5280,0
55.14423000000001,3,5280,0
55.18589670000001,3,5279,0
55.22756329999999,3,5279,0
55.26923000000001,3,5279,0
55.31089670000001,3,5278,0
55.35256329999999,3,5278,0
55.39423000000001,4,5277,0
55.43589670000001,4,5276,1
55.47756329999999,4,5276,0
55.51923000000001,4,5275,2
55.56089670000001,4,5274,0
55.60256329999999,4,5273,0
55.64423000000001,4,5272,1
55.68589670000001,4,5271,0
55.72756329999999,4,5270,0
55.76923000000001,4,5268,0
55.81089670000001,4,5267,0
55.85256329999999,4,5266,0
55.89423000000001,4,5264,0
55.93589670000001,4,5263,0
55.97756329999999,4,5261,0
56.01923000000001,3,5259,0
56.06089670000001,3,5257,0
56.10256329999999,3,5256,0
56.14423000000001,3,5254,0
56.18589670000001,3,5252,0
56.22756329999999,3,5250,0
56.26923000000001,3,5248,0
56.31089670000001,3,5246,0
56.35256329999999,3,5244,0
56.39423000000001,3,5242,0
56.43589670000001,3,5240,0
56.47756329999999,3,5238,0
56.51923000000001,3,5236,0
56.56089670000001,3,5234,0
56.60256329999999,3,5232,0
56.64423000000001,3,5230,0
56.68589670000001,3,5229,0
56.72756329999999,3,5227,0
56.76923000000001,3,5226,0
56.81089670000001,3,5224,0
56.85256329999999,3,5223,0
56.89423000000001,3,5222,0
56.93589670000001,3,5221,0
56.97756329999999,3,5220,0
57.01923000000001,3,5220,0
57.06089670000001,3,5219,0
57.10256329999999,3,5219,0
57.14423000000001,3,5219,0
57.18589670000001,3,5219,0
57.22756329999999,3,5219,0
57.26923000000001,3,5219,0
57.31089670000001,3,5220,0
57.35256329999999,3,5220,1
57.39423000000001,3,5221,1
57.43589670000001,3,5221,0
57.47756329999999,3,5222,2
57.51923000000001,4,5223,18
57.56089670000001,4,5224,20
57.60256329999999,4,5225,22
57.64423000000001,4,5227,5
57.68589670000001,4,5228,1
57.72756329999999,4,5229,0
57.76923000000001,4,5231,0
57.81089670000001,4,5232,0
57.85256329999999,4,5234,0
57.89423000000001,4,5236,0
57.93589670000001,4,5237,0
57.97756329999999,4,5239,0
58.01923000000001,4,5241,0
58.06089670000001,4,5243,0
58.10256329999999,4,5244,0
58.14423000000001,4,5246,0
58.18589670000001,4,5248,0
58.22756329999999,4,5250,4
58.26923000000001,4,5252,1
58.31089670000001,4,5253,1
58.35256329999999,4,5255,0
58.39423000000001,4,5257,0
58.43589670000001,4,5258,0
58.47756329999999,4,5260,0
58.51923000000001,4,5261,2
58.56089670000001,4,5263,5
58.60256329999999,4,5264,2
58.64423000000001,4,5265,3
58.68589670000001,4,5266,0
58.72756329999999,4,5267,0
58.76923000000001,4,5268,0
58.81089670000001,4,5269,0
58.85256329999999,4,5269,0
58.89423000000001,4,5270,0
58.93589670000001,4,5270,0
58.97756329999999,4,5270,0
59.01923000000001,4,5270,0
59.06089670000001,4,5270,0
59.10256329999999,4,5269,0
59.14423000000001,4,5268,5
59.18589670000001,4,5268,3
59.22756329999999,4,5267,0
59.26923000000001,4,5265,0
59.31089670000001,4,5264,0
59.35256329999999,4,5263,12
59.39423000000001,4,5261,24
59.43589670000001,4,5260,1
59.47756329999999,4,5258,4
59.51923000000001,4,5256,2
59.56089670000001,4,5254,0
59.60256329999999,4,5252,0
59.64423000000001,4,5250,1
59.68589670000001,4,5248,0
59.72756329999999,4,5245,0
59.76923000000001,4,5243,0
59.81089670000001,4,5241,0
59.85256329999999,4,5238,0
59.89423000000001,4,5236,0
59.93589670000001,4,5234,0
59.97756329999999,4,5231,0
60.01923000000001,4,5229,0
60.06089670000001,4,5226,0
60.10256329999999,4,5224,0
60.14423000000001,4,5222,0
60.18589670000001,4,5219,0
60.22756329999999,4,5217,0
