time,births,population,reported_cases
44.01923,23,33410,0
44.0608967,23,33328,0
44.1025633,23,33253,0
44.14423,23,33186,0
44.1858967,23,33126,0
44.2275633,23,33072,2
44.26923,23,33026,0
44.3108967,23,32986,0
44.3525633,23,32952,1
44.39423,23,32924,0
44.4358967,23,32902,0
44.4775633,23,32886,0
44.51923,23,32876,2
44.5608967,23,32871,2
44.6025633,23,32871,0
44.64423,22,32877,0
44.6858967,22,32887,0
44.7275633,22,32901,0
44.76923,22,32921,0
44.8108967,22,32944,0
44.8525633,22,32972,1
44.89423,22,33003,8
44.9358967,22,33039,5
44.9775633,23,33078,1
45.01923,23,33120,2
45.0608967,23,33165,14
45.1025633,23,33214,49
45.14423,23,33265,34
45.1858967,23,33319,24
45.2275633,23,33375,39
45.26923,23,33434,140
45.3108967,23,33495,103
45.3525633,23,33557,191
45.39423,23,33622,77
45.4358967,23,33688,31
45.4775633,23,33755,8
45.51923,24,33824,9
45.5608967,24,33893,3
45.6025633,24,33963,1
45.64423,24,34034,2
45.6858967,24,34106,0
45.7275633,24,34177,0
45.76923,25,34249,0
45.8108967,25,34321,2
45.8525633,25,34392,0
45.89423,25,34463,0
45.9358967,25,34533,0
45.9775633,26,34603,0
46.01923,26,34671,0
46.0608967,26,34739,0
46.1025633,26,34805,0
46.14423,26,34870,0
46.1858967,27,34933,0
46.2275633,27,34995,2
46.26923,27,35056,0
46.3108967,27,35115,0
46.3525633,28,35172,0
46.39423,28,35228,0
46.4358967,28,35281,0
46.4775633,28,35333,0
46.51923,29,35383,0
46.5608967,29,35431,0
46.6025633,29,35476,0
46.64423,29,35520,2
46.6858967,29,35561,0
46.7275633,30,35600,0
46.76923,30,35636,0
46.8108967,30,35670,0
46.8525633,30,35701,1
46.89423,30,35730,0
46.9358967,30,35756,1
46.9775633,30,35779,0
47.01923,30,35799,0
47.0608967,31,35816,7
47.1025633,31,35831,3
47.14423,31,35843,20
47.1858967,31,35853,24
47.2275633,31,35861,2
47.26923,31,35867,15
47.3108967,31,35871,7
47.3525633,31,35874,2
47.39423,30,35875,2
47.4358967,30,35876,8
47.4775633,30,35875,24
47.51923,30,35874,63
47.5608967,30,35872,9
47.6025633,30,35870,29
47.64423,30,35868,20
47.6858967,30,35865,13
47.7275633,29,35863,7
47.76923,29,35862,1
47.8108967,29,35861,0
47.8525633,29,35861,0
47.89423,28,35862,0
47.9358967,28,35864,0
47.9775633,28,35867,0
48.01923,28,35873,0
48.0608967,27,35879,0
48.1025633,27,35888,0
48.14423,27,35897,0
48.1858967,26,35908,0
48.2275633,26,35920,0
48.26923,26,35934,0
48.3108967,25,35948,3
48.3525633,25,35962,1
48.39423,25,35978,0
48.4358967,24,35994,3
48.4775633,24,36010,0
48.51923,24,36027,2
48.5608967,23,36044,5
48.6025633,23,36061,18
48.64423,23,36078,19
48.6858967,22,36094,71
48.7275633,22,36110,100
48.76923,22,36126,73
48.8108967,22,36142,57
48.8525633,21,36156,30
48.89423,21,36170,12
48.9358967,21,36183,4
48.9775633,21,36194,1
49.01923,21,36205,0
49.0608967,21,36214,2
49.1025633,20,36222,0
49.14423,20,36229,1
49.1858967,20,36234,0
49.2275633,20,36239,4
49.26923,20,36242,0
49.3108967,20,36244,6
49.3525633,20,36245,3
49.39423,20,36245,7
49.4358967,20,36244,0
49.4775633,20,36242,2
49.51923,21,36239,2
49.5608967,21,36235,0
49.6025633,21,36230,0
49.64423,21,36225,1
49.6858967,21,36218,0
49.7275633,21,36210,0
49.76923,21,36202,0
49.8108967,21,36192,2
49.8525633,21,36182,0
49.89423,21,36171,0
49.9358967,21,36159,0
49.9775633,21,36147,0
50.01923,22,36134,2
50.0608967,22,36120,0
50.1025633,22,36105,1
50.14423,22,36090,0
50.1858967,22,36075,0
50.2275633,22,36059,2
50.26923,22,36042,0
50.3108967,22,36025,3
50.3525633,22,36008,11
50.39423,22,35990,9
50.4358967,22,35972,39
50.4775633,22,35954,90
50.51923,21,35936,160
50.5608967,21,35918,87
50.6025633,21,35899,59
50.64423,21,35881,21
50.6858967,21,35863,12
50.7275633,21,35844,19
50.76923,21,35826,18
50.8108967,21,35808,4
50.8525633,21,35790,2
50.89423,21,35773,2
50.9358967,21,35756,0
50.9775633,21,35739,7
51.01923,21,35722,18
51.0608967,21,35707,37
51.1025633,21,35691,13
51.14423,21,35676,9
51.1858967,21,35661,4
51.2275633,21,35647,10
51.26923,21,35634,0
51.3108967,21,35620,2
51.3525633,21,35608,3
51.39423,20,35596,0
51.4358967,20,35584,0
51.4775633,20,35573,2
51.51923,20,35562,0
51.5608967,20,35552,4
51.6025633,20,35543,0
51.64423,20,35534,1
51.6858967,20,35525,1
51.7275633,20,35517,0
51.76923,20,35510,0
51.8108967,20,35503,2
51.8525633,20,35497,0
51.89423,20,35491,1
51.9358967,20,35486,1
51.9775633,21,35482,0
52.01923,21,35478,0
52.0608967,21,35475,0
52.1025633,21,35473,1
52.14423,21,35470,2
52.1858967,21,35469,0
52.2275633,21,35467,2
52.26923,21,35466,1
52.3108967,21,35465,9
52.3525633,21,35465,6
52.39423,21,35464,0
52.43589670000001,21,35464,0
52.47756329999999,21,35464,0
52.51923000000001,21,35463,1
52.56089670000001,21,35463,1
52.60256329999999,21,35462,2
52.64423000000001,21,35462,6
52.68589670000001,21,35461,32
52.72756329999999,21,35459,112
52.76923000000001,21,35458,229
52.81089670000001,21,35456,222
52.85256329999999,21,35453,174
52.89423000000001,22,35450,175
52.93589670000001,22,35447,113
52.97756329999999,22,35443,42
53.01923000000001,22,35438,49
53.06089670000001,22,35432,26
53.10256329999999,22,35426,19
53.14423000000001,22,35420,7
53.18589670000001,22,35413,5
53.22756329999999,22,35406,8
53.26923000000001,22,35399,0
53.31089670000001,21,35392,4
