time,births,population,reported_cases
44.01923,19,22523,0
44.0608967,19,22490,0
44.1025633,19,22460,0
44.14423,19,22433,0
44.1858967,19,22410,2
44.2275633,19,22390,11
44.26923,18,22373,0
44.3108967,18,22358,15
44.3525633,18,22347,21
44.39423,18,22338,19
44.4358967,18,22331,10
44.4775633,18,22327,2
44.51923,18,22325,0
44.5608967,18,22325,0
44.6025633,18,22327,0
44.64423,18,22330,0
44.6858967,18,22335,0
44.7275633,18,22342,0
44.76923,18,22350,0
44.8108967,18,22359,0
44.8525633,19,22369,0
44.89423,19,22379,0
44.9358967,19,22391,0
44.9775633,19,22403,2
45.01923,19,22416,0
45.0608967,19,22429,0
45.1025633,19,22442,2
45.14423,19,22456,3
45.1858967,19,22469,55
45.2275633,20,22483,49
45.26923,20,22497,34
45.3108967,20,22510,42
45.3525633,20,22524,51
45.39423,20,22537,34
45.4358967,20,22550,20
45.4775633,20,22562,12
45.51923,20,22574,5
45.5608967,21,22586,36
45.6025633,21,22597,5
45.64423,21,22607,6
45.6858967,21,22617,14
45.7275633,21,22626,8
45.76923,21,22634,0
45.8108967,21,22641,2
45.8525633,22,22647,0
45.89423,22,22652,0
45.9358967,22,22656,2
45.9775633,22,22659,0
46.01923,22,22661,0
46.0608967,22,22661,0
46.1025633,22,22660,0
46.14423,22,22658,0
46.1858967,22,22655,0
46.2275633,23,22651,2
46.26923,23,22647,0
46.3108967,23,22642,0
46.3525633,23,22637,0
46.39423,23,22632,1
46.4358967,23,22626,0
46.4775633,23,22621,0
46.51923,23,22615,0
46.5608967,23,22610,0
46.6025633,23,22605,0
46.64423,23,22601,0
46.6858967,23,22597,0
46.7275633,23,22594,0
46.76923,23,22592,0
46.8108967,23,22590,0
46.8525633,23,22590,0
46.89423,23,22591,0
46.9358967,23,22593,2
46.9775633,23,22597,2
47.01923,23,22603,5
47.0608967,23,22610,7
47.1025633,23,22618,37
47.14423,23,22628,30
47.1858967,23,22639,5
47.2275633,23,22652,13
47.26923,23,22665,13
47.3108967,23,22679,19
47.3525633,23,22694,5
47.39423,23,22710,6
47.4358967,23,22727,11
47.4775633,23,22744,3
47.51923,23,22762,14
47.5608967,23,22780,11
47.6025633,23,22798,45
47.64423,23,22816,8
47.6858967,23,22834,1
47.7275633,23,22852,2
47.76923,23,22870,0
47.8108967,23,22887,4
47.8525633,23,22905,1
47.89423,23,22921,8
47.9358967,23,22937,8
47.9775633,23,22952,10
48.01923,23,22966,16
48.0608967,22,22980,5
48.1025633,22,22992,14
48.14423,22,23004,10
48.1858967,22,23015,6
48.2275633,22,23025,4
48.26923,22,23034,2
48.3108967,22,23043,2
48.3525633,22,23051,3
48.39423,22,23058,0
48.4358967,21,23064,0
48.4775633,21,23070,0
48.51923,21,23075,0
48.5608967,21,23080,0
48.6025633,21,23084,0
48.64423,21,23087,0
48.6858967,21,23091,0
48.7275633,21,23093,0
48.76923,20,23095,0
48.8108967,20,23097,2
48.8525633,20,23098,1
48.89423,20,23099,6
48.9358967,20,23100,11
48.9775633,20,23100,1
49.01923,20,23100,0
49.0608967,20,23100,4
49.1025633,20,23099,0
49.14423,20,23098,1
49.1858967,20,23097,2
49.2275633,19,23096,3
49.26923,19,23095,5
49.3108967,19,23093,8
49.3525633,19,23091,10
49.39423,19,23089,8
49.4358967,19,23087,17
49.4775633,19,23085,26
49.51923,19,23083,20
49.5608967,19,23080,12
49.6025633,19,23077,3
49.64423,19,23075,3
49.6858967,19,23072,3
49.7275633,19,23069,2
49.76923,19,23066,0
49.8108967,19,23063,0
49.8525633,19,23060,0
49.89423,19,23057,0
49.9358967,19,23054,0
49.9775633,19,23052,0
50.01923,19,23049,0
50.0608967,19,23046,0
50.1025633,19,23043,1
50.14423,19,23040,0
50.1858967,19,23038,1
50.2275633,20,23035,2
50.26923,20,23032,0
50.3108967,20,23030,2
50.3525633,20,23028,2
50.39423,20,23025,0
50.4358967,20,23023,3
50.4775633,20,23021,5
50.51923,20,23019,7
50.5608967,20,23018,6
50.6025633,20,23016,26
50.64423,20,23015,40
50.6858967,20,23013,21
50.7275633,20,23012,46
50.76923,20,23011,154
50.8108967,20,23011,144
50.8525633,20,23010,109
50.89423,20,23010,75
50.9358967,20,23010,13
50.9775633,20,23010,6
51.01923,20,23010,0
51.0608967,20,23011,0
51.1025633,20,23012,0
51.14423,20,23013,0
51.1858967,20,23014,0
51.2275633,20,23015,2
51.26923,20,23016,0
51.3108967,20,23017,1
51.3525633,20,23018,3
51.39423,20,23020,0
51.4358967,20,23021,0
51.4775633,20,23022,10
51.51923,20,23023,2
51.5608967,19,23023,0
51.6025633,19,23024,0
51.64423,19,23024,0
51.6858967,19,23024,0
51.7275633,19,23023,0
51.76923,19,23022,2
51.8108967,19,23021,4
51.8525633,19,23020,7
51.89423,19,23018,0
51.9358967,19,23015,0
51.9775633,19,23012,2
52.01923,19,23008,0
52.0608967,19,23004,1
52.1025633,19,22999,0
52.14423,19,22994,10
52.1858967,19,22989,44
52.2275633,19,22983,29
52.26923,19,22977,15
52.3108967,19,22970,22
52.3525633,19,22964,5
52.39423,19,22957,3
52.43589670000001,19,22950,0
52.47756329999999,19,22944,2
52.51923000000001,19,22937,0
52.56089670000001,19,22930,0
52.60256329999999,19,22924,0
52.64423000000001,19,22918,4
52.68589670000001,19,22912,1
52.72756329999999,19,22906,0
52.76923000000001,19,22901,0
52.81089670000001,19,22896,27
52.85256329999999,19,22891,22
52.89423000000001,19,22887,40
52.93589670000001,19,22884,36
52.97756329999999,19,22881,16
53.01923000000001,19,22879,18
53.06089670000001,19,22878,24
53.10256329999999,18,22877,15
53.14423000000001,18,22877,23
53.18589670000001,18,22877,33
53.22756329999999,18,22878,109
53.26923000000001,18,22880,131
53.31089670000001,18,22882,54
53.35256329999999,18,22884,34
53.39423000000001,18,22886,15
53.43589670000001,18,22889,7
53.47756329999999,18,22891,7
53.51923000000001,17,22894,5
53.56089670000001,17,22897,0
53.60256329999999,17,22900,2
53.64423000000001,17,22903,0
53.68589670000001,17,22906,0
53.72756329999999,17,22909,0
53.76923000000001,17,22911,0
53.81089670000001,17,22914,0
53.85256329999999,17,22916,0
53.89423000000001,17,22917,0
53.93589670000001,16,22919,0
53.97756329999999,16,22920,0
54.01923000000001,16,22920,0
54.06089670000001,16,22920,0
54.10256329999999,16,22919,0
54.14423000000001,16,22918,0
54.18589670000001,16,22917,0
54.22756329999999,16,22915,0
54.26923000000001,16,22912,2
54.31089670000001,16,22910,0
54.35256329999999,16,22906,2
54.39423000000001,16,22903,0
54.43589670000001,16,22899,0
54.47756329999999,16,22895,0
54.51923000000001,16,22890,0
54.56089670000001,16,22885,0
54.60256329999999,16,22880,0
54.64423000000001,16,22875,0
54.68589670000001,16,22869,0
54.72756329999999,16,22863,0
54.76923000000001,16,22857,0
54.81089670000001,16,22851,0
54.85256329999999,16,22844,0
54.89423000000001,16,22837,0
54.93589670000001,16,22831,0
54.97756329999999,16,22824,0
55.01923000000001,16,22817,0
55.06089670000001,16,22810,0
55.10256329999999,16,22802,0
55.14423000000001,16,22795,0
55.18589670000001,16,22788,0
55.22756329999999,16,22781,0
55.26923000000001,16,22773,0
55.31089670000001,16,22766,0
55.35256329999999,16,22759,7
55.39423000000001,16,22751,3
55.43589670000001,16,22744,33
55.47756329999999,16,22737,99
55.51923000000001,16,22730,63
55.56089670000001,16,22723,37
55.60256329999999,16,22716,26
55.64423000000001,16,22709,18
55.68589670000001,16,22703,13
55.72756329999999,16,22696,8
55.76923000000001,16,22690,16
55.81089670000001,16,22684,37
55.85256329999999,16,22678,45
55.89423000000001,16,22673,43
55.93589670000001,16,22668,48
55.97756329999999,16,22663,25
56.01923000000001,16,22658,84
56.06089670000001,16,22653,31
56.10256329999999,16,22649,15
56.14423000000001,16,22645,3
56.18589670000001,16,22642,0
56.22756329999999,16,22639,2
56.26923000000001,16,22636,0
56.31089670000001,16,22633,0
56.35256329999999,16,22631,0
56.39423000000001,16,22629,0
56.43589670000001,16,22627,0
56.47756329999999,16,22626,0
56.51923000000001,16,22625,0
56.56089670000001,16,22624,0
56.60256329999999,16,22624,4
56.64423000000001,16,22624,0
56.68589670000001,16,22625,0
56.72756329999999,16,22625,0
56.76923000000001,16,22627,0
56.81089670000001,16,22628,0
56.85256329999999,16,22630,0
56.89423000000001,16,22632,0
56.93589670000001,16,22635,0
56.97756329999999,16,22638,0
57.01923000000001,16,22642,0
57.06089670000001,16,22646,0
57.10256329999999,16,22650,1
57.14423000000001,16,22654,0
57.18589670000001,16,22659,0
57.22756329999999,16,22664,11
57.26923000000001,16,22669,25
57.31089670000001,17,22674,12
57.35256329999999,17,22679,10
57.39423000000001,17,22684,25
57.43589670000001,17,22689,35
57.47756329999999,17,22693,32
57.51923000000001,17,22698,9
57.56089670000001,17,22702,8
57.60256329999999,17,22706,5
57.64423000000001,17,22710,0
57.68589670000001,17,22713,2
57.72756329999999,17,22716,0
57.76923000000001,17,22718,0
57.81089670000001,17,22720,0
57.85256329999999,17,22721,0
57.89423000000001,17,22722,2
57.93589670000001,17,22722,0
57.97756329999999,17,22721,0
58.01923000000001,17,22719,0
58.06089670000001,17,22717,1
58.10256329999999,17,22713,2
58.14423000000001,17,22709,1
58.18589670000001,17,22705,1
58.22756329999999,17,22700,0
58.26923000000001,17,22695,3
58.31089670000001,17,22689,2
58.35256329999999,17,22683,1
58.39423000000001,16,22677,13
58.43589670000001,16,22670,2
58.47756329999999,16,22664,22
58.51923000000001,16,22657,36
58.56089670000001,16,22651,46
58.60256329999999,16,22645,22
58.64423000000001,16,22639,11
58.68589670000001,16,22634,16
58.72756329999999,16,22629,21
58.76923000000001,16,22624,89
58.81089670000001,15,22620,33
58.85256329999999,15,22616,14
58.89423000000001,15,22613,4
58.93589670000001,15,22611,0
58.97756329999999,15,22610,1
59.01923000000001,15,22610,2
59.06089670000001,15,22611,3
59.10256329999999,15,22612,3
59.14423000000001,15,22614,2
59.18589670000001,15,22616,0
59.22756329999999,14,22619,2
59.26923000000001,14,22621,0
59.31089670000001,14,22624,2
59.35256329999999,14,22626,5
59.39423000000001,14,22628,5
59.43589670000001,14,22630,0
59.47756329999999,14,22630,0
59.51923000000001,14,22630,0
59.56089670000001,14,22629,0
59.60256329999999,14,22626,0
59.64423000000001,14,22622,0
59.68589670000001,14,22617,0
59.72756329999999,14,22610,2
59.76923000000001,14,22601,0
59.81089670000001,14,22590,0
59.85256329999999,14,22576,0
59.89423000000001,14,22561,0
59.93589670000001,14,22543,0
59.97756329999999,14,22522,0
60.01923000000001,14,22499,0
60.06089670000001,14,22473,0
60.10256329999999,14,22444,2
60.14423000000001,14,22413,0
60.18589670000001,15,22379,0
60.22756329999999,15,22344,0
60.26923000000001,15,22308,0
60.31089670000001,15,22270,0
60.35256329999999,15,22231,0
60.39423000000001,15,22192,0
60.43589670000001,15,22151,0
60.47756329999999,15,22111,0
60.51923000000001,16,22070,0
60.56089670000001,16,22030,0
60.60256329999999,16,21990,0
60.64423000000001,16,21951,0
60.68589670000001,16,21912,0
60.72756329999999,16,21875,0
60.76923000000001,16,21840,0
60.81089670000001,16,21806,2
60.85256329999999,17,21774,12
60.89423000000001,17,21744,10
60.93589670000001,17,21717,22
60.97756329999999,17,21692,23
61.01923000000001,17,21670,43
61.06089670000001,17,21652,74
61.10256329999999,17,21636,119
61.14423000000001,17,21623,107
61.18589670000001,17,21612,57
61.22756329999999,17,21604,71
61.26923000000001,17,21598,36
61.31089670000001,17,21594,7
61.35256329999999,17,21593,0
61.39423000000001,17,21593,1
61.43589670000001,17,21594,1
61.47756329999999,17,21598,8
61.51923000000001,17,21603,16
61.56089670000001,17,21608,12
61.60256329999999,17,21616,0
61.64423000000001,17,21624,3
61.68589670000001,17,21632,0
61.72756329999999,17,21642,2
61.76923000000001,17,21652,0
61.81089670000001,17,21662,0
61.85256329999999,17,21673,0
61.89423000000001,17,21684,1
61.93589670000001,17,21694,0
61.97756329999999,17,21705,0
62.01923000000001,17,21715,0
62.06089670000001,17,21724,0
62.10256329999999,17,21733,0
62.14423000000001,17,21742,0
62.18589670000001,17,21750,0
62.22756329999999,17,21758,0
62.26923000000001,17,21765,0
62.31089670000001,17,21771,0
62.35256329999999,17,21777,0
62.39423000000001,17,21783,0
62.43589670000001,17,21788,2
62.47756329999999,17,21792,1
62.51923000000001,17,21796,2
62.56089670000001,17,21799,0
62.60256329999999,17,21801,0
62.64423000000001,17,21803,0
62.68589670000001,17,21804,0
62.72756329999999,17,21805,4
62.76923000000001,17,21804,0
62.81089670000001,17,21803,0
62.85256329999999,17,21802,1
62.89423000000001,17,21799,1
62.93589670000001,17,21796,10
62.97756329999999,17,21792,10
63.01923000000001,17,21788,7
63.06089670000001,17,21782,0
63.10256329999999,17,21776,15
63.14423000000001,17,21770,23
63.18589670000001,17,21762,28
63.22756329999999,17,21754,16
63.26923000000001,17,21746,34
63.31089670000001,18,21737,71
63.35256329999999,18,21728,23
63.39423000000001,18,21719,26
63.43589670000001,18,21710,40
63.47756329999999,18,21700,23
63.51923000000001,18,21690,5
63.56089670000001,18,21680,20
63.60256329999999,18,21671,5
63.64423000000001,17,21661,2
63.68589670000001,17,21651,2
63.72756329999999,17,21642,0
63.76923000000001,17,21633,0
63.81089670000001,17,21624,2
63.85256329999999,17,21616,0
63.89423000000001,17,21608,1
63.93589670000001,17,21600,0
63.97756329999999,17,21593,2
