time,births,population,reported_cases
44.01923,43,45132,0
44.0608967,42,45015,0
44.1025633,41,44910,0
44.14423,40,44816,3
44.1858967,39,44734,2
44.2275633,38,44663,3
44.26923,37,44603,11
44.3108967,37,44554,0
44.3525633,36,44515,1
44.39423,36,44486,0
44.4358967,35,44467,1
44.4775633,35,44457,2
44.51923,35,44458,7
44.5608967,34,44467,0
44.6025633,34,44485,3
44.64423,34,44512,0
44.6858967,34,44547,0
44.7275633,34,44591,0
44.76923,34,44642,0
44.8108967,34,44701,0
44.8525633,35,44768,0
44.89423,35,44842,0
44.9358967,35,44923,1
44.9775633,36,45010,0
45.01923,36,45104,0
45.0608967,36,45204,0
45.1025633,37,45311,0
45.14423,37,45423,4
45.1858967,38,45540,4
45.2275633,38,45663,2
45.26923,39,45790,60
45.3108967,39,45922,33
45.3525633,40,46059,71
45.39423,40,46200,91
45.4358967,41,46344,65
45.4775633,41,46492,38
45.51923,42,46644,2
45.5608967,43,46799,20
45.6025633,43,46956,0
45.64423,44,47116,0
45.6858967,44,47278,1
45.7275633,45,47443,0
45.76923,45,47609,0
45.8108967,46,47777,0
45.8525633,46,47946,1
45.89423,47,48116,0
45.9358967,47,48286,0
45.9775633,48,48458,0
46.01923,48,48629,0
46.0608967,48,48801,0
46.1025633,49,48972,0
46.14423,49,49142,0
46.1858967,49,49312,1
46.2275633,50,49480,0
46.26923,50,49648,0
46.3108967,50,49813,4
46.3525633,50,49977,19
46.39423,51,50139,3
46.4358967,51,50298,19
46.4775633,51,50455,12
46.51923,51,50609,29
46.5608967,51,50760,13
46.6025633,51,50907,2
46.64423,51,51050,3
46.6858967,51,51190,0
46.7275633,51,51326,0
46.76923,51,51457,0
46.8108967,50,51583,0
46.8525633,50,51704,0
46.89423,50,51820,6
46.9358967,50,51931,4
46.9775633,50,52036,5
47.01923,49,52135,11
47.0608967,49,52228,14
47.1025633,49,52315,37
47.14423,48,52396,23
47.1858967,48,52472,12
47.2275633,48,52542,5
47.26923,47,52607,12
47.3108967,47,52667,9
47.3525633,46,52721,0
47.39423,46,52772,0
47.4358967,45,52817,0
47.4775633,45,52858,2
47.51923,45,52895,0
47.5608967,44,52927,2
47.6025633,44,52956,2
47.64423,43,52981,0
47.6858967,43,53002,1
47.7275633,42,53020,2
47.76923,42,53034,0
47.8108967,42,53045,0
47.8525633,41,53053,1
47.89423,41,53058,2
47.9358967,41,53061,16
47.9775633,40,53061,1
48.01923,40,53059,27
48.0608967,40,53054,70
48.1025633,40,53048,92
48.14423,39,53041,103
48.1858967,39,53032,71
48.2275633,39,53023,20
48.26923,39,53014,18
48.3108967,39,53005,10
48.3525633,39,52997,15
48.39423,39,52990,10
48.4358967,39,52985,10
48.4775633,39,52981,0
48.51923,39,52979,2
48.5608967,39,52980,2
48.6025633,39,52984,0
48.64423,39,52992,0
48.6858967,39,53003,0
48.7275633,39,53018,0
48.76923,39,53038,0
