time,births,population,reported_cases
44.01923,45,46734,0
44.0608967,44,46644,0
44.1025633,44,46566,0
44.14423,44,46500,0
44.1858967,43,46445,0
44.2275633,43,46401,4
44.26923,43,46368,0
44.3108967,42,46344,0
44.3525633,42,46330,0
44.39423,42,46325,1
44.4358967,42,46329,1
44.4775633,41,46341,0
44.51923,41,46362,2
44.5608967,41,46389,0
44.6025633,41,46424,1
44.64423,40,46466,0
44.6858967,40,46513,0
44.7275633,40,46567,0
44.76923,40,46626,0
44.8108967,40,46689,4
44.8525633,39,46758,25
44.89423,39,46830,5
44.9358967,39,46906,23
44.9775633,39,46986,30
45.01923,39,47068,52
45.0608967,39,47153,20
45.1025633,39,47240,34
45.14423,39,47329,23
45.1858967,39,47420,9
45.2275633,39,47512,20
45.26923,39,47606,4
45.3108967,39,47700,1
45.3525633,39,47795,6
45.39423,39,47890,7
45.4358967,39,47986,9
45.4775633,39,48081,4
45.51923,39,48176,11
45.5608967,40,48270,2
45.6025633,40,48363,0
45.64423,40,48455,0
45.6858967,40,48545,3
45.7275633,40,48634,0
45.76923,40,48720,0
45.8108967,41,48805,0
45.8525633,41,48886,0
45.89423,41,48965,0
45.9358967,41,49040,0
45.9775633,42,49113,0
46.01923,42,49181,0
46.0608967,42,49246,0
46.1025633,42,49307,0
46.14423,43,49365,0
46.1858967,43,49420,1
46.2275633,43,49472,4
46.26923,43,49522,0
46.3108967,44,49568,0
46.3525633,44,49613,0
46.39423,44,49655,0
46.4358967,45,49696,0
46.4775633,45,49734,2
46.51923,45,49772,0
46.5608967,45,49808,2
46.6025633,45,49843,0
46.64423,46,49877,0
46.6858967,46,49910,0
46.7275633,46,49943,0
46.76923,46,49975,0
46.8108967,46,50008,0
46.8525633,46,50041,1
46.89423,46,50074,1
46.9358967,46,50107,4
46.9775633,46,50141,10
47.01923,46,50176,35
47.0608967,46,50212,43
47.1025633,46,50249,65
47.14423,46,50287,51
47.1858967,46,50325,7
47.2275633,45,50364,5
47.26923,45,50403,2
47.3108967,45,50443,5
47.3525633,45,50482,6
47.39423,44,50522,4
47.4358967,44,50561,2
47.4775633,44,50600,0
47.51923,44,50639,2
47.5608967,43,50677,3
47.6025633,43,50715,6
47.64423,43,50752,7
47.6858967,42,50788,0
47.7275633,42,50823,0
47.76923,42,50857,3
47.8108967,41,50890,0
47.8525633,41,50922,0
47.89423,41,50951,1
47.9358967,41,50980,4
47.9775633,40,51006,0
48.01923,40,51031,0
48.0608967,40,51054,2
48.1025633,40,51075,0
48.14423,40,51094,0
48.1858967,39,51112,1
48.2275633,39,51128,0
48.26923,39,51142,13
48.3108967,39,51155,11
48.3525633,39,51166,23
48.39423,39,51176,28
48.4358967,39,51184,45
48.4775633,39,51191,26
48.51923,39,51196,46
48.5608967,39,51200,9
48.6025633,39,51203,14
48.64423,39,51205,8
48.6858967,39,51206,2
48.7275633,39,51205,0
48.76923,39,51204,2
48.8108967,39,51202,8
48.8525633,38,51198,7
48.89423,38,51194,31
48.9358967,38,51189,68
48.9775633,38,51183,60
49.01923,38,51177,42
49.0608967,38,51170,13
49.1025633,38,51162,34
49.14423,38,51154,21
49.1858967,38,51145,15
49.2275633,38,51136,22
49.26923,38,51126,20
49.3108967,38,51116,14
49.3525633,38,51106,16
49.39423,38,51096,26
49.4358967,38,51085,31
49.4775633,38,51075,23
49.51923,38,51064,20
49.5608967,38,51053,12
49.6025633,38,51043,3
49.64423,38,51033,0
49.6858967,38,51023,0
49.7275633,38,51013,0
49.76923,38,51003,0
49.8108967,38,50994,0
49.8525633,37,50986,1
49.89423,37,50978,1
49.9358967,37,50970,0
49.9775633,37,50963,0
50.01923,37,50957,0
50.0608967,37,50952,0
50.1025633,37,50947,1
50.14423,37,50943,0
50.1858967,37,50939,1
50.2275633,37,50937,0
50.26923,37,50934,0
50.3108967,37,50932,0
50.3525633,36,50931,1
50.39423,36,50931,1
50.4358967,36,50930,2
50.4775633,36,50930,0
50.51923,36,50931,9
50.5608967,36,50932,21
50.6025633,36,50933,7
50.64423,36,50935,49
50.6858967,36,50937,7
50.7275633,36,50940,3
50.76923,36,50942,7
50.8108967,36,50945,9
50.8525633,36,50948,33
50.89423,36,50951,66
50.9358967,35,50955,71
50.9775633,35,50958,102
51.01923,35,50962,127
51.0608967,35,50965,53
51.1025633,35,50969,26
51.14423,35,50973,13
51.1858967,35,50977,37
51.2275633,35,50981,33
51.26923,35,50986,26
51.3108967,35,50990,16
51.3525633,35,50995,12
51.39423,35,51000,12
51.4358967,35,51006,3
51.4775633,35,51011,4
51.51923,35,51017,9
51.5608967,35,51023,2
51.6025633,36,51030,1
51.64423,36,51036,0
51.6858967,36,51044,4
51.7275633,36,51051,0
51.76923,36,51059,0
51.8108967,36,51067,0
51.8525633,36,51076,0
51.89423,36,51085,0
51.9358967,36,51094,0
51.9775633,36,51104,0
52.01923,37,51115,0
52.0608967,37,51126,0
52.1025633,37,51137,0
52.14423,37,51149,2
52.1858967,37,51161,3
52.2275633,37,51173,0
52.26923,38,51186,5
52.3108967,38,51199,8
52.3525633,38,51212,8
52.39423,38,51225,0
52.43589670000001,38,51239,0
52.47756329999999,39,51252,1
52.51923000000001,39,51266,1
52.56089670000001,39,51279,0
52.60256329999999,39,51292,5
52.64423000000001,39,51306,8
52.68589670000001,39,51319,19
52.72756329999999,39,51332,41
52.76923000000001,40,51345,86
52.81089670000001,40,51357,96
52.85256329999999,40,51370,93
52.89423000000001,40,51381,141
52.93589670000001,40,51393,70
52.97756329999999,40,51404,20
53.01923000000001,40,51415,9
53.06089670000001,40,51425,10
53.10256329999999,40,51435,7
53.14423000000001,39,51444,10
53.18589670000001,39,51453,2
53.22756329999999,39,51462,13
53.26923000000001,39,51470,15
53.31089670000001,39,51478,2
53.35256329999999,39,51485,15
53.39423000000001,39,51492,12
53.43589670000001,38,51499,9
53.47756329999999,38,51506,0
53.51923000000001,38,51512,0
53.56089670000001,38,51518,1
53.60256329999999,38,51524,0
53.64423000000001,37,51529,1
53.68589670000001,37,51535,0
53.72756329999999,37,51540,0
53.76923000000001,37,51545,2
53.81089670000001,36,51550,0
53.85256329999999,36,51554,0
53.89423000000001,36,51559,0
53.93589670000001,36,51563,0
53.97756329999999,36,51568,0
54.01923000000001,35,51572,0
54.06089670000001,35,51576,2
54.10256329999999,35,51580,0
54.14423000000001,35,51585,0
54.18589670000001,35,51589,0
54.22756329999999,35,51593,0
54.26923000000001,35,51597,0
54.31089670000001,35,51601,0
54.35256329999999,35,51605,0
54.39423000000001,34,51609,1
54.43589670000001,34,51613,0
54.47756329999999,34,51618,0
54.51923000000001,34,51622,0
54.56089670000001,34,51626,2
54.60256329999999,34,51631,2
54.64423000000001,34,51635,3
54.68589670000001,34,51640,0
54.72756329999999,34,51645,0
54.76923000000001,34,51650,0
54.81089670000001,34,51655,4
54.85256329999999,34,51660,0
54.89423000000001,34,51666,4
54.93589670000001,35,51671,1
54.97756329999999,35,51677,25
55.01923000000001,35,51683,127
55.06089670000001,35,51689,146
55.10256329999999,35,51695,246
55.14423000000001,35,51702,230
55.18589670000001,35,51708,96
55.22756329999999,35,51715,43
55.26923000000001,35,51722,17
55.31089670000001,35,51730,7
55.35256329999999,35,51737,7
55.39423000000001,36,51745,3
55.43589670000001,36,51752,2
55.47756329999999,36,51760,3
55.51923000000001,36,51768,4
55.56089670000001,36,51776,6
55.60256329999999,36,51785,4
55.64423000000001,36,51793,1
55.68589670000001,36,51802,1
55.72756329999999,36,51810,0
55.76923000000001,36,51819,4
55.81089670000001,37,51828,0
55.85256329999999,37,51837,1
55.89423000000001,37,51846,0
55.93589670000001,37,51856,0
55.97756329999999,37,51865,0
56.01923000000001,37,51874,0
56.06089670000001,37,51884,0
56.10256329999999,37,51893,0
56.14423000000001,37,51903,0
56.18589670000001,37,51913,0
56.22756329999999,37,51922,0
56.26923000000001,37,51932,0
56.31089670000001,37,51942,0
56.35256329999999,37,51952,0
56.39423000000001,37,51962,0
56.43589670000001,37,51972,0
56.47756329999999,37,51981,2
56.51923000000001,37,51991,2
56.56089670000001,37,52001,0
56.60256329999999,36,52011,0
56.64423000000001,36,52020,0
56.68589670000001,36,52030,1
56.72756329999999,36,52040,0
56.76923000000001,36,52049,0
56.81089670000001,36,52058,0
56.85256329999999,36,52068,0
56.89423000000001,36,52077,0
56.93589670000001,36,52086,0
56.97756329999999,36,52095,0
57.01923000000001,36,52104,2
57.06089670000001,36,52113,0
57.10256329999999,36,52122,1
57.14423000000001,36,52130,8
57.18589670000001,36,52139,5
57.22756329999999,36,52147,0
57.26923000000001,36,52156,37
57.31089670000001,36,52164,73
57.35256329999999,36,52172,167
57.39423000000001,36,52181,73
57.43589670000001,36,52189,103
57.47756329999999,36,52198,59
57.51923000000001,36,52207,52
57.56089670000001,36,52216,46
57.60256329999999,36,52224,21
57.64423000000001,36,52234,9
57.68589670000001,36,52243,0
57.72756329999999,36,52252,1
57.76923000000001,36,52262,0
57.81089670000001,36,52272,0
57.85256329999999,36,52282,0
57.89423000000001,37,52292,1
57.93589670000001,37,52303,7
57.97756329999999,37,52314,14
58.01923000000001,37,52325,2
58.06089670000001,37,52337,0
58.10256329999999,37,52349,0
58.14423000000001,37,52361,1
58.18589670000001,37,52374,0
58.22756329999999,37,52386,2
58.26923000000001,37,52399,0
58.31089670000001,38,52412,1
58.35256329999999,38,52426,1
58.39423000000001,38,52439,0
58.43589670000001,38,52453,2
58.47756329999999,38,52466,7
58.51923000000001,38,52480,31
58.56089670000001,38,52494,13
58.60256329999999,38,52508,43
58.64423000000001,38,52522,28
58.68589670000001,38,52536,17
58.72756329999999,39,52550,25
58.76923000000001,39,52564,12
58.81089670000001,39,52578,45
58.85256329999999,39,52592,44
58.89423000000001,39,52606,70
58.93589670000001,39,52619,53
58.97756329999999,39,52633,26
59.01923000000001,39,52646,83
59.06089670000001,39,52659,35
59.10256329999999,39,52672,30
59.14423000000001,39,52685,22
59.18589670000001,39,52698,20
59.22756329999999,39,52710,13
59.26923000000001,39,52722,0
59.31089670000001,39,52734,5
59.35256329999999,39,52745,0
59.39423000000001,39,52756,2
59.43589670000001,39,52766,3
59.47756329999999,39,52777,0
59.51923000000001,39,52786,4
59.56089670000001,39,52796,4
59.60256329999999,39,52804,6
59.64423000000001,39,52813,1
59.68589670000001,39,52820,0
59.72756329999999,39,52828,2
59.76923000000001,39,52834,0
59.81089670000001,39,52840,0
59.85256329999999,39,52846,1
59.89423000000001,39,52851,0
59.93589670000001,39,52855,0
59.97756329999999,39,52858,0
60.01923000000001,39,52861,4
60.06089670000001,39,52863,0
60.10256329999999,39,52865,0
60.14423000000001,39,52866,1
60.18589670000001,39,52867,0
60.22756329999999,40,52867,2
