time,births,population,reported_cases
44.01923,10,12641,0
44.0608967,10,12631,0
44.1025633,10,12623,0
44.14423,10,12615,0
44.1858967,10,12608,0
44.2275633,10,12601,0
44.26923,10,12596,0
44.3108967,10,12590,0
44.3525633,10,12586,0
44.39423,10,12582,0
44.4358967,10,12579,0
44.4775633,10,12577,0
44.51923,10,12575,0
44.5608967,10,12575,0
44.6025633,10,12574,0
44.64423,10,12575,0
44.6858967,10,12576,0
44.7275633,10,12578,0
44.76923,10,12581,0
44.8108967,10,12585,0
44.8525633,10,12589,0
44.89423,10,12594,0
44.9358967,10,12600,0
44.9775633,10,12606,0
45.01923,10,12613,2
45.0608967,10,12621,0
45.1025633,10,12630,0
45.14423,10,12640,1
45.1858967,10,12650,7
45.2275633,10,12661,4
45.26923,10,12672,9
45.3108967,10,12684,0
45.3525633,10,12697,0
45.39423,10,12710,4
45.4358967,10,12724,23
45.4775633,10,12738,76
45.51923,10,12753,74
45.5608967,11,12768,26
45.6025633,11,12783,7
45.64423,11,12799,5
45.6858967,11,12816,2
45.7275633,11,12833,0
45.76923,11,12850,2
45.8108967,11,12867,0
45.8525633,11,12885,0
45.89423,11,12903,0
45.9358967,11,12921,0
45.9775633,11,12940,0
46.01923,11,12959,0
46.0608967,11,12978,0
46.1025633,11,12996,0
46.14423,11,13015,0
46.1858967,11,13034,0
46.2275633,11,13053,0
46.26923,12,13072,0
46.3108967,12,13090,0
46.3525633,12,13108,0
46.39423,12,13126,0
46.4358967,12,13143,0
46.4775633,12,13159,0
46.51923,12,13175,0
46.5608967,12,13190,0
46.6025633,12,13205,0
46.64423,12,13218,0
46.6858967,12,13231,0
46.7275633,12,13243,0
46.76923,12,13253,0
46.8108967,12,13263,0
46.8525633,12,13271,0
46.89423,12,13278,0
46.9358967,12,13284,0
46.9775633,12,13288,2
47.01923,12,13291,0
47.0608967,12,13292,3
47.1025633,11,13292,0
47.14423,11,13291,0
47.1858967,11,13289,6
47.2275633,11,13285,5
47.26923,11,13281,9
47.3108967,11,13275,7
47.3525633,11,13269,22
47.39423,11,13262,39
47.4358967,10,13255,79
47.4775633,10,13247,59
47.51923,10,13239,12
47.5608967,10,13230,21
47.6025633,10,13222,2
47.64423,10,13213,0
47.6858967,10,13204,0
47.7275633,9,13196,0
47.76923,9,13187,0
47.8108967,9,13179,2
47.8525633,9,13172,0
47.89423,9,13165,0
47.9358967,9,13158,0
47.9775633,9,13153,0
48.01923,9,13148,0
48.0608967,9,13144,0
48.1025633,9,13141,0
48.14423,9,13138,0
48.1858967,9,13137,1
48.2275633,8,13135,5
48.26923,8,13135,4
48.3108967,8,13135,0
48.3525633,8,13136,0
48.39423,8,13137,0
48.4358967,8,13138,0
48.4775633,8,13140,0
48.51923,8,13142,0
48.5608967,8,13144,0
48.6025633,8,13147,7
48.64423,9,13149,1
48.6858967,9,13152,0
48.7275633,9,13155,0
48.76923,9,13158,0
48.8108967,9,13160,0
48.8525633,9,13163,0
48.89423,9,13165,0
48.9358967,9,13167,0
48.9775633,9,13169,0
49.01923,9,13171,0
49.0608967,9,13172,0
49.1025633,9,13173,1
49.14423,9,13173,0
49.1858967,9,13173,1
49.2275633,9,13173,0
49.26923,9,13173,0
49.3108967,9,13172,2
49.3525633,9,13170,0
49.39423,9,13169,0
49.4358967,10,13167,0
49.4775633,10,13165,0
49.51923,10,13162,0
49.5608967,10,13159,0
49.6025633,10,13156,0
49.64423,10,13153,0
49.6858967,10,13149,0
49.7275633,10,13145,0
49.76923,10,13140,0
49.8108967,10,13135,0
49.8525633,10,13130,0
49.89423,10,13125,1
49.9358967,10,13119,0
49.9775633,10,13113,0
50.01923,10,13107,0
50.0608967,9,13101,1
50.1025633,9,13094,11
50.14423,9,13087,9
50.1858967,9,13080,11
50.2275633,9,13072,12
50.26923,9,13065,11
50.3108967,9,13058,30
50.3525633,9,13050,38
50.39423,9,13043,12
50.4358967,9,13036,3
50.4775633,8,13029,1
50.51923,8,13022,4
50.5608967,8,13016,4
50.6025633,8,13009,3
50.64423,8,13003,1
50.6858967,8,12997,0
50.7275633,8,12992,0
50.76923,8,12987,0
50.8108967,8,12983,0
50.8525633,8,12979,0
50.89423,8,12976,0
50.9358967,7,12973,0
50.9775633,7,12971,0
51.01923,7,12969,0
51.0608967,7,12969,0
51.1025633,7,12969,0
51.14423,7,12969,0
51.1858967,7,12970,0
51.2275633,7,12972,0
51.26923,7,12974,0
51.3108967,7,12976,0
51.3525633,7,12979,0
51.39423,7,12982,0
51.4358967,8,12986,0
51.4775633,8,12990,0
51.51923,8,12994,0
51.5608967,8,12998,0
51.6025633,8,13002,1
51.64423,8,13006,0
51.6858967,8,13011,0
51.7275633,8,13015,0
51.76923,8,13019,0
51.8108967,8,13023,0
51.8525633,8,13027,0
51.89423,8,13031,0
51.9358967,8,13035,0
51.9775633,8,13038,0
52.01923,8,13041,0
52.0608967,8,13044,0
52.1025633,8,13047,0
52.14423,9,13049,0
52.1858967,9,13051,0
52.2275633,9,13052,0
52.26923,9,13054,0
52.3108967,9,13055,0
52.3525633,9,13057,0
52.39423,9,13058,0
52.43589670000001,9,13059,1
52.47756329999999,9,13060,37
52.51923000000001,9,13061,80
52.56089670000001,9,13062,59
52.60256329999999,9,13063,19
52.64423000000001,9,13064,2
52.68589670000001,9,13065,1
52.72756329999999,9,13067,0
52.76923000000001,9,13068,0
52.81089670000001,9,13070,0
52.85256329999999,9,13072,0
52.89423000000001,9,13074,0
52.93589670000001,9,13076,0
52.97756329999999,9,13078,0
53.01923000000001,9,13081,0
53.06089670000001,8,13085,15
53.10256329999999,8,13088,18
53.14423000000001,8,13092,13
53.18589670000001,8,13096,15
53.22756329999999,8,13100,9
53.26923000000001,8,13104,20
53.31089670000001,8,13108,0
53.35256329999999,8,13113,0
53.39423000000001,8,13117,0
53.43589670000001,8,13122,0
53.47756329999999,8,13126,0
53.51923000000001,8,13131,0
53.56089670000001,8,13135,2
53.60256329999999,8,13140,1
53.64423000000001,8,13144,0
53.68589670000001,8,13148,0
53.72756329999999,8,13152,0
53.76923000000001,8,13155,0
53.81089670000001,8,13159,0
53.85256329999999,8,13162,1
53.89423000000001,8,13165,0
53.93589670000001,8,13167,0
53.97756329999999,8,13169,0
54.01923000000001,8,13171,0
54.06089670000001,8,13172,0
54.10256329999999,8,13173,0
54.14423000000001,8,13173,0
54.18589670000001,8,13174,0
54.22756329999999,8,13174,0
54.26923000000001,8,13173,0
54.31089670000001,8,13173,0
54.35256329999999,8,13172,0
54.39423000000001,8,13171,0
54.43589670000001,8,13170,0
54.47756329999999,8,13169,2
54.51923000000001,8,13168,0
54.56089670000001,8,13167,2
54.60256329999999,8,13165,0
54.64423000000001,9,13164,7
54.68589670000001,9,13163,1
54.72756329999999,9,13162,2
54.76923000000001,9,13161,0
54.81089670000001,9,13161,20
54.85256329999999,9,13160,110
54.89423000000001,9,13160,27
54.93589670000001,9,13160,9
54.97756329999999,9,13160,9
55.01923000000001,9,13160,11
55.06089670000001,9,13161,3
55.10256329999999,9,13162,0
55.14423000000001,9,13164,0
55.18589670000001,9,13165,0
55.22756329999999,9,13167,0
55.26923000000001,9,13169,0
55.31089670000001,9,13171,0
55.35256329999999,8,13173,1
55.39423000000001,8,13175,8
55.43589670000001,8,13177,4
55.47756329999999,8,13179,0
55.51923000000001,8,13181,0
55.56089670000001,8,13183,2
55.60256329999999,8,13185,0
55.64423000000001,8,13187,1
55.68589670000001,8,13188,0
55.72756329999999,8,13189,0
55.76923000000001,8,13190,0
55.81089670000001,8,13191,0
55.85256329999999,8,13192,0
55.89423000000001,8,13192,0
55.93589670000001,8,13191,0
55.97756329999999,8,13191,0
56.01923000000001,8,13189,0
56.06089670000001,8,13188,0
56.10256329999999,8,13186,0
56.14423000000001,8,13183,0
56.18589670000001,8,13181,0
56.22756329999999,8,13178,0
56.26923000000001,8,13174,0
56.31089670000001,8,13171,0
56.35256329999999,8,13168,0
56.39423000000001,8,13164,0
56.43589670000001,8,13160,0
56.47756329999999,8,13157,0
56.51923000000001,8,13153,0
56.56089670000001,8,13150,0
56.60256329999999,8,13146,0
56.64423000000001,8,13143,0
56.68589670000001,8,13140,0
56.72756329999999,9,13137,2
56.76923000000001,9,13135,4
56.81089670000001,9,13133,11
56.85256329999999,9,13132,19
56.89423000000001,9,13130,34
56.93589670000001,9,13130,29
56.97756329999999,9,13130,96
57.01923000000001,9,13130,44
57.06089670000001,9,13131,0
57.10256329999999,9,13133,1
57.14423000000001,9,13135,0
57.18589670000001,9,13138,0
57.22756329999999,9,13141,0
57.26923000000001,9,13144,0
57.31089670000001,8,13148,1
57.35256329999999,8,13152,4
57.39423000000001,8,13156,0
57.43589670000001,8,13160,0
57.47756329999999,8,13165,1
57.51923000000001,8,13169,2
57.56089670000001,8,13174,0
57.60256329999999,8,13178,0
57.64423000000001,8,13183,2
57.68589670000001,8,13187,2
57.72756329999999,8,13191,0
57.76923000000001,8,13195,0
