time,births,population,reported_cases
44.01923,5,4873,0
44.0608967,5,4876,0
44.1025633,5,4879,0
44.14423,4,4882,0
44.1858967,4,4886,0
44.2275633,4,4890,0
44.26923,4,4895,0
44.3108967,4,4900,0
44.3525633,4,4905,0
44.39423,4,4910,0
44.4358967,4,4916,0
44.4775633,4,4922,0
44.51923,4,4928,0
44.5608967,4,4935,0
44.6025633,4,4941,0
44.64423,4,4948,1
44.6858967,4,4955,0
44.7275633,4,4962,0
44.76923,4,4969,0
44.8108967,4,4977,0
44.8525633,4,4984,0
44.89423,4,4991,4
44.9358967,4,4999,0
44.9775633,4,5006,0
45.01923,4,5013,0
45.0608967,4,5021,0
45.1025633,4,5028,0
45.14423,4,5035,5
45.1858967,4,5043,11
45.2275633,4,5050,19
45.26923,4,5057,27
45.3108967,4,5064,7
45.3525633,4,5072,4
45.39423,5,5079,0
45.4358967,5,5086,0
45.4775633,5,5093,0
45.51923,5,5100,0
45.5608967,5,5107,0
45.6025633,5,5113,0
45.64423,5,5120,0
45.6858967,5,5127,0
45.7275633,5,5134,0
45.76923,5,5140,0
45.8108967,5,5147,0
45.8525633,5,5153,0
45.89423,5,5159,0
45.9358967,5,5166,0
45.9775633,5,5172,0
46.01923,6,5178,0
46.0608967,6,5184,0
46.1025633,6,5190,0
46.14423,6,5196,0
46.1858967,6,5202,0
46.2275633,6,5207,0
46.26923,6,5213,0
46.3108967,6,5220,2
46.3525633,6,5226,0
46.39423,6,5232,0
46.4358967,6,5239,0
46.4775633,6,5245,0
46.51923,6,5252,0
46.5608967,6,5260,0
46.6025633,6,5267,0
46.64423,6,5275,0
46.6858967,6,5283,0
46.7275633,6,5291,0
46.76923,6,5300,0
46.8108967,6,5310,0
46.8525633,6,5319,0
46.89423,6,5330,0
46.9358967,6,5340,0
46.9775633,6,5352,0
47.01923,6,5364,0
47.0608967,6,5376,0
47.1025633,5,5389,0
47.14423,5,5402,0
47.1858967,5,5416,0
47.2275633,5,5430,4
47.26923,5,5444,3
47.3108967,5,5458,0
47.3525633,5,5473,0
47.39423,5,5488,0
47.4358967,5,5502,2
47.4775633,5,5517,0
47.51923,5,5531,0
47.5608967,5,5545,0
47.6025633,5,5559,0
