time,births,population,reported_cases
44.01923,4,5370,0
44.0608967,4,5332,0
44.1025633,4,5295,0
44.14423,4,5259,9
44.1858967,4,5222,134
44.2275633,4,5186,73
44.26923,4,5150,23
44.3108967,4,5115,8
44.3525633,4,5080,3
44.39423,4,5046,5
44.4358967,4,5013,3
44.4775633,4,4980,0
44.51923,4,4948,0
44.5608967,4,4917,0
44.6025633,4,4887,3
44.64423,4,4857,0
44.6858967,4,4829,0
44.7275633,4,4802,0
44.76923,4,4776,0
44.8108967,4,4751,0
44.8525633,4,4728,0
44.89423,3,4705,0
44.9358967,3,4684,2
44.9775633,3,4665,35
45.01923,3,4647,7
45.0608967,3,4630,0
45.1025633,3,4615,2
45.14423,3,4602,10
45.1858967,3,4590,1
45.2275633,3,4580,1
45.26923,3,4571,5
45.3108967,3,4563,4
45.3525633,3,4557,0
45.39423,3,4553,2
45.4358967,3,4550,0
45.4775633,3,4548,0
45.51923,3,4548,0
45.5608967,3,4550,0
45.6025633,3,4553,0
45.64423,3,4557,0
45.6858967,3,4563,0
45.7275633,3,4571,0
45.76923,3,4580,0
45.8108967,3,4590,0
45.8525633,3,4602,0
45.89423,3,4615,0
45.9358967,3,4630,0
45.9775633,3,4647,0
46.01923,3,4664,0
46.0608967,3,4684,0
46.1025633,3,4704,0
46.14423,3,4726,0
46.1858967,3,4748,0
46.2275633,3,4771,0
46.26923,3,4795,0
46.3108967,3,4820,0
46.3525633,4,4845,0
46.39423,4,4870,0
46.4358967,4,4896,0
46.4775633,4,4921,0
46.51923,4,4947,0
46.5608967,4,4972,0
46.6025633,4,4996,0
46.64423,4,5020,0
46.6858967,4,5044,0
46.7275633,4,5066,2
46.76923,4,5088,0
46.8108967,4,5108,0
46.8525633,4,5127,0
46.89423,4,5145,0
46.9358967,4,5161,0
46.9775633,4,5176,0
47.01923,4,5189,0
47.0608967,4,5200,0
47.1025633,4,5209,0
47.14423,4,5216,9
47.1858967,4,5222,23
47.2275633,4,5227,9
