time,births,population,reported_cases
44.01923,15,16874,0
44.0608967,14,16860,0
44.1025633,14,16846,0
44.14423,14,16832,0
44.1858967,13,16818,0
44.2275633,13,16804,0
44.26923,13,16790,2
44.3108967,13,16775,0
44.3525633,12,16762,0
44.39423,12,16748,1
44.4358967,12,16735,2
44.4775633,12,16721,0
44.51923,12,16709,4
44.5608967,12,16697,2
44.6025633,12,16685,0
44.64423,11,16674,0
44.6858967,11,16663,0
44.7275633,11,16653,0
44.76923,11,16644,0
44.8108967,11,16636,0
44.8525633,11,16628,0
44.89423,11,16622,0
44.9358967,11,16616,0
44.9775633,11,16612,0
45.01923,11,16609,0
45.0608967,11,16606,4
45.1025633,11,16605,8
45.14423,12,16605,24
45.1858967,12,16607,9
45.2275633,12,16609,8
45.26923,12,16613,0
45.3108967,12,16618,2
45.3525633,12,16624,4
45.39423,12,16631,2
45.4358967,12,16640,1
45.4775633,12,16650,0
45.51923,13,16661,0
45.5608967,13,16674,2
45.6025633,13,16687,8
45.64423,13,16703,3
45.6858967,13,16719,0
45.7275633,13,16737,0
45.76923,13,16757,0
45.8108967,14,16778,0
45.8525633,14,16800,1
45.89423,14,16823,0
45.9358967,14,16849,0
45.9775633,14,16875,0
46.01923,14,16903,0
46.0608967,15,16933,0
46.1025633,15,16963,0
46.14423,15,16995,0
46.1858967,15,17028,0
46.2275633,15,17063,0
46.26923,15,17097,0
46.3108967,15,17133,0
46.3525633,16,17169,1
46.39423,16,17206,0
46.4358967,16,17243,0
46.4775633,16,17280,0
46.51923,16,17318,0
46.5608967,16,17355,0
46.6025633,16,17392,0
46.64423,16,17430,0
46.6858967,16,17466,0
46.7275633,16,17503,0
46.76923,16,17538,0
46.8108967,16,17573,2
46.8525633,17,17607,11
46.89423,17,17641,43
46.9358967,17,17673,15
46.9775633,17,17704,34
47.01923,17,17734,17
47.0608967,17,17762,3
47.1025633,17,17789,6
47.14423,16,17815,6
47.1858967,16,17839,1
47.2275633,16,17862,0
47.26923,16,17884,0
47.3108967,16,17905,1
47.3525633,16,17925,1
47.39423,16,17943,0
47.4358967,16,17961,0
47.4775633,16,17977,1
47.51923,16,17992,2
47.5608967,16,18006,3
47.6025633,16,18020,2
47.64423,15,18032,0
47.6858967,15,18043,3
47.7275633,15,18053,8
47.76923,15,18063,21
47.8108967,15,18071,25
47.8525633,15,18079,13
47.89423,15,18086,23
47.9358967,15,18092,27
47.9775633,15,18097,9
48.01923,14,18102,4
48.0608967,14,18106,4
48.1025633,14,18109,6
48.14423,14,18112,13
48.1858967,14,18114,6
48.2275633,14,18116,3
48.26923,14,18118,0
48.3108967,14,18119,0
48.3525633,14,18120,0
48.39423,14,18121,2
48.4358967,14,18123,3
48.4775633,14,18124,2
48.51923,13,18125,2
48.5608967,13,18127,1
48.6025633,13,18129,4
48.64423,13,18131,2
48.6858967,13,18134,5
48.7275633,13,18138,0
48.76923,13,18142,2
48.8108967,13,18147,6
48.8525633,13,18152,1
48.89423,13,18159,2
48.9358967,13,18166,0
48.9775633,13,18175,0
49.01923,13,18185,2
49.0608967,13,18195,0
49.1025633,13,18207,0
49.14423,13,18220,1
49.1858967,13,18233,3
49.2275633,13,18247,0
49.26923,13,18262,0
49.3108967,13,18277,0
49.3525633,13,18293,4
49.39423,13,18309,3
49.4358967,13,18325,1
49.4775633,13,18341,0
49.51923,13,18358,0
49.5608967,13,18374,0
49.6025633,13,18390,0
49.64423,13,18405,0
49.6858967,13,18420,0
49.7275633,13,18435,0
49.76923,13,18449,0
49.8108967,13,18462,0
49.8525633,13,18474,0
49.89423,13,18486,0
49.9358967,13,18496,0
