time,births,population,reported_cases
44.01923,5,6577,0
44.0608967,5,6544,0
44.1025633,5,6514,0
44.14423,5,6488,0
44.1858967,5,6464,1
44.2275633,5,6443,0
44.26923,5,6425,0
44.3108967,5,6409,0
44.3525633,5,6395,0
44.39423,5,6384,0
44.4358967,5,6375,0
44.4775633,5,6368,4
44.51923,5,6362,0
44.5608967,5,6358,0
44.6025633,5,6356,0
44.64423,5,6355,0
44.6858967,5,6356,0
44.7275633,5,6357,0
44.76923,5,6359,0
44.8108967,5,6363,0
44.8525633,5,6367,0
44.89423,5,6371,1
44.9358967,5,6376,3
44.9775633,5,6381,0
45.01923,5,6386,0
45.0608967,5,6392,0
45.1025633,5,6397,2
45.14423,5,6402,7
45.1858967,5,6407,32
45.2275633,5,6412,27
45.26923,5,6417,31
45.3108967,5,6421,8
45.3525633,5,6425,3
45.39423,5,6428,0
45.4358967,5,6431,0
45.4775633,5,6433,0
45.51923,5,6435,0
45.5608967,5,6436,0
45.6025633,5,6437,1
45.64423,5,6436,0
45.6858967,5,6435,0
45.7275633,5,6433,0
45.76923,5,6430,0
45.8108967,5,6426,0
45.8525633,5,6421,0
45.89423,5,6414,0
45.9358967,5,6407,0
45.9775633,5,6398,0
46.01923,5,6388,0
46.0608967,5,6377,0
46.1025633,5,6365,0
46.14423,5,6351,0
46.1858967,5,6337,0
46.2275633,5,6322,0
46.26923,5,6307,0
46.3108967,5,6291,0
46.3525633,5,6275,0
46.39423,5,6259,0
46.4358967,5,6243,0
46.4775633,5,6227,0
46.51923,5,6211,0
46.5608967,5,6196,0
46.6025633,5,6181,0
46.64423,5,6168,0
46.6858967,5,6155,0
46.7275633,5,6143,0
46.76923,5,6132,0
46.8108967,5,6123,0
46.8525633,5,6115,0
46.89423,5,6109,0
46.9358967,5,6104,0
46.9775633,5,6102,0
47.01923,5,6101,0
47.0608967,5,6102,0
47.1025633,5,6106,0
47.14423,5,6111,0
47.1858967,5,6118,4
47.2275633,5,6126,6
47.26923,5,6135,11
47.3108967,5,6146,6
47.3525633,5,6158,15
47.39423,5,6170,2
47.4358967,5,6183,42
47.4775633,5,6197,3
47.51923,5,6211,0
47.5608967,5,6225,1
47.6025633,5,6239,0
47.64423,5,6254,0
47.6858967,5,6268,0
47.7275633,5,6281,0
47.76923,5,6294,0
47.8108967,5,6307,0
47.8525633,5,6318,0
47.89423,5,6329,0
47.9358967,5,6338,0
47.9775633,5,6346,1
48.01923,5,6353,0
48.0608967,5,6358,0
48.1025633,5,6362,0
48.14423,5,6364,0
48.1858967,5,6366,0
48.2275633,5,6366,4
48.26923,5,6366,4
48.3108967,5,6364,20
48.3525633,5,6363,171
48.39423,5,6360,49
48.4358967,5,6357,1
48.4775633,6,6354,0
48.51923,6,6351,2
48.5608967,6,6348,0
48.6025633,6,6344,0
48.64423,6,6341,2
48.6858967,6,6338,0
48.7275633,6,6336,0
48.76923,6,6334,0
48.8108967,6,6333,0
48.8525633,6,6333,0
48.89423,6,6334,1
48.9358967,6,6335,0
48.9775633,6,6338,0
49.01923,6,6342,2
49.0608967,6,6347,3
49.1025633,6,6354,3
49.14423,6,6362,9
49.1858967,6,6370,15
49.2275633,6,6380,7
49.26923,6,6390,0
49.3108967,6,6401,2
49.3525633,6,6413,0
49.39423,5,6425,1
49.4358967,5,6438,0
49.4775633,5,6451,0
49.51923,5,6465,0
49.5608967,5,6478,0
49.6025633,5,6492,0
49.64423,5,6506,0
49.6858967,5,6520,0
49.7275633,5,6533,4
49.76923,5,6546,2
49.8108967,5,6559,0
49.8525633,5,6571,0
49.89423,5,6583,0
49.9358967,5,6594,0
49.9775633,5,6605,0
50.01923,5,6614,0
