time,births,population,reported_cases
44.01923,4,4706,0
44.0608967,4,4693,0
44.1025633,4,4680,0
44.14423,4,4669,0
44.1858967,4,4659,0
44.2275633,4,4651,0
44.26923,3,4643,0
44.3108967,3,4637,0
44.3525633,3,4632,0
44.39423,3,4627,0
44.4358967,3,4624,0
44.4775633,3,4622,0
44.51923,3,4620,0
44.5608967,3,4620,0
44.6025633,3,4620,1
44.64423,3,4621,0
44.6858967,3,4623,0
44.7275633,3,4625,0
44.76923,3,4628,0
44.8108967,3,4631,0
44.8525633,3,4635,0
44.89423,3,4640,1
44.9358967,3,4645,0
44.9775633,3,4650,0
45.01923,3,4656,0
45.0608967,3,4662,14
45.1025633,3,4668,58
45.14423,3,4674,42
45.1858967,3,4681,8
45.2275633,3,4688,7
45.26923,3,4695,7
45.3108967,3,4702,1
45.3525633,3,4710,3
45.39423,3,4717,0
45.4358967,3,4725,0
45.4775633,3,4732,0
45.51923,4,4740,0
45.5608967,4,4747,0
45.6025633,4,4755,0
45.64423,4,4762,0
45.6858967,4,4769,0
45.7275633,4,4776,0
45.76923,4,4783,0
45.8108967,4,4790,0
45.8525633,4,4797,0
45.89423,4,4803,0
45.9358967,4,4809,0
45.9775633,4,4815,0
46.01923,4,4820,0
46.0608967,4,4826,0
46.1025633,4,4831,0
46.14423,4,4835,0
46.1858967,4,4839,0
46.2275633,4,4844,0
46.26923,4,4847,0
46.3108967,4,4851,0
46.3525633,4,4855,0
46.39423,4,4858,1
46.4358967,4,4861,1
46.4775633,4,4865,0
46.51923,4,4868,0
46.5608967,4,4871,0
46.6025633,4,4874,0
46.64423,4,4877,0
46.6858967,4,4880,0
46.7275633,4,4883,0
46.76923,4,4887,0
46.8108967,4,4890,0
46.8525633,4,4893,0
46.89423,4,4897,0
46.9358967,4,4901,0
46.9775633,4,4905,0
47.01923,4,4909,0
47.0608967,4,4913,1
47.1025633,4,4918,0
47.14423,4,4923,0
47.1858967,4,4928,0
47.2275633,4,4933,0
47.26923,4,4938,0
47.3108967,4,4943,0
47.3525633,4,4949,0
47.39423,4,4954,0
47.4358967,4,4960,0
47.4775633,4,4965,9
47.51923,4,4970,8
47.5608967,4,4976,35
47.6025633,4,4981,10
47.64423,4,4987,0
47.6858967,4,4992,4
47.7275633,4,4997,0
47.76923,4,5002,0
47.8108967,4,5007,0
47.8525633,4,5011,0
47.89423,4,5016,0
47.9358967,4,5020,0
47.9775633,4,5024,0
48.01923,4,5028,0
48.0608967,4,5031,0
48.1025633,4,5034,0
48.14423,4,5037,0
48.1858967,4,5040,0
