time,births,population,reported_cases
44.01923,51,62628,4
44.0608967,50,62380,3
44.1025633,49,62181,2
44.14423,48,62030,1
44.1858967,48,61924,3
44.2275633,47,61862,3
44.26923,47,61841,2
44.3108967,46,61859,1
44.3525633,46,61914,11
44.39423,46,62005,21
44.4358967,45,62129,36
44.4775633,45,62285,18
44.51923,45,62469,30
44.5608967,45,62681,6
44.6025633,44,62918,1
44.64423,44,63178,0
44.6858967,44,63459,0
44.7275633,44,63759,6
44.76923,44,64076,9
44.8108967,44,64408,5
44.8525633,45,64754,2
44.89423,45,65110,12
44.9358967,45,65475,27
44.9775633,45,65847,34
45.01923,45,66225,30
45.0608967,46,66605,21
45.1025633,46,66987,38
45.14423,46,67371,67
45.1858967,47,67755,65
45.2275633,47,68137,134
45.26923,47,68517,178
45.3108967,48,68893,77
45.3525633,48,69265,54
45.39423,49,69631,44
45.4358967,49,69990,17
45.4775633,49,70340,24
45.51923,50,70682,9
45.5608967,50,71014,0
45.6025633,51,71334,1
45.64423,51,71641,2
45.6858967,52,71935,1
45.7275633,52,72213,2
45.76923,53,72476,4
45.8108967,53,72722,3
45.8525633,54,72949,0
45.89423,54,73157,0
45.9358967,55,73344,0
45.9775633,55,73510,2
46.01923,56,73653,0
46.0608967,56,73773,1
46.1025633,57,73872,5
46.14423,57,73952,1
46.1858967,57,74012,4
46.2275633,58,74056,18
46.26923,58,74085,71
46.3108967,58,74100,64
46.3525633,59,74102,35
46.39423,59,74093,55
46.4358967,59,74074,77
46.4775633,60,74048,69
46.51923,60,74014,92
46.5608967,60,73976,15
46.6025633,60,73934,12
46.64423,60,73890,15
46.6858967,60,73845,9
46.7275633,60,73800,1
46.76923,60,73758,2
46.8108967,60,73719,1
46.8525633,60,73686,0
46.89423,60,73659,1
46.9358967,60,73640,4
46.9775633,60,73631,6
47.01923,59,73632,34
47.0608967,59,73645,21
47.1025633,59,73668,22
47.14423,58,73701,15
47.1858967,58,73744,8
47.2275633,57,73794,14
47.26923,57,73852,17
47.3108967,56,73916,14
47.3525633,56,73986,10
47.39423,55,74061,9
47.4358967,55,74140,57
47.4775633,54,74223,32
47.51923,53,74308,22
47.5608967,53,74395,18
47.6025633,52,74483,33
47.64423,52,74572,16
47.6858967,51,74659,4
47.7275633,50,74746,1
47.76923,50,74830,2
47.8108967,49,74911,0
47.8525633,49,74988,0
47.89423,48,75061,1
47.9358967,48,75129,0
47.9775633,47,75190,3
48.01923,47,75244,9
48.0608967,47,75291,19
48.1025633,46,75332,113
48.14423,46,75366,174
48.1858967,46,75394,146
48.2275633,46,75417,54
48.26923,45,75436,191
48.3108967,45,75450,86
48.3525633,45,75460,74
48.39423,45,75466,82
48.4358967,45,75470,51
48.4775633,45,75471,12
48.51923,45,75471,13
48.5608967,45,75468,18
48.6025633,44,75465,10
48.64423,44,75461,5
48.6858967,44,75457,1
48.7275633,44,75453,3
48.76923,44,75450,2
48.8108967,44,75448,0
48.8525633,44,75449,2
48.89423,44,75451,0
48.9358967,44,75456,3
48.9775633,44,75464,6
49.01923,44,75476,24
49.0608967,44,75491,63
49.1025633,44,75510,74
49.14423,44,75532,125
49.1858967,44,75555,111
49.2275633,44,75581,84
49.26923,44,75607,21
49.3108967,43,75635,52
49.3525633,43,75663,21
49.39423,43,75691,39
49.4358967,43,75718,37
49.4775633,43,75745,24
49.51923,43,75769,15
49.5608967,43,75792,10
49.6025633,42,75812,4
49.64423,42,75830,0
49.6858967,42,75844,1
49.7275633,42,75854,0
49.76923,42,75859,6
49.8108967,42,75860,4
49.8525633,41,75856,1
49.89423,41,75845,1
49.9358967,41,75829,1
49.9775633,41,75805,0
50.01923,41,75775,4
50.0608967,41,75737,6
50.1025633,41,75693,7
50.14423,41,75643,10
50.1858967,40,75587,14
50.2275633,40,75526,39
50.26923,40,75460,21
50.3108967,40,75390,12
50.3525633,40,75317,7
50.39423,40,75241,17
50.4358967,40,75163,16
