time,births,population,reported_cases
44.01923,17,17633,0
44.0608967,17,17622,0
44.1025633,16,17615,0
44.14423,16,17612,0
44.1858967,16,17612,1
44.2275633,16,17616,0
44.26923,16,17624,0
44.3108967,16,17635,0
44.3525633,16,17649,0
44.39423,16,17665,0
44.4358967,15,17685,0
44.4775633,15,17707,0
44.51923,15,17731,0
44.5608967,15,17757,0
44.6025633,15,17785,0
44.64423,15,17815,0
44.6858967,15,17846,0
44.7275633,15,17878,0
44.76923,15,17912,2
44.8108967,15,17947,0
44.8525633,15,17982,0
44.89423,15,18018,6
44.9358967,14,18054,15
44.9775633,14,18090,7
45.01923,14,18127,0
45.0608967,14,18163,0
45.1025633,14,18199,23
45.14423,14,18234,33
45.1858967,14,18270,21
45.2275633,14,18304,23
45.26923,14,18338,27
45.3108967,14,18371,1
45.3525633,14,18404,0
45.39423,14,18435,1
45.4358967,14,18466,3
45.4775633,14,18496,3
45.51923,14,18524,0
45.5608967,14,18551,0
45.6025633,15,18577,0
45.64423,15,18602,0
45.6858967,15,18625,0
45.7275633,15,18646,0
45.76923,15,18666,0
45.8108967,15,18683,0
45.8525633,15,18699,0
45.89423,15,18714,0
45.9358967,15,18726,0
45.9775633,15,18736,0
46.01923,15,18743,0
46.0608967,16,18749,0
46.1025633,16,18752,0
46.14423,16,18754,0
46.1858967,16,18754,0
46.2275633,16,18753,0
46.26923,16,18751,0
46.3108967,16,18747,0
46.3525633,16,18742,1
46.39423,17,18737,0
46.4358967,17,18732,0
46.4775633,17,18726,0
46.51923,17,18720,0
46.5608967,17,18714,2
46.6025633,17,18708,0
46.64423,17,18702,2
46.6858967,17,18698,0
46.7275633,17,18694,0
46.76923,18,18691,0
46.8108967,18,18689,2
46.8525633,18,18688,0
46.89423,18,18689,0
46.9358967,18,18692,0
46.9775633,18,18697,0
47.01923,18,18703,0
47.0608967,18,18712,2
47.1025633,18,18723,9
47.14423,18,18736,9
47.1858967,18,18750,49
47.2275633,18,18766,12
47.26923,17,18783,0
47.3108967,17,18802,2
47.3525633,17,18821,8
47.39423,17,18842,12
