time,births,population,reported_cases
44.01923,125,126691,0
44.0608967,122,126244,0
44.1025633,120,125863,0
44.14423,118,125543,0
44.1858967,117,125283,0
44.2275633,115,125081,0
44.26923,114,124933,0
44.3108967,113,124838,0
44.3525633,112,124793,0
44.39423,111,124795,0
44.4358967,111,124842,0
44.4775633,110,124931,0
44.51923,110,125060,0
44.5608967,110,125226,0
44.6025633,110,125428,13
44.64423,110,125662,1
44.6858967,111,125925,14
44.7275633,111,126216,8
44.76923,112,126532,33
44.8108967,112,126871,101
44.8525633,113,127229,137
44.89423,114,127605,217
44.9358967,115,127996,290
44.9775633,116,128399,352
45.01923,117,128812,386
45.0608967,118,129233,294
45.1025633,119,129660,199
45.14423,120,130093,122
45.1858967,122,130529,53
45.2275633,123,130968,45
45.26923,124,131407,33
45.3108967,126,131845,14
45.3525633,127,132282,17
45.39423,129,132715,12
45.4358967,130,133143,20
45.4775633,132,133565,44
45.51923,133,133979,9
45.5608967,135,134384,9
45.6025633,136,134779,6
45.64423,137,135161,1
45.6858967,139,135530,1
45.7275633,140,135883,2
45.76923,142,136221,7
45.8108967,143,136541,2
45.8525633,144,136841,0
45.89423,145,137121,0
45.9358967,147,137379,0
45.9775633,148,137614,0
46.01923,149,137824,0
46.0608967,150,138009,0
46.1025633,151,138170,4
46.14423,152,138311,2
46.1858967,153,138431,1
46.2275633,153,138534,3
46.26923,154,138620,4
46.3108967,155,138692,4
46.3525633,155,138751,0
46.39423,156,138798,2
46.4358967,156,138837,2
46.4775633,157,138867,1
46.51923,157,138892,9
46.5608967,157,138912,8
46.6025633,158,138930,7
46.64423,158,138947,15
46.6858967,158,138964,15
46.7275633,158,138984,14
46.76923,158,139009,2
46.8108967,158,139039,14
46.8525633,158,139078,72
46.89423,158,139125,113
46.9358967,158,139184,102
46.9775633,158,139256,293
47.01923,158,139342,688
47.0608967,157,139443,945
47.1025633,157,139558,640
47.14423,157,139685,278
47.1858967,156,139825,66
47.2275633,156,139976,10
47.26923,156,140136,13
47.3108967,155,140304,5
47.3525633,155,140481,4
47.39423,154,140664,9
47.4358967,154,140852,7
47.4775633,153,141045,8
47.51923,153,141241,8
47.5608967,152,141439,6
47.6025633,151,141639,8
47.64423,151,141839,10
47.6858967,150,142038,5
47.7275633,150,142234,10
47.76923,149,142428,3
47.8108967,148,142618,11
47.8525633,148,142803,15
47.89423,147,142982,23
47.9358967,146,143153,45
47.9775633,146,143316,90
48.01923,145,143470,119
48.0608967,144,143614,107
48.1025633,144,143748,112
48.14423,143,143874,141
48.1858967,143,143991,121
48.2275633,142,144099,101
48.26923,141,144200,67
48.3108967,141,144293,87
48.3525633,140,144378,49
48.39423,140,144457,37
48.4358967,139,144530,48
48.4775633,139,144596,34
48.51923,138,144656,39
48.5608967,138,144711,34
48.6025633,137,144761,22
48.64423,137,144806,14
48.6858967,137,144847,19
48.7275633,136,144883,17
48.76923,136,144916,13
48.8108967,136,144946,9
48.8525633,135,144973,35
48.89423,135,144997,27
48.9358967,135,145019,50
48.9775633,135,145040,59
49.01923,135,145059,111
49.0608967,135,145076,49
49.1025633,135,145093,114
49.14423,135,145108,180
49.1858967,135,145123,321
49.2275633,135,145137,225
49.26923,135,145151,249
49.3108967,135,145165,280
49.3525633,135,145179,150
49.39423,135,145192,121
49.4358967,135,145206,80
49.4775633,136,145220,57
49.51923,136,145235,15
49.5608967,136,145251,9
49.6025633,136,145267,12
49.64423,136,145285,7
49.6858967,136,145304,4
49.7275633,136,145324,5
49.76923,137,145345,2
49.8108967,137,145369,4
49.8525633,137,145394,1
49.89423,137,145421,4
49.9358967,137,145450,3
49.9775633,137,145482,6
50.01923,137,145516,4
50.0608967,137,145553,11
50.1025633,137,145592,11
50.14423,137,145633,4
50.1858967,137,145676,9
50.2275633,136,145720,3
50.26923,136,145766,30
50.3108967,136,145814,20
50.3525633,136,145862,33
50.39423,136,145911,54
50.4358967,136,145961,65
50.4775633,135,146012,67
50.51923,135,146062,59
50.5608967,135,146113,69
50.6025633,135,146164,37
50.64423,134,146214,13
50.6858967,134,146264,30
50.7275633,134,146313,16
50.76923,134,146361,17
50.8108967,134,146407,59
50.8525633,133,146453,46
50.89423,133,146497,30
50.9358967,133,146539,68
50.9775633,133,146579,61
51.01923,133,146617,35
51.0608967,133,146653,133
51.1025633,133,146687,206
51.14423,133,146719,392
51.1858967,133,146749,542
51.2275633,133,146777,638
51.26923,133,146805,423
51.3108967,133,146830,278
51.3525633,133,146855,248
51.39423,134,146878,207
51.4358967,134,146901,130
51.4775633,134,146923,92
51.51923,134,146945,39
51.5608967,134,146966,29
51.6025633,134,146986,30
51.64423,135,147007,29
51.6858967,135,147028,24
51.7275633,135,147049,28
51.76923,135,147070,15
51.8108967,136,147092,5
51.8525633,136,147114,4
51.89423,136,147137,2
51.9358967,136,147161,1
51.9775633,136,147186,0
52.01923,137,147212,4
52.0608967,137,147240,3
52.1025633,137,147269,6
52.14423,137,147298,6
52.1858967,137,147329,2
52.2275633,138,147360,4
52.26923,138,147392,8
52.3108967,138,147424,4
52.3525633,138,147456,6
52.39423,138,147489,12
52.43589670000001,138,147522,7
52.47756329999999,138,147554,19
52.51923000000001,138,147587,16
52.56089670000001,139,147619,26
52.60256329999999,139,147650,36
52.64423000000001,139,147681,26
52.68589670000001,139,147711,41
52.72756329999999,139,147741,27
52.76923000000001,139,147769,76
52.81089670000001,139,147796,237
52.85256329999999,139,147821,600
52.89423000000001,139,147846,789
52.93589670000001,139,147868,602
52.97756329999999,139,147889,355
53.01923000000001,138,147909,297
53.06089670000001,138,147926,288
53.10256329999999,138,147941,143
53.14423000000001,138,147955,79
53.18589670000001,138,147968,40
53.22756329999999,138,147979,38
53.26923000000001,137,147989,17
53.31089670000001,137,147998,8
53.35256329999999,137,148006,18
53.39423000000001,137,148013,9
53.43589670000001,137,148019,4
53.47756329999999,136,148025,20
53.51923000000001,136,148030,9
53.56089670000001,136,148035,13
53.60256329999999,136,148040,14
53.64423000000001,135,148045,14
53.68589670000001,135,148049,12
53.72756329999999,135,148054,0
53.76923000000001,135,148060,0
53.81089670000001,135,148065,1
53.85256329999999,134,148072,3
53.89423000000001,134,148078,4
53.93589670000001,134,148086,1
53.97756329999999,134,148095,13
54.01923000000001,134,148105,11
54.06089670000001,133,148116,4
54.10256329999999,133,148128,2
54.14423000000001,133,148141,10
54.18589670000001,133,148155,25
54.22756329999999,133,148171,37
54.26923000000001,133,148188,78
54.31089670000001,133,148206,109
54.35256329999999,133,148225,126
54.39423000000001,133,148246,197
54.43589670000001,133,148268,370
54.47756329999999,133,148291,345
54.51923000000001,133,148316,206
54.56089670000001,133,148342,204
54.60256329999999,133,148369,95
54.64423000000001,133,148397,55
54.68589670000001,133,148427,34
54.72756329999999,134,148459,22
54.76923000000001,134,148492,22
54.81089670000001,134,148526,22
54.85256329999999,134,148562,27
54.89423000000001,134,148599,23
54.93589670000001,135,148638,46
54.97756329999999,135,148678,24
55.01923000000001,135,148719,24
55.06089670000001,135,148763,29
55.10256329999999,136,148807,53
55.14423000000001,136,148853,68
55.18589670000001,136,148900,77
55.22756329999999,137,148948,62
55.26923000000001,137,148997,72
55.31089670000001,138,149047,138
55.35256329999999,138,149097,72
55.39423000000001,138,149148,127
55.43589670000001,139,149200,82
55.47756329999999,139,149252,122
55.51923000000001,140,149305,130
55.56089670000001,140,149357,113
55.60256329999999,140,149410,90
55.64423000000001,141,149463,34
55.68589670000001,141,149516,27
55.72756329999999,142,149568,26
55.76923000000001,142,149621,54
55.81089670000001,143,149673,38
55.85256329999999,143,149724,43
55.89423000000001,143,149775,52
55.93589670000001,144,149825,48
55.97756329999999,144,149874,43
56.01923000000001,145,149922,93
56.06089670000001,145,149970,76
56.10256329999999,145,150016,74
56.14423000000001,146,150062,96
56.18589670000001,146,150107,128
56.22756329999999,146,150152,137
56.26923000000001,147,150196,102
56.31089670000001,147,150240,73
56.35256329999999,147,150283,119
56.39423000000001,148,150327,100
56.43589670000001,148,150370,87
56.47756329999999,148,150413,75
56.51923000000001,149,150457,54
56.56089670000001,149,150500,45
56.60256329999999,149,150545,40
56.64423000000001,150,150589,50
56.68589670000001,150,150634,53
56.72756329999999,150,150680,47
56.76923000000001,151,150726,72
56.81089670000001,151,150773,197
56.85256329999999,151,150821,181
56.89423000000001,152,150870,150
56.93589670000001,152,150920,113
56.97756329999999,153,150972,63
57.01923000000001,153,151024,9
57.06089670000001,154,151078,23
57.10256329999999,154,151134,50
57.14423000000001,155,151190,50
57.18589670000001,155,151248,59
57.22756329999999,156,151306,59
57.26923000000001,157,151366,43
57.31089670000001,157,151426,43
57.35256329999999,158,151488,38
57.39423000000001,158,151550,63
57.43589670000001,159,151613,67
57.47756329999999,159,151676,79
57.51923000000001,160,151740,65
57.56089670000001,160,151805,45
57.60256329999999,161,151870,19
57.64423000000001,161,151935,43
57.68589670000001,161,152001,40
57.72756329999999,162,152067,38
57.76923000000001,162,152133,41
57.81089670000001,162,152199,40
57.85256329999999,162,152266,90
57.89423000000001,162,152332,158
57.93589670000001,162,152398,280
57.97756329999999,162,152464,314
58.01923000000001,162,152530,368
58.06089670000001,162,152596,241
58.10256329999999,162,152661,322
58.14423000000001,161,152726,139
58.18589670000001,161,152790,81
58.22756329999999,161,152854,46
58.26923000000001,160,152916,42
58.31089670000001,160,152978,33
58.35256329999999,159,153039,23
58.39423000000001,159,153099,57
58.43589670000001,158,153158,22
58.47756329999999,157,153216,41
58.51923000000001,157,153272,33
58.56089670000001,156,153327,14
58.60256329999999,156,153381,10
58.64423000000001,155,153433,15
58.68589670000001,154,153483,13
58.72756329999999,154,153532,12
58.76923000000001,153,153578,11
58.81089670000001,153,153623,6
58.85256329999999,152,153666,9
58.89423000000001,152,153707,6
58.93589670000001,152,153745,3
58.97756329999999,151,153781,4
59.01923000000001,151,153815,52
59.06089670000001,151,153847,54
59.10256329999999,151,153876,97
59.14423000000001,151,153904,107
59.18589670000001,150,153931,123
59.22756329999999,150,153956,126
59.26923000000001,150,153980,143
59.31089670000001,151,154004,175
59.35256329999999,151,154027,163
59.39423000000001,151,154050,191
59.43589670000001,151,154074,186
59.47756329999999,151,154098,126
59.51923000000001,151,154123,69
59.56089670000001,152,154149,107
59.60256329999999,152,154176,39
59.64423000000001,152,154205,28
59.68589670000001,152,154236,9
59.72756329999999,153,154269,6
59.76923000000001,153,154305,0
59.81089670000001,153,154343,10
59.85256329999999,153,154385,7
59.89423000000001,154,154429,8
59.93589670000001,154,154478,14
59.97756329999999,154,154530,26
60.01923000000001,154,154587,113
60.06089670000001,154,154647,92
60.10256329999999,154,154712,131
60.14423000000001,154,154780,128
60.18589670000001,155,154851,206
