time,births,population,reported_cases
44.01923,9,9801,0
44.0608967,9,9752,0
44.1025633,9,9709,0
44.14423,8,9673,0
44.1858967,8,9643,0
44.2275633,8,9619,6
44.26923,8,9601,2
44.3108967,8,9587,0
44.3525633,8,9579,0
44.39423,8,9575,0
44.4358967,8,9576,0
44.4775633,8,9581,0
44.51923,8,9589,5
44.5608967,8,9601,8
44.6025633,8,9617,0
44.64423,8,9635,0
44.6858967,8,9655,0
44.7275633,8,9678,3
44.76923,8,9703,0
44.8108967,8,9730,14
44.8525633,8,9758,14
44.89423,8,9788,25
44.9358967,8,9818,17
44.9775633,8,9848,26
45.01923,7,9879,29
45.0608967,8,9910,19
45.1025633,8,9941,11
45.14423,8,9972,10
45.1858967,8,10002,5
45.2275633,8,10031,16
45.26923,8,10060,11
45.3108967,8,10089,6
45.3525633,8,10116,12
45.39423,8,10142,21
45.4358967,8,10167,32
45.4775633,8,10191,25
45.51923,8,10213,34
45.5608967,8,10234,7
45.6025633,8,10253,5
45.64423,8,10270,0
45.6858967,8,10285,1
45.7275633,8,10298,0
45.76923,8,10309,0
45.8108967,8,10317,0
45.8525633,9,10322,0
45.89423,9,10325,0
45.9358967,9,10326,0
45.9775633,9,10323,2
46.01923,9,10317,0
46.0608967,9,10308,0
46.1025633,9,10296,0
46.14423,9,10282,0
46.1858967,9,10266,0
46.2275633,10,10248,0
46.26923,10,10228,0
46.3108967,10,10206,0
46.3525633,10,10184,0
46.39423,10,10161,0
46.4358967,10,10137,0
46.4775633,10,10113,0
46.51923,10,10089,0
46.5608967,11,10065,0
46.6025633,11,10042,0
46.64423,11,10019,0
46.6858967,11,9998,0
46.7275633,11,9978,0
46.76923,11,9960,0
46.8108967,11,9944,0
46.8525633,11,9930,0
46.89423,11,9918,0
46.9358967,11,9909,0
46.9775633,11,9904,2
47.01923,11,9901,0
47.0608967,11,9902,0
47.1025633,11,9906,0
47.14423,11,9913,0
47.1858967,11,9923,0
47.2275633,11,9935,0
47.26923,11,9949,0
47.3108967,11,9965,0
47.3525633,11,9983,0
47.39423,11,10002,0
47.4358967,11,10022,0
47.4775633,11,10043,0
47.51923,11,10065,0
47.5608967,11,10088,0
47.6025633,11,10110,0
47.64423,11,10133,0
47.6858967,11,10155,0
47.7275633,11,10177,0
47.76923,10,10198,0
47.8108967,10,10218,0
47.8525633,10,10237,0
47.89423,10,10254,0
47.9358967,10,10270,0
47.9775633,10,10284,0
48.01923,10,10295,0
48.0608967,10,10304,18
48.1025633,10,10311,12
48.14423,10,10317,10
48.1858967,10,10320,2
48.2275633,10,10323,4
48.26923,10,10324,9
48.3108967,10,10324,52
48.3525633,10,10323,31
48.39423,9,10322,27
48.4358967,9,10320,10
48.4775633,9,10319,11
48.51923,9,10317,23
48.5608967,9,10316,12
48.6025633,9,10315,5
48.64423,9,10314,0
48.6858967,9,10315,0
48.7275633,9,10317,0
48.76923,9,10320,0
48.8108967,9,10324,0
48.8525633,9,10331,0
48.89423,9,10339,0
48.9358967,9,10349,0
48.9775633,9,10362,0
49.01923,9,10377,0
49.0608967,9,10395,0
49.1025633,9,10416,0
49.14423,9,10438,0
49.1858967,9,10463,0
49.2275633,9,10489,0
49.26923,9,10518,9
49.3108967,9,10547,4
49.3525633,10,10579,2
49.39423,10,10611,0
49.4358967,10,10645,1
49.4775633,10,10679,0
49.51923,10,10714,0
49.5608967,10,10749,0
49.6025633,10,10785,0
49.64423,10,10821,1
49.6858967,10,10857,0
49.7275633,10,10893,0
49.76923,10,10928,0
49.8108967,10,10963,0
49.8525633,10,10997,0
49.89423,10,11031,0
49.9358967,10,11063,0
49.9775633,10,11094,0
50.01923,10,11123,0
50.0608967,10,11152,0
50.1025633,10,11178,0
50.14423,10,11204,0
50.1858967,10,11228,0
50.2275633,10,11250,0
50.26923,10,11272,0
50.3108967,10,11292,0
50.3525633,9,11312,0
50.39423,9,11330,0
50.4358967,9,11347,1
50.4775633,9,11363,0
50.51923,9,11379,0
50.5608967,9,11393,0
50.6025633,9,11407,0
50.64423,9,11420,0
50.6858967,9,11433,0
50.7275633,9,11445,0
50.76923,9,11456,0
50.8108967,9,11466,0
50.8525633,9,11477,0
50.89423,9,11487,0
50.9358967,9,11496,0
50.9775633,9,11505,0
51.01923,9,11514,2
51.0608967,9,11523,3
51.1025633,9,11531,2
51.14423,9,11540,2
51.1858967,9,11548,25
51.2275633,9,11556,54
51.26923,9,11564,68
51.3108967,9,11572,64
51.3525633,9,11579,59
51.39423,9,11587,12
51.4358967,9,11595,8
51.4775633,9,11602,2
51.51923,9,11610,5
51.5608967,9,11617,0
51.6025633,9,11625,0
51.64423,9,11632,0
51.6858967,9,11640,0
51.7275633,10,11647,0
51.76923,10,11655,0
51.8108967,10,11663,0
51.8525633,10,11671,0
51.89423,10,11679,0
51.9358967,10,11687,0
51.9775633,10,11695,0
52.01923,10,11704,0
52.0608967,10,11713,0
52.1025633,10,11721,0
52.14423,10,11730,0
52.1858967,10,11739,0
52.2275633,10,11748,0
52.26923,10,11757,0
52.3108967,10,11766,0
52.3525633,10,11774,0
52.39423,10,11783,0
52.43589670000001,10,11791,0
52.47756329999999,10,11799,0
52.51923000000001,9,11807,0
52.56089670000001,9,11814,0
52.60256329999999,9,11821,0
52.64423000000001,9,11828,2
52.68589670000001,9,11834,0
52.72756329999999,9,11839,0
52.76923000000001,9,11844,0
52.81089670000001,9,11849,0
52.85256329999999,9,11852,0
52.89423000000001,9,11856,0
52.93589670000001,9,11858,0
52.97756329999999,9,11859,0
53.01923000000001,9,11860,0
53.06089670000001,9,11860,0
53.10256329999999,9,11859,0
53.14423000000001,9,11858,0
53.18589670000001,9,11856,2
53.22756329999999,9,11853,0
53.26923000000001,9,11850,0
53.31089670000001,9,11846,2
53.35256329999999,9,11842,4
53.39423000000001,9,11837,19
53.43589670000001,9,11833,10
53.47756329999999,9,11827,8
53.51923000000001,9,11822,2
53.56089670000001,9,11816,0
53.60256329999999,9,11811,2
53.64423000000001,10,11805,1
53.68589670000001,10,11799,1
53.72756329999999,10,11793,0
53.76923000000001,10,11788,0
53.81089670000001,10,11782,0
53.85256329999999,10,11777,0
53.89423000000001,10,11772,0
53.93589670000001,10,11767,0
53.97756329999999,10,11762,0
54.01923000000001,10,11758,0
54.06089670000001,10,11755,0
54.10256329999999,9,11751,0
54.14423000000001,9,11749,0
54.18589670000001,9,11746,0
54.22756329999999,9,11744,0
54.26923000000001,9,11743,0
54.31089670000001,9,11741,0
54.35256329999999,9,11741,0
54.39423000000001,9,11740,0
54.43589670000001,9,11741,0
54.47756329999999,9,11741,0
54.51923000000001,9,11742,0
54.56089670000001,9,11743,0
54.60256329999999,9,11745,0
54.64423000000001,9,11747,0
54.68589670000001,9,11749,0
54.72756329999999,9,11752,0
54.76923000000001,9,11755,0
54.81089670000001,9,11759,0
54.85256329999999,9,11763,0
54.89423000000001,9,11767,0
54.93589670000001,9,11772,0
54.97756329999999,9,11777,0
55.01923000000001,9,11783,0
55.06089670000001,9,11788,0
55.10256329999999,9,11795,0
55.14423000000001,9,11801,0
55.18589670000001,9,11808,0
55.22756329999999,9,11815,0
55.26923000000001,9,11822,0
55.31089670000001,9,11830,0
55.35256329999999,9,11838,0
55.39423000000001,9,11846,0
55.43589670000001,9,11854,6
55.47756329999999,9,11863,5
55.51923000000001,9,11871,0
55.56089670000001,9,11880,9
55.60256329999999,9,11889,2
55.64423000000001,9,11898,0
55.68589670000001,9,11908,0
55.72756329999999,10,11917,0
55.76923000000001,10,11927,0
55.81089670000001,10,11936,8
55.85256329999999,10,11946,33
55.89423000000001,10,11955,42
55.93589670000001,10,11965,55
55.97756329999999,10,11975,56
56.01923000000001,10,11984,11
56.06089670000001,10,11994,8
56.10256329999999,10,12004,0
56.14423000000001,10,12013,0
56.18589670000001,10,12023,0
56.22756329999999,10,12032,0
56.26923000000001,10,12041,0
56.31089670000001,9,12050,0
56.35256329999999,9,12059,0
56.39423000000001,9,12067,0
56.43589670000001,9,12075,0
56.47756329999999,9,12083,0
56.51923000000001,9,12090,0
56.56089670000001,9,12097,0
56.60256329999999,9,12104,0
56.64423000000001,9,12110,0
56.68589670000001,9,12116,0
56.72756329999999,9,12121,0
56.76923000000001,9,12126,0
56.81089670000001,9,12130,0
56.85256329999999,9,12133,0
56.89423000000001,9,12136,0
56.93589670000001,9,12138,0
56.97756329999999,9,12140,0
57.01923000000001,9,12140,0
57.06089670000001,9,12140,0
57.10256329999999,10,12140,0
57.14423000000001,10,12139,0
57.18589670000001,10,12137,0
57.22756329999999,10,12136,4
57.26923000000001,10,12134,0
57.31089670000001,10,12132,0
57.35256329999999,10,12129,0
57.39423000000001,10,12127,0
57.43589670000001,11,12126,0
57.47756329999999,11,12124,0
57.51923000000001,11,12123,0
57.56089670000001,11,12122,0
57.60256329999999,11,12122,2
57.64423000000001,11,12123,0
57.68589670000001,12,12124,0
57.72756329999999,12,12127,0
57.76923000000001,12,12130,5
57.81089670000001,12,12134,0
57.85256329999999,12,12140,0
57.89423000000001,12,12147,0
57.93589670000001,12,12155,0
57.97756329999999,12,12164,0
58.01923000000001,12,12175,0
58.06089670000001,12,12188,1
58.10256329999999,12,12202,0
58.14423000000001,12,12218,0
58.18589670000001,12,12235,0
58.22756329999999,12,12253,0
58.26923000000001,12,12273,0
58.31089670000001,12,12294,0
58.35256329999999,12,12315,5
58.39423000000001,12,12338,0
58.43589670000001,12,12362,1
58.47756329999999,12,12386,24
58.51923000000001,12,12412,21
58.56089670000001,12,12438,6
58.60256329999999,12,12465,6
58.64423000000001,11,12492,2
58.68589670000001,11,12520,3
58.72756329999999,11,12548,4
58.76923000000001,11,12577,0
58.81089670000001,11,12606,25
58.85256329999999,11,12636,43
58.89423000000001,11,12665,17
58.93589670000001,11,12695,12
58.97756329999999,11,12724,5
59.01923000000001,11,12754,9
59.06089670000001,11,12783,0
59.10256329999999,11,12812,0
59.14423000000001,11,12841,0
59.18589670000001,11,12869,0
59.22756329999999,11,12897,0
59.26923000000001,11,12924,2
59.31089670000001,11,12951,4
59.35256329999999,11,12976,1
59.39423000000001,11,13000,0
59.43589670000001,11,13024,0
59.47756329999999,11,13046,0
59.51923000000001,11,13067,0
59.56089670000001,11,13087,0
59.60256329999999,11,13105,0
59.64423000000001,11,13121,0
59.68589670000001,11,13136,0
59.72756329999999,11,13148,0
59.76923000000001,11,13159,0
59.81089670000001,11,13168,0
59.85256329999999,11,13175,0
59.89423000000001,11,13179,0
59.93589670000001,11,13182,0
59.97756329999999,11,13181,0
60.01923000000001,11,13178,0
60.06089670000001,11,13173,0
60.10256329999999,11,13165,0
60.14423000000001,11,13155,0
60.18589670000001,11,13143,1
60.22756329999999,11,13130,0
60.26923000000001,11,13114,0
60.31089670000001,11,13098,0
60.35256329999999,11,13080,0
60.39423000000001,11,13061,0
60.43589670000001,11,13041,0
60.47756329999999,11,13021,0
60.51923000000001,11,13000,0
60.56089670000001,11,12979,0
60.60256329999999,11,12958,0
60.64423000000001,11,12937,0
60.68589670000001,11,12916,0
60.72756329999999,11,12896,0
60.76923000000001,11,12877,0
60.81089670000001,11,12858,0
60.85256329999999,11,12841,0
60.89423000000001,11,12824,0
60.93589670000001,11,12810,0
60.97756329999999,11,12796,0
61.01923000000001,11,12785,0
61.06089670000001,11,12776,0
61.10256329999999,11,12768,0
61.14423000000001,11,12762,1
61.18589670000001,11,12757,20
61.22756329999999,11,12755,23
61.26923000000001,11,12753,38
61.31089670000001,11,12753,88
61.35256329999999,11,12754,72
61.39423000000001,11,12756,35
61.43589670000001,11,12759,9
61.47756329999999,11,12763,3
61.51923000000001,11,12768,5
61.56089670000001,11,12774,4
61.60256329999999,11,12780,0
61.64423000000001,11,12786,1
61.68589670000001,11,12793,1
61.72756329999999,11,12801,2
61.76923000000001,11,12808,0
61.81089670000001,11,12816,0
61.85256329999999,11,12824,5
61.89423000000001,11,12832,3
61.93589670000001,11,12839,1
61.97756329999999,11,12846,8
62.01923000000001,11,12853,11
62.06089670000001,11,12860,4
62.10256329999999,11,12866,2
62.14423000000001,11,12871,0
62.18589670000001,11,12876,0
62.22756329999999,11,12881,0
62.26923000000001,11,12886,0
62.31089670000001,11,12890,0
62.35256329999999,11,12893,0
62.39423000000001,11,12897,0
62.43589670000001,11,12900,0
62.47756329999999,11,12902,0
62.51923000000001,11,12905,0
62.56089670000001,11,12907,0
62.60256329999999,11,12908,0
62.64423000000001,11,12910,0
62.68589670000001,10,12911,0
62.72756329999999,10,12912,0
62.76923000000001,10,12912,0
62.81089670000001,10,12912,0
62.85256329999999,10,12912,0
62.89423000000001,10,12912,1
62.93589670000001,10,12911,0
62.97756329999999,10,12911,0
63.01923000000001,10,12909,0
63.06089670000001,10,12908,2
63.10256329999999,10,12907,0
63.14423000000001,10,12905,0
63.18589670000001,10,12904,0
63.22756329999999,10,12902,4
63.26923000000001,10,12901,29
63.31089670000001,10,12900,1
63.35256329999999,10,12899,8
63.39423000000001,10,12898,14
63.43589670000001,10,12898,20
63.47756329999999,10,12898,5
63.51923000000001,10,12898,7
63.56089670000001,10,12899,21
63.60256329999999,10,12901,14
63.64423000000001,10,12903,6
63.68589670000001,10,12907,0
63.72756329999999,10,12911,0
63.76923000000001,10,12915,0
63.81089670000001,10,12921,0
63.85256329999999,10,12928,0
63.89423000000001,11,12935,0
63.93589670000001,11,12944,0
63.97756329999999,11,12954,0
