time,births,population,reported_cases
44.01923,6,7648,0
44.0608967,6,7622,0
44.1025633,6,7599,2
44.14423,6,7579,0
44.1858967,6,7562,1
44.2275633,6,7549,0
44.26923,6,7537,0
44.3108967,6,7529,8
44.3525633,6,7523,0
44.39423,6,7520,3
44.4358967,6,7519,3
44.4775633,6,7520,5
44.51923,6,7523,5
44.5608967,6,7528,0
44.6025633,6,7535,3
44.64423,6,7544,0
44.6858967,6,7554,0
44.7275633,6,7566,0
44.76923,6,7579,16
44.8108967,6,7593,0
44.8525633,6,7609,2
44.89423,6,7625,6
44.9358967,6,7643,44
44.9775633,6,7661,84
45.01923,6,7680,26
45.0608967,6,7699,6
45.1025633,6,7719,6
45.14423,6,7740,1
45.1858967,6,7760,7
45.2275633,6,7782,7
45.26923,6,7803,9
45.3108967,6,7824,22
45.3525633,6,7846,0
45.39423,6,7867,2
45.4358967,6,7889,0
45.4775633,6,7910,0
45.51923,6,7931,2
45.5608967,6,7952,2
45.6025633,6,7972,0
45.64423,6,7992,0
45.6858967,6,8011,1
45.7275633,6,8030,0
45.76923,6,8048,0
45.8108967,6,8066,0
45.8525633,6,8083,0
45.89423,6,8098,1
45.9358967,6,8113,0
45.9775633,7,8127,0
46.01923,7,8140,0
46.0608967,7,8151,0
46.1025633,7,8162,0
46.14423,7,8172,0
46.1858967,7,8180,0
46.2275633,7,8188,0
46.26923,7,8195,0
46.3108967,7,8202,0
46.3525633,7,8208,0
46.39423,7,8213,0
46.4358967,7,8218,0
46.4775633,7,8222,0
46.51923,7,8226,0
46.5608967,7,8229,0
46.6025633,7,8232,0
46.64423,7,8235,0
46.6858967,7,8238,0
46.7275633,7,8241,0
46.76923,7,8244,2
46.8108967,7,8247,0
46.8525633,7,8250,0
46.89423,7,8253,0
46.9358967,7,8257,0
46.9775633,7,8261,0
47.01923,7,8265,5
47.0608967,7,8270,4
47.1025633,7,8275,3
47.14423,7,8280,14
47.1858967,7,8286,4
47.2275633,7,8292,4
47.26923,7,8298,1
47.3108967,7,8304,3
47.3525633,7,8311,11
47.39423,7,8318,0
47.4358967,7,8325,4
47.4775633,7,8332,4
47.51923,7,8339,1
47.5608967,7,8346,0
47.6025633,7,8354,0
47.64423,7,8361,0
47.6858967,7,8368,0
47.7275633,7,8375,0
47.76923,6,8382,0
47.8108967,6,8389,0
47.8525633,6,8396,0
47.89423,6,8402,1
47.9358967,6,8409,1
47.9775633,6,8415,2
48.01923,6,8421,2
48.0608967,6,8426,0
48.1025633,6,8431,3
48.14423,6,8436,5
48.1858967,6,8441,2
48.2275633,6,8446,2
48.26923,6,8450,2
48.3108967,6,8454,10
48.3525633,6,8458,9
48.39423,6,8462,4
48.4358967,6,8466,9
48.4775633,6,8469,9
48.51923,6,8473,0
48.5608967,6,8476,0
48.6025633,6,8480,0
48.64423,6,8483,0
48.6858967,6,8487,0
48.7275633,6,8490,2
48.76923,6,8494,0
48.8108967,6,8497,6
48.8525633,6,8501,3
48.89423,6,8504,1
48.9358967,7,8508,2
48.9775633,7,8512,0
49.01923,7,8516,2
49.0608967,7,8520,0
49.1025633,6,8524,11
49.14423,6,8529,10
49.1858967,6,8533,18
49.2275633,6,8537,11
49.26923,6,8542,7
49.3108967,6,8546,9
49.3525633,6,8551,5
49.39423,6,8555,18
49.4358967,6,8559,10
49.4775633,6,8563,7
49.51923,6,8567,2
49.5608967,6,8571,0
49.6025633,6,8575,3
49.64423,6,8578,2
49.6858967,6,8582,0
49.7275633,6,8584,0
49.76923,6,8587,0
49.8108967,6,8590,0
49.8525633,6,8592,2
49.89423,6,8593,0
49.9358967,6,8595,0
49.9775633,6,8596,0
50.01923,6,8596,12
50.0608967,6,8596,0
50.1025633,6,8596,0
50.14423,6,8595,0
50.1858967,6,8594,0
50.2275633,6,8593,0
50.26923,6,8592,0
50.3108967,6,8590,0
50.3525633,6,8588,5
50.39423,6,8586,2
50.4358967,6,8583,3
50.4775633,6,8581,0
50.51923,6,8579,0
50.5608967,6,8576,0
50.6025633,6,8574,2
50.64423,6,8571,0
50.6858967,6,8569,0
50.7275633,6,8567,0
50.76923,6,8565,0
50.8108967,6,8563,0
50.8525633,6,8561,2
50.89423,6,8560,0
50.9358967,6,8558,2
50.9775633,6,8557,0
51.01923,6,8557,5
51.0608967,6,8556,3
51.1025633,6,8556,10
51.14423,6,8557,12
51.1858967,6,8557,2
51.2275633,6,8558,19
51.26923,6,8559,19
51.3108967,6,8560,14
51.3525633,6,8561,10
51.39423,6,8563,3
51.4358967,6,8564,2
51.4775633,6,8566,0
51.51923,6,8567,0
51.5608967,6,8569,0
51.6025633,6,8570,1
51.64423,6,8572,1
51.6858967,6,8573,2
51.7275633,6,8574,0
51.76923,6,8575,0
51.8108967,6,8576,0
51.8525633,6,8577,0
51.89423,6,8578,0
51.9358967,6,8578,2
51.9775633,6,8578,30
52.01923,6,8578,33
52.0608967,6,8577,14
52.1025633,6,8576,16
52.14423,6,8575,5
52.1858967,6,8574,4
52.2275633,6,8572,3
52.26923,6,8571,0
52.3108967,6,8569,6
52.3525633,6,8567,1
52.39423,6,8565,12
52.43589670000001,6,8562,9
52.47756329999999,6,8560,1
52.51923000000001,6,8558,2
52.56089670000001,6,8555,0
52.60256329999999,6,8553,0
52.64423000000001,6,8551,0
52.68589670000001,6,8548,0
52.72756329999999,6,8546,0
52.76923000000001,6,8544,0
52.81089670000001,6,8542,0
52.85256329999999,6,8540,0
52.89423000000001,6,8538,0
52.93589670000001,6,8537,0
52.97756329999999,6,8536,2
53.01923000000001,6,8535,12
53.06089670000001,6,8534,9
53.10256329999999,6,8533,6
53.14423000000001,6,8533,5
53.18589670000001,5,8533,5
53.22756329999999,5,8533,0
53.26923000000001,5,8533,2
53.31089670000001,5,8533,2
53.35256329999999,5,8533,5
53.39423000000001,5,8534,1
53.43589670000001,5,8534,0
53.47756329999999,5,8535,20
53.51923000000001,5,8536,2
53.56089670000001,5,8536,0
53.60256329999999,5,8537,9
53.64423000000001,5,8538,0
53.68589670000001,5,8538,1
53.72756329999999,5,8539,2
53.76923000000001,4,8539,2
53.81089670000001,4,8540,0
53.85256329999999,4,8540,0
53.89423000000001,4,8540,0
53.93589670000001,4,8540,0
53.97756329999999,4,8540,0
54.01923000000001,4,8540,0
54.06089670000001,4,8539,0
54.10256329999999,4,8539,0
54.14423000000001,5,8538,0
54.18589670000001,5,8537,0
54.22756329999999,5,8536,0
54.26923000000001,5,8534,0
54.31089670000001,5,8533,0
54.35256329999999,5,8531,0
54.39423000000001,5,8530,0
54.43589670000001,5,8528,0
54.47756329999999,5,8526,0
54.51923000000001,5,8524,0
54.56089670000001,5,8522,0
54.60256329999999,5,8520,0
54.64423000000001,5,8518,1
54.68589670000001,5,8516,0
54.72756329999999,5,8514,0
54.76923000000001,5,8512,0
54.81089670000001,6,8509,2
54.85256329999999,6,8507,2
54.89423000000001,6,8505,0
54.93589670000001,6,8503,0
54.97756329999999,6,8501,0
55.01923000000001,6,8499,12
55.06089670000001,6,8497,6
55.10256329999999,6,8495,18
55.14423000000001,5,8493,16
55.18589670000001,5,8492,5
55.22756329999999,5,8490,1
55.26923000000001,5,8488,7
55.31089670000001,5,8486,18
55.35256329999999,5,8485,0
55.39423000000001,5,8483,4
55.43589670000001,5,8482,6
55.47756329999999,5,8480,2
55.51923000000001,5,8478,2
55.56089670000001,5,8477,4
55.60256329999999,5,8475,1
55.64423000000001,4,8474,0
55.68589670000001,4,8472,0
55.72756329999999,4,8471,0
55.76923000000001,4,8469,0
55.81089670000001,4,8467,0
55.85256329999999,4,8466,3
55.89423000000001,4,8464,1
55.93589670000001,4,8463,3
55.97756329999999,4,8461,2
56.01923000000001,4,8459,0
56.06089670000001,4,8458,0
56.10256329999999,4,8456,2
56.14423000000001,4,8454,1
56.18589670000001,4,8452,0
56.22756329999999,4,8450,0
