time,births,population,reported_cases
44.01923,1,836,0
44.0608967,1,834,0
44.1025633,1,833,0
44.14423,1,831,0
44.1858967,0,830,0
44.2275633,0,829,0
44.26923,0,829,0
44.3108967,0,828,0
44.3525633,0,828,0
44.39423,0,828,0
44.4358967,0,828,0
44.4775633,0,828,0
44.51923,0,829,0
44.5608967,0,829,0
44.6025633,0,830,0
44.64423,0,831,0
44.6858967,1,832,0
44.7275633,1,833,15
44.76923,1,834,49
44.8108967,1,835,17
44.8525633,1,836,2
44.89423,1,838,3
44.9358967,1,839,0
44.9775633,1,840,0
45.01923,1,842,0
45.0608967,1,843,0
45.1025633,1,844,0
45.14423,1,846,0
45.1858967,1,847,0
45.2275633,1,848,0
45.26923,1,849,0
45.3108967,1,851,0
45.3525633,1,852,0
45.39423,1,853,0
45.4358967,1,854,3
45.4775633,1,855,4
45.51923,1,856,0
45.5608967,1,857,0
45.6025633,1,858,0
45.64423,1,859,0
45.6858967,1,860,0
45.7275633,1,860,0
45.76923,1,861,0
45.8108967,1,861,0
45.8525633,1,862,0
45.89423,1,862,0
45.9358967,1,862,0
45.9775633,1,862,0
46.01923,1,862,0
46.0608967,1,862,0
46.1025633,1,861,0
46.14423,1,861,0
46.1858967,1,861,0
46.2275633,1,860,0
46.26923,1,860,0
46.3108967,1,859,0
46.3525633,1,858,0
46.39423,1,858,0
46.4358967,1,857,0
46.4775633,1,856,0
46.51923,1,856,0
46.5608967,1,855,2
46.6025633,1,855,0
46.64423,1,854,0
46.6858967,1,854,0
46.7275633,1,854,0
46.76923,1,854,0
46.8108967,1,853,0
46.8525633,1,854,0
46.89423,1,854,0
46.9358967,1,854,0
46.9775633,1,855,0
47.01923,1,855,0
47.0608967,1,856,0
47.1025633,1,857,0
47.14423,1,858,0
47.1858967,1,860,0
47.2275633,1,861,0
47.26923,1,863,0
47.3108967,1,865,0
47.3525633,1,866,0
47.39423,1,868,0
47.4358967,1,870,0
47.4775633,1,872,0
47.51923,1,874,0
47.5608967,1,876,0
47.6025633,1,878,0
47.64423,1,880,0
47.6858967,1,882,0
47.7275633,1,884,1
47.76923,1,886,0
47.8108967,1,888,0
47.8525633,1,890,0
47.89423,1,892,0
47.9358967,1,894,0
47.9775633,1,895,0
48.01923,1,897,0
48.0608967,1,898,0
48.1025633,1,899,0
48.14423,1,901,0
48.1858967,1,902,0
48.2275633,1,903,0
48.26923,1,904,0
48.3108967,1,904,0
48.3525633,1,905,0
48.39423,1,906,0
48.4358967,1,906,0
48.4775633,1,907,0
48.51923,1,908,0
48.5608967,1,908,0
48.6025633,1,908,0
48.64423,1,909,0
48.6858967,1,909,0
48.7275633,1,910,0
48.76923,1,910,0
48.8108967,1,910,0
48.8525633,1,911,0
48.89423,1,911,0
48.9358967,1,911,0
48.9775633,1,912,0
49.01923,1,912,0
49.0608967,1,913,0
49.1025633,1,913,1
49.14423,1,914,0
49.1858967,1,914,1
49.2275633,1,914,3
49.26923,1,915,0
49.3108967,1,915,0
49.3525633,1,916,0
49.39423,1,916,0
49.4358967,1,917,0
49.4775633,1,917,0
49.51923,1,917,0
49.5608967,1,917,0
49.6025633,1,918,0
49.64423,1,918,0
49.6858967,1,918,0
49.7275633,1,918,0
49.76923,1,918,0
49.8108967,1,917,0
49.8525633,1,917,0
49.89423,0,917,0
49.9358967,0,916,0
49.9775633,0,915,0
50.01923,0,915,0
50.0608967,0,914,0
50.1025633,0,913,0
50.14423,0,912,0
50.1858967,0,910,0
50.2275633,0,909,0
50.26923,0,908,0
50.3108967,0,906,0
50.3525633,0,905,0
50.39423,0,903,0
50.4358967,0,901,0
50.4775633,0,899,0
50.51923,0,898,0
50.5608967,0,896,0
50.6025633,0,894,0
50.64423,0,892,0
50.6858967,0,890,0
50.7275633,0,888,0
50.76923,0,886,0
50.8108967,0,883,0
50.8525633,1,881,0
50.89423,1,879,0
50.9358967,1,877,0
50.9775633,1,875,0
51.01923,1,873,0
51.0608967,1,871,0
51.1025633,1,869,0
51.14423,1,867,0
51.1858967,1,865,0
51.2275633,1,863,7
51.26923,1,861,16
51.3108967,1,859,15
51.3525633,1,857,12
51.39423,1,855,5
51.4358967,1,854,1
51.4775633,1,852,0
51.51923,1,850,0
51.5608967,1,849,2
51.6025633,1,847,0
51.64423,1,845,0
51.6858967,1,844,0
51.7275633,1,842,0
51.76923,1,841,0
51.8108967,1,840,0
51.8525633,1,838,0
51.89423,1,837,0
51.9358967,1,836,0
51.9775633,1,835,0
52.01923,1,834,0
52.0608967,1,833,0
52.1025633,1,832,0
52.14423,1,831,0
52.1858967,1,830,0
52.2275633,1,829,0
52.26923,1,828,0
52.3108967,1,828,0
52.3525633,1,827,0
52.39423,1,826,0
52.43589670000001,1,826,0
52.47756329999999,1,825,0
52.51923000000001,1,825,0
52.56089670000001,1,824,0
52.60256329999999,1,824,0
52.64423000000001,1,824,0
52.68589670000001,1,823,0
52.72756329999999,1,823,0
52.76923000000001,1,823,0
52.81089670000001,1,822,0
52.85256329999999,1,822,0
52.89423000000001,1,822,0
52.93589670000001,1,821,0
52.97756329999999,1,821,0
53.01923000000001,1,821,0
53.06089670000001,1,821,0
53.10256329999999,1,820,0
53.14423000000001,1,820,0
53.18589670000001,1,820,0
53.22756329999999,1,820,0
53.26923000000001,1,819,2
53.31089670000001,1,819,0
53.35256329999999,1,819,0
53.39423000000001,1,819,0
53.43589670000001,1,819,0
53.47756329999999,1,818,0
53.51923000000001,1,818,0
53.56089670000001,1,818,0
53.60256329999999,1,818,0
53.64423000000001,1,818,0
53.68589670000001,1,818,0
53.72756329999999,1,818,0
53.76923000000001,1,818,0
53.81089670000001,1,819,0
53.85256329999999,1,819,0
53.89423000000001,1,819,0
53.93589670000001,1,819,0
53.97756329999999,1,820,0
54.01923000000001,1,820,0
54.06089670000001,1,821,0
54.10256329999999,1,821,0
54.14423000000001,1,822,0
54.18589670000001,1,822,0
54.22756329999999,1,823,0
54.26923000000001,1,824,0
54.31089670000001,1,825,0
54.35256329999999,1,825,0
54.39423000000001,1,826,0
54.43589670000001,1,827,0
54.47756329999999,1,828,0
54.51923000000001,1,829,0
54.56089670000001,1,830,0
54.60256329999999,1,831,0
54.64423000000001,1,832,0
54.68589670000001,1,833,0
54.72756329999999,1,834,0
54.76923000000001,1,835,0
54.81089670000001,1,836,0
54.85256329999999,1,836,0
54.89423000000001,1,837,0
54.93589670000001,1,838,0
54.97756329999999,1,839,0
55.01923000000001,1,840,0
55.06089670000001,1,841,0
55.10256329999999,1,842,0
55.14423000000001,1,843,0
55.18589670000001,1,844,1
55.22756329999999,1,845,0
55.26923000000001,1,846,0
55.31089670000001,1,847,0
55.35256329999999,1,848,0
55.39423000000001,1,849,0
55.43589670000001,1,850,0
55.47756329999999,1,850,0
55.51923000000001,1,851,0
55.56089670000001,1,852,0
55.60256329999999,1,853,1
55.64423000000001,1,854,0
55.68589670000001,1,855,0
55.72756329999999,1,855,0
55.76923000000001,1,856,0
55.81089670000001,1,857,0
55.85256329999999,1,858,0
55.89423000000001,1,858,0
55.93589670000001,1,859,0
55.97756329999999,1,860,0
56.01923000000001,1,860,0
56.06089670000001,1,861,0
56.10256329999999,1,862,0
56.14423000000001,1,862,0
56.18589670000001,1,863,0
56.22756329999999,1,863,0
56.26923000000001,1,864,0
56.31089670000001,1,865,0
56.35256329999999,1,865,0
56.39423000000001,1,866,0
56.43589670000001,1,866,0
56.47756329999999,1,867,0
56.51923000000001,1,867,0
56.56089670000001,1,867,0
56.60256329999999,1,868,0
56.64423000000001,1,868,0
56.68589670000001,1,869,0
56.72756329999999,1,869,0
56.76923000000001,1,869,0
56.81089670000001,1,869,0
56.85256329999999,1,870,0
56.89423000000001,1,870,1
56.93589670000001,1,870,0
56.97756329999999,1,870,0
57.01923000000001,1,870,0
57.06089670000001,1,870,0
57.10256329999999,1,870,0
57.14423000000001,1,870,0
57.18589670000001,1,870,0
57.22756329999999,1,870,0
57.26923000000001,1,870,0
57.31089670000001,1,870,0
57.35256329999999,1,870,1
57.39423000000001,1,870,0
57.43589670000001,1,869,0
57.47756329999999,1,869,0
57.51923000000001,1,869,0
57.56089670000001,1,869,0
57.60256329999999,1,869,0
57.64423000000001,1,869,0
57.68589670000001,1,869,0
57.72756329999999,1,869,0
57.76923000000001,1,869,0
57.81089670000001,1,869,0
57.85256329999999,1,869,0
57.89423000000001,1,869,0
57.93589670000001,1,870,0
57.97756329999999,1,870,0
58.01923000000001,1,870,0
58.06089670000001,1,871,3
58.10256329999999,1,871,1
58.14423000000001,1,871,1
58.18589670000001,1,872,7
58.22756329999999,1,872,34
58.26923000000001,1,873,12
58.31089670000001,1,874,16
58.35256329999999,1,874,0
58.39423000000001,1,875,0
58.43589670000001,1,875,0
58.47756329999999,1,876,0
58.51923000000001,1,876,0
58.56089670000001,1,877,0
58.60256329999999,1,877,0
58.64423000000001,1,878,0
58.68589670000001,1,878,0
58.72756329999999,1,879,0
58.76923000000001,1,879,0
58.81089670000001,1,879,0
58.85256329999999,1,880,0
58.89423000000001,1,880,0
