time,births,population,reported_cases
44.01923,21,36530,0
44.0608967,21,36430,0
44.1025633,21,36342,0
44.14423,20,36266,1
44.1858967,20,36200,0
44.2275633,20,36145,0
44.26923,20,36099,0
44.3108967,20,36063,0
44.3525633,20,36036,1
44.39423,20,36017,0
44.4358967,20,36006,0
44.4775633,20,36003,2
44.51923,20,36007,2
44.5608967,20,36017,2
44.6025633,20,36034,3
44.64423,20,36055,1
44.6858967,20,36082,10
44.7275633,20,36114,2
44.76923,20,36150,9
44.8108967,20,36189,0
44.8525633,20,36231,1
44.89423,20,36277,0
44.9358967,20,36324,0
44.9775633,20,36373,0
45.01923,20,36423,0
45.0608967,20,36475,7
45.1025633,20,36526,4
45.14423,21,36579,6
45.1858967,21,36631,2
45.2275633,21,36683,66
45.26923,21,36735,96
45.3108967,21,36786,75
45.3525633,21,36836,95
45.39423,21,36885,30
45.4358967,21,36932,17
45.4775633,21,36978,5
45.51923,22,37021,0
45.5608967,22,37063,7
45.6025633,22,37102,0
45.64423,22,37138,0
45.6858967,22,37172,0
45.7275633,22,37202,0
45.76923,22,37228,0
45.8108967,23,37251,0
45.8525633,23,37270,0
45.89423,23,37284,0
45.9358967,23,37294,0
45.9775633,23,37299,0
46.01923,23,37299,0
46.0608967,23,37295,2
46.1025633,23,37285,1
46.14423,23,37271,0
46.1858967,24,37253,0
46.2275633,24,37232,0
46.26923,24,37208,0
46.3108967,24,37181,0
46.3525633,24,37151,1
46.39423,24,37119,0
46.4358967,24,37086,1
46.4775633,24,37051,0
46.51923,24,37016,0
46.5608967,24,36980,1
46.6025633,24,36943,2
46.64423,24,36907,3
46.6858967,24,36872,3
46.7275633,24,36837,2
46.76923,24,36804,2
46.8108967,24,36772,2
46.8525633,24,36743,1
46.89423,24,36715,2
46.9358967,24,36691,0
46.9775633,23,36670,0
47.01923,23,36652,23
47.0608967,23,36638,0
47.1025633,23,36628,7
47.14423,23,36620,19
47.1858967,23,36616,11
47.2275633,22,36614,2
47.26923,22,36614,3
47.3108967,22,36617,4
47.3525633,22,36622,0
47.39423,22,36628,3
47.4358967,21,36636,1
47.4775633,21,36645,4
47.51923,21,36656,11
47.5608967,21,36667,14
47.6025633,21,36678,30
47.64423,20,36690,34
47.6858967,20,36702,4
47.7275633,20,36714,1
47.76923,20,36725,0
47.8108967,20,36736,0
47.8525633,20,36746,1
47.89423,19,36754,22
47.9358967,19,36762,41
47.9775633,19,36768,32
48.01923,19,36772,85
48.0608967,19,36774,11
48.1025633,19,36774,8
48.14423,19,36773,29
48.1858967,19,36771,11
48.2275633,19,36767,22
48.26923,19,36762,13
48.3108967,19,36757,0
48.3525633,19,36751,0
48.39423,19,36744,0
48.4358967,20,36738,3
