time,births,population,reported_cases
44.01923,8,9128,0
44.0608967,8,9115,0
44.1025633,7,9105,0
44.14423,7,9098,0
44.1858967,7,9094,0
44.2275633,7,9094,0
44.26923,7,9095,2
44.3108967,7,9100,0
44.3525633,7,9106,3
44.39423,7,9115,4
44.4358967,7,9126,1
44.4775633,7,9139,7
44.51923,7,9153,0
44.5608967,7,9169,0
44.6025633,7,9186,1
44.64423,7,9205,1
44.6858967,7,9224,1
44.7275633,7,9245,0
44.76923,7,9266,0
44.8108967,7,9288,0
44.8525633,7,9310,1
44.89423,7,9333,6
44.9358967,7,9355,34
44.9775633,7,9378,15
45.01923,7,9400,63
45.0608967,7,9422,7
45.1025633,7,9444,1
45.14423,7,9465,0
45.1858967,7,9485,0
45.2275633,7,9505,0
45.26923,7,9524,0
45.3108967,7,9543,0
45.3525633,7,9560,0
45.39423,7,9577,1
45.4358967,7,9592,0
45.4775633,7,9606,0
45.51923,7,9619,0
45.5608967,7,9631,0
45.6025633,7,9642,0
45.64423,7,9651,0
45.6858967,7,9658,0
45.7275633,8,9664,1
45.76923,8,9668,0
45.8108967,8,9671,0
45.8525633,8,9672,0
45.89423,8,9670,0
45.9358967,8,9667,0
45.9775633,8,9662,0
46.01923,8,9654,0
46.0608967,8,9645,0
46.1025633,8,9633,0
46.14423,8,9620,0
46.1858967,8,9605,0
46.2275633,8,9589,0
46.26923,8,9571,0
46.3108967,9,9553,0
46.3525633,9,9533,0
46.39423,9,9513,0
46.4358967,9,9492,0
46.4775633,9,9471,0
46.51923,9,9449,0
46.5608967,9,9428,0
46.6025633,9,9406,0
46.64423,9,9385,0
46.6858967,9,9365,1
46.7275633,9,9344,0
46.76923,9,9325,0
46.8108967,9,9307,1
46.8525633,9,9289,51
46.89423,9,9274,52
46.9358967,9,9259,27
46.9775633,10,9246,1
47.01923,10,9235,0
47.0608967,10,9226,0
47.1025633,10,9219,1
47.14423,10,9213,1
47.1858967,10,9209,0
47.2275633,10,9207,0
47.26923,10,9207,0
47.3108967,10,9208,0
47.3525633,10,9211,0
47.39423,10,9215,0
47.4358967,10,9220,0
47.4775633,10,9228,0
47.51923,10,9236,1
47.5608967,10,9246,0
47.6025633,10,9257,0
47.64423,9,9270,0
47.6858967,9,9283,0
47.7275633,9,9298,1
47.76923,9,9314,0
47.8108967,9,9331,0
47.8525633,9,9349,2
47.89423,9,9368,0
47.9358967,9,9388,0
47.9775633,9,9408,0
48.01923,9,9430,9
48.0608967,9,9453,4
48.1025633,9,9476,0
48.14423,9,9500,0
48.1858967,9,9524,0
48.2275633,9,9550,0
48.26923,9,9575,0
48.3108967,9,9602,0
48.3525633,9,9628,2
48.39423,9,9656,3
48.4358967,9,9683,18
48.4775633,8,9711,21
48.51923,8,9739,24
48.5608967,8,9768,3
48.6025633,8,9796,0
48.64423,8,9825,1
