time,births,population,reported_cases
44.01923,13,13323,0
44.0608967,13,13347,0
44.1025633,13,13368,0
44.14423,13,13385,1
44.1858967,12,13400,1
44.2275633,12,13411,0
44.26923,12,13419,0
44.3108967,12,13425,1
44.3525633,12,13429,0
44.39423,12,13430,0
44.4358967,12,13429,23
44.4775633,12,13426,26
44.51923,12,13422,0
44.5608967,12,13416,5
44.6025633,12,13409,3
44.64423,12,13401,0
44.6858967,12,13392,0
44.7275633,12,13383,0
44.76923,12,13373,0
44.8108967,12,13363,0
44.8525633,12,13353,0
44.89423,12,13343,0
44.9358967,12,13333,0
44.9775633,12,13325,0
45.01923,12,13316,0
45.0608967,12,13309,2
45.1025633,12,13303,2
45.14423,13,13297,1
45.1858967,13,13293,1
45.2275633,13,13290,2
45.26923,13,13288,2
45.3108967,13,13287,2
45.3525633,13,13288,5
45.39423,13,13290,3
45.4358967,13,13293,20
45.4775633,13,13298,29
45.51923,13,13304,4
45.5608967,14,13312,1
45.6025633,14,13321,2
45.64423,14,13332,4
45.6858967,14,13345,3
45.7275633,14,13359,2
45.76923,14,13375,0
45.8108967,14,13393,0
45.8525633,14,13413,0
45.89423,14,13435,0
45.9358967,14,13459,0
45.9775633,14,13485,0
46.01923,14,13513,0
46.0608967,14,13543,0
46.1025633,14,13575,0
46.14423,14,13609,0
46.1858967,14,13643,0
46.2275633,14,13679,0
46.26923,14,13715,0
46.3108967,14,13752,0
46.3525633,14,13789,0
46.39423,14,13825,0
46.4358967,14,13862,0
46.4775633,14,13897,0
46.51923,14,13932,0
46.5608967,14,13966,0
46.6025633,14,13998,0
46.64423,14,14028,0
46.6858967,14,14057,0
46.7275633,14,14083,0
46.76923,14,14107,0
46.8108967,14,14128,0
46.8525633,14,14145,0
46.89423,14,14160,0
46.9358967,14,14171,0
46.9775633,14,14178,0
47.01923,14,14181,0
47.0608967,14,14180,1
47.1025633,14,14175,0
47.14423,14,14166,1
47.1858967,14,14155,0
47.2275633,14,14141,0
47.26923,14,14125,0
47.3108967,14,14107,1
47.3525633,14,14087,0
47.39423,14,14066,6
47.4358967,14,14044,0
47.4775633,14,14021,7
47.51923,13,13998,3
47.5608967,13,13976,8
47.6025633,13,13954,2
47.64423,13,13933,4
47.6858967,13,13913,2
47.7275633,13,13894,0
47.76923,13,13878,2
47.8108967,13,13864,5
47.8525633,13,13853,9
47.89423,13,13845,20
47.9358967,13,13840,45
47.9775633,13,13839,24
48.01923,13,13842,28
48.0608967,13,13849,11
48.1025633,13,13860,1
48.14423,13,13875,0
48.1858967,13,13892,0
48.2275633,13,13913,0
48.26923,13,13936,0
48.3108967,13,13961,0
48.3525633,13,13988,0
48.39423,13,14017,0
48.4358967,13,14046,0
48.4775633,13,14077,0
48.51923,13,14108,0
48.5608967,13,14140,0
48.6025633,13,14171,0
48.64423,13,14202,0
48.6858967,13,14232,0
48.7275633,13,14261,0
48.76923,13,14288,0
48.8108967,13,14314,0
48.8525633,13,14338,3
48.89423,13,14359,0
48.9358967,13,14378,0
48.9775633,13,14393,2
49.01923,13,14405,4
49.0608967,13,14414,8
49.1025633,13,14419,12
49.14423,13,14421,36
49.1858967,13,14421,26
49.2275633,13,14418,12
49.26923,13,14413,15
49.3108967,13,14405,7
49.3525633,13,14396,12
49.39423,13,14385,29
49.4358967,13,14373,16
49.4775633,13,14359,10
49.51923,13,14344,4
49.5608967,13,14329,0
49.6025633,13,14313,0
49.64423,13,14297,1
49.6858967,12,14281,0
49.7275633,12,14265,0
49.76923,12,14249,0
49.8108967,12,14234,0
49.8525633,12,14220,0
49.89423,12,14207,0
49.9358967,12,14195,0
49.9775633,12,14185,0
50.01923,12,14176,0
50.0608967,12,14170,0
50.1025633,12,14165,0
50.14423,12,14161,0
50.1858967,12,14160,0
50.2275633,12,14159,0
50.26923,11,14161,0
50.3108967,11,14163,0
50.3525633,11,14167,0
50.39423,11,14172,0
50.4358967,11,14178,0
50.4775633,11,14186,0
50.51923,11,14194,0
50.5608967,11,14203,0
50.6025633,11,14213,1
50.64423,11,14223,0
50.6858967,11,14234,0
50.7275633,11,14246,0
50.76923,11,14258,0
50.8108967,10,14271,1
50.8525633,10,14283,7
50.89423,11,14296,7
50.9358967,11,14310,1
50.9775633,11,14323,2
51.01923,11,14336,2
51.0608967,11,14349,0
51.1025633,11,14362,3
51.14423,11,14375,2
51.1858967,11,14388,1
51.2275633,11,14401,7
51.26923,11,14413,11
51.3108967,11,14426,0
51.3525633,12,14438,6
51.39423,12,14450,3
51.4358967,12,14462,36
51.4775633,12,14474,1
51.51923,12,14485,15
51.5608967,13,14497,1
51.6025633,13,14508,3
51.64423,13,14519,0
51.6858967,13,14529,1
51.7275633,13,14540,0
51.76923,13,14550,0
51.8108967,13,14560,0
51.8525633,14,14569,0
51.89423,14,14578,0
51.9358967,14,14587,0
51.9775633,14,14596,0
52.01923,14,14604,0
52.0608967,14,14612,0
52.1025633,14,14619,0
52.14423,14,14626,0
52.1858967,14,14634,0
52.2275633,14,14641,0
52.26923,14,14648,0
52.3108967,14,14654,0
52.3525633,14,14661,0
52.39423,14,14668,0
52.43589670000001,14,14675,0
52.47756329999999,14,14683,0
52.51923000000001,14,14690,3
52.56089670000001,14,14698,0
52.60256329999999,14,14706,0
52.64423000000001,13,14715,2
52.68589670000001,13,14724,0
52.72756329999999,13,14733,1
52.76923000000001,13,14743,0
52.81089670000001,13,14754,0
52.85256329999999,13,14765,0
52.89423000000001,13,14777,0
52.93589670000001,13,14789,0
52.97756329999999,13,14802,0
53.01923000000001,13,14817,9
53.06089670000001,13,14832,7
53.10256329999999,13,14847,23
53.14423000000001,13,14864,12
53.18589670000001,13,14881,8
53.22756329999999,13,14898,0
53.26923000000001,13,14915,7
53.31089670000001,13,14933,2
53.35256329999999,13,14951,0
53.39423000000001,13,14970,0
53.43589670000001,13,14988,0
53.47756329999999,13,15006,0
53.51923000000001,13,15023,0
53.56089670000001,13,15041,0
53.60256329999999,13,15058,0
53.64423000000001,13,15074,0
53.68589670000001,13,15090,0
53.72756329999999,13,15105,0
53.76923000000001,13,15119,0
53.81089670000001,13,15133,0
53.85256329999999,13,15145,0
53.89423000000001,13,15157,0
53.93589670000001,13,15167,0
53.97756329999999,13,15176,0
54.01923000000001,13,15183,0
54.06089670000001,13,15190,0
54.10256329999999,13,15194,0
54.14423000000001,13,15198,0
54.18589670000001,13,15201,0
54.22756329999999,13,15202,0
54.26923000000001,12,15203,0
54.31089670000001,12,15203,0
54.35256329999999,12,15202,0
54.39423000000001,12,15201,0
54.43589670000001,12,15199,0
54.47756329999999,12,15197,0
54.51923000000001,12,15194,0
54.56089670000001,12,15191,0
54.60256329999999,12,15188,0
54.64423000000001,12,15185,0
54.68589670000001,12,15182,0
54.72756329999999,12,15179,0
54.76923000000001,12,15176,0
54.81089670000001,12,15174,0
54.85256329999999,12,15172,0
54.89423000000001,12,15171,0
54.93589670000001,12,15170,0
54.97756329999999,12,15170,0
55.01923000000001,12,15170,0
55.06089670000001,12,15172,0
55.10256329999999,12,15174,0
55.14423000000001,12,15177,3
55.18589670000001,12,15181,12
55.22756329999999,12,15185,29
55.26923000000001,11,15190,17
55.31089670000001,11,15195,4
55.35256329999999,11,15201,7
55.39423000000001,11,15207,2
55.43589670000001,11,15213,3
55.47756329999999,11,15220,32
55.51923000000001,11,15227,4
55.56089670000001,11,15234,0
55.60256329999999,11,15241,0
55.64423000000001,11,15248,0
55.68589670000001,11,15255,7
55.72756329999999,11,15262,0
55.76923000000001,11,15268,0
55.81089670000001,11,15275,0
55.85256329999999,11,15281,0
