time,births,population,reported_cases
44.01923,10,11507,0
44.0608967,9,11480,0
44.1025633,9,11456,0
44.14423,9,11435,0
44.1858967,9,11417,0
44.2275633,9,11401,0
44.26923,9,11387,2
44.3108967,9,11376,0
44.3525633,9,11367,2
44.39423,9,11360,0
44.4358967,9,11354,0
44.4775633,9,11351,0
44.51923,9,11349,0
44.5608967,9,11349,0
44.6025633,9,11350,0
44.64423,9,11352,0
44.6858967,9,11356,0
44.7275633,9,11361,0
44.76923,9,11367,0
44.8108967,9,11373,0
44.8525633,9,11380,0
44.89423,9,11388,0
44.9358967,9,11396,0
44.9775633,9,11405,0
45.01923,9,11414,0
45.0608967,9,11423,0
45.1025633,9,11432,0
45.14423,9,11442,1
45.1858967,9,11451,2
45.2275633,9,11460,0
45.26923,9,11469,0
45.3108967,9,11478,0
45.3525633,9,11486,0
45.39423,9,11495,10
45.4358967,9,11502,34
45.4775633,9,11510,73
45.51923,9,11517,147
45.5608967,9,11523,17
45.6025633,9,11529,25
45.64423,9,11534,0
45.6858967,9,11538,2
45.7275633,9,11541,0
45.76923,10,11544,0
45.8108967,10,11546,0
45.8525633,10,11546,0
45.89423,10,11546,0
45.9358967,10,11545,0
45.9775633,10,11542,0
46.01923,10,11538,0
46.0608967,10,11533,0
46.1025633,10,11527,0
46.14423,10,11520,0
46.1858967,10,11512,0
46.2275633,10,11503,0
46.26923,10,11493,0
46.3108967,10,11483,0
46.3525633,10,11472,0
46.39423,10,11461,0
46.4358967,10,11450,0
46.4775633,10,11438,0
46.51923,10,11427,0
46.5608967,10,11415,0
46.6025633,10,11403,0
46.64423,10,11392,0
46.6858967,10,11381,0
46.7275633,10,11371,0
46.76923,10,11361,0
46.8108967,10,11351,0
46.8525633,10,11343,0
46.89423,10,11335,0
46.9358967,10,11328,0
46.9775633,11,11323,0
47.01923,11,11318,0
47.0608967,11,11315,0
47.1025633,11,11312,0
47.14423,11,11311,0
47.1858967,11,11311,0
47.2275633,11,11311,0
47.26923,11,11313,0
47.3108967,11,11315,0
47.3525633,11,11318,0
47.39423,11,11322,0
47.4358967,11,11326,0
47.4775633,11,11331,0
47.51923,11,11336,1
47.5608967,11,11342,5
47.6025633,11,11348,9
47.64423,11,11354,5
47.6858967,10,11361,0
47.7275633,10,11367,2
47.76923,10,11374,1
47.8108967,10,11381,2
47.8525633,10,11388,3
47.89423,10,11394,7
47.9358967,10,11401,42
47.9775633,10,11407,20
48.01923,10,11413,48
48.0608967,10,11418,33
48.1025633,10,11423,22
48.14423,10,11428,8
48.1858967,10,11433,1
48.2275633,10,11437,1
48.26923,10,11442,5
48.3108967,10,11445,0
48.3525633,10,11449,0
48.39423,10,11453,1
48.4358967,10,11456,0
48.4775633,10,11459,0
48.51923,10,11462,0
48.5608967,10,11465,0
48.6025633,9,11467,0
48.64423,9,11470,2
48.6858967,9,11473,0
48.7275633,9,11475,0
48.76923,9,11477,0
48.8108967,9,11480,0
48.8525633,9,11482,0
48.89423,9,11484,0
48.9358967,9,11486,0
48.9775633,9,11489,0
49.01923,9,11491,2
49.0608967,9,11493,0
49.1025633,9,11496,2
49.14423,9,11498,3
49.1858967,9,11501,30
49.2275633,9,11503,13
49.26923,9,11505,46
49.3108967,9,11507,19
49.3525633,9,11509,7
49.39423,9,11511,7
49.4358967,9,11512,5
49.4775633,9,11513,1
49.51923,9,11514,0
49.5608967,9,11515,5
49.6025633,9,11516,2
49.64423,9,11516,0
49.6858967,9,11516,0
49.7275633,9,11515,0
49.76923,9,11514,0
49.8108967,9,11513,0
49.8525633,9,11511,0
49.89423,9,11508,0
49.9358967,9,11505,0
49.9775633,9,11502,0
50.01923,9,11498,0
50.0608967,9,11494,0
50.1025633,9,11489,0
50.14423,9,11483,0
50.1858967,9,11477,0
50.2275633,9,11471,0
50.26923,9,11464,0
50.3108967,9,11457,0
50.3525633,9,11450,0
50.39423,9,11443,1
50.4358967,8,11435,0
50.4775633,8,11428,0
50.51923,8,11420,0
50.5608967,8,11412,0
50.6025633,8,11405,0
50.64423,8,11397,2
50.6858967,8,11389,2
50.7275633,8,11382,10
50.76923,8,11375,9
50.8108967,8,11368,2
50.8525633,8,11361,0
50.89423,8,11355,1
50.9358967,8,11349,0
50.9775633,8,11343,4
51.01923,8,11338,18
51.0608967,8,11333,6
51.1025633,8,11329,4
51.14423,8,11325,0
51.1858967,8,11321,2
51.2275633,8,11318,6
51.26923,8,11315,5
51.3108967,8,11313,2
51.3525633,8,11310,7
51.39423,8,11308,5
51.4358967,8,11306,7
51.4775633,8,11305,0
51.51923,9,11303,0
51.5608967,9,11302,6
51.6025633,9,11301,7
51.64423,9,11300,7
51.6858967,9,11299,7
51.7275633,9,11298,2
51.76923,9,11297,0
51.8108967,9,11296,0
51.8525633,9,11295,0
