time,births,population,reported_cases
44.01923,8,8878,0
44.0608967,7,8838,0
44.1025633,7,8802,0
44.14423,7,8770,0
44.1858967,7,8742,0
44.2275633,7,8717,0
44.26923,7,8695,0
44.3108967,7,8676,0
44.3525633,6,8660,0
44.39423,6,8648,0
44.4358967,6,8638,1
44.4775633,6,8630,2
44.51923,6,8625,0
44.5608967,6,8623,0
44.6025633,6,8623,0
44.64423,6,8625,0
44.6858967,6,8629,3
44.7275633,6,8635,0
44.76923,6,8643,0
44.8108967,6,8653,0
44.8525633,6,8664,0
44.89423,6,8677,0
44.9358967,6,8691,0
44.9775633,6,8706,0
45.01923,6,8723,4
45.0608967,6,8740,0
45.1025633,6,8758,1
45.14423,6,8777,1
45.1858967,6,8797,3
45.2275633,6,8818,0
45.26923,7,8839,0
45.3108967,7,8860,0
45.3525633,7,8882,0
45.39423,7,8904,1
45.4358967,7,8927,0
45.4775633,7,8950,0
45.51923,7,8972,0
45.5608967,7,8995,0
45.6025633,7,9018,0
45.64423,7,9040,0
45.6858967,7,9062,0
45.7275633,7,9084,0
45.76923,8,9105,0
45.8108967,8,9126,0
45.8525633,8,9147,0
45.89423,8,9166,0
45.9358967,8,9185,0
45.9775633,8,9203,0
46.01923,8,9220,0
46.0608967,8,9236,0
46.1025633,8,9251,1
46.14423,8,9265,0
46.1858967,8,9278,0
46.2275633,8,9291,0
46.26923,8,9303,0
46.3108967,8,9314,4
46.3525633,8,9324,12
46.39423,9,9333,1
46.4358967,9,9343,0
46.4775633,9,9351,0
46.51923,9,9359,0
46.5608967,9,9366,2
46.6025633,9,9373,0
46.64423,9,9380,0
46.6858967,9,9386,0
46.7275633,9,9391,0
46.76923,9,9397,0
46.8108967,9,9402,0
46.8525633,9,9407,0
46.89423,9,9412,0
46.9358967,9,9416,0
46.9775633,8,9421,0
47.01923,8,9425,21
47.0608967,8,9429,26
47.1025633,8,9434,39
47.14423,8,9438,44
47.1858967,8,9442,11
47.2275633,8,9446,2
47.26923,8,9450,2
47.3108967,8,9454,1
47.3525633,8,9458,0
47.39423,8,9462,0
47.4358967,8,9465,0
47.4775633,8,9469,1
47.51923,8,9473,0
47.5608967,7,9477,0
47.6025633,7,9480,0
47.64423,7,9484,0
47.6858967,7,9487,0
47.7275633,7,9491,0
47.76923,7,9494,0
47.8108967,7,9498,0
47.8525633,7,9501,0
47.89423,7,9505,0
47.9358967,7,9508,0
47.9775633,7,9511,0
48.01923,7,9515,0
48.0608967,7,9518,0
48.1025633,7,9521,3
48.14423,7,9524,2
48.1858967,7,9528,8
48.2275633,7,9531,1
48.26923,7,9534,0
48.3108967,7,9538,0
48.3525633,7,9542,2
48.39423,7,9545,1
48.4358967,7,9549,1
48.4775633,7,9553,2
48.51923,7,9558,0
48.5608967,7,9562,0
48.6025633,7,9567,0
48.64423,7,9572,0
48.6858967,7,9577,0
48.7275633,7,9582,0
48.76923,7,9588,0
48.8108967,7,9594,2
48.8525633,7,9600,0
48.89423,7,9607,0
48.9358967,7,9614,0
48.9775633,7,9622,0
49.01923,7,9630,0
49.0608967,7,9638,0
49.1025633,7,9647,10
49.14423,7,9655,6
49.1858967,7,9665,2
49.2275633,7,9674,11
49.26923,7,9683,26
49.3108967,7,9693,21
49.3525633,7,9702,12
49.39423,7,9712,24
49.4358967,7,9721,29
49.4775633,7,9731,7
49.51923,7,9740,13
49.5608967,7,9749,10
49.6025633,7,9758,9
49.64423,7,9766,1
49.6858967,7,9774,0
49.7275633,7,9781,0
49.76923,7,9788,0
49.8108967,7,9795,0
49.8525633,7,9801,0
49.89423,7,9806,0
49.9358967,7,9810,0
49.9775633,7,9814,0
50.01923,7,9817,0
50.0608967,7,9819,2
50.1025633,7,9821,1
50.14423,7,9822,0
50.1858967,7,9822,0
50.2275633,7,9822,6
50.26923,6,9821,2
50.3108967,6,9819,0
50.3525633,6,9818,2
50.39423,6,9816,3
50.4358967,6,9813,3
50.4775633,6,9811,0
50.51923,6,9808,0
50.5608967,6,9805,1
50.6025633,6,9802,5
50.64423,6,9800,14
50.6858967,6,9797,11
50.7275633,6,9794,8
50.76923,6,9792,17
50.8108967,6,9790,2
50.8525633,6,9788,1
50.89423,6,9787,2
50.9358967,6,9786,1
50.9775633,6,9785,0
51.01923,6,9785,0
51.0608967,6,9786,4
51.1025633,6,9787,1
51.14423,6,9788,3
51.1858967,6,9791,3
51.2275633,6,9793,2
51.26923,6,9796,0
51.3108967,6,9799,2
51.3525633,6,9803,0
51.39423,6,9807,3
51.4358967,6,9811,1
51.4775633,6,9815,2
51.51923,6,9819,2
51.5608967,6,9824,6
51.6025633,6,9828,1
51.64423,6,9833,6
51.6858967,6,9838,7
51.7275633,6,9843,9
51.76923,6,9847,15
51.8108967,6,9852,20
51.8525633,6,9856,18
51.89423,6,9860,4
51.9358967,6,9864,2
51.9775633,6,9868,4
52.01923,6,9872,6
52.0608967,6,9875,0
52.1025633,6,9878,1
52.14423,6,9880,0
52.1858967,6,9883,4
52.2275633,7,9885,18
52.26923,7,9887,2
52.3108967,7,9889,31
52.3525633,7,9891,15
52.39423,7,9893,23
52.43589670000001,7,9895,37
52.47756329999999,7,9896,14
52.51923000000001,7,9898,31
52.56089670000001,7,9899,4
52.60256329999999,7,9901,2
52.64423000000001,7,9903,2
52.68589670000001,7,9904,0
52.72756329999999,7,9906,0
52.76923000000001,7,9908,0
52.81089670000001,7,9910,0
52.85256329999999,7,9912,0
52.89423000000001,7,9915,0
52.93589670000001,7,9918,1
52.97756329999999,7,9920,0
53.01923000000001,7,9923,0
53.06089670000001,7,9927,2
53.10256329999999,7,9930,4
53.14423000000001,7,9934,2
53.18589670000001,7,9938,1
53.22756329999999,7,9943,0
53.26923000000001,7,9947,0
53.31089670000001,7,9952,1
53.35256329999999,7,9957,9
53.39423000000001,7,9963,3
