time,births,population,reported_cases
44.01923,6,7630,0
44.0608967,6,7602,0
44.1025633,6,7577,0
44.14423,6,7555,0
44.1858967,6,7536,0
44.2275633,6,7521,0
44.26923,6,7508,0
44.3108967,6,7497,0
44.3525633,6,7490,2
44.39423,6,7484,0
44.4358967,6,7481,0
44.4775633,6,7481,0
44.51923,6,7482,2
44.5608967,6,7486,0
44.6025633,6,7491,0
44.64423,5,7498,0
44.6858967,5,7507,0
44.7275633,5,7517,0
44.76923,5,7529,0
44.8108967,5,7542,0
44.8525633,5,7556,3
44.89423,5,7571,0
44.9358967,5,7587,5
44.9775633,5,7604,2
45.01923,5,7622,9
45.0608967,5,7641,14
45.1025633,5,7660,28
45.14423,5,7679,2
45.1858967,5,7699,5
45.2275633,5,7720,0
45.26923,5,7740,0
45.3108967,5,7761,0
45.3525633,5,7782,0
45.39423,5,7803,0
45.4358967,5,7824,0
45.4775633,5,7845,0
45.51923,5,7865,0
45.5608967,5,7886,0
45.6025633,5,7906,0
45.64423,5,7926,0
45.6858967,5,7945,0
45.7275633,5,7964,0
45.76923,6,7982,0
45.8108967,6,8000,0
45.8525633,6,8017,0
45.89423,6,8033,1
45.9358967,6,8048,0
45.9775633,6,8063,0
46.01923,6,8076,0
46.0608967,6,8088,0
46.1025633,6,8100,0
46.14423,6,8110,0
46.1858967,6,8120,0
46.2275633,7,8128,0
46.26923,7,8136,0
46.3108967,7,8144,0
46.3525633,7,8150,0
46.39423,7,8157,0
46.4358967,7,8162,0
46.4775633,7,8167,0
46.51923,7,8172,2
46.5608967,8,8177,0
46.6025633,8,8181,0
46.64423,8,8185,0
46.6858967,8,8189,0
46.7275633,8,8193,0
46.76923,8,8197,0
46.8108967,8,8201,0
46.8525633,8,8205,0
46.89423,8,8209,0
46.9358967,8,8213,1
46.9775633,8,8217,4
47.01923,8,8222,0
47.0608967,8,8227,1
47.1025633,8,8233,59
47.14423,8,8239,45
47.1858967,8,8245,30
47.2275633,8,8251,8
47.26923,8,8258,0
47.3108967,8,8264,1
47.3525633,8,8271,1
47.39423,8,8278,0
47.4358967,8,8285,0
47.4775633,8,8291,0
47.51923,8,8298,0
47.5608967,8,8305,0
47.6025633,8,8312,0
47.64423,8,8319,0
47.6858967,8,8325,0
47.7275633,8,8331,0
47.76923,8,8338,0
47.8108967,7,8344,0
47.8525633,7,8349,0
47.89423,7,8355,0
47.9358967,7,8360,0
47.9775633,7,8365,0
48.01923,7,8369,0
48.0608967,7,8373,0
48.1025633,7,8377,0
48.14423,7,8380,0
48.1858967,7,8383,0
48.2275633,7,8386,0
48.26923,7,8388,0
48.3108967,7,8390,0
48.3525633,6,8392,0
48.39423,6,8394,0
48.4358967,6,8396,0
48.4775633,6,8398,0
48.51923,6,8400,0
48.5608967,6,8401,1
48.6025633,6,8403,5
48.64423,6,8405,2
48.6858967,6,8406,5
48.7275633,6,8408,0
48.76923,6,8410,0
48.8108967,6,8412,0
48.8525633,6,8414,0
48.89423,6,8417,1
48.9358967,6,8419,0
48.9775633,6,8422,0
49.01923,6,8426,0
49.0608967,6,8429,7
49.1025633,6,8433,5
49.14423,6,8437,72
49.1858967,6,8441,74
49.2275633,6,8445,22
49.26923,6,8449,2
49.3108967,6,8454,2
49.3525633,6,8458,0
49.39423,6,8463,0
49.4358967,6,8467,0
49.4775633,6,8471,0
49.51923,6,8475,0
49.5608967,6,8479,0
49.6025633,6,8483,0
49.64423,6,8486,0
49.6858967,6,8489,0
49.7275633,7,8492,0
49.76923,7,8495,0
49.8108967,7,8497,0
49.8525633,7,8498,0
49.89423,7,8499,0
49.9358967,7,8499,0
49.9775633,7,8499,0
50.01923,7,8499,2
50.0608967,7,8497,0
50.1025633,7,8495,2
50.14423,7,8493,0
50.1858967,7,8490,0
50.2275633,7,8486,0
50.26923,7,8483,0
50.3108967,7,8479,0
50.3525633,7,8474,0
50.39423,7,8469,2
50.4358967,7,8465,3
50.4775633,7,8459,2
50.51923,7,8454,0
50.5608967,7,8449,0
50.6025633,7,8444,0
50.64423,7,8438,0
50.6858967,7,8433,2
50.7275633,7,8428,0
50.76923,7,8423,0
50.8108967,7,8418,0
50.8525633,7,8414,0
50.89423,7,8409,0
50.9358967,7,8405,0
50.9775633,7,8402,0
51.01923,7,8399,0
51.0608967,7,8396,2
51.1025633,7,8393,0
51.14423,7,8391,0
51.1858967,7,8390,5
51.2275633,7,8388,0
51.26923,6,8387,0
51.3108967,6,8387,4
51.3525633,6,8386,0
51.39423,6,8386,1
51.4358967,6,8386,0
51.4775633,6,8386,0
51.51923,6,8386,2
51.5608967,6,8386,4
