time,births,population,reported_cases
44.01923,16,18050,0
44.0608967,15,18029,0
44.1025633,15,18008,0
44.14423,15,17986,1
44.1858967,15,17964,1
44.2275633,15,17942,0
44.26923,14,17920,0
44.3108967,14,17897,0
44.3525633,14,17875,0
44.39423,14,17852,0
44.4358967,14,17830,1
44.4775633,14,17808,4
44.51923,14,17786,2
44.5608967,14,17764,0
44.6025633,13,17742,0
44.64423,13,17721,1
44.6858967,13,17700,1
44.7275633,13,17680,0
44.76923,13,17660,0
44.8108967,13,17640,0
44.8525633,13,17621,0
44.89423,13,17603,0
44.9358967,13,17586,0
44.9775633,13,17569,0
45.01923,13,17553,2
45.0608967,13,17538,6
45.1025633,13,17523,12
45.14423,13,17510,31
45.1858967,13,17497,73
45.2275633,13,17485,129
45.26923,13,17474,59
45.3108967,13,17465,11
45.3525633,13,17455,16
45.39423,13,17447,10
45.4358967,13,17440,15
45.4775633,13,17434,4
45.51923,13,17428,6
45.5608967,13,17424,6
45.6025633,13,17421,1
45.64423,13,17418,0
45.6858967,13,17417,0
45.7275633,13,17417,0
45.76923,13,17417,0
45.8108967,13,17419,0
45.8525633,14,17422,0
45.89423,14,17426,0
45.9358967,14,17430,0
45.9775633,14,17436,0
46.01923,14,17443,0
46.0608967,14,17451,0
46.1025633,14,17461,0
46.14423,14,17470,2
46.1858967,14,17481,3
46.2275633,14,17493,1
46.26923,14,17505,0
46.3108967,14,17517,0
46.3525633,14,17530,0
46.39423,14,17543,0
46.4358967,14,17556,0
46.4775633,14,17570,0
46.51923,14,17583,0
46.5608967,14,17597,2
46.6025633,14,17610,0
46.64423,14,17623,0
46.6858967,14,17636,0
46.7275633,14,17648,0
46.76923,14,17660,0
46.8108967,14,17671,0
46.8525633,14,17681,0
46.89423,14,17690,0
46.9358967,14,17699,1
46.9775633,14,17706,0
47.01923,14,17713,2
47.0608967,14,17718,2
47.1025633,14,17722,2
47.14423,14,17725,0
47.1858967,15,17728,2
47.2275633,15,17729,2
47.26923,15,17730,2
47.3108967,15,17730,0
47.3525633,15,17729,4
47.39423,15,17727,0
47.4358967,15,17726,0
47.4775633,15,17723,1
47.51923,15,17720,3
47.5608967,15,17717,0
47.6025633,15,17714,0
47.64423,15,17710,0
47.6858967,15,17706,3
47.7275633,15,17702,0
47.76923,15,17699,0
47.8108967,14,17695,0
47.8525633,14,17691,0
47.89423,14,17688,0
47.9358967,14,17684,0
47.9775633,14,17681,0
48.01923,14,17679,0
48.0608967,14,17677,0
48.1025633,14,17675,0
48.14423,14,17674,0
48.1858967,14,17673,0
48.2275633,14,17673,0
48.26923,14,17673,0
48.3108967,14,17673,0
48.3525633,14,17674,87
48.39423,13,17676,77
48.4358967,13,17677,54
48.4775633,13,17680,77
48.51923,13,17683,47
48.5608967,13,17686,28
48.6025633,13,17690,7
48.64423,13,17694,1
48.6858967,13,17699,1
48.7275633,13,17704,0
48.76923,13,17709,0
48.8108967,13,17716,0
48.8525633,13,17722,2
48.89423,12,17730,5
48.9358967,12,17737,2
48.9775633,12,17745,15
49.01923,12,17754,4
49.0608967,12,17763,4
49.1025633,12,17773,0
49.14423,12,17783,7
49.1858967,12,17793,6
49.2275633,12,17803,4
49.26923,12,17813,8
49.3108967,12,17823,1
49.3525633,12,17834,6
49.39423,12,17843,4
49.4358967,12,17853,1
49.4775633,12,17862,1
49.51923,12,17871,0
49.5608967,12,17879,2
49.6025633,12,17887,1
49.64423,12,17893,0
49.6858967,12,17900,0
49.7275633,12,17905,0
49.76923,12,17909,0
49.8108967,12,17912,0
49.8525633,12,17914,1
49.89423,12,17914,0
49.9358967,12,17914,0
49.9775633,12,17912,0
50.01923,12,17908,0
50.0608967,12,17903,0
50.1025633,12,17897,0
50.14423,12,17889,0
50.1858967,12,17881,0
50.2275633,12,17871,0
50.26923,12,17861,0
50.3108967,12,17850,0
50.3525633,12,17839,0
50.39423,12,17827,0
50.4358967,12,17815,0
50.4775633,12,17803,0
50.51923,12,17792,0
50.5608967,12,17780,4
50.6025633,12,17769,4
50.64423,12,17758,2
50.6858967,12,17748,0
50.7275633,12,17739,0
