time,births,population,reported_cases
44.01923,61,63304,7
44.0608967,60,63195,0
44.1025633,59,63101,6
44.14423,58,63023,2
44.1858967,57,62958,2
44.2275633,57,62908,8
44.26923,56,62872,2
44.3108967,55,62848,4
44.3525633,55,62837,2
44.39423,54,62837,4
44.4358967,54,62849,4
44.4775633,53,62871,11
44.51923,53,62904,0
44.5608967,53,62947,0
44.6025633,52,62998,0
44.64423,52,63059,18
44.6858967,52,63127,12
44.7275633,52,63203,6
44.76923,52,63286,0
44.8108967,52,63376,19
44.8525633,51,63472,142
44.89423,51,63573,174
44.9358967,52,63679,91
44.9775633,52,63789,80
45.01923,52,63903,61
45.0608967,52,64021,42
45.1025633,52,64141,67
45.14423,52,64265,45
45.1858967,52,64390,15
45.2275633,53,64518,7
45.26923,53,64647,0
45.3108967,53,64778,2
45.3525633,53,64910,0
45.39423,54,65042,1
45.4358967,54,65174,2
45.4775633,54,65306,2
45.51923,55,65438,0
45.5608967,55,65569,0
45.6025633,56,65699,0
45.64423,56,65827,2
45.6858967,56,65954,0
45.7275633,57,66078,0
45.76923,57,66199,0
45.8108967,58,66318,0
45.8525633,58,66433,0
45.89423,59,66545,0
45.9358967,59,66653,0
45.9775633,59,66756,0
46.01923,60,66855,0
46.0608967,60,66949,0
46.1025633,61,67038,0
46.14423,61,67123,0
46.1858967,61,67204,0
46.2275633,62,67281,0
46.26923,62,67355,0
46.3108967,62,67425,0
46.3525633,63,67491,0
46.39423,63,67555,0
46.4358967,63,67616,0
46.4775633,63,67674,0
46.51923,64,67731,0
46.5608967,64,67784,0
46.6025633,64,67836,1
46.64423,64,67887,5
46.6858967,64,67936,4
46.7275633,64,67983,0
46.76923,64,68030,0
46.8108967,64,68076,0
46.8525633,64,68121,0
46.89423,64,68166,3
46.9358967,64,68211,3
46.9775633,64,68256,0
47.01923,64,68301,0
47.0608967,64,68347,11
47.1025633,64,68392,19
47.14423,63,68439,51
47.1858967,63,68485,45
47.2275633,63,68531,25
47.26923,62,68578,19
47.3108967,62,68624,26
47.3525633,62,68670,111
47.39423,61,68716,83
47.4358967,61,68762,122
47.4775633,60,68807,52
47.51923,60,68852,18
47.5608967,60,68896,109
47.6025633,59,68940,58
47.64423,59,68983,13
47.6858967,58,69025,6
47.7275633,58,69067,1
47.76923,57,69107,2
47.8108967,57,69146,0
47.8525633,57,69185,3
47.89423,56,69222,0
47.9358967,56,69257,0
47.9775633,56,69292,0
48.01923,55,69325,0
48.0608967,55,69357,0
48.1025633,55,69387,2
48.14423,55,69417,5
48.1858967,54,69445,3
48.2275633,54,69472,4
48.26923,54,69498,9
48.3108967,54,69524,8
48.3525633,54,69549,7
48.39423,54,69574,42
48.4358967,53,69598,46
48.4775633,53,69622,21
48.51923,53,69646,26
48.5608967,53,69670,14
48.6025633,53,69694,31
48.64423,53,69718,3
48.6858967,53,69743,9
48.7275633,53,69768,0
