time,births,population,reported_cases
44.01923,16,20425,0
44.0608967,16,20356,2
44.1025633,16,20295,1
44.14423,16,20242,1
44.1858967,16,20195,2
44.2275633,16,20156,0
44.26923,16,20123,4
44.3108967,16,20097,5
44.3525633,16,20077,1
44.39423,16,20062,2
44.4358967,16,20053,0
44.4775633,16,20050,0
44.51923,16,20051,0
44.5608967,15,20056,0
44.6025633,15,20066,0
44.64423,15,20080,0
44.6858967,15,20098,1
44.7275633,15,20119,0
44.76923,15,20143,0
44.8108967,15,20170,1
44.8525633,15,20200,12
44.89423,15,20232,17
44.9358967,15,20265,17
44.9775633,15,20300,21
45.01923,15,20337,0
45.0608967,15,20375,22
45.1025633,15,20413,6
45.14423,15,20453,10
45.1858967,15,20493,39
45.2275633,15,20533,56
45.26923,15,20573,28
45.3108967,15,20614,26
45.3525633,15,20655,17
45.39423,15,20695,9
45.4358967,15,20735,1
45.4775633,15,20774,3
45.51923,15,20812,0
45.5608967,15,20849,0
45.6025633,16,20885,4
45.64423,16,20920,4
45.6858967,16,20954,4
45.7275633,16,20985,0
45.76923,16,21015,2
45.8108967,16,21043,0
45.8525633,16,21069,1
45.89423,16,21092,0
45.9358967,16,21113,0
45.9775633,16,21131,0
46.01923,16,21147,0
46.0608967,16,21159,0
46.1025633,16,21169,0
46.14423,16,21176,0
46.1858967,17,21181,1
46.2275633,17,21184,0
46.26923,17,21185,0
46.3108967,17,21185,0
46.3525633,17,21183,0
46.39423,17,21180,2
46.4358967,17,21175,3
46.4775633,17,21170,0
46.51923,17,21164,4
46.5608967,17,21158,0
46.6025633,17,21151,1
46.64423,17,21144,3
46.6858967,17,21137,7
46.7275633,18,21131,4
46.76923,18,21125,35
46.8108967,18,21120,52
46.8525633,18,21115,53
46.89423,18,21112,24
46.9358967,18,21110,13
46.9775633,18,21110,22
47.01923,18,21111,3
47.0608967,17,21114,36
47.1025633,17,21118,8
47.14423,17,21124,7
47.1858967,17,21132,10
47.2275633,17,21141,6
47.26923,17,21151,1
47.3108967,17,21162,15
47.3525633,17,21174,33
47.39423,17,21187,15
47.4358967,17,21201,40
47.4775633,16,21215,12
47.51923,16,21231,6
47.5608967,16,21246,5
47.6025633,16,21262,8
47.64423,16,21278,8
47.6858967,16,21294,1
47.7275633,16,21310,0
47.76923,16,21327,1
47.8108967,16,21343,0
47.8525633,15,21358,0
47.89423,15,21374,0
47.9358967,15,21388,0
47.9775633,15,21403,0
48.01923,15,21416,0
48.0608967,15,21429,0
48.1025633,15,21441,0
48.14423,15,21452,0
48.1858967,15,21463,2
48.2275633,15,21473,2
48.26923,15,21483,0
48.3108967,15,21493,15
48.3525633,15,21502,19
48.39423,15,21511,37
48.4358967,15,21520,38
48.4775633,15,21528,31
48.51923,15,21537,24
48.5608967,15,21545,7
48.6025633,15,21554,7
48.64423,15,21563,1
48.6858967,15,21571,2
48.7275633,15,21581,4
48.76923,15,21590,4
48.8108967,16,21600,3
48.8525633,16,21610,15
48.89423,16,21620,7
48.9358967,16,21632,4
48.9775633,16,21643,9
49.01923,16,21656,30
49.0608967,16,21669,26
49.1025633,16,21683,17
49.14423,16,21697,74
49.1858967,16,21711,62
49.2275633,16,21726,74
49.26923,16,21741,20
49.3108967,16,21755,7
49.3525633,16,21770,0
49.39423,16,21785,1
49.4358967,16,21799,0
49.4775633,16,21813,4
49.51923,16,21827,11
49.5608967,16,21840,5
49.6025633,15,21853,2
49.64423,15,21864,2
49.6858967,15,21875,0
49.7275633,15,21885,0
49.76923,15,21894,0
49.8108967,15,21902,0
49.8525633,15,21908,0
49.89423,15,21914,0
49.9358967,15,21917,0
49.9775633,15,21919,0
50.01923,15,21920,0
50.0608967,15,21919,0
50.1025633,15,21916,1
50.14423,15,21912,4
50.1858967,15,21907,1
50.2275633,15,21901,1
50.26923,15,21894,2
50.3108967,15,21886,8
50.3525633,15,21877,2
50.39423,15,21868,4
