time,births,population,reported_cases
44.01923,2,2019,0
44.0608967,2,2017,0
44.1025633,2,2013,0
44.14423,2,2010,0
44.1858967,2,2005,0
44.2275633,1,2000,2
44.26923,1,1995,0
44.3108967,1,1989,0
44.3525633,1,1983,0
44.39423,1,1977,0
44.4358967,1,1970,0
44.4775633,1,1963,0
44.51923,1,1957,0
44.5608967,1,1949,0
44.6025633,1,1942,0
44.64423,1,1935,0
44.6858967,1,1928,0
44.7275633,1,1922,0
44.76923,1,1915,0
44.8108967,1,1909,0
44.8525633,1,1902,0
44.89423,2,1897,0
44.9358967,2,1891,0
44.9775633,2,1886,0
45.01923,2,1882,0
45.0608967,2,1878,0
45.1025633,2,1875,1
45.14423,2,1872,0
45.1858967,2,1870,3
45.2275633,2,1869,0
45.26923,2,1868,0
45.3108967,2,1867,2
45.3525633,2,1868,0
45.39423,2,1869,0
45.4358967,2,1871,0
45.4775633,2,1873,0
45.51923,2,1877,2
45.5608967,2,1881,0
45.6025633,2,1886,1
45.64423,2,1891,0
45.6858967,3,1897,0
45.7275633,3,1905,0
45.76923,3,1913,0
45.8108967,3,1922,2
45.8525633,3,1931,5
45.89423,3,1942,7
45.9358967,3,1953,2
45.9775633,3,1966,0
46.01923,3,1979,0
46.0608967,3,1994,0
46.1025633,3,2009,0
46.14423,3,2025,0
46.1858967,3,2041,0
46.2275633,3,2058,0
46.26923,3,2076,0
46.3108967,3,2093,0
46.3525633,3,2112,0
46.39423,3,2130,0
46.4358967,3,2149,0
46.4775633,3,2167,0
46.51923,2,2186,0
46.5608967,2,2204,0
46.6025633,2,2222,0
46.64423,2,2240,0
46.6858967,2,2258,0
46.7275633,2,2275,0
46.76923,2,2291,0
46.8108967,2,2307,2
46.8525633,2,2322,0
46.89423,2,2336,0
46.9358967,2,2350,0
46.9775633,2,2362,0
47.01923,2,2373,0
47.0608967,2,2383,0
47.1025633,2,2392,0
47.14423,2,2400,0
47.1858967,2,2407,0
47.2275633,2,2413,0
47.26923,2,2419,0
47.3108967,2,2423,0
47.3525633,2,2426,0
47.39423,2,2429,0
47.4358967,2,2431,0
47.4775633,2,2433,0
47.51923,2,2433,0
47.5608967,2,2433,0
47.6025633,2,2433,0
47.64423,2,2432,0
47.6858967,2,2431,0
47.7275633,2,2429,0
47.76923,2,2427,0
47.8108967,2,2424,0
47.8525633,2,2422,0
47.89423,2,2419,1
47.9358967,2,2415,1
47.9775633,2,2412,14
48.01923,2,2408,0
48.0608967,2,2405,0
48.1025633,2,2401,0
48.14423,2,2397,1
48.1858967,2,2394,0
48.2275633,2,2390,0
48.26923,2,2387,0
48.3108967,2,2383,0
48.3525633,2,2380,0
48.39423,2,2376,0
48.4358967,2,2373,0
48.4775633,2,2370,0
48.51923,2,2368,0
48.5608967,2,2365,0
48.6025633,2,2363,0
48.64423,2,2361,0
48.6858967,2,2359,0
48.7275633,2,2358,0
48.76923,2,2357,0
48.8108967,2,2357,0
48.8525633,2,2357,0
48.89423,2,2357,0
48.9358967,2,2358,0
48.9775633,2,2359,0
49.01923,2,2361,0
49.0608967,2,2363,0
49.1025633,2,2366,1
49.14423,2,2369,0
49.1858967,2,2373,1
49.2275633,2,2377,0
49.26923,2,2381,0
49.3108967,2,2385,0
49.3525633,2,2389,0
49.39423,2,2393,0
49.4358967,2,2398,0
49.4775633,2,2402,0
49.51923,2,2406,0
49.5608967,2,2409,0
49.6025633,2,2413,0
49.64423,2,2416,0
49.6858967,2,2419,0
49.7275633,2,2421,0
