time,births,population,reported_cases
44.01923,10,10529,0
44.0608967,10,10507,0
44.1025633,9,10487,0
44.14423,9,10469,0
44.1858967,9,10453,0
44.2275633,9,10438,0
44.26923,9,10426,0
44.3108967,9,10416,0
44.3525633,9,10407,0
44.39423,9,10399,0
44.4358967,8,10394,0
44.4775633,8,10389,0
44.51923,8,10386,0
44.5608967,8,10385,0
44.6025633,8,10384,0
44.64423,8,10385,1
44.6858967,8,10387,0
44.7275633,8,10390,0
44.76923,8,10394,0
44.8108967,8,10399,4
44.8525633,8,10405,5
44.89423,8,10411,9
44.9358967,8,10418,27
44.9775633,8,10426,20
45.01923,8,10434,2
45.0608967,8,10442,2
45.1025633,8,10451,0
45.14423,8,10461,0
45.1858967,8,10471,1
45.2275633,8,10481,4
45.26923,8,10491,9
45.3108967,8,10501,8
45.3525633,8,10512,7
45.39423,8,10522,9
45.4358967,9,10533,1
45.4775633,9,10544,0
45.51923,9,10554,0
45.5608967,9,10565,0
45.6025633,9,10575,0
45.64423,9,10586,0
45.6858967,9,10596,0
45.7275633,9,10606,0
45.76923,9,10615,0
45.8108967,9,10624,0
45.8525633,9,10633,0
45.89423,9,10641,0
45.9358967,9,10649,0
45.9775633,9,10656,0
46.01923,9,10663,0
46.0608967,9,10669,0
46.1025633,9,10675,0
46.14423,9,10680,0
46.1858967,9,10684,0
46.2275633,9,10689,0
46.26923,9,10692,0
46.3108967,9,10696,0
46.3525633,9,10699,0
46.39423,9,10702,0
46.4358967,9,10705,0
46.4775633,9,10708,0
46.51923,9,10711,2
46.5608967,9,10713,0
46.6025633,9,10716,0
46.64423,9,10719,0
46.6858967,9,10721,0
46.7275633,9,10724,0
46.76923,9,10727,0
46.8108967,9,10731,0
46.8525633,9,10734,0
46.89423,9,10738,0
46.9358967,9,10743,1
46.9775633,9,10747,8
47.01923,9,10752,2
47.0608967,9,10758,0
47.1025633,9,10764,2
47.14423,9,10771,0
47.1858967,9,10778,1
47.2275633,9,10785,1
47.26923,9,10793,0
47.3108967,9,10801,0
47.3525633,9,10809,15
47.39423,9,10817,12
47.4358967,9,10826,18
47.4775633,9,10835,32
47.51923,9,10845,51
47.5608967,9,10854,22
47.6025633,9,10864,11
47.64423,9,10874,0
47.6858967,9,10884,0
47.7275633,9,10894,0
47.76923,9,10904,0
47.8108967,9,10914,0
47.8525633,9,10924,0
47.89423,9,10934,0
47.9358967,9,10944,0
47.9775633,9,10955,0
48.01923,9,10965,0
48.0608967,9,10975,0
48.1025633,9,10984,0
48.14423,9,10994,0
48.1858967,9,11004,0
48.2275633,9,11013,0
48.26923,9,11022,0
48.3108967,9,11031,0
48.3525633,9,11039,0
48.39423,9,11047,1
48.4358967,9,11055,1
48.4775633,9,11062,0
48.51923,9,11068,0
48.5608967,9,11075,0
48.6025633,9,11080,0
48.64423,9,11085,0
48.6858967,9,11090,0
48.7275633,9,11093,0
48.76923,9,11097,0
48.8108967,9,11099,0
48.8525633,9,11101,0
48.89423,9,11102,1
48.9358967,9,11102,0
48.9775633,9,11101,0
49.01923,9,11099,2
49.0608967,9,11097,0
49.1025633,9,11093,0
49.14423,9,11090,1
49.1858967,9,11085,6
49.2275633,9,11081,13
49.26923,8,11076,0
49.3108967,8,11071,0
49.3525633,8,11066,14
49.39423,8,11062,1
49.4358967,8,11058,0
49.4775633,8,11054,0
49.51923,8,11051,0
49.5608967,8,11048,0
49.6025633,8,11047,0
49.64423,8,11046,0
49.6858967,8,11047,0
49.7275633,8,11048,0
49.76923,8,11052,0
49.8108967,8,11056,0
49.8525633,8,11063,0
49.89423,7,11071,0
49.9358967,7,11081,0
49.9775633,7,11093,0
50.01923,7,11107,0
50.0608967,7,11123,0
50.1025633,7,11141,0
50.14423,7,11162,0
50.1858967,7,11183,0
50.2275633,7,11206,0
50.26923,7,11231,0
50.3108967,7,11256,2
50.3525633,7,11282,0
50.39423,7,11309,0
50.4358967,7,11336,0
50.4775633,7,11364,0
50.51923,7,11392,2
50.5608967,7,11420,4
50.6025633,7,11447,42
50.64423,7,11474,10
50.6858967,7,11500,6
50.7275633,7,11526,2
50.76923,7,11550,0
50.8108967,8,11574,0
50.8525633,8,11596,0
50.89423,8,11616,0
50.9358967,8,11635,0
50.9775633,8,11652,0
51.01923,8,11667,0
51.0608967,8,11679,0
51.1025633,8,11690,0
51.14423,8,11698,3
51.1858967,8,11705,8
51.2275633,8,11711,2
51.26923,8,11714,4
51.3108967,8,11717,0
51.3525633,8,11718,7
51.39423,8,11719,6
51.4358967,7,11718,17
51.4775633,7,11717,63
51.51923,7,11715,26
51.5608967,7,11712,5
51.6025633,7,11709,14
51.64423,7,11706,0
51.6858967,7,11703,0
51.7275633,7,11700,0
51.76923,7,11697,9
51.8108967,7,11694,4
51.8525633,7,11692,9
51.89423,7,11690,1
51.9358967,7,11690,0
51.9775633,7,11690,0
52.01923,7,11691,0
52.0608967,7,11693,0
52.1025633,7,11696,0
52.14423,7,11699,0
52.1858967,7,11703,0
52.2275633,7,11708,0
52.26923,7,11713,0
52.3108967,7,11718,0
52.3525633,7,11723,0
52.39423,7,11729,2
52.43589670000001,7,11733,0
52.47756329999999,7,11738,1
52.51923000000001,8,11742,9
52.56089670000001,8,11745,2
52.60256329999999,8,11747,5
52.64423000000001,8,11748,2
52.68589670000001,8,11749,4
52.72756329999999,8,11748,0
52.76923000000001,8,11745,0
52.81089670000001,8,11741,4
52.85256329999999,8,11736,0
52.89423000000001,8,11728,0
52.93589670000001,8,11719,4
52.97756329999999,8,11707,0
53.01923000000001,8,11693,0
53.06089670000001,8,11677,2
53.10256329999999,8,11659,16
53.14423000000001,8,11639,9
53.18589670000001,8,11618,30
53.22756329999999,8,11595,18
53.26923000000001,8,11571,50
53.31089670000001,8,11545,6
53.35256329999999,8,11519,8
53.39423000000001,8,11492,4
53.43589670000001,8,11465,0
53.47756329999999,8,11437,4
53.51923000000001,8,11410,2
53.56089670000001,8,11382,0
53.60256329999999,8,11355,0
53.64423000000001,8,11328,0
53.68589670000001,8,11302,0
53.72756329999999,8,11277,0
53.76923000000001,8,11253,0
53.81089670000001,8,11231,0
53.85256329999999,8,11210,0
53.89423000000001,8,11190,0
53.93589670000001,8,11173,0
53.97756329999999,7,11157,0
54.01923000000001,7,11144,0
54.06089670000001,7,11133,0
54.10256329999999,7,11125,0
54.14423000000001,7,11118,0
54.18589670000001,7,11114,0
54.22756329999999,7,11111,0
54.26923000000001,7,11110,0
54.31089670000001,7,11110,0
54.35256329999999,7,11112,0
54.39423000000001,7,11115,0
54.43589670000001,7,11119,0
54.47756329999999,7,11124,0
54.51923000000001,7,11129,0
54.56089670000001,7,11136,0
54.60256329999999,7,11143,0
54.64423000000001,7,11150,0
54.68589670000001,7,11158,1
54.72756329999999,7,11166,0
54.76923000000001,7,11174,4
54.81089670000001,7,11181,0
54.85256329999999,7,11188,0
54.89423000000001,7,11195,0
54.93589670000001,7,11202,0
54.97756329999999,7,11207,0
55.01923000000001,7,11212,0
55.06089670000001,7,11216,0
55.10256329999999,7,11219,0
55.14423000000001,7,11221,0
55.18589670000001,7,11223,0
55.22756329999999,7,11223,1
55.26923000000001,7,11224,0
55.31089670000001,7,11223,5
55.35256329999999,7,11222,3
55.39423000000001,7,11220,15
55.43589670000001,7,11218,19
55.47756329999999,7,11216,8
