time,births,population,reported_cases
44.01923,89,112031,6
44.0608967,88,111750,6
44.1025633,87,111499,12
44.14423,87,111274,19
44.1858967,86,111077,24
44.2275633,86,110906,33
44.26923,85,110759,123
44.3108967,85,110637,138
44.3525633,84,110538,107
44.39423,84,110462,196
44.4358967,83,110407,305
44.4775633,83,110373,126
44.51923,83,110359,80
44.5608967,82,110364,29
44.6025633,82,110386,11
44.64423,82,110427,13
44.6858967,82,110483,6
44.7275633,82,110556,4
44.76923,82,110642,9
44.8108967,82,110743,15
44.8525633,82,110857,4
44.89423,82,110982,13
44.9358967,82,111119,25
44.9775633,82,111267,17
45.01923,82,111423,26
45.0608967,83,111589,59
45.1025633,83,111763,93
45.14423,83,111944,40
45.1858967,84,112131,17
45.2275633,84,112325,46
45.26923,84,112525,13
45.3108967,85,112729,22
45.3525633,85,112938,7
45.39423,86,113150,4
45.4358967,86,113365,1
45.4775633,87,113583,6
45.51923,88,113802,11
45.5608967,88,114022,11
45.6025633,89,114242,24
45.64423,89,114463,11
45.6858967,90,114682,2
45.7275633,91,114900,1
45.76923,91,115115,2
45.8108967,92,115328,0
45.8525633,93,115537,1
45.89423,94,115742,0
45.9358967,94,115943,0
45.9775633,95,116138,1
46.01923,96,116326,2
46.0608967,97,116509,0
46.1025633,98,116685,2
46.14423,98,116856,1
46.1858967,99,117020,0
46.2275633,100,117179,0
46.26923,101,117333,2
46.3108967,101,117481,2
46.3525633,102,117624,0
46.39423,103,117762,2
46.4358967,104,117895,0
46.4775633,104,118023,4
46.51923,105,118147,9
46.5608967,105,118266,5
46.6025633,106,118381,9
46.64423,107,118492,23
46.6858967,107,118600,32
46.7275633,108,118703,18
46.76923,108,118803,63
46.8108967,108,118900,99
46.8525633,109,118993,240
46.89423,109,119083,459
46.9358967,109,119171,486
46.9775633,109,119255,313
47.01923,109,119338,329
47.0608967,109,119417,270
47.1025633,109,119494,137
47.14423,109,119569,48
47.1858967,109,119641,15
47.2275633,108,119711,2
47.26923,108,119779,0
47.3108967,108,119844,2
47.3525633,107,119907,2
47.39423,107,119967,2
47.4358967,106,120025,3
47.4775633,106,120081,1
47.51923,105,120135,10
47.5608967,104,120187,11
47.6025633,104,120236,18
47.64423,103,120283,1
47.6858967,103,120328,1
47.7275633,102,120371,8
47.76923,101,120412,10
47.8108967,101,120450,11
47.8525633,100,120487,33
47.89423,99,120521,11
47.9358967,99,120554,29
47.9775633,98,120584,21
