time,births,population,reported_cases
44.01923,14,13436,0
44.0608967,13,13409,0
44.1025633,13,13385,0
44.14423,13,13364,0
44.1858967,13,13345,0
44.2275633,13,13329,0
44.26923,13,13316,0
44.3108967,12,13306,0
44.3525633,12,13298,0
44.39423,12,13292,0
44.4358967,12,13289,0
44.4775633,12,13288,0
44.51923,12,13289,0
44.5608967,12,13293,2
44.6025633,12,13298,0
44.64423,12,13305,0
44.6858967,12,13314,0
44.7275633,12,13324,0
44.76923,12,13337,0
44.8108967,12,13350,0
44.8525633,12,13366,0
44.89423,12,13382,1
44.9358967,12,13400,38
44.9775633,12,13419,0
45.01923,12,13439,0
45.0608967,12,13461,0
45.1025633,12,13483,0
45.14423,12,13506,0
45.1858967,12,13530,0
45.2275633,12,13555,64
45.26923,12,13581,0
45.3108967,12,13607,52
45.3525633,12,13633,0
45.39423,12,13661,38
45.4358967,12,13688,0
45.4775633,12,13716,0
45.51923,12,13744,0
45.5608967,12,13773,0
45.6025633,12,13802,0
45.64423,13,13830,0
45.6858967,13,13859,0
45.7275633,13,13888,0
45.76923,13,13917,0
45.8108967,13,13945,0
45.8525633,13,13973,0
45.89423,13,14001,0
45.9358967,13,14029,0
45.9775633,13,14056,0
46.01923,13,14082,0
46.0608967,14,14108,0
46.1025633,14,14134,0
46.14423,14,14158,0
46.1858967,14,14183,0
46.2275633,14,14206,0
46.26923,14,14230,0
46.3108967,14,14252,0
46.3525633,14,14274,0
46.39423,14,14296,0
46.4358967,15,14316,0
46.4775633,15,14337,0
46.51923,15,14356,0
46.5608967,15,14375,0
46.6025633,15,14394,0
46.64423,15,14412,0
46.6858967,15,14429,0
46.7275633,15,14446,0
46.76923,15,14462,0
46.8108967,15,14477,26
46.8525633,15,14492,0
46.89423,15,14507,0
46.9358967,15,14520,0
46.9775633,15,14533,0
47.01923,15,14546,0
47.0608967,15,14557,0
47.1025633,15,14569,0
47.14423,15,14579,0
47.1858967,15,14589,0
47.2275633,15,14599,0
47.26923,15,14608,0
47.3108967,15,14616,0
47.3525633,14,14624,0
47.39423,14,14632,0
47.4358967,14,14638,0
47.4775633,14,14645,0
47.51923,14,14651,0
47.5608967,14,14656,0
47.6025633,14,14661,1
47.64423,13,14666,1
47.6858967,13,14670,0
47.7275633,13,14674,0
47.76923,13,14677,0
47.8108967,13,14680,0
47.8525633,13,14683,0
47.89423,13,14686,20
47.9358967,12,14688,82
47.9775633,12,14689,32
48.01923,12,14691,47
48.0608967,12,14692,2
48.1025633,12,14693,40
48.14423,12,14693,26
48.1858967,12,14694,0
48.2275633,11,14694,0
48.26923,11,14694,2
48.3108967,11,14694,0
48.3525633,11,14695,0
48.39423,11,14695,0
48.4358967,11,14695,0
48.4775633,11,14695,0
48.51923,11,14695,0
48.5608967,11,14696,14
48.6025633,11,14697,0
48.64423,10,14698,0
48.6858967,10,14699,2
48.7275633,10,14700,0
48.76923,10,14702,0
48.8108967,10,14704,0
48.8525633,10,14707,0
48.89423,10,14710,1
48.9358967,10,14714,1
48.9775633,10,14718,8
49.01923,10,14722,0
49.0608967,10,14727,9
49.1025633,10,14733,12
49.14423,10,14739,24
49.1858967,10,14745,8
49.2275633,10,14751,3
49.26923,10,14758,0
49.3108967,10,14764,2
49.3525633,10,14771,1
49.39423,10,14777,0
49.4358967,10,14783,3
49.4775633,10,14789,0
49.51923,10,14794,6
