time,births,population,reported_cases
44.01923,8,11639,0
44.0608967,8,11619,0
44.1025633,8,11601,0
44.14423,8,11586,0
44.1858967,7,11574,0
44.2275633,7,11564,0
44.26923,7,11557,0
44.3108967,7,11553,0
44.3525633,7,11550,0
44.39423,7,11550,0
44.4358967,7,11552,0
44.4775633,7,11556,0
44.51923,7,11562,0
44.5608967,7,11569,0
44.6025633,7,11578,0
44.64423,7,11589,0
44.6858967,7,11600,0
44.7275633,7,11613,0
44.76923,7,11627,0
44.8108967,7,11643,20
44.8525633,7,11658,0
44.89423,8,11675,9
44.9358967,8,11692,10
44.9775633,8,11710,13
45.01923,8,11728,0
45.0608967,8,11747,2
45.1025633,8,11766,0
45.14423,8,11784,0
45.1858967,8,11803,0
45.2275633,8,11822,0
45.26923,9,11841,0
45.3108967,9,11860,0
45.3525633,9,11879,0
45.39423,9,11897,0
45.4358967,9,11915,0
45.4775633,9,11933,0
45.51923,9,11950,0
45.5608967,9,11966,0
45.6025633,9,11982,0
45.64423,9,11997,0
45.6858967,9,12012,0
45.7275633,10,12026,0
45.76923,10,12038,0
45.8108967,10,12050,0
45.8525633,10,12061,0
45.89423,10,12071,0
45.9358967,10,12079,0
45.9775633,10,12087,0
46.01923,10,12093,0
46.0608967,10,12097,0
46.1025633,10,12101,0
46.14423,10,12103,0
46.1858967,10,12104,0
46.2275633,10,12105,0
46.26923,10,12104,0
46.3108967,10,12103,0
46.3525633,10,12101,0
46.39423,10,12098,0
46.4358967,10,12095,0
46.4775633,10,12091,0
46.51923,10,12087,0
46.5608967,10,12082,0
46.6025633,10,12078,0
46.64423,10,12073,0
46.6858967,10,12068,0
46.7275633,9,12064,0
46.76923,9,12059,0
46.8108967,9,12055,0
46.8525633,9,12051,0
46.89423,9,12047,0
46.9358967,9,12044,0
46.9775633,9,12041,34
47.01923,9,12039,3
47.0608967,9,12038,20
47.1025633,9,12037,29
47.14423,9,12037,10
47.1858967,9,12038,4
47.2275633,9,12039,6
47.26923,9,12041,2
47.3108967,9,12043,2
47.3525633,9,12046,0
47.39423,9,12049,0
47.4358967,9,12053,0
47.4775633,9,12058,0
47.51923,9,12063,0
47.5608967,9,12068,0
47.6025633,9,12074,0
47.64423,9,12081,0
47.6858967,9,12087,0
47.7275633,9,12094,0
47.76923,9,12102,0
47.8108967,9,12110,0
47.8525633,9,12118,0
47.89423,9,12127,0
47.9358967,9,12136,0
47.9775633,9,12145,0
48.01923,9,12154,0
48.0608967,9,12164,0
48.1025633,9,12174,0
48.14423,9,12184,0
48.1858967,9,12195,0
48.2275633,9,12205,0
48.26923,9,12216,0
48.3108967,8,12227,0
48.3525633,8,12238,0
48.39423,8,12249,1
48.4358967,8,12261,0
48.4775633,8,12272,0
48.51923,8,12283,2
48.5608967,8,12295,1
48.6025633,8,12306,1
48.64423,8,12317,0
48.6858967,8,12328,1
48.7275633,7,12340,0
48.76923,7,12351,0
48.8108967,7,12362,1
48.8525633,7,12373,1
48.89423,7,12383,4
48.9358967,7,12394,7
48.9775633,7,12404,0
49.01923,7,12415,2
49.0608967,7,12425,5
49.1025633,7,12434,3
49.14423,7,12444,9
49.1858967,7,12452,7
49.2275633,7,12461,4
49.26923,7,12469,2
49.3108967,7,12476,5
49.3525633,7,12482,10
49.39423,7,12488,9
49.4358967,7,12493,12
49.4775633,7,12497,1
49.51923,8,12500,0
49.5608967,8,12502,2
49.6025633,8,12504,0
49.64423,8,12504,0
49.6858967,8,12502,0
49.7275633,8,12500,0
49.76923,8,12496,2
49.8108967,8,12491,0
49.8525633,8,12485,0
49.89423,8,12477,0
49.9358967,8,12468,0
49.9775633,8,12457,0
50.01923,8,12444,0
50.0608967,8,12430,0
50.1025633,8,12414,0
50.14423,8,12397,1
50.1858967,8,12379,0
50.2275633,8,12359,0
50.26923,8,12339,0
50.3108967,8,12319,0
50.3525633,8,12298,0
50.39423,8,12276,0
50.4358967,8,12255,0
50.4775633,8,12233,0
50.51923,8,12212,0
50.5608967,8,12191,0
50.6025633,8,12170,1
50.64423,8,12150,2
50.6858967,8,12131,0
50.7275633,8,12113,0
50.76923,8,12096,0
50.8108967,8,12080,2
50.8525633,8,12066,1
50.89423,8,12053,1
50.9358967,8,12043,3
50.9775633,8,12034,14
51.01923,8,12027,18
51.0608967,8,12023,9
51.1025633,8,12020,4
51.14423,8,12019,1
51.1858967,8,12020,0
51.2275633,8,12023,0
51.26923,8,12027,0
51.3108967,7,12032,0
51.3525633,7,12038,0
51.39423,7,12046,7
51.4358967,7,12054,6
51.4775633,7,12063,4
51.51923,7,12072,0
51.5608967,7,12082,0
51.6025633,7,12092,0
51.64423,7,12102,0
51.6858967,7,12112,0
51.7275633,7,12121,0
51.76923,7,12131,0
51.8108967,7,12140,0
51.8525633,7,12148,0
51.89423,7,12156,1
51.9358967,7,12162,0
51.9775633,7,12168,0
52.01923,7,12172,0
52.0608967,7,12175,0
52.1025633,7,12177,0
52.14423,7,12177,0
52.1858967,7,12177,0
52.2275633,7,12175,0
52.26923,7,12173,0
52.3108967,7,12170,0
52.3525633,7,12166,0
52.39423,7,12162,0
52.43589670000001,7,12157,0
52.47756329999999,7,12151,0
52.51923000000001,7,12145,2
52.56089670000001,7,12139,4
52.60256329999999,7,12132,10
52.64423000000001,7,12126,8
52.68589670000001,7,12119,1
52.72756329999999,7,12112,1
52.76923000000001,7,12105,8
52.81089670000001,7,12098,15
52.85256329999999,7,12091,12
52.89423000000001,7,12085,24
52.93589670000001,7,12079,3
52.97756329999999,7,12073,1
53.01923000000001,7,12068,4
53.06089670000001,7,12063,1
53.10256329999999,7,12059,15
53.14423000000001,6,12055,0
53.18589670000001,6,12052,0
53.22756329999999,6,12049,2
53.26923000000001,6,12046,0
53.31089670000001,6,12044,0
53.35256329999999,6,12042,0
53.39423000000001,6,12040,0
53.43589670000001,6,12039,4
53.47756329999999,6,12038,0
53.51923000000001,6,12037,0
53.56089670000001,6,12036,2
53.60256329999999,6,12035,1
53.64423000000001,5,12035,0
53.68589670000001,5,12034,0
53.72756329999999,5,12034,0
53.76923000000001,5,12033,0
53.81089670000001,5,12033,0
53.85256329999999,5,12032,0
53.89423000000001,5,12032,1
53.93589670000001,5,12031,0
53.97756329999999,5,12030,0
54.01923000000001,5,12030,0
54.06089670000001,5,12028,0
54.10256329999999,5,12027,0
54.14423000000001,5,12026,0
54.18589670000001,5,12024,0
54.22756329999999,6,12023,0
54.26923000000001,6,12021,0
54.31089670000001,6,12019,0
54.35256329999999,6,12017,0
54.39423000000001,6,12015,0
54.43589670000001,6,12013,0
54.47756329999999,6,12011,0
54.51923000000001,6,12009,0
54.56089670000001,6,12007,0
54.60256329999999,6,12005,0
54.64423000000001,7,12003,0
54.68589670000001,7,12001,0
54.72756329999999,7,12000,0
54.76923000000001,7,11998,0
54.81089670000001,7,11996,0
54.85256329999999,7,11995,0
54.89423000000001,7,11993,0
54.93589670000001,7,11992,0
54.97756329999999,7,11991,0
55.01923000000001,7,11990,0
55.06089670000001,7,11989,0
55.10256329999999,7,11988,1
55.14423000000001,7,11987,10
55.18589670000001,7,11987,9
55.22756329999999,7,11987,2
55.26923000000001,7,11986,7
55.31089670000001,7,11986,10
55.35256329999999,7,11986,16
55.39423000000001,7,11986,26
55.43589670000001,7,11987,3
55.47756329999999,7,11987,2
55.51923000000001,7,11987,0
55.56089670000001,7,11987,0
55.60256329999999,7,11988,0
55.64423000000001,7,11988,0
55.68589670000001,7,11988,0
55.72756329999999,7,11989,0
55.76923000000001,7,11989,0
55.81089670000001,7,11989,0
55.85256329999999,7,11990,0
55.89423000000001,7,11990,0
55.93589670000001,7,11990,0
55.97756329999999,7,11990,0
56.01923000000001,7,11990,0
56.06089670000001,7,11990,0
56.10256329999999,7,11990,0
56.14423000000001,7,11990,0
56.18589670000001,7,11989,0
56.22756329999999,7,11989,0
56.26923000000001,7,11988,0
56.31089670000001,7,11988,0
56.35256329999999,7,11987,0
56.39423000000001,7,11987,0
56.43589670000001,7,11986,1
56.47756329999999,7,11985,0
56.51923000000001,7,11984,0
56.56089670000001,7,11983,0
56.60256329999999,7,11982,1
56.64423000000001,7,11981,0
56.68589670000001,7,11980,0
56.72756329999999,7,11979,0
56.76923000000001,7,11978,0
56.81089670000001,7,11977,0
56.85256329999999,7,11975,0
56.89423000000001,7,11974,0
56.93589670000001,7,11972,0
56.97756329999999,7,11971,0
57.01923000000001,7,11969,0
57.06089670000001,7,11968,0
57.10256329999999,7,11966,0
57.14423000000001,7,11964,1
57.18589670000001,7,11963,1
57.22756329999999,7,11961,0
57.26923000000001,7,11959,0
57.31089670000001,7,11957,0
57.35256329999999,7,11956,0
57.39423000000001,7,11954,0
57.43589670000001,7,11952,0
57.47756329999999,7,11950,0
57.51923000000001,7,11948,24
57.56089670000001,7,11947,29
57.60256329999999,7,11945,1
57.64423000000001,7,11943,7
57.68589670000001,7,11941,0
57.72756329999999,7,11940,0
57.76923000000001,7,11938,0
57.81089670000001,7,11937,0
57.85256329999999,7,11935,3
57.89423000000001,7,11934,0
57.93589670000001,7,11932,0
57.97756329999999,7,11931,0
58.01923000000001,7,11929,0
58.06089670000001,7,11928,0
58.10256329999999,7,11927,0
58.14423000000001,7,11926,0
58.18589670000001,7,11925,0
58.22756329999999,7,11924,0
58.26923000000001,7,11923,0
58.31089670000001,7,11922,0
58.35256329999999,7,11922,0
58.39423000000001,7,11921,0
58.43589670000001,7,11920,0
58.47756329999999,7,11920,0
58.51923000000001,7,11919,1
58.56089670000001,8,11919,0
58.60256329999999,8,11919,1
58.64423000000001,8,11919,0
58.68589670000001,8,11919,1
58.72756329999999,8,11918,0
58.76923000000001,8,11918,0
58.81089670000001,8,11919,0
58.85256329999999,8,11919,0
58.89423000000001,8,11919,3
58.93589670000001,8,11919,4
58.97756329999999,8,11920,0
59.01923000000001,8,11920,2
59.06089670000001,8,11921,0
59.10256329999999,8,11921,0
59.14423000000001,8,11922,0
59.18589670000001,8,11923,1
59.22756329999999,8,11924,0
59.26923000000001,8,11924,2
59.31089670000001,8,11925,0
59.35256329999999,8,11926,1
59.39423000000001,8,11927,13
59.43589670000001,8,11928,4
59.47756329999999,8,11929,0
59.51923000000001,8,11930,0
59.56089670000001,8,11931,0
59.60256329999999,8,11932,0
59.64423000000001,8,11933,0
59.68589670000001,8,11934,0
59.72756329999999,8,11935,0
59.76923000000001,8,11936,0
59.81089670000001,8,11937,0
59.85256329999999,8,11937,1
59.89423000000001,8,11938,1
59.93589670000001,8,11939,1
59.97756329999999,8,11940,0
60.01923000000001,8,11940,0
60.06089670000001,8,11941,4
60.10256329999999,8,11941,0
60.14423000000001,8,11942,0
60.18589670000001,8,11942,0
60.22756329999999,8,11943,0
60.26923000000001,8,11944,2
60.31089670000001,8,11944,0
60.35256329999999,8,11945,0
60.39423000000001,8,11946,1
60.43589670000001,8,11947,0
60.47756329999999,8,11949,0
60.51923000000001,8,11950,4
60.56089670000001,8,11952,7
60.60256329999999,8,11954,4
60.64423000000001,8,11956,1
60.68589670000001,8,11959,0
60.72756329999999,8,11962,0
60.76923000000001,8,11965,0
60.81089670000001,8,11968,0
60.85256329999999,8,11972,0
60.89423000000001,8,11977,2
60.93589670000001,8,11982,0
60.97756329999999,8,11987,0
61.01923000000001,8,11993,0
61.06089670000001,8,11999,2
61.10256329999999,8,12006,7
61.14423000000001,8,12013,2
61.18589670000001,8,12020,1
61.22756329999999,8,12028,5
61.26923000000001,8,12036,11
61.31089670000001,8,12045,7
61.35256329999999,8,12054,1
61.39423000000001,8,12062,2
61.43589670000001,8,12071,2
61.47756329999999,8,12081,8
61.51923000000001,8,12090,13
61.56089670000001,8,12099,0
61.60256329999999,8,12108,0
61.64423000000001,8,12117,0
61.68589670000001,8,12127,2
61.72756329999999,8,12136,0
61.76923000000001,8,12145,0
61.81089670000001,8,12153,0
61.85256329999999,8,12162,0
61.89423000000001,8,12170,0
61.93589670000001,8,12178,1
61.97756329999999,8,12186,0
62.01923000000001,8,12193,0
62.06089670000001,8,12200,0
62.10256329999999,8,12207,0
62.14423000000001,8,12213,0
62.18589670000001,8,12219,0
62.22756329999999,8,12225,0
62.26923000000001,8,12230,0
62.31089670000001,8,12236,0
62.35256329999999,9,12241,0
62.39423000000001,9,12245,1
62.43589670000001,9,12250,0
62.47756329999999,9,12254,0
62.51923000000001,9,12258,0
62.56089670000001,9,12262,0
62.60256329999999,9,12266,0
62.64423000000001,9,12270,0
62.68589670000001,9,12274,0
62.72756329999999,9,12277,0
62.76923000000001,9,12281,0
62.81089670000001,9,12284,0
62.85256329999999,9,12288,1
62.89423000000001,9,12291,0
62.93589670000001,9,12295,1
62.97756329999999,9,12298,7
63.01923000000001,9,12302,7
63.06089670000001,9,12305,6
63.10256329999999,9,12309,0
63.14423000000001,9,12313,1
63.18589670000001,9,12317,2
63.22756329999999,9,12321,4
63.26923000000001,9,12326,20
63.31089670000001,9,12331,5
63.35256329999999,9,12336,12
63.39423000000001,10,12342,1
63.43589670000001,10,12348,0
63.47756329999999,10,12354,2
63.51923000000001,10,12361,0
63.56089670000001,10,12369,2
63.60256329999999,10,12377,0
63.64423000000001,10,12386,2
63.68589670000001,10,12395,0
63.72756329999999,10,12405,0
63.76923000000001,10,12416,0
63.81089670000001,11,12427,0
63.85256329999999,11,12440,0
63.89423000000001,11,12453,0
63.93589670000001,11,12467,0
63.97756329999999,11,12482,0
