time,births,population,reported_cases
44.01923,9,10442,0
44.0608967,9,10428,0
44.1025633,9,10418,0
44.14423,9,10412,0
44.1858967,9,10409,0
44.2275633,9,10409,0
44.26923,9,10412,0
44.3108967,8,10418,4
44.3525633,8,10427,4
44.39423,8,10438,1
44.4358967,8,10451,0
44.4775633,8,10467,0
44.51923,8,10484,0
44.5608967,8,10503,0
44.6025633,8,10523,0
44.64423,8,10544,0
44.6858967,8,10567,0
44.7275633,8,10590,0
44.76923,8,10614,4
44.8108967,8,10639,9
44.8525633,7,10664,43
44.89423,7,10688,31
44.9358967,7,10713,28
44.9775633,7,10737,20
45.01923,7,10761,2
45.0608967,7,10784,9
45.1025633,7,10806,3
45.14423,7,10828,2
45.1858967,7,10848,2
45.2275633,8,10868,11
45.26923,8,10886,0
45.3108967,8,10903,2
45.3525633,8,10919,0
45.39423,8,10934,0
45.4358967,8,10947,0
45.4775633,8,10959,0
45.51923,8,10969,0
45.5608967,8,10978,0
45.6025633,8,10985,0
45.64423,8,10990,0
45.6858967,8,10994,1
45.7275633,8,10995,0
45.76923,8,10994,0
45.8108967,8,10991,0
45.8525633,8,10986,0
45.89423,9,10979,0
45.9358967,9,10970,0
45.9775633,9,10958,0
46.01923,9,10943,2
46.0608967,9,10926,0
46.1025633,9,10907,0
46.14423,9,10886,0
46.1858967,9,10863,0
46.2275633,9,10839,0
46.26923,9,10813,0
46.3108967,10,10787,0
46.3525633,10,10760,0
46.39423,10,10732,0
46.4358967,10,10704,0
46.4775633,10,10676,0
46.51923,10,10648,0
46.5608967,10,10620,0
46.6025633,10,10594,0
46.64423,10,10568,1
46.6858967,10,10543,0
46.7275633,10,10520,0
46.76923,10,10499,0
46.8108967,10,10479,0
46.8525633,10,10461,0
46.89423,10,10446,0
46.9358967,10,10434,10
46.9775633,10,10424,0
47.01923,10,10417,0
47.0608967,10,10414,0
47.1025633,10,10413,0
47.14423,10,10416,0
47.1858967,10,10421,0
47.2275633,10,10428,0
47.26923,10,10437,0
47.3108967,10,10449,3
47.3525633,10,10463,0
47.39423,10,10478,0
47.4358967,10,10495,0
47.4775633,10,10513,0
47.51923,10,10533,0
47.5608967,10,10554,0
47.6025633,10,10575,10
47.64423,10,10597,4
47.6858967,9,10620,2
47.7275633,9,10643,3
47.76923,9,10666,35
47.8108967,9,10689,99
47.8525633,9,10712,102
47.89423,9,10735,18
47.9358967,9,10757,2
47.9775633,9,10779,0
48.01923,9,10799,2
48.0608967,9,10819,0
48.1025633,9,10838,0
48.14423,9,10856,0
48.1858967,9,10872,0
48.2275633,9,10888,0
48.26923,9,10904,0
48.3108967,9,10918,2
48.3525633,9,10931,0
48.39423,8,10944,1
48.4358967,8,10955,0
48.4775633,8,10966,0
48.51923,8,10976,0
48.5608967,8,10986,2
48.6025633,8,10994,2
48.64423,8,11002,0
48.6858967,8,11009,1
48.7275633,8,11015,0
48.76923,8,11021,0
48.8108967,8,11026,0
48.8525633,8,11030,0
48.89423,8,11034,0
48.9358967,8,11037,0
48.9775633,8,11039,0
49.01923,8,11041,0
49.0608967,8,11042,0
49.1025633,8,11042,0
49.14423,8,11042,1
49.1858967,8,11042,0
49.2275633,8,11041,0
49.26923,8,11039,0
49.3108967,8,11037,2
49.3525633,8,11035,1
49.39423,8,11032,0
49.4358967,8,11029,1
49.4775633,8,11026,4
49.51923,8,11022,2
49.5608967,8,11018,2
49.6025633,8,11014,0
49.64423,8,11010,0
49.6858967,8,11006,0
49.7275633,8,11001,0
49.76923,8,10996,0
49.8108967,8,10992,0
49.8525633,8,10987,0
49.89423,8,10982,0
49.9358967,8,10977,0
49.9775633,8,10973,0
50.01923,8,10968,0
50.0608967,8,10963,0
50.1025633,8,10959,0
50.14423,8,10954,0
50.1858967,8,10950,1
50.2275633,8,10946,0
50.26923,8,10942,0
50.3108967,8,10938,0
50.3525633,8,10934,0
50.39423,8,10930,0
50.4358967,8,10926,0
50.4775633,8,10923,0
50.51923,8,10919,2
50.5608967,8,10916,2
50.6025633,8,10913,0
50.64423,8,10910,0
50.6858967,8,10907,1
50.7275633,8,10904,3
50.76923,8,10902,52
50.8108967,8,10899,42
50.8525633,8,10897,38
50.89423,8,10895,38
50.9358967,8,10893,17
50.9775633,8,10891,26
51.01923,8,10889,11
51.0608967,8,10888,1
51.1025633,8,10886,1
51.14423,8,10885,1
51.1858967,8,10884,1
51.2275633,8,10883,2
51.26923,8,10882,0
51.3108967,8,10881,2
51.3525633,8,10881,0
51.39423,8,10880,0
51.4358967,8,10880,0
51.4775633,8,10879,0
51.51923,8,10878,2
51.5608967,8,10878,2
51.6025633,8,10877,1
51.64423,8,10877,1
51.6858967,8,10876,0
51.7275633,8,10876,0
51.76923,8,10875,0
51.8108967,8,10874,0
51.8525633,8,10874,0
51.89423,8,10873,0
51.9358967,8,10872,0
51.9775633,8,10871,0
52.01923,8,10869,0
52.0608967,8,10868,0
52.1025633,8,10867,0
52.14423,8,10865,0
52.1858967,8,10864,0
52.2275633,8,10862,0
52.26923,8,10861,0
52.3108967,8,10859,1
52.3525633,8,10858,1
