time,births,population,reported_cases
44.01923,9,10691,0
44.0608967,8,10673,0
44.1025633,8,10657,0
44.14423,8,10645,0
44.1858967,8,10634,0
44.2275633,7,10626,0
44.26923,7,10620,0
44.3108967,7,10616,0
44.3525633,7,10614,0
44.39423,7,10614,0
44.4358967,7,10616,0
44.4775633,7,10620,0
44.51923,7,10625,0
44.5608967,7,10631,0
44.6025633,7,10639,0
44.64423,7,10648,0
44.6858967,7,10658,0
44.7275633,7,10670,0
44.76923,7,10682,0
44.8108967,7,10695,0
44.8525633,7,10708,0
44.89423,7,10722,0
44.9358967,7,10737,0
44.9775633,7,10752,0
45.01923,8,10767,0
45.0608967,8,10782,0
45.1025633,8,10798,1
45.14423,8,10814,10
45.1858967,8,10829,33
45.2275633,8,10845,24
45.26923,8,10860,15
45.3108967,8,10875,8
45.3525633,9,10890,4
45.39423,9,10905,1
45.4358967,9,10919,0
45.4775633,9,10933,0
45.51923,9,10947,0
45.5608967,9,10959,1
45.6025633,9,10972,0
45.64423,10,10984,0
45.6858967,10,10995,1
45.7275633,10,11005,0
45.76923,10,11014,0
45.8108967,10,11023,2
45.8525633,10,11031,0
45.89423,10,11038,0
45.9358967,10,11043,1
45.9775633,10,11048,0
46.01923,11,11051,0
46.0608967,11,11054,2
46.1025633,11,11055,0
46.14423,11,11056,0
46.1858967,11,11055,0
46.2275633,11,11054,2
46.26923,11,11052,0
46.3108967,11,11049,0
46.3525633,11,11046,0
46.39423,11,11043,0
46.4358967,11,11039,2
46.4775633,11,11035,2
46.51923,11,11030,2
46.5608967,11,11026,0
46.6025633,11,11022,4
46.64423,11,11018,1
46.6858967,11,11014,0
46.7275633,10,11010,0
46.76923,10,11007,0
46.8108967,10,11004,0
46.8525633,10,11002,0
46.89423,10,11000,0
46.9358967,10,11000,0
46.9775633,10,11000,5
47.01923,10,11001,2
47.0608967,10,11002,1
47.1025633,10,11005,0
47.14423,10,11009,0
47.1858967,10,11013,2
47.2275633,10,11018,2
47.26923,10,11024,1
47.3108967,10,11031,2
47.3525633,10,11038,26
47.39423,9,11045,20
47.4358967,9,11053,20
47.4775633,9,11061,9
47.51923,9,11070,2
47.5608967,9,11079,11
47.6025633,9,11089,10
47.64423,9,11098,2
47.6858967,9,11108,4
47.7275633,9,11118,0
47.76923,9,11127,0
47.8108967,9,11137,0
47.8525633,9,11147,0
47.89423,9,11156,1
47.9358967,9,11166,1
47.9775633,9,11175,0
48.01923,9,11184,0
48.0608967,9,11193,0
48.1025633,8,11201,0
48.14423,8,11209,0
48.1858967,8,11217,0
48.2275633,8,11225,0
48.26923,8,11232,0
48.3108967,8,11239,0
48.3525633,8,11247,0
48.39423,8,11253,0
48.4358967,8,11260,0
48.4775633,8,11267,0
48.51923,8,11274,0
48.5608967,8,11280,4
48.6025633,8,11287,0
48.64423,8,11293,0
48.6858967,8,11300,0
48.7275633,8,11306,0
48.76923,8,11313,0
48.8108967,8,11319,0
48.8525633,8,11326,0
48.89423,8,11332,0
48.9358967,8,11339,0
48.9775633,8,11346,0
49.01923,8,11353,0
49.0608967,8,11360,13
49.1025633,8,11368,51
49.14423,8,11375,89
49.1858967,8,11382,29
49.2275633,8,11390,7
49.26923,8,11397,4
49.3108967,8,11404,0
49.3525633,8,11412,1
49.39423,8,11419,0
49.4358967,8,11425,0
49.4775633,8,11432,0
49.51923,8,11438,4
49.5608967,8,11444,0
49.6025633,8,11450,0
49.64423,8,11455,1
49.6858967,8,11460,0
49.7275633,8,11464,0
49.76923,8,11468,0
49.8108967,8,11472,0
49.8525633,8,11475,0
49.89423,8,11477,0
49.9358967,8,11479,0
49.9775633,8,11480,0
50.01923,8,11480,0
50.0608967,8,11480,0
50.1025633,7,11479,0
50.14423,7,11477,1
50.1858967,7,11475,0
50.2275633,7,11473,0
50.26923,7,11470,0
50.3108967,7,11467,0
50.3525633,7,11464,3
50.39423,7,11460,3
50.4358967,7,11456,1
50.4775633,7,11453,0
50.51923,7,11449,2
50.5608967,7,11446,0
50.6025633,7,11442,0
50.64423,7,11439,1
50.6858967,7,11436,1
50.7275633,7,11434,0
50.76923,7,11431,0
50.8108967,7,11430,2
50.8525633,7,11429,0
50.89423,7,11428,1
50.9358967,7,11428,0
50.9775633,7,11429,2
51.01923,7,11431,2
51.0608967,7,11433,4
51.1025633,7,11436,26
51.14423,7,11440,78
51.1858967,7,11445,67
51.2275633,7,11449,49
51.26923,7,11455,33
51.3108967,7,11460,7
51.3525633,7,11466,3
51.39423,7,11472,1
51.4358967,7,11477,0
51.4775633,7,11483,0
51.51923,7,11489,0
51.5608967,7,11495,1
51.6025633,7,11500,0
51.64423,7,11505,0
51.6858967,7,11509,0
51.7275633,7,11513,0
51.76923,7,11516,0
51.8108967,7,11519,0
51.8525633,7,11521,0
51.89423,7,11522,0
51.9358967,7,11522,0
51.9775633,7,11521,0
52.01923,7,11519,0
52.0608967,7,11516,0
52.1025633,7,11512,0
52.14423,7,11506,0
52.1858967,8,11500,2
52.2275633,8,11494,0
52.26923,8,11486,3
52.3108967,8,11478,0
52.3525633,8,11470,0
52.39423,8,11460,0
52.43589670000001,8,11451,0
52.47756329999999,8,11441,2
52.51923000000001,8,11431,8
52.56089670000001,8,11421,5
52.60256329999999,8,11411,6
52.64423000000001,8,11401,2
52.68589670000001,8,11392,0
52.72756329999999,8,11382,0
52.76923000000001,9,11373,0
52.81089670000001,9,11364,0
52.85256329999999,9,11355,1
52.89423000000001,9,11347,2
52.93589670000001,9,11340,0
52.97756329999999,9,11333,2
53.01923000000001,9,11327,2
53.06089670000001,9,11322,2
53.10256329999999,8,11318,12
53.14423000000001,8,11315,7
53.18589670000001,8,11312,2
53.22756329999999,8,11310,2
53.26923000000001,8,11308,0
53.31089670000001,8,11307,2
53.35256329999999,8,11307,10
53.39423000000001,8,11306,52
53.43589670000001,8,11307,62
53.47756329999999,8,11308,119
53.51923000000001,8,11309,11
53.56089670000001,8,11310,4
53.60256329999999,7,11312,0
53.64423000000001,7,11313,3
53.68589670000001,7,11315,0
53.72756329999999,7,11317,0
53.76923000000001,7,11319,0
53.81089670000001,7,11321,0
53.85256329999999,7,11324,0
53.89423000000001,7,11326,0
53.93589670000001,7,11327,0
53.97756329999999,7,11329,0
54.01923000000001,7,11331,0
54.06089670000001,7,11332,0
54.10256329999999,7,11333,0
54.14423000000001,7,11334,0
54.18589670000001,7,11335,0
54.22756329999999,7,11335,0
54.26923000000001,7,11335,0
54.31089670000001,7,11336,0
54.35256329999999,7,11335,3
54.39423000000001,7,11335,4
54.43589670000001,7,11335,0
54.47756329999999,7,11334,0
54.51923000000001,7,11334,0
54.56089670000001,7,11333,0
54.60256329999999,7,11332,0
54.64423000000001,7,11331,0
54.68589670000001,7,11330,3
54.72756329999999,7,11329,0
54.76923000000001,7,11328,0
54.81089670000001,7,11327,0
54.85256329999999,7,11325,0
54.89423000000001,7,11324,0
54.93589670000001,7,11322,0
54.97756329999999,7,11321,0
55.01923000000001,7,11319,0
55.06089670000001,7,11318,0
55.10256329999999,7,11316,0
55.14423000000001,7,11315,22
55.18589670000001,7,11313,61
55.22756329999999,7,11312,67
55.26923000000001,7,11310,22
55.31089670000001,7,11309,9
55.35256329999999,7,11307,29
55.39423000000001,7,11306,3
55.43589670000001,7,11305,1
55.47756329999999,7,11303,2
55.51923000000001,7,11302,0
55.56089670000001,7,11301,0
55.60256329999999,7,11300,0
55.64423000000001,7,11300,0
55.68589670000001,7,11299,0
55.72756329999999,7,11299,0
55.76923000000001,7,11298,0
55.81089670000001,7,11298,0
55.85256329999999,7,11298,1
55.89423000000001,7,11298,0
55.93589670000001,7,11299,0
55.97756329999999,7,11300,0
56.01923000000001,7,11300,0
56.06089670000001,7,11302,0
56.10256329999999,7,11303,0
56.14423000000001,7,11304,0
56.18589670000001,7,11306,0
56.22756329999999,7,11308,0
56.26923000000001,7,11309,0
56.31089670000001,7,11311,0
56.35256329999999,7,11313,0
56.39423000000001,7,11316,0
56.43589670000001,7,11318,0
56.47756329999999,7,11320,0
56.51923000000001,7,11322,0
56.56089670000001,7,11324,4
56.60256329999999,7,11326,0
56.64423000000001,7,11328,0
56.68589670000001,7,11330,0
56.72756329999999,7,11332,0
56.76923000000001,7,11334,0
56.81089670000001,7,11335,0
56.85256329999999,8,11337,0
56.89423000000001,8,11338,0
56.93589670000001,8,11339,0
56.97756329999999,8,11340,2
57.01923000000001,8,11340,0
57.06089670000001,8,11341,2
57.10256329999999,8,11341,0
57.14423000000001,8,11341,0
57.18589670000001,8,11340,3
57.22756329999999,8,11340,2
57.26923000000001,8,11339,4
57.31089670000001,8,11338,3
57.35256329999999,8,11337,9
57.39423000000001,8,11336,31
57.43589670000001,8,11334,26
57.47756329999999,8,11333,22
57.51923000000001,7,11332,7
57.56089670000001,7,11330,18
57.60256329999999,7,11328,44
57.64423000000001,7,11326,14
57.68589670000001,7,11325,8
57.72756329999999,7,11323,0
57.76923000000001,7,11321,0
57.81089670000001,7,11319,2
57.85256329999999,7,11317,4
57.89423000000001,7,11315,2
57.93589670000001,7,11313,1
57.97756329999999,7,11311,0
58.01923000000001,7,11309,0
58.06089670000001,7,11307,0
58.10256329999999,7,11306,0
58.14423000000001,7,11304,0
58.18589670000001,7,11302,0
58.22756329999999,7,11300,0
58.26923000000001,7,11299,0
58.31089670000001,7,11297,0
58.35256329999999,7,11295,0
58.39423000000001,7,11293,0
58.43589670000001,7,11292,0
58.47756329999999,7,11290,0
58.51923000000001,7,11288,0
58.56089670000001,7,11286,0
58.60256329999999,7,11284,0
58.64423000000001,7,11282,0
58.68589670000001,7,11280,2
58.72756329999999,7,11278,1
58.76923000000001,7,11275,0
58.81089670000001,7,11273,0
58.85256329999999,7,11270,0
58.89423000000001,7,11267,0
58.93589670000001,7,11265,0
58.97756329999999,7,11262,0
59.01923000000001,7,11259,4
59.06089670000001,7,11255,3
59.10256329999999,7,11252,15
59.14423000000001,7,11249,22
59.18589670000001,7,11245,83
59.22756329999999,7,11242,16
59.26923000000001,7,11240,20
59.31089670000001,7,11237,13
59.35256329999999,7,11235,9
59.39423000000001,7,11233,3
59.43589670000001,8,11232,4
59.47756329999999,8,11231,3
59.51923000000001,8,11231,0
59.56089670000001,8,11232,0
59.60256329999999,8,11233,0
59.64423000000001,8,11236,1
59.68589670000001,8,11239,0
59.72756329999999,8,11243,0
59.76923000000001,8,11248,0
59.81089670000001,8,11255,0
59.85256329999999,8,11262,0
59.89423000000001,8,11271,0
59.93589670000001,8,11281,1
59.97756329999999,8,11293,1
60.01923000000001,8,11306,0
60.06089670000001,8,11321,0
60.10256329999999,8,11337,0
60.14423000000001,8,11354,0
60.18589670000001,8,11372,0
60.22756329999999,8,11391,0
60.26923000000001,7,11411,0
60.31089670000001,7,11431,0
60.35256329999999,7,11453,0
60.39423000000001,7,11474,0
60.43589670000001,7,11496,1
60.47756329999999,7,11518,0
60.51923000000001,7,11540,0
60.56089670000001,7,11561,0
60.60256329999999,7,11583,1
60.64423000000001,7,11604,1
60.68589670000001,7,11625,0
60.72756329999999,7,11645,0
60.76923000000001,7,11664,0
60.81089670000001,7,11682,0
60.85256329999999,7,11699,0
60.89423000000001,7,11715,0
60.93589670000001,7,11730,1
60.97756329999999,7,11743,0
61.01923000000001,7,11755,0
61.06089670000001,7,11765,0
61.10256329999999,7,11774,2
61.14423000000001,7,11781,20
61.18589670000001,7,11787,20
61.22756329999999,7,11792,36
61.26923000000001,7,11795,35
61.31089670000001,7,11797,18
61.35256329999999,7,11799,15
