time,births,population,reported_cases
44.01923,3,4328,0
44.0608967,2,4322,0
44.1025633,2,4316,0
44.14423,2,4310,0
44.1858967,2,4304,0
44.2275633,2,4298,0
44.26923,2,4291,0
44.3108967,2,4285,0
44.3525633,2,4278,0
44.39423,2,4272,0
44.4358967,2,4265,0
44.4775633,2,4259,0
44.51923,2,4252,0
44.5608967,2,4245,0
44.6025633,2,4239,0
44.64423,2,4232,0
44.6858967,2,4225,0
44.7275633,2,4219,0
44.76923,2,4212,0
44.8108967,2,4205,0
44.8525633,2,4199,0
44.89423,2,4192,0
44.9358967,2,4186,0
44.9775633,2,4179,0
45.01923,2,4173,0
45.0608967,2,4167,0
45.1025633,2,4161,2
45.14423,2,4154,0
45.1858967,2,4148,0
45.2275633,2,4142,18
45.26923,2,4136,31
45.3108967,2,4131,11
45.3525633,2,4125,0
45.39423,2,4119,0
45.4358967,2,4114,2
45.4775633,3,4109,4
45.51923,3,4104,0
45.5608967,3,4099,0
45.6025633,3,4094,0
45.64423,3,4089,0
45.6858967,3,4085,0
45.7275633,3,4080,0
45.76923,3,4076,0
45.8108967,3,4072,0
45.8525633,3,4069,0
45.89423,3,4065,0
45.9358967,3,4062,0
45.9775633,3,4059,0
46.01923,3,4056,0
46.0608967,3,4053,0
46.1025633,3,4051,0
46.14423,3,4048,0
46.1858967,3,4046,0
46.2275633,3,4045,0
46.26923,3,4043,0
46.3108967,3,4042,0
46.3525633,3,4041,0
46.39423,3,4040,0
46.4358967,3,4039,0
46.4775633,3,4039,0
46.51923,3,4038,0
46.5608967,3,4038,0
46.6025633,3,4038,1
46.64423,3,4038,0
46.6858967,3,4039,0
46.7275633,3,4040,0
46.76923,3,4040,0
46.8108967,3,4041,0
46.8525633,3,4042,0
46.89423,3,4044,0
46.9358967,3,4045,2
46.9775633,3,4047,2
47.01923,3,4049,0
47.0608967,3,4051,0
47.1025633,3,4053,0
47.14423,3,4055,0
47.1858967,3,4058,0
47.2275633,3,4060,0
47.26923,3,4062,0
47.3108967,3,4065,0
47.3525633,3,4067,0
47.39423,3,4070,0
47.4358967,3,4072,4
47.4775633,3,4074,0
47.51923,2,4076,0
47.5608967,2,4078,0
47.6025633,2,4080,2
47.64423,2,4082,0
47.6858967,2,4083,0
47.7275633,2,4085,0
47.76923,2,4086,0
47.8108967,2,4086,0
47.8525633,2,4087,0
47.89423,2,4087,0
47.9358967,2,4087,0
47.9775633,2,4086,0
48.01923,2,4086,0
48.0608967,2,4084,0
48.1025633,2,4083,0
48.14423,2,4081,0
48.1858967,2,4078,0
48.2275633,2,4076,0
48.26923,2,4073,0
48.3108967,2,4070,0
48.3525633,2,4067,0
48.39423,2,4064,0
48.4358967,2,4061,1
48.4775633,2,4058,0
48.51923,2,4055,0
48.5608967,2,4051,0
48.6025633,2,4048,0
48.64423,2,4045,0
48.6858967,2,4042,2
48.7275633,2,4039,0
48.76923,2,4036,0
48.8108967,2,4034,0
48.8525633,2,4032,0
48.89423,2,4030,0
48.9358967,2,4028,0
48.9775633,2,4027,0
49.01923,2,4026,0
49.0608967,2,4025,0
49.1025633,2,4025,1
49.14423,2,4025,2
49.1858967,2,4026,0
49.2275633,2,4027,0
49.26923,2,4028,0
49.3108967,2,4029,0
49.3525633,2,4031,0
49.39423,2,4034,0
49.4358967,2,4036,0
49.4775633,2,4039,0
49.51923,2,4042,0
49.5608967,2,4046,0
49.6025633,2,4050,0
49.64423,3,4054,1
49.6858967,3,4058,0
49.7275633,3,4063,0
49.76923,3,4068,0
49.8108967,3,4073,0
49.8525633,3,4078,0
49.89423,3,4084,0
49.9358967,3,4090,0
49.9775633,3,4096,0
50.01923,3,4102,0
50.0608967,3,4108,0
50.1025633,3,4115,0
50.14423,3,4122,0
50.1858967,3,4128,0
50.2275633,3,4135,0
50.26923,3,4142,0
50.3108967,3,4149,0
50.3525633,3,4155,0
50.39423,3,4161,0
50.4358967,3,4168,0
50.4775633,3,4174,0
50.51923,3,4179,0
50.5608967,3,4185,0
50.6025633,3,4189,0
50.64423,3,4194,0
50.6858967,3,4198,0
50.7275633,3,4202,0
50.76923,3,4204,0
50.8108967,3,4207,0
50.8525633,3,4209,0
50.89423,3,4210,0
50.9358967,3,4210,0
50.9775633,3,4210,0
51.01923,3,4208,0
51.0608967,3,4206,4
51.1025633,3,4203,1
51.14423,3,4200,0
51.1858967,3,4196,0
51.2275633,3,4191,0
51.26923,3,4186,0
51.3108967,3,4181,0
51.3525633,3,4175,0
51.39423,3,4169,0
51.4358967,3,4162,3
51.4775633,3,4156,2
51.51923,3,4149,0
51.5608967,3,4142,0
51.6025633,3,4136,0
51.64423,3,4129,0
51.6858967,3,4123,0
51.7275633,3,4116,0
51.76923,3,4110,0
51.8108967,3,4105,0
51.8525633,3,4100,0
51.89423,3,4095,0
51.9358967,3,4091,0
51.9775633,3,4088,0
52.01923,3,4085,0
52.0608967,3,4083,0
52.1025633,3,4081,0
52.14423,2,4080,0
52.1858967,2,4080,0
52.2275633,2,4080,0
52.26923,2,4081,0
52.3108967,2,4082,0
52.3525633,2,4083,3
52.39423,2,4085,0
52.43589670000001,2,4087,2
52.47756329999999,2,4089,0
52.51923000000001,2,4092,0
52.56089670000001,2,4095,0
52.60256329999999,2,4097,0
52.64423000000001,2,4100,4
52.68589670000001,2,4103,0
52.72756329999999,2,4106,0
52.76923000000001,2,4108,2
52.81089670000001,2,4111,0
52.85256329999999,2,4113,0
52.89423000000001,2,4116,0
52.93589670000001,2,4118,0
52.97756329999999,2,4119,0
53.01923000000001,2,4121,0
53.06089670000001,2,4121,0
53.10256329999999,2,4122,0
53.14423000000001,2,4122,0
53.18589670000001,2,4122,2
53.22756329999999,2,4122,2
53.26923000000001,2,4121,0
53.31089670000001,2,4121,0
53.35256329999999,2,4120,0
53.39423000000001,2,4118,0
53.43589670000001,2,4117,0
53.47756329999999,2,4115,0
53.51923000000001,2,4114,0
53.56089670000001,2,4112,0
53.60256329999999,2,4110,0
53.64423000000001,2,4108,0
53.68589670000001,2,4106,0
53.72756329999999,2,4104,0
53.76923000000001,2,4101,0
53.81089670000001,2,4099,0
53.85256329999999,2,4097,0
53.89423000000001,2,4095,0
53.93589670000001,2,4093,0
53.97756329999999,2,4091,0
54.01923000000001,2,4089,0
54.06089670000001,2,4087,0
54.10256329999999,2,4086,0
54.14423000000001,2,4084,0
54.18589670000001,2,4083,0
54.22756329999999,2,4081,0
54.26923000000001,2,4080,0
54.31089670000001,2,4079,0
54.35256329999999,2,4078,0
54.39423000000001,2,4076,0
54.43589670000001,2,4075,0
54.47756329999999,2,4074,0
54.51923000000001,2,4073,0
54.56089670000001,2,4072,1
54.60256329999999,2,4071,2
54.64423000000001,2,4070,6
54.68589670000001,2,4069,2
54.72756329999999,2,4068,0
54.76923000000001,2,4067,0
54.81089670000001,2,4066,0
54.85256329999999,2,4065,0
54.89423000000001,2,4063,0
54.93589670000001,2,4062,0
54.97756329999999,2,4061,0
55.01923000000001,2,4059,5
55.06089670000001,2,4058,0
55.10256329999999,2,4056,0
55.14423000000001,2,4055,0
55.18589670000001,2,4053,0
55.22756329999999,2,4051,0
55.26923000000001,2,4050,0
55.31089670000001,2,4048,0
55.35256329999999,2,4046,2
55.39423000000001,2,4044,0
55.43589670000001,2,4042,1
55.47756329999999,2,4040,0
55.51923000000001,2,4038,2
55.56089670000001,2,4035,1
