time,births,population,reported_cases
44.01923,154,144668,0
44.0608967,155,144653,4
44.1025633,155,144710,4
44.14423,155,144835,1
44.1858967,155,145025,3
44.2275633,156,145277,8
44.26923,156,145590,2
44.3108967,157,145958,2
44.3525633,157,146380,1
44.39423,157,146853,10
44.4358967,158,147373,8
44.4775633,158,147938,0
44.51923,159,148545,0
44.5608967,159,149190,0
44.6025633,160,149870,3
44.64423,160,150584,1
44.6858967,161,151327,0
44.7275633,162,152097,2
44.76923,162,152890,0
44.8108967,163,153705,1
44.8525633,164,154537,0
44.89423,164,155384,3
44.9358967,165,156243,2
44.9775633,166,157110,13
45.01923,166,157984,11
45.0608967,167,158861,82
45.1025633,168,159740,109
45.14423,169,160619,242
45.1858967,170,161497,557
45.2275633,170,162372,610
45.26923,171,163243,346
45.3108967,172,164108,271
45.3525633,173,164964,98
45.39423,174,165812,117
45.4358967,175,166648,63
45.4775633,176,167472,53
45.51923,176,168282,26
45.5608967,177,169075,30
45.6025633,178,169852,14
45.64423,179,170609,1
45.6858967,180,171346,3
45.7275633,181,172060,0
45.76923,182,172751,0
45.8108967,183,173416,1
45.8525633,183,174054,7
45.89423,184,174663,1
45.9358967,185,175242,3
45.9775633,186,175789,0
46.01923,187,176303,7
46.0608967,188,176783,2
46.1025633,188,177231,0
46.14423,189,177651,2
46.1858967,190,178042,0
46.2275633,191,178408,0
46.26923,191,178750,0
46.3108967,192,179071,0
46.3525633,193,179371,5
46.39423,193,179655,0
46.4358967,194,179922,1
46.4775633,194,180176,8
46.51923,195,180418,0
46.5608967,195,180650,2
46.6025633,195,180874,26
46.64423,196,181092,19
46.6858967,196,181307,26
46.7275633,196,181519,5
46.76923,196,181732,11
46.8108967,196,181946,8
46.8525633,196,182165,7
46.89423,196,182390,11
46.9358967,196,182622,30
46.9775633,195,182865,24
47.01923,195,183119,115
47.0608967,195,183385,187
47.1025633,194,183662,205
47.14423,194,183948,294
47.1858967,193,184241,382
47.2275633,192,184539,292
47.26923,191,184841,170
47.3108967,191,185144,209
47.3525633,190,185449,130
47.39423,189,185751,60
47.4358967,188,186051,69
47.4775633,187,186346,38
47.51923,186,186634,37
47.5608967,185,186915,27
47.6025633,184,187185,45
47.64423,183,187444,18
47.6858967,182,187689,3
47.7275633,181,187920,12
47.76923,180,188134,29
47.8108967,179,188329,24
47.8525633,178,188505,41
47.89423,177,188659,60
47.9358967,176,188789,33
47.9775633,176,188894,27
48.01923,175,188973,11
48.0608967,174,189025,27
48.1025633,173,189055,59
48.14423,173,189066,72
48.1858967,172,189061,115
48.2275633,172,189044,133
48.26923,171,189018,97
48.3108967,171,188987,78
48.3525633,170,188954,39
48.39423,170,188924,54
48.4358967,169,188898,70
48.4775633,169,188882,88
48.51923,169,188877,104
48.5608967,168,188889,82
48.6025633,168,188920,87
48.64423,168,188973,53
48.6858967,167,189053,22
48.7275633,167,189163,30
48.76923,167,189306,7
48.8108967,166,189486,23
48.8525633,166,189706,32
48.89423,166,189970,54
48.9358967,165,190281,104
48.9775633,165,190643,142
49.01923,165,191059,178
49.0608967,164,191529,145
49.1025633,164,192051,438
49.14423,163,192620,554
49.1858967,163,193232,546
49.2275633,163,193886,350
49.26923,162,194576,273
49.3108967,162,195300,113
49.3525633,161,196053,102
49.39423,161,196833,85
49.4358967,160,197636,51
49.4775633,160,198458,28
49.51923,160,199296,9
49.5608967,159,200146,9
49.6025633,159,201005,4
49.64423,158,201869,10
49.6858967,158,202735,5
49.7275633,158,203600,1
49.76923,157,204459,2
49.8108967,157,205309,2
49.8525633,157,206147,3
49.89423,156,206969,2
49.9358967,156,207771,2
49.9775633,156,208551,4
50.01923,156,209304,0
50.0608967,156,210029,0
50.1025633,156,210727,1
50.14423,156,211395,0
50.1858967,156,212037,1
50.2275633,156,212650,0
50.26923,156,213235,4
50.3108967,156,213793,1
50.3525633,156,214323,2
50.39423,156,214825,3
50.4358967,156,215300,4
50.4775633,156,215748,17
50.51923,156,216168,22
50.5608967,156,216562,8
50.6025633,156,216928,6
50.64423,156,217267,12
50.6858967,156,217580,7
50.7275633,156,217866,6
50.76923,156,218125,4
50.8108967,157,218357,5
50.8525633,157,218563,16
50.89423,157,218742,32
50.9358967,157,218896,67
50.9775633,156,219022,60
51.01923,156,219123,95
51.0608967,156,219199,76
51.1025633,156,219252,328
51.14423,156,219283,762
51.1858967,156,219295,1179
51.2275633,156,219291,1393
51.26923,156,219271,828
51.3108967,155,219238,439
51.3525633,155,219194,275
51.39423,155,219141,194
51.4358967,155,219081,115
51.4775633,154,219015,45
51.51923,154,218947,42
51.5608967,154,218878,15
51.6025633,154,218810,7
51.64423,154,218745,4
51.6858967,154,218685,6
51.7275633,153,218632,3
51.76923,153,218588,2
51.8108967,153,218555,0
51.8525633,153,218535,0
51.89423,153,218530,0
51.9358967,153,218543,3
51.9775633,153,218574,0
52.01923,153,218627,2
52.0608967,153,218701,3
52.1025633,153,218794,0
52.14423,153,218904,8
52.1858967,154,219028,3
52.2275633,154,219166,13
52.26923,154,219314,2
52.3108967,154,219471,7
52.3525633,155,219634,12
52.39423,155,219801,16
52.43589670000001,155,219971,2
52.47756329999999,156,220141,1
52.51923000000001,156,220308,1
52.56089670000001,156,220472,1
52.60256329999999,157,220629,6
52.64423000000001,157,220777,5
52.68589670000001,157,220915,5
52.72756329999999,157,221041,16
52.76923000000001,158,221151,25
52.81089670000001,158,221245,33
52.85256329999999,158,221320,116
52.89423000000001,159,221373,178
52.93589670000001,159,221404,291
52.97756329999999,159,221409,293
53.01923000000001,159,221386,465
53.06089670000001,159,221336,523
53.10256329999999,159,221260,1039
53.14423000000001,159,221161,864
53.18589670000001,159,221041,762
53.22756329999999,159,220902,561
53.26923000000001,159,220745,227
53.31089670000001,159,220574,70
53.35256329999999,159,220390,31
53.39423000000001,159,220196,18
53.43589670000001,159,219993,4
53.47756329999999,159,219783,6
53.51923000000001,159,219570,11
53.56089670000001,159,219354,6
53.60256329999999,158,219139,1
53.64423000000001,158,218925,2
53.68589670000001,158,218716,1
53.72756329999999,158,218514,0
53.76923000000001,158,218320,0
53.81089670000001,157,218137,1
53.85256329999999,157,217967,0
53.89423000000001,157,217812,0
53.93589670000001,157,217674,0
53.97756329999999,157,217555,2
54.01923000000001,156,217458,0
54.06089670000001,156,217382,0
54.10256329999999,156,217327,2
54.14423000000001,156,217290,2
54.18589670000001,156,217270,1
54.22756329999999,156,217266,0
54.26923000000001,155,217276,4
54.31089670000001,155,217298,4
54.35256329999999,155,217330,0
54.39423000000001,155,217372,4
54.43589670000001,155,217421,1
54.47756329999999,155,217475,0
54.51923000000001,155,217534,0
54.56089670000001,155,217596,2
54.60256329999999,155,217659,13
54.64423000000001,154,217721,2
54.68589670000001,154,217781,4
54.72756329999999,154,217837,2
54.76923000000001,154,217888,0
54.81089670000001,154,217932,0
54.85256329999999,154,217967,0
54.89423000000001,154,217992,0
54.93589670000001,154,218006,0
54.97756329999999,154,218006,2
55.01923000000001,154,217991,0
55.06089670000001,154,217961,4
55.10256329999999,154,217918,1
55.14423000000001,154,217861,7
55.18589670000001,154,217794,33
55.22756329999999,154,217717,38
55.26923000000001,154,217631,29
55.31089670000001,154,217539,78
55.35256329999999,154,217440,130
55.39423000000001,154,217338,482
55.43589670000001,155,217232,980
55.47756329999999,155,217125,918
55.51923000000001,155,217018,894
55.56089670000001,155,216911,480
55.60256329999999,155,216807,318
55.64423000000001,155,216707,181
55.68589670000001,155,216612,38
55.72756329999999,155,216523,15
55.76923000000001,155,216443,0
55.81089670000001,155,216371,8
55.85256329999999,155,216310,4
55.89423000000001,155,216261,12
55.93589670000001,155,216226,0
55.97756329999999,156,216205,0
56.01923000000001,156,216200,7
56.06089670000001,156,216211,8
56.10256329999999,156,216237,19
56.14423000000001,156,216276,18
56.18589670000001,156,216327,21
56.22756329999999,156,216390,3
56.26923000000001,156,216462,4
56.31089670000001,156,216542,19
56.35256329999999,156,216629,10
56.39423000000001,156,216722,8
56.43589670000001,156,216820,2
56.47756329999999,156,216920,0
56.51923000000001,156,217022,0
56.56089670000001,156,217125,2
56.60256329999999,157,217226,1
56.64423000000001,157,217326,1
56.68589670000001,157,217422,2
56.72756329999999,157,217513,0
56.76923000000001,157,217598,7
56.81089670000001,157,217676,6
56.85256329999999,157,217745,6
56.89423000000001,157,217804,2
56.93589670000001,157,217852,0
56.97756329999999,158,217887,8
57.01923000000001,158,217908,22
57.06089670000001,158,217915,30
57.10256329999999,158,217909,32
57.14423000000001,158,217890,67
57.18589670000001,158,217860,170
57.22756329999999,159,217819,271
57.26923000000001,159,217769,302
57.31089670000001,159,217710,348
57.35256329999999,159,217643,286
57.39423000000001,159,217569,273
57.43589670000001,160,217490,422
57.47756329999999,160,217405,556
57.51923000000001,160,217317,326
57.56089670000001,160,217225,200
57.60256329999999,160,217131,125
57.64423000000001,161,217036,71
57.68589670000001,161,216940,32
57.72756329999999,161,216845,17
57.76923000000001,161,216751,35
57.81089670000001,161,216660,41
57.85256329999999,161,216571,29
57.89423000000001,161,216488,78
57.93589670000001,161,216409,79
57.97756329999999,161,216336,71
58.01923000000001,161,216271,65
58.06089670000001,161,216212,58
58.10256329999999,161,216161,108
58.14423000000001,161,216117,91
58.18589670000001,161,216079,19
58.22756329999999,161,216047,39
58.26923000000001,161,216022,76
58.31089670000001,160,216003,34
58.35256329999999,160,215989,23
58.39423000000001,160,215980,25
58.43589670000001,160,215977,41
58.47756329999999,160,215978,32
58.51923000000001,160,215984,32
58.56089670000001,159,215994,32
58.60256329999999,159,216008,35
58.64423000000001,159,216026,9
58.68589670000001,159,216048,13
58.72756329999999,159,216073,7
58.76923000000001,159,216101,3
58.81089670000001,159,216132,0
58.85256329999999,159,216165,1
58.89423000000001,158,216201,2
58.93589670000001,158,216239,14
58.97756329999999,158,216278,19
59.01923000000001,158,216319,31
59.06089670000001,158,216361,29
59.10256329999999,158,216404,68
59.14423000000001,158,216447,132
59.18589670000001,158,216489,231
59.22756329999999,159,216531,251
59.26923000000001,159,216571,405
59.31089670000001,159,216609,282
59.35256329999999,159,216644,533
59.39423000000001,159,216676,632
59.43589670000001,159,216705,514
59.47756329999999,159,216730,344
59.51923000000001,160,216750,223
59.56089670000001,160,216764,90
59.60256329999999,160,216773,59
59.64423000000001,160,216776,22
59.68589670000001,160,216772,4
59.72756329999999,160,216761,2
59.76923000000001,161,216742,2
59.81089670000001,161,216714,6
59.85256329999999,161,216678,1
59.89423000000001,161,216632,0
59.93589670000001,161,216576,1
59.97756329999999,161,216510,2
60.01923000000001,162,216433,2
60.06089670000001,162,216345,2
60.10256329999999,162,216246,1
60.14423000000001,162,216138,1
60.18589670000001,162,216021,2
60.22756329999999,162,215895,2
60.26923000000001,162,215761,4
60.31089670000001,162,215620,4
