time,births,population,reported_cases
44.01923,11,10869,0
44.0608967,11,10849,3
44.1025633,10,10836,22
44.14423,10,10828,42
44.1858967,10,10825,26
44.2275633,9,10828,30
44.26923,9,10836,13
44.3108967,9,10848,4
44.3525633,9,10865,6
44.39423,9,10886,4
44.4358967,9,10911,1
44.4775633,8,10940,0
44.51923,8,10972,0
44.5608967,8,11008,2
44.6025633,8,11046,0
44.64423,8,11088,0
44.6858967,8,11132,0
44.7275633,8,11178,0
44.76923,8,11226,0
44.8108967,8,11276,0
44.8525633,8,11328,0
44.89423,8,11381,0
44.9358967,8,11435,0
44.9775633,8,11490,0
45.01923,8,11546,0
45.0608967,8,11602,0
45.1025633,8,11658,0
45.14423,8,11714,3
45.1858967,8,11771,2
45.2275633,8,11827,0
45.26923,8,11883,4
45.3108967,9,11939,6
45.3525633,9,11994,15
45.39423,9,12048,30
45.4358967,9,12101,55
45.4775633,9,12154,63
45.51923,9,12205,9
45.5608967,9,12255,2
45.6025633,9,12304,1
45.64423,10,12351,2
45.6858967,10,12396,1
45.7275633,10,12440,0
45.76923,10,12482,0
45.8108967,10,12521,0
45.8525633,10,12558,0
45.89423,10,12593,0
45.9358967,11,12626,0
45.9775633,11,12655,0
46.01923,11,12682,0
46.0608967,11,12706,0
46.1025633,11,12727,0
46.14423,11,12746,0
46.1858967,11,12763,0
46.2275633,11,12778,0
46.26923,11,12790,0
46.3108967,12,12801,2
46.3525633,12,12810,1
46.39423,12,12818,2
46.4358967,12,12824,1
46.4775633,12,12829,0
46.51923,12,12833,0
46.5608967,12,12837,5
46.6025633,12,12840,0
46.64423,12,12842,2
46.6858967,12,12845,1
46.7275633,12,12847,0
46.76923,12,12849,0
46.8108967,12,12851,0
46.8525633,12,12854,0
46.89423,12,12858,0
46.9358967,12,12862,1
46.9775633,12,12867,0
47.01923,12,12873,0
47.0608967,12,12880,7
47.1025633,12,12889,10
47.14423,12,12898,54
47.1858967,12,12908,29
47.2275633,11,12920,14
47.26923,11,12932,7
47.3108967,11,12945,11
47.3525633,11,12958,1
47.39423,11,12972,3
47.4358967,11,12987,2
47.4775633,11,13002,1
47.51923,11,13018,1
47.5608967,11,13034,2
47.6025633,10,13051,6
47.64423,10,13067,2
47.6858967,10,13084,0
47.7275633,10,13101,0
47.76923,10,13118,0
47.8108967,10,13135,2
47.8525633,10,13152,0
47.89423,10,13169,0
47.9358967,10,13185,0
47.9775633,10,13201,2
48.01923,10,13217,2
48.0608967,10,13233,3
48.1025633,10,13248,1
48.14423,10,13263,1
48.1858967,10,13278,2
48.2275633,10,13292,4
48.26923,10,13305,0
48.3108967,10,13319,4
48.3525633,10,13332,10
48.39423,10,13345,13
48.4358967,10,13357,28
48.4775633,10,13369,54
48.51923,10,13381,76
48.5608967,10,13392,27
48.6025633,10,13403,5
48.64423,10,13414,0
48.6858967,10,13424,1
48.7275633,10,13434,0
48.76923,10,13443,0
48.8108967,10,13453,0
48.8525633,10,13461,0
48.89423,10,13470,0
48.9358967,10,13478,0
48.9775633,10,13486,0
49.01923,10,13493,0
49.0608967,10,13501,16
49.1025633,10,13507,19
49.14423,10,13514,16
49.1858967,10,13520,7
49.2275633,10,13526,6
49.26923,10,13531,0
49.3108967,10,13536,1
49.3525633,10,13541,2
49.39423,10,13546,1
49.4358967,10,13550,0
49.4775633,9,13553,4
49.51923,9,13557,2
49.5608967,9,13560,7
49.6025633,9,13562,1
49.64423,9,13565,0
49.6858967,9,13567,1
49.7275633,9,13568,0
49.76923,9,13570,0
49.8108967,9,13570,0
49.8525633,8,13571,0
49.89423,8,13571,1
49.9358967,8,13571,0
49.9775633,8,13570,0
50.01923,8,13570,0
50.0608967,8,13568,0
50.1025633,8,13567,0
50.14423,8,13565,0
50.1858967,8,13563,1
50.2275633,8,13560,0
50.26923,8,13558,0
50.3108967,8,13555,0
50.3525633,8,13552,1
50.39423,8,13549,24
50.4358967,8,13546,51
50.4775633,8,13543,32
50.51923,8,13540,45
50.5608967,8,13537,15
50.6025633,8,13534,7
50.64423,8,13530,7
50.6858967,8,13527,4
50.7275633,8,13524,4
50.76923,8,13522,0
50.8108967,8,13519,0
50.8525633,8,13517,0
50.89423,8,13514,1
50.9358967,8,13512,4
50.9775633,8,13511,0
51.01923,8,13509,0
51.0608967,8,13508,0
51.1025633,8,13508,1
51.14423,8,13507,3
51.1858967,8,13507,7
51.2275633,8,13507,22
51.26923,8,13507,13
51.3108967,8,13507,18
51.3525633,8,13508,19
51.39423,8,13508,43
51.4358967,8,13509,42
51.4775633,8,13510,13
51.51923,8,13511,7
51.5608967,8,13512,2
51.6025633,7,13513,0
51.64423,7,13514,0
51.6858967,7,13515,0
51.7275633,7,13516,0
51.76923,7,13517,0
51.8108967,7,13518,2
51.8525633,7,13519,0
51.89423,7,13519,0
51.9358967,7,13520,0
51.9775633,7,13520,0
52.01923,7,13520,0
52.0608967,7,13520,0
52.1025633,7,13520,0
52.14423,7,13519,0
52.1858967,7,13519,2
52.2275633,7,13518,0
52.26923,7,13518,0
52.3108967,7,13517,0
52.3525633,7,13517,2
52.39423,7,13516,2
52.43589670000001,7,13516,2
52.47756329999999,7,13515,0
52.51923000000001,7,13515,1
52.56089670000001,7,13515,0
52.60256329999999,7,13515,2
52.64423000000001,7,13515,2
52.68589670000001,7,13516,1
52.72756329999999,7,13516,0
52.76923000000001,7,13518,0
52.81089670000001,7,13519,0
52.85256329999999,7,13521,0
52.89423000000001,7,13523,0
52.93589670000001,7,13525,0
52.97756329999999,7,13528,0
53.01923000000001,7,13532,7
53.06089670000001,7,13535,21
