time,births,population,reported_cases
44.01923,164,155993,2
44.0608967,165,156344,4
44.1025633,165,156781,1
44.14423,166,157298,3
44.1858967,166,157892,12
44.2275633,167,158559,5
44.26923,167,159296,24
44.3108967,168,160097,8
44.3525633,169,160960,19
44.39423,169,161879,38
44.4358967,170,162852,83
44.4775633,171,163874,123
44.51923,171,164941,110
44.5608967,172,166050,178
44.6025633,173,167196,92
44.64423,174,168375,27
44.6858967,175,169584,30
44.7275633,176,170818,22
44.76923,177,172074,24
44.8108967,178,173348,27
44.8525633,179,174635,18
44.89423,180,175932,42
44.9358967,181,177234,82
44.9775633,182,178538,100
45.01923,183,179840,77
45.0608967,184,181137,49
45.1025633,185,182427,91
45.14423,186,183707,191
45.1858967,187,184976,340
45.2275633,188,186231,293
45.26923,190,187471,221
45.3108967,191,188693,134
45.3525633,192,189896,64
45.39423,193,191077,30
45.4358967,194,192234,22
45.4775633,196,193366,15
45.51923,197,194470,13
45.5608967,198,195545,5
45.6025633,199,196587,3
45.64423,201,197596,7
45.6858967,202,198569,3
45.7275633,203,199504,2
45.76923,204,200399,0
45.8108967,206,201252,0
45.8525633,207,202061,4
45.89423,208,202824,1
45.9358967,209,203539,1
45.9775633,210,204204,3
46.01923,211,204816,0
46.0608967,213,205377,4
46.1025633,214,205889,1
46.14423,215,206355,0
46.1858967,216,206778,3
46.2275633,217,207162,4
46.26923,218,207508,7
46.3108967,219,207821,4
46.3525633,220,208103,4
46.39423,220,208357,8
46.4358967,221,208587,15
46.4775633,222,208795,19
46.51923,223,208984,48
46.5608967,223,209157,27
46.6025633,224,209318,20
46.64423,224,209470,20
46.6858967,224,209614,17
46.7275633,225,209755,15
46.76923,225,209895,13
46.8108967,225,210038,11
46.8525633,225,210187,14
46.89423,225,210343,18
46.9358967,225,210512,12
46.9775633,224,210695,14
47.01923,224,210895,31
47.0608967,223,211113,54
47.1025633,223,211347,130
47.14423,222,211595,169
47.1858967,221,211855,237
47.2275633,220,212125,209
47.26923,219,212402,223
47.3108967,218,212684,187
47.3525633,217,212969,225
47.39423,216,213256,201
47.4358967,215,213541,157
47.4775633,214,213823,101
47.51923,213,214100,43
47.5608967,211,214369,14
47.6025633,210,214628,1
47.64423,209,214876,20
47.6858967,208,215109,1
47.7275633,206,215327,5
47.76923,205,215526,0
47.8108967,204,215704,0
47.8525633,203,215861,0
47.89423,201,215992,1
47.9358967,200,216097,3
47.9775633,199,216172,1
48.01923,198,216217,0
48.0608967,197,216231,1
48.1025633,196,216220,7
48.14423,195,216187,14
48.1858967,195,216138,12
48.2275633,194,216076,4
48.26923,193,216007,7
48.3108967,192,215934,5
48.3525633,192,215862,5
48.39423,191,215796,5
48.4358967,190,215740,8
48.4775633,190,215698,26
48.51923,189,215675,31
48.5608967,189,215676,35
48.6025633,188,215705,29
48.64423,187,215766,24
48.6858967,187,215864,6
48.7275633,186,216004,1
48.76923,186,216189,9
48.8108967,185,216425,19
48.8525633,184,216716,31
48.89423,184,217065,72
48.9358967,183,217479,134
48.9775633,182,217961,392
49.01923,181,218515,640
49.0608967,180,219142,757
49.1025633,180,219835,955
49.14423,179,220589,837
49.1858967,178,221399,381
49.2275633,177,222258,140
49.26923,176,223160,94
49.3108967,175,224101,42
49.3525633,174,225074,31
49.39423,173,226073,7
49.4358967,172,227094,4
49.4775633,171,228129,4
49.51923,170,229173,18
