time,births,population,reported_cases
44.01923,5,6831,0
44.0608967,5,6814,0
44.1025633,5,6798,0
44.14423,5,6783,0
44.1858967,5,6770,0
44.2275633,5,6759,0
44.26923,5,6749,0
44.3108967,5,6740,3
44.3525633,4,6733,0
44.39423,4,6728,2
44.4358967,4,6723,1
44.4775633,4,6720,0
44.51923,4,6719,0
44.5608967,4,6719,2
44.6025633,4,6720,1
44.64423,4,6722,0
44.6858967,4,6725,0
44.7275633,4,6730,2
44.76923,4,6736,2
44.8108967,4,6743,0
44.8525633,4,6751,0
44.89423,4,6760,0
44.9358967,4,6770,4
44.9775633,4,6781,0
45.01923,4,6794,4
45.0608967,4,6807,1
45.1025633,4,6821,35
45.14423,4,6837,28
45.1858967,4,6853,3
45.2275633,4,6869,13
45.26923,4,6887,2
45.3108967,4,6905,0
45.3525633,4,6925,0
45.39423,5,6944,0
45.4358967,5,6965,0
45.4775633,5,6985,0
45.51923,5,7007,0
45.5608967,5,7029,0
45.6025633,5,7051,0
45.64423,5,7074,0
45.6858967,5,7097,0
45.7275633,5,7120,0
45.76923,5,7144,0
45.8108967,5,7168,0
45.8525633,5,7192,0
45.89423,5,7216,0
45.9358967,5,7240,0
45.9775633,5,7265,0
46.01923,5,7289,0
46.0608967,5,7314,0
46.1025633,5,7338,0
46.14423,5,7362,0
46.1858967,5,7386,0
46.2275633,5,7409,0
46.26923,5,7433,0
46.3108967,5,7455,0
46.3525633,5,7478,0
46.39423,5,7500,0
46.4358967,5,7521,0
46.4775633,5,7541,0
46.51923,5,7561,0
46.5608967,5,7580,0
46.6025633,5,7599,0
46.64423,5,7616,0
46.6858967,5,7632,0
46.7275633,5,7648,0
46.76923,5,7662,0
46.8108967,5,7675,0
46.8525633,5,7687,1
46.89423,5,7697,1
46.9358967,5,7707,4
46.9775633,5,7714,0
47.01923,5,7721,0
47.0608967,5,7726,2
47.1025633,5,7729,5
47.14423,5,7731,4
47.1858967,5,7732,9
47.2275633,5,7732,0
47.26923,5,7731,0
47.3108967,5,7729,0
47.3525633,5,7726,0
47.39423,5,7722,2
47.4358967,5,7718,2
47.4775633,5,7713,1
47.51923,5,7707,3
47.5608967,5,7701,0
47.6025633,5,7695,4
47.64423,5,7688,0
47.6858967,5,7681,0
47.7275633,5,7674,0
47.76923,5,7667,0
47.8108967,5,7660,0
47.8525633,5,7653,0
47.89423,5,7646,0
47.9358967,5,7639,0
47.9775633,5,7633,0
48.01923,5,7627,0
48.0608967,5,7622,0
48.1025633,5,7618,0
48.14423,5,7613,0
48.1858967,5,7610,0
48.2275633,5,7606,0
48.26923,5,7604,0
48.3108967,5,7601,4
48.3525633,5,7599,0
48.39423,5,7598,1
48.4358967,4,7597,1
48.4775633,4,7596,0
48.51923,4,7596,2
48.5608967,4,7596,0
48.6025633,4,7596,0
48.64423,4,7597,2
48.6858967,4,7598,0
48.7275633,4,7600,0
48.76923,4,7602,0
48.8108967,4,7604,0
48.8525633,4,7606,3
48.89423,4,7609,1
48.9358967,4,7613,4
48.9775633,4,7616,7
49.01923,4,7620,9
49.0608967,4,7624,2
49.1025633,4,7628,37
49.14423,4,7633,16
49.1858967,4,7637,16
49.2275633,4,7642,4
49.26923,4,7646,11
49.3108967,4,7651,10
49.3525633,4,7655,1
