time,births,population,reported_cases
44.01923,11,11178,0
44.0608967,11,11155,0
44.1025633,10,11135,0
44.14423,10,11118,1
44.1858967,10,11103,0
44.2275633,10,11091,1
44.26923,10,11082,0
44.3108967,10,11075,0
44.3525633,10,11070,0
44.39423,10,11068,1
44.4358967,10,11068,6
44.4775633,10,11070,10
44.51923,10,11073,7
44.5608967,10,11079,2
44.6025633,10,11087,12
44.64423,10,11096,8
44.6858967,10,11107,5
44.7275633,10,11119,18
44.76923,9,11133,22
44.8108967,9,11148,10
44.8525633,9,11164,9
44.89423,9,11182,5
44.9358967,9,11200,3
44.9775633,9,11219,2
45.01923,9,11239,11
45.0608967,9,11260,9
45.1025633,9,11282,3
45.14423,9,11304,0
45.1858967,9,11326,0
45.2275633,9,11349,2
45.26923,9,11373,2
45.3108967,9,11397,5
45.3525633,10,11421,0
45.39423,10,11445,0
45.4358967,10,11469,0
45.4775633,10,11494,4
45.51923,10,11518,0
45.5608967,10,11543,0
45.6025633,10,11567,1
45.64423,10,11591,2
45.6858967,10,11615,1
45.7275633,10,11639,1
45.76923,10,11662,0
45.8108967,10,11684,0
45.8525633,10,11707,0
45.89423,11,11728,0
45.9358967,11,11749,1
45.9775633,11,11769,0
46.01923,11,11789,0
46.0608967,11,11808,0
46.1025633,11,11825,0
46.14423,11,11843,0
46.1858967,11,11859,2
46.2275633,12,11875,0
46.26923,12,11890,0
46.3108967,12,11905,0
46.3525633,12,11919,0
46.39423,12,11932,1
46.4358967,12,11945,1
46.4775633,12,11958,2
46.51923,12,11970,0
46.5608967,13,11982,2
46.6025633,13,11993,3
46.64423,13,12004,0
46.6858967,13,12015,4
46.7275633,13,12025,0
46.76923,13,12035,0
46.8108967,13,12046,2
46.8525633,13,12056,0
46.89423,13,12065,0
46.9358967,13,12075,1
46.9775633,13,12085,2
47.01923,13,12094,0
47.0608967,13,12104,0
47.1025633,13,12114,3
47.14423,13,12123,5
47.1858967,13,12133,6
47.2275633,13,12143,2
47.26923,13,12152,5
47.3108967,13,12161,22
47.3525633,13,12171,79
47.39423,12,12180,90
47.4358967,12,12189,21
47.4775633,12,12198,7
47.51923,12,12206,6
47.5608967,12,12215,3
47.6025633,12,12223,0
47.64423,12,12231,4
47.6858967,12,12239,1
47.7275633,11,12247,1
47.76923,11,12254,7
47.8108967,11,12261,0
47.8525633,11,12268,0
47.89423,11,12275,0
47.9358967,11,12281,2
47.9775633,11,12287,0
48.01923,11,12293,0
48.0608967,11,12298,0
48.1025633,11,12303,1
48.14423,11,12308,0
48.1858967,11,12312,1
48.2275633,11,12316,0
48.26923,10,12320,0
48.3108967,10,12324,12
48.3525633,10,12328,1
48.39423,10,12332,3
48.4358967,10,12335,0
48.4775633,10,12339,2
48.51923,11,12342,2
48.5608967,11,12346,4
48.6025633,11,12349,1
48.64423,11,12353,0
48.6858967,11,12357,1
48.7275633,11,12360,0
48.76923,11,12364,0
48.8108967,11,12368,2
48.8525633,11,12373,0
48.89423,11,12377,3
48.9358967,11,12382,16
48.9775633,11,12387,5
49.01923,11,12393,7
49.0608967,11,12398,10
49.1025633,11,12404,26
49.14423,11,12410,33
49.1858967,11,12417,23
49.2275633,11,12423,13
49.26923,11,12430,2
49.3108967,11,12437,0
49.3525633,11,12443,4
49.39423,11,12450,0
49.4358967,11,12457,0
49.4775633,11,12463,0
49.51923,11,12470,2
49.5608967,11,12476,0
49.6025633,11,12482,2
