time,births,population,reported_cases
44.01923,23,32291,0
44.0608967,23,32194,4
44.1025633,23,32110,1
44.14423,22,32037,0
44.1858967,22,31975,4
44.2275633,22,31924,3
44.26923,22,31884,0
44.3108967,22,31854,0
44.3525633,22,31833,0
44.39423,22,31821,3
44.4358967,22,31818,2
44.4775633,22,31823,2
44.51923,22,31835,2
44.5608967,22,31855,5
44.6025633,22,31882,12
44.64423,22,31916,3
44.6858967,22,31955,1
44.7275633,22,32000,2
44.76923,22,32050,0
44.8108967,22,32105,5
44.8525633,22,32164,5
44.89423,22,32227,12
44.9358967,22,32293,28
44.9775633,22,32362,43
45.01923,22,32433,24
45.0608967,22,32507,25
45.1025633,22,32582,83
45.14423,22,32660,73
45.1858967,22,32738,49
45.2275633,22,32817,28
45.26923,22,32897,30
45.3108967,22,32978,5
45.3525633,22,33059,6
45.39423,22,33139,3
45.4358967,23,33220,43
45.4775633,23,33299,4
45.51923,23,33378,2
45.5608967,23,33456,0
45.6025633,23,33532,1
45.64423,23,33606,0
45.6858967,23,33678,0
45.7275633,23,33748,0
45.76923,23,33816,0
45.8108967,24,33880,0
45.8525633,24,33942,0
45.89423,24,34000,0
45.9358967,24,34054,1
45.9775633,24,34105,0
46.01923,24,34151,0
46.0608967,24,34193,0
46.1025633,24,34231,0
46.14423,25,34265,1
46.1858967,25,34295,0
46.2275633,25,34322,0
46.26923,25,34346,0
46.3108967,25,34367,0
46.3525633,25,34385,0
46.39423,25,34401,3
46.4358967,25,34415,0
46.4775633,26,34427,6
46.51923,26,34437,7
46.5608967,26,34445,0
46.6025633,26,34452,4
46.64423,26,34459,0
46.6858967,26,34464,0
46.7275633,26,34468,0
46.76923,26,34473,0
46.8108967,26,34477,0
46.8525633,26,34481,4
46.89423,26,34486,8
46.9358967,26,34491,5
46.9775633,26,34496,17
47.01923,26,34503,37
47.0608967,26,34511,59
47.1025633,26,34520,152
47.14423,26,34530,56
47.1858967,26,34540,10
47.2275633,25,34551,8
47.26923,25,34563,9
47.3108967,25,34576,3
47.3525633,25,34588,2
47.39423,25,34601,6
47.4358967,25,34614,2
47.4775633,25,34627,1
47.51923,24,34641,2
47.5608967,24,34654,8
47.6025633,24,34667,0
47.64423,24,34679,0
47.6858967,24,34691,0
47.7275633,23,34703,2
47.76923,23,34714,0
47.8108967,23,34724,0
47.8525633,23,34734,0
47.89423,23,34743,0
47.9358967,22,34750,0
47.9775633,22,34757,0
48.01923,22,34762,0
48.0608967,22,34767,5
48.1025633,21,34770,0
48.14423,21,34772,0
48.1858967,21,34773,2
48.2275633,21,34773,0
48.26923,21,34772,2
48.3108967,21,34771,4
48.3525633,20,34769,0
48.39423,20,34766,4
48.4358967,20,34763,12
48.4775633,20,34760,17
48.51923,20,34756,20
48.5608967,20,34753,32
48.6025633,20,34749,9
48.64423,19,34745,0
48.6858967,19,34741,1
48.7275633,19,34737,4
48.76923,19,34733,9
48.8108967,19,34730,36
48.8525633,19,34727,33
48.89423,19,34724,32
48.9358967,19,34722,46
48.9775633,19,34720,42
49.01923,19,34720,46
49.0608967,19,34720,13
49.1025633,19,34720,33
49.14423,19,34721,20
49.1858967,19,34723,22
49.2275633,19,34725,66
49.26923,19,34727,9
49.3108967,19,34730,8
49.3525633,19,34732,3
49.39423,19,34735,12
49.4358967,19,34738,7
49.4775633,19,34740,0
49.51923,20,34743,2
49.5608967,20,34745,2
49.6025633,20,34747,7
49.64423,20,34748,7
49.6858967,20,34749,2
49.7275633,20,34749,0
49.76923,20,34749,0
49.8108967,20,34747,0
49.8525633,20,34745,1
49.89423,20,34742,0
49.9358967,20,34738,0
49.9775633,20,34733,2
50.01923,20,34727,0
50.0608967,20,34720,1
50.1025633,20,34711,0
50.14423,20,34701,1
50.1858967,20,34691,4
50.2275633,20,34679,0
50.26923,20,34667,0
50.3108967,20,34654,1
50.3525633,20,34640,4
50.39423,20,34625,4
50.4358967,20,34610,0
50.4775633,20,34594,3
50.51923,20,34577,4
50.5608967,20,34560,7
50.6025633,19,34543,9
50.64423,19,34526,8
50.6858967,19,34508,4
50.7275633,19,34490,2
50.76923,19,34471,0
50.8108967,19,34453,0
50.8525633,19,34435,2
50.89423,19,34416,3
50.9358967,19,34398,9
50.9775633,19,34380,38
51.01923,19,34362,26
51.0608967,19,34344,32
51.1025633,19,34327,47
51.14423,19,34310,46
51.1858967,19,34293,65
51.2275633,19,34276,31
51.26923,19,34261,33
51.3108967,19,34245,33
51.3525633,19,34230,21
51.39423,19,34216,18
51.4358967,19,34202,9
51.4775633,19,34189,8
51.51923,19,34176,2
51.5608967,19,34164,1
51.6025633,19,34153,4
51.64423,19,34143,3
51.6858967,19,34133,0
51.7275633,19,34125,0
