time,births,population,reported_cases
44.01923,7,8887,2
44.0608967,7,8861,0
44.1025633,7,8839,0
44.14423,7,8819,0
44.1858967,6,8803,1
44.2275633,6,8789,3
44.26923,6,8778,0
44.3108967,6,8769,0
44.3525633,6,8762,0
44.39423,6,8758,0
44.4358967,6,8756,1
44.4775633,6,8757,0
44.51923,6,8758,2
44.5608967,6,8762,3
44.6025633,6,8768,11
44.64423,6,8774,1
44.6858967,6,8783,1
44.7275633,6,8792,0
44.76923,6,8803,0
44.8108967,6,8814,0
44.8525633,6,8827,0
44.89423,6,8840,2
44.9358967,6,8854,11
44.9775633,6,8868,12
45.01923,6,8883,11
45.0608967,6,8898,4
45.1025633,6,8913,1
45.14423,6,8928,3
45.1858967,6,8944,49
45.2275633,6,8959,19
45.26923,6,8974,6
45.3108967,6,8990,2
45.3525633,6,9005,3
45.39423,6,9020,6
45.4358967,6,9034,3
45.4775633,6,9048,0
45.51923,6,9062,4
45.5608967,6,9075,2
45.6025633,6,9087,2
45.64423,6,9099,0
45.6858967,6,9110,0
45.7275633,6,9121,0
45.76923,6,9130,0
45.8108967,6,9139,0
45.8525633,7,9147,0
45.89423,7,9153,0
45.9358967,7,9159,0
45.9775633,7,9163,0
46.01923,7,9166,0
46.0608967,7,9168,0
46.1025633,7,9169,0
46.14423,7,9169,0
46.1858967,7,9167,0
46.2275633,7,9165,0
46.26923,7,9163,0
46.3108967,7,9159,0
46.3525633,7,9156,0
46.39423,7,9151,0
46.4358967,7,9147,0
46.4775633,7,9142,0
46.51923,7,9137,0
46.5608967,7,9132,4
46.6025633,7,9127,0
46.64423,7,9122,0
46.6858967,7,9118,0
46.7275633,7,9114,0
46.76923,7,9110,0
46.8108967,7,9107,0
46.8525633,7,9105,0
46.89423,7,9104,0
46.9358967,7,9103,9
46.9775633,7,9103,1
47.01923,7,9105,0
47.0608967,7,9107,12
47.1025633,7,9111,14
47.14423,7,9116,10
47.1858967,7,9121,21
47.2275633,7,9127,2
47.26923,7,9134,8
47.3108967,7,9142,50
47.3525633,7,9150,55
47.39423,7,9158,77
47.4358967,7,9167,0
47.4775633,7,9177,0
47.51923,7,9186,1
47.5608967,8,9196,0
47.6025633,8,9206,0
47.64423,8,9216,0
47.6858967,8,9225,0
47.7275633,8,9235,0
47.76923,8,9244,0
47.8108967,8,9253,0
47.8525633,8,9262,0
47.89423,8,9270,0
47.9358967,8,9278,0
47.9775633,8,9285,2
48.01923,8,9291,0
48.0608967,8,9296,0
48.1025633,8,9301,0
48.14423,8,9305,0
48.1858967,8,9309,4
48.2275633,8,9312,10
48.26923,8,9315,19
48.3108967,7,9317,0
48.3525633,7,9319,1
48.39423,7,9321,2
48.4358967,7,9322,0
48.4775633,7,9323,0
48.51923,7,9324,2
48.5608967,7,9325,0
48.6025633,7,9326,0
48.64423,7,9327,8
48.6858967,7,9328,0
48.7275633,7,9329,0
48.76923,7,9331,0
48.8108967,7,9332,0
48.8525633,7,9334,0
48.89423,7,9336,0
48.9358967,7,9338,0
48.9775633,7,9341,0
49.01923,7,9345,0
49.0608967,7,9349,0
49.1025633,7,9353,0
49.14423,7,9358,1
49.1858967,7,9363,0
49.2275633,6,9368,0
49.26923,6,9374,4
49.3108967,6,9380,9
49.3525633,6,9386,17
49.39423,6,9393,35
49.4358967,6,9400,21
49.4775633,6,9406,0
49.51923,6,9413,0
49.5608967,6,9420,0
49.6025633,6,9427,1
49.64423,6,9434,0
49.6858967,6,9441,0
49.7275633,6,9447,0
49.76923,6,9454,0
49.8108967,6,9460,0
49.8525633,6,9467,0
49.89423,6,9472,0
49.9358967,6,9478,0
49.9775633,6,9483,0
50.01923,6,9488,0
50.0608967,6,9493,0
50.1025633,6,9497,0
50.14423,6,9501,0
50.1858967,6,9504,0
50.2275633,6,9507,0
50.26923,6,9509,0
50.3108967,6,9511,0
50.3525633,6,9513,0
50.39423,6,9514,1
50.4358967,6,9515,0
50.4775633,6,9516,0
50.51923,6,9516,0
50.5608967,6,9515,0
50.6025633,6,9514,0
50.64423,6,9513,0
50.6858967,6,9511,4
50.7275633,6,9509,11
50.76923,6,9506,0
50.8108967,6,9503,20
50.8525633,6,9500,0
50.89423,6,9496,13
50.9358967,6,9492,6
50.9775633,6,9487,3
51.01923,6,9482,0
51.0608967,6,9476,0
51.1025633,6,9470,0
51.14423,6,9463,0
51.1858967,6,9457,0
51.2275633,6,9450,4
51.26923,6,9443,4
51.3108967,6,9437,4
51.3525633,6,9430,6
51.39423,6,9424,3
51.4358967,6,9417,8
51.4775633,6,9412,36
51.51923,6,9406,15
51.5608967,6,9401,10
51.6025633,6,9396,0
51.64423,6,9393,1
51.6858967,6,9389,0
51.7275633,6,9387,0
51.76923,6,9385,0
51.8108967,6,9384,0
51.8525633,6,9384,0
51.89423,6,9386,0
51.9358967,6,9388,0
51.9775633,6,9392,0
52.01923,6,9396,0
52.0608967,6,9402,0
52.1025633,6,9410,0
52.14423,6,9418,0
52.1858967,6,9427,0
52.2275633,6,9437,0
52.26923,6,9449,0
52.3108967,6,9460,0
52.3525633,6,9473,0
52.39423,6,9486,8
52.43589670000001,6,9499,2
52.47756329999999,6,9513,2
52.51923000000001,6,9527,4
52.56089670000001,6,9541,0
52.60256329999999,6,9556,0
52.64423000000001,6,9570,0
52.68589670000001,6,9584,0
52.72756329999999,6,9598,0
52.76923000000001,7,9612,0
52.81089670000001,7,9626,0
52.85256329999999,7,9639,0
52.89423000000001,7,9652,1
52.93589670000001,7,9664,10
52.97756329999999,7,9675,6
53.01923000000001,6,9686,49
53.06089670000001,6,9696,9
53.10256329999999,6,9704,13
53.14423000000001,6,9713,2
53.18589670000001,6,9720,0
53.22756329999999,6,9727,2
53.26923000000001,6,9733,0
53.31089670000001,6,9738,21
53.35256329999999,6,9743,17
53.39423000000001,6,9747,11
53.43589670000001,6,9750,42
53.47756329999999,6,9753,11
53.51923000000001,6,9756,28
53.56089670000001,6,9757,0
53.60256329999999,6,9759,7
53.64423000000001,6,9760,0
53.68589670000001,6,9760,0
53.72756329999999,6,9760,0
53.76923000000001,5,9759,0
53.81089670000001,5,9758,0
53.85256329999999,5,9757,0
53.89423000000001,5,9755,0
53.93589670000001,5,9754,0
53.97756329999999,5,9751,0
54.01923000000001,5,9749,0
54.06089670000001,5,9746,0
54.10256329999999,5,9743,0
54.14423000000001,5,9740,0
54.18589670000001,5,9737,0
54.22756329999999,5,9734,0
54.26923000000001,5,9731,0
54.31089670000001,5,9727,0
54.35256329999999,5,9724,0
54.39423000000001,5,9722,0
54.43589670000001,5,9719,0
54.47756329999999,5,9717,0
54.51923000000001,5,9715,0
54.56089670000001,5,9713,0
54.60256329999999,5,9712,0
54.64423000000001,5,9711,0
54.68589670000001,6,9711,0
54.72756329999999,6,9711,0
54.76923000000001,6,9712,0
54.81089670000001,6,9713,0
54.85256329999999,6,9716,1
54.89423000000001,6,9719,0
54.93589670000001,6,9722,0
54.97756329999999,6,9727,0
55.01923000000001,6,9733,0
55.06089670000001,6,9739,0
55.10256329999999,6,9747,24
55.14423000000001,6,9755,27
55.18589670000001,6,9763,36
55.22756329999999,6,9773,35
55.26923000000001,6,9783,17
55.31089670000001,6,9793,26
55.35256329999999,6,9803,26
55.39423000000001,6,9814,12
55.43589670000001,6,9825,8
55.47756329999999,6,9836,16
55.51923000000001,6,9847,0
55.56089670000001,6,9858,0
55.60256329999999,6,9869,0
55.64423000000001,6,9880,1
55.68589670000001,6,9890,0
55.72756329999999,6,9900,0
55.76923000000001,6,9910,0
55.81089670000001,6,9919,0
55.85256329999999,6,9927,0
55.89423000000001,6,9935,0
55.93589670000001,6,9941,0
55.97756329999999,6,9947,0
56.01923000000001,6,9952,0
56.06089670000001,6,9956,0
56.10256329999999,6,9959,0
56.14423000000001,6,9962,0
56.18589670000001,6,9963,4
56.22756329999999,6,9964,14
56.26923000000001,6,9964,2
56.31089670000001,6,9964,2
56.35256329999999,6,9964,0
56.39423000000001,6,9963,0
56.43589670000001,6,9962,0
56.47756329999999,6,9960,0
56.51923000000001,6,9959,0
56.56089670000001,6,9957,0
56.60256329999999,6,9956,0
56.64423000000001,6,9955,0
56.68589670000001,6,9953,0
56.72756329999999,6,9953,0
56.76923000000001,6,9952,0
56.81089670000001,6,9952,0
56.85256329999999,6,9953,0
56.89423000000001,6,9954,0
56.93589670000001,6,9956,0
56.97756329999999,7,9958,0
57.01923000000001,7,9962,0
57.06089670000001,7,9966,1
57.10256329999999,7,9971,13
57.14423000000001,7,9977,24
57.18589670000001,7,9983,19
57.22756329999999,7,9990,14
57.26923000000001,7,9998,2
57.31089670000001,7,10005,1
57.35256329999999,7,10014,5
57.39423000000001,7,10022,5
57.43589670000001,7,10031,15
57.47756329999999,7,10040,18
57.51923000000001,7,10049,6
57.56089670000001,8,10058,4
57.60256329999999,8,10068,14
57.64423000000001,8,10077,0
57.68589670000001,8,10085,0
57.72756329999999,8,10094,0
57.76923000000001,8,10102,0
57.81089670000001,8,10110,0
57.85256329999999,8,10118,0
57.89423000000001,8,10125,0
57.93589670000001,8,10131,0
57.97756329999999,8,10137,0
58.01923000000001,8,10142,0
58.06089670000001,8,10147,0
58.10256329999999,8,10150,0
58.14423000000001,8,10154,0
58.18589670000001,8,10156,0
58.22756329999999,8,10158,0
58.26923000000001,8,10160,0
58.31089670000001,8,10161,0
58.35256329999999,8,10163,0
58.39423000000001,8,10164,0
58.43589670000001,8,10164,0
58.47756329999999,8,10165,0
58.51923000000001,8,10166,0
58.56089670000001,7,10166,2
58.60256329999999,7,10167,0
58.64423000000001,7,10168,0
58.68589670000001,7,10169,0
58.72756329999999,7,10170,0
58.76923000000001,7,10172,0
58.81089670000001,7,10174,0
58.85256329999999,7,10176,0
58.89423000000001,7,10180,0
58.93589670000001,7,10183,0
58.97756329999999,7,10187,0
59.01923000000001,7,10192,0
59.06089670000001,7,10198,0
59.10256329999999,7,10204,0
59.14423000000001,7,10211,0
59.18589670000001,6,10218,1
59.22756329999999,6,10226,0
59.26923000000001,6,10233,2
59.31089670000001,6,10241,6
59.35256329999999,6,10249,21
59.39423000000001,6,10256,5
