time,births,population,reported_cases
44.01923,21,25339,0
44.0608967,21,25257,0
44.1025633,21,25185,0
44.14423,21,25123,4
44.1858967,21,25069,0
44.2275633,21,25024,0
44.26923,21,24988,0
44.3108967,21,24960,0
44.3525633,21,24939,1
44.39423,21,24926,0
44.4358967,20,24920,0
44.4775633,20,24921,0
44.51923,20,24928,0
44.5608967,20,24941,1
44.6025633,20,24960,0
44.64423,20,24984,1
44.6858967,20,25013,1
44.7275633,20,25047,2
44.76923,20,25085,6
44.8108967,20,25127,6
44.8525633,19,25173,1
44.89423,19,25223,3
44.9358967,19,25275,3
44.9775633,19,25330,8
45.01923,19,25387,32
45.0608967,19,25446,42
45.1025633,19,25507,52
45.14423,19,25569,41
45.1858967,19,25633,15
45.2275633,19,25698,8
45.26923,19,25764,0
45.3108967,19,25831,13
45.3525633,19,25898,30
45.39423,19,25966,46
45.4358967,19,26033,46
45.4775633,19,26100,21
45.51923,20,26167,26
45.5608967,20,26234,4
45.6025633,20,26299,10
45.64423,20,26364,1
45.6858967,20,26427,0
45.7275633,20,26489,0
45.76923,20,26549,0
45.8108967,20,26607,0
45.8525633,21,26663,0
45.89423,21,26716,2
45.9358967,21,26767,0
45.9775633,21,26815,0
46.01923,21,26860,2
46.0608967,22,26903,0
46.1025633,22,26942,0
46.14423,22,26978,0
46.1858967,22,27012,0
46.2275633,23,27043,0
46.26923,23,27072,0
46.3108967,23,27099,0
46.3525633,23,27124,1
46.39423,23,27147,0
46.4358967,24,27168,0
46.4775633,24,27188,0
46.51923,24,27207,0
46.5608967,24,27224,0
46.6025633,25,27240,1
46.64423,25,27255,0
46.6858967,25,27270,0
46.7275633,25,27284,0
46.76923,25,27297,0
46.8108967,25,27310,0
46.8525633,25,27323,1
46.89423,25,27336,1
46.9358967,25,27349,6
46.9775633,25,27363,7
47.01923,25,27376,26
47.0608967,25,27391,23
47.1025633,25,27406,33
47.14423,25,27421,64
47.1858967,25,27437,37
47.2275633,25,27452,35
47.26923,24,27468,8
47.3108967,24,27484,27
47.3525633,24,27500,24
