time,births,population,reported_cases
44.01923,19,17539,0
44.0608967,18,17517,0
44.1025633,18,17498,0
44.14423,18,17482,0
44.1858967,18,17468,0
44.2275633,18,17458,0
44.26923,17,17450,0
44.3108967,17,17445,0
44.3525633,17,17442,0
44.39423,17,17442,0
44.4358967,17,17443,0
44.4775633,17,17447,0
44.51923,16,17454,0
44.5608967,16,17462,0
44.6025633,16,17471,1
44.64423,16,17483,0
44.6858967,16,17496,0
44.7275633,16,17511,0
44.76923,16,17528,0
44.8108967,16,17545,0
44.8525633,16,17564,6
44.89423,16,17584,1
44.9358967,16,17606,1
44.9775633,16,17628,0
45.01923,16,17651,0
45.0608967,16,17674,3
45.1025633,16,17699,36
45.14423,16,17724,123
45.1858967,16,17750,143
45.2275633,16,17776,101
45.26923,16,17802,71
45.3108967,16,17829,47
45.3525633,16,17856,48
45.39423,16,17883,12
45.4358967,16,17911,0
45.4775633,16,17938,0
45.51923,16,17965,0
45.5608967,16,17992,0
45.6025633,17,18019,0
45.64423,17,18046,0
45.6858967,17,18072,0
45.7275633,17,18098,0
45.76923,17,18123,0
45.8108967,17,18148,0
45.8525633,17,18172,0
45.89423,17,18195,0
45.9358967,17,18217,0
45.9775633,17,18239,0
46.01923,17,18259,0
46.0608967,17,18279,0
46.1025633,17,18298,0
46.14423,17,18315,0
46.1858967,17,18332,1
46.2275633,17,18348,0
46.26923,17,18363,0
46.3108967,17,18377,0
46.3525633,17,18390,1
46.39423,17,18403,0
46.4358967,17,18415,0
46.4775633,17,18426,0
46.51923,17,18437,0
46.5608967,17,18447,0
46.6025633,17,18456,0
46.64423,17,18465,0
46.6858967,17,18473,0
46.7275633,17,18480,0
46.76923,17,18488,0
46.8108967,17,18494,0
46.8525633,17,18501,1
46.89423,17,18507,1
46.9358967,17,18512,0
46.9775633,17,18517,2
47.01923,17,18522,35
47.0608967,17,18527,13
47.1025633,17,18531,13
47.14423,17,18535,6
47.1858967,17,18540,4
47.2275633,17,18543,4
47.26923,17,18547,3
47.3108967,17,18551,2
47.3525633,17,18555,34
47.39423,17,18559,69
47.4358967,17,18563,60
47.4775633,17,18567,12
47.51923,17,18572,7
47.5608967,17,18577,8
47.6025633,16,18581,1
47.64423,16,18587,2
47.6858967,16,18592,0
47.7275633,16,18598,1
47.76923,16,18605,0
47.8108967,16,18612,2
47.8525633,16,18619,0
47.89423,16,18627,0
47.9358967,16,18636,0
47.9775633,16,18645,0
48.01923,16,18655,0
48.0608967,16,18665,0
48.1025633,16,18676,0
48.14423,16,18688,0
48.1858967,16,18700,0
48.2275633,16,18713,0
48.26923,16,18725,2
48.3108967,16,18738,2
48.3525633,16,18751,0
48.39423,15,18764,0
48.4358967,15,18777,2
48.4775633,15,18790,4
48.51923,15,18802,4
48.5608967,15,18814,1
48.6025633,15,18826,11
48.64423,15,18837,3
48.6858967,15,18848,3
48.7275633,15,18858,2
48.76923,15,18867,2
48.8108967,15,18875,0
48.8525633,15,18882,1
48.89423,15,18889,4
48.9358967,15,18894,3
48.9775633,15,18898,0
49.01923,15,18901,9
49.0608967,15,18903,5
49.1025633,15,18903,50
49.14423,15,18903,72
49.1858967,15,18901,73
49.2275633,15,18898,66
49.26923,15,18895,29
49.3108967,15,18890,103
49.3525633,15,18885,55
49.39423,15,18879,26
49.4358967,15,18873,23
49.4775633,15,18866,0
49.51923,15,18859,4
49.5608967,15,18851,0
49.6025633,15,18844,0
49.64423,15,18836,0
49.6858967,15,18827,1
49.7275633,15,18819,0
49.76923,15,18811,0
49.8108967,15,18803,0
49.8525633,15,18795,0
49.89423,15,18788,0
49.9358967,15,18780,0
49.9775633,15,18773,0
50.01923,15,18767,0
50.0608967,15,18761,0
50.1025633,15,18756,0
50.14423,15,18751,0
50.1858967,15,18747,0
50.2275633,15,18743,2
50.26923,15,18740,4
50.3108967,15,18736,2
50.3525633,15,18734,0
50.39423,15,18731,1
50.4358967,15,18729,0
50.4775633,15,18727,1
50.51923,15,18726,0
50.5608967,14,18725,0
50.6025633,14,18723,6
50.64423,14,18723,4
50.6858967,14,18722,1
50.7275633,14,18721,2
50.76923,14,18721,0
50.8108967,14,18721,1
50.8525633,14,18720,10
50.89423,14,18720,13
50.9358967,14,18720,33
50.9775633,14,18720,38
51.01923,14,18720,18
51.0608967,14,18720,39
51.1025633,14,18720,6
51.14423,14,18719,27
51.1858967,14,18719,40
51.2275633,14,18719,31
51.26923,14,18719,67
51.3108967,14,18719,60
51.3525633,14,18719,20
51.39423,14,18719,8
51.4358967,14,18720,1
51.4775633,14,18720,0
51.51923,14,18721,0
51.5608967,14,18721,0
51.6025633,14,18722,0
51.64423,14,18723,0
51.6858967,14,18724,0
51.7275633,14,18725,0
51.76923,14,18727,0
51.8108967,14,18729,0
51.8525633,14,18731,1
51.89423,14,18733,0
51.9358967,14,18736,1
51.9775633,14,18738,0
52.01923,14,18741,0
52.0608967,14,18745,0
52.1025633,14,18748,0
52.14423,14,18752,0
52.1858967,14,18756,0
52.2275633,14,18761,2
52.26923,14,18765,0
52.3108967,14,18770,0
52.3525633,14,18775,1
52.39423,14,18780,6
52.43589670000001,14,18785,6
52.47756329999999,14,18790,16
52.51923000000001,14,18795,10
52.56089670000001,14,18800,11
52.60256329999999,14,18805,3
52.64423000000001,14,18810,27
52.68589670000001,14,18815,3
52.72756329999999,14,18820,0
52.76923000000001,14,18825,0
52.81089670000001,14,18830,2
52.85256329999999,14,18835,2
52.89423000000001,14,18839,13
52.93589670000001,14,18844,2
52.97756329999999,14,18848,5
53.01923000000001,14,18852,44
53.06089670000001,14,18856,26
53.10256329999999,14,18859,41
53.14423000000001,14,18863,54
53.18589670000001,14,18867,29
53.22756329999999,14,18870,29
53.26923000000001,14,18874,36
53.31089670000001,15,18878,9
53.35256329999999,15,18882,18
53.39423000000001,15,18887,8
53.43589670000001,15,18892,6
53.47756329999999,15,18897,1
53.51923000000001,15,18903,0
53.56089670000001,15,18910,0
53.60256329999999,15,18917,0
53.64423000000001,15,18925,0
53.68589670000001,15,18934,0
53.72756329999999,15,18943,0
53.76923000000001,15,18953,0
53.81089670000001,15,18965,0
53.85256329999999,15,18977,0
53.89423000000001,15,18991,1
53.93589670000001,15,19005,0
53.97756329999999,15,19021,0
54.01923000000001,15,19038,0
54.06089670000001,15,19056,0
54.10256329999999,15,19076,1
54.14423000000001,15,19096,0
54.18589670000001,15,19118,16
54.22756329999999,15,19140,19
54.26923000000001,15,19163,4
54.31089670000001,15,19186,3
54.35256329999999,15,19210,10
54.39423000000001,15,19234,0
54.43589670000001,15,19258,4
54.47756329999999,15,19283,0
54.51923000000001,15,19307,0
54.56089670000001,15,19331,0
54.60256329999999,15,19354,0
54.64423000000001,15,19378,0
54.68589670000001,15,19400,0
54.72756329999999,15,19422,0
54.76923000000001,15,19443,0
54.81089670000001,15,19463,0
54.85256329999999,15,19483,0
54.89423000000001,15,19501,1
54.93589670000001,15,19517,0
54.97756329999999,15,19532,0
55.01923000000001,15,19546,0
55.06089670000001,15,19558,17
55.10256329999999,15,19569,0
55.14423000000001,15,19578,0
55.18589670000001,15,19586,1
55.22756329999999,15,19593,0
55.26923000000001,16,19598,0
55.31089670000001,16,19603,39
55.35256329999999,16,19606,38
55.39423000000001,16,19609,68
55.43589670000001,16,19611,52
55.47756329999999,16,19612,34
55.51923000000001,16,19612,118
55.56089670000001,16,19612,29
55.60256329999999,17,19612,18
55.64423000000001,17,19611,2
55.68589670000001,17,19609,3
55.72756329999999,17,19608,0
55.76923000000001,17,19607,0
55.81089670000001,17,19605,0
55.85256329999999,17,19604,0
55.89423000000001,17,19602,0
55.93589670000001,17,19601,0
55.97756329999999,17,19600,0
56.01923000000001,17,19600,0
56.06089670000001,17,19600,0
56.10256329999999,17,19600,0
56.14423000000001,17,19601,0
56.18589670000001,17,19602,0
56.22756329999999,17,19604,0
56.26923000000001,17,19606,0
56.31089670000001,17,19608,0
56.35256329999999,17,19610,0
56.39423000000001,17,19613,0
56.43589670000001,17,19615,0
56.47756329999999,17,19618,0
56.51923000000001,17,19621,0
56.56089670000001,17,19625,1
56.60256329999999,17,19628,1
56.64423000000001,17,19631,1
56.68589670000001,17,19635,0
56.72756329999999,17,19638,0
56.76923000000001,17,19642,0
56.81089670000001,17,19645,0
56.85256329999999,17,19649,3
56.89423000000001,17,19652,4
56.93589670000001,17,19655,0
56.97756329999999,16,19658,0
57.01923000000001,16,19661,0
57.06089670000001,16,19664,2
57.10256329999999,16,19667,3
57.14423000000001,16,19669,1
57.18589670000001,16,19672,7
57.22756329999999,16,19674,19
57.26923000000001,16,19676,4
57.31089670000001,16,19678,16
57.35256329999999,16,19680,54
57.39423000000001,16,19681,33
57.43589670000001,16,19683,78
57.47756329999999,16,19685,138
57.51923000000001,16,19686,58
57.56089670000001,16,19687,19
57.60256329999999,15,19689,5
57.64423000000001,15,19690,42
57.68589670000001,15,19691,4
57.72756329999999,15,19693,0
57.76923000000001,15,19694,0
57.81089670000001,15,19695,0
57.85256329999999,15,19696,0
57.89423000000001,15,19697,0
57.93589670000001,15,19698,0
57.97756329999999,15,19699,0
58.01923000000001,15,19701,0
58.06089670000001,15,19702,0
58.10256329999999,15,19703,1
58.14423000000001,15,19704,0
58.18589670000001,15,19705,0
58.22756329999999,15,19707,0
58.26923000000001,15,19708,0
58.31089670000001,15,19709,0
58.35256329999999,15,19710,0
58.39423000000001,15,19712,2
58.43589670000001,15,19713,0
58.47756329999999,15,19714,0
58.51923000000001,15,19715,4
58.56089670000001,15,19717,23
58.60256329999999,15,19718,3
58.64423000000001,15,19719,4
58.68589670000001,15,19721,3
58.72756329999999,15,19722,7
58.76923000000001,15,19723,0
58.81089670000001,15,19724,0
58.85256329999999,15,19726,0
58.89423000000001,15,19727,2
58.93589670000001,15,19728,17
58.97756329999999,15,19729,2
59.01923000000001,15,19731,38
59.06089670000001,15,19732,23
59.10256329999999,15,19733,14
59.14423000000001,15,19734,51
59.18589670000001,15,19735,13
59.22756329999999,15,19736,0
59.26923000000001,15,19737,11
59.31089670000001,15,19738,14
59.35256329999999,15,19739,19
59.39423000000001,15,19740,14
59.43589670000001,15,19741,11
59.47756329999999,15,19741,3
59.51923000000001,15,19742,0
59.56089670000001,15,19742,0
59.60256329999999,15,19743,0
59.64423000000001,15,19743,0
59.68589670000001,15,19743,0
59.72756329999999,15,19743,0
59.76923000000001,15,19743,0
59.81089670000001,15,19743,0
59.85256329999999,15,19743,0
59.89423000000001,15,19742,0
59.93589670000001,15,19741,0
59.97756329999999,15,19741,0
60.01923000000001,15,19740,0
60.06089670000001,15,19738,0
60.10256329999999,15,19737,0
60.14423000000001,15,19735,0
60.18589670000001,15,19734,0
60.22756329999999,15,19732,0
60.26923000000001,15,19730,0
60.31089670000001,15,19728,0
60.35256329999999,15,19726,0
60.39423000000001,15,19723,0
60.43589670000001,15,19721,0
60.47756329999999,15,19718,0
60.51923000000001,15,19716,0
60.56089670000001,15,19713,0
60.60256329999999,15,19710,0
60.64423000000001,15,19707,1
60.68589670000001,15,19704,0
60.72756329999999,15,19701,2
60.76923000000001,15,19698,33
60.81089670000001,15,19695,10
60.85256329999999,15,19692,25
60.89423000000001,15,19688,28
60.93589670000001,15,19685,37
60.97756329999999,16,19682,92
61.01923000000001,16,19678,73
61.06089670000001,16,19675,25
61.10256329999999,16,19672,13
61.14423000000001,16,19668,6
61.18589670000001,16,19665,7
61.22756329999999,16,19662,4
61.26923000000001,16,19659,2
61.31089670000001,16,19656,4
61.35256329999999,16,19653,4
61.39423000000001,16,19650,10
61.43589670000001,16,19648,5
61.47756329999999,16,19645,3
61.51923000000001,16,19643,13
61.56089670000001,16,19641,17
61.60256329999999,16,19640,6
61.64423000000001,16,19638,9
61.68589670000001,16,19637,0
61.72756329999999,16,19636,0
61.76923000000001,16,19636,0
61.81089670000001,16,19636,2
61.85256329999999,16,19636,0
61.89423000000001,16,19637,0
61.93589670000001,17,19638,0
61.97756329999999,17,19639,0
62.01923000000001,17,19641,0
62.06089670000001,17,19643,0
62.10256329999999,17,19646,0
62.14423000000001,17,19649,0
62.18589670000001,17,19653,0
62.22756329999999,17,19656,0
62.26923000000001,17,19660,2
62.31089670000001,17,19665,0
62.35256329999999,17,19669,0
62.39423000000001,17,19674,0
62.43589670000001,17,19679,1
62.47756329999999,17,19684,0
62.51923000000001,17,19689,0
62.56089670000001,17,19694,0
62.60256329999999,17,19699,0
62.64423000000001,18,19704,0
62.68589670000001,18,19709,0
62.72756329999999,18,19713,0
62.76923000000001,18,19718,0
62.81089670000001,18,19723,0
62.85256329999999,18,19727,0
62.89423000000001,18,19731,3
62.93589670000001,18,19735,2
62.97756329999999,18,19738,27
63.01923000000001,18,19741,95
63.06089670000001,18,19744,159
63.10256329999999,18,19747,84
63.14423000000001,18,19748,80
63.18589670000001,18,19750,24
63.22756329999999,18,19751,7
63.26923000000001,18,19751,29
63.31089670000001,18,19750,1
63.35256329999999,18,19749,4
63.39423000000001,18,19747,7
63.43589670000001,18,19744,11
63.47756329999999,18,19740,11
63.51923000000001,17,19736,0
63.56089670000001,17,19730,0
63.60256329999999,17,19724,0
63.64423000000001,17,19716,0
63.68589670000001,17,19707,0
63.72756329999999,17,19697,0
63.76923000000001,17,19686,0
63.81089670000001,17,19674,0
63.85256329999999,16,19660,0
63.89423000000001,16,19645,0
63.93589670000001,16,19628,0
63.97756329999999,16,19610,0
