time,births,population,reported_cases
44.01923,17,23182,0
44.0608967,17,23105,0
44.1025633,17,23037,0
44.14423,17,22975,0
44.1858967,16,22922,0
44.2275633,16,22875,2
44.26923,16,22835,0
44.3108967,16,22802,2
44.3525633,16,22775,1
44.39423,15,22755,1
44.4358967,15,22740,0
44.4775633,15,22731,0
44.51923,15,22727,0
44.5608967,15,22729,2
44.6025633,15,22736,0
44.64423,15,22747,1
44.6858967,14,22763,2
44.7275633,14,22782,0
44.76923,14,22806,0
44.8108967,14,22834,3
44.8525633,14,22865,20
44.89423,14,22900,5
44.9358967,14,22937,23
44.9775633,14,22977,32
45.01923,14,23020,66
45.0608967,14,23065,17
45.1025633,14,23112,23
45.14423,14,23161,18
45.1858967,14,23212,20
45.2275633,14,23265,2
45.26923,15,23319,4
45.3108967,15,23374,0
45.3525633,15,23430,0
45.39423,15,23487,0
45.4358967,15,23545,0
45.4775633,15,23603,0
45.51923,15,23661,0
45.5608967,15,23720,4
45.6025633,16,23779,0
45.64423,16,23837,0
45.6858967,16,23895,0
45.7275633,16,23952,0
45.76923,16,24009,0
45.8108967,17,24064,0
45.8525633,17,24119,0
45.89423,17,24172,0
45.9358967,17,24224,0
45.9775633,17,24274,0
46.01923,18,24322,0
46.0608967,18,24368,0
46.1025633,18,24413,0
46.14423,18,24455,0
46.1858967,18,24496,0
46.2275633,19,24535,0
46.26923,19,24572,0
46.3108967,19,24607,0
46.3525633,19,24641,0
46.39423,20,24673,0
46.4358967,20,24704,1
46.4775633,20,24733,1
46.51923,20,24761,0
46.5608967,20,24787,2
46.6025633,20,24812,2
46.64423,21,24836,3
46.6858967,21,24858,0
46.7275633,21,24879,0
46.76923,21,24899,0
46.8108967,21,24918,8
46.8525633,21,24936,1
46.89423,21,24952,22
46.9358967,21,24968,33
46.9775633,21,24983,9
47.01923,21,24996,11
47.0608967,21,25009,7
47.1025633,21,25021,2
47.14423,21,25032,1
47.1858967,21,25042,6
47.2275633,21,25052,0
47.26923,21,25061,1
47.3108967,21,25069,1
47.3525633,21,25076,0
47.39423,20,25083,0
47.4358967,20,25090,16
47.4775633,20,25095,10
47.51923,20,25101,4
47.5608967,20,25106,2
47.6025633,20,25110,0
47.64423,19,25114,2
47.6858967,19,25118,6
47.7275633,19,25122,15
47.76923,19,25125,40
47.8108967,19,25128,0
47.8525633,19,25131,2
47.89423,18,25134,1
47.9358967,18,25136,4
47.9775633,18,25139,0
48.01923,18,25141,0
48.0608967,18,25144,8
48.1025633,18,25146,10
48.14423,18,25149,35
48.1858967,18,25151,39
48.2275633,17,25154,55
48.26923,17,25156,114
48.3108967,17,25159,33
48.3525633,17,25162,37
48.39423,17,25164,7
48.4358967,17,25167,4
48.4775633,17,25170,2
48.51923,17,25173,0
48.5608967,17,25177,2
48.6025633,17,25180,2
48.64423,17,25183,5
48.6858967,17,25187,1
48.7275633,17,25191,0
48.76923,17,25195,0
48.8108967,17,25199,0
48.8525633,17,25203,0
48.89423,17,25208,0
48.9358967,17,25212,1
48.9775633,17,25217,0
49.01923,17,25222,0
49.0608967,17,25228,2
49.1025633,17,25233,4
49.14423,17,25239,3
49.1858967,17,25245,2
49.2275633,17,25251,0
49.26923,17,25257,0
49.3108967,17,25263,0
49.3525633,17,25269,4
49.39423,17,25276,0
49.4358967,16,25282,1
49.4775633,16,25288,0
49.51923,16,25294,0
49.5608967,16,25300,0
49.6025633,16,25306,0
49.64423,16,25311,0
49.6858967,16,25317,0
49.7275633,16,25322,0
49.76923,16,25327,0
49.8108967,16,25332,0
49.8525633,16,25337,0
49.89423,16,25341,0
49.9358967,16,25345,0
49.9775633,16,25348,0
50.01923,16,25351,0
50.0608967,16,25354,0
50.1025633,15,25356,0
50.14423,15,25358,0
50.1858967,15,25360,1
50.2275633,15,25361,0
50.26923,15,25362,0
50.3108967,15,25362,0
50.3525633,15,25362,0
50.39423,15,25362,3
50.4358967,15,25361,3
50.4775633,15,25360,0
50.51923,15,25359,18
50.5608967,15,25357,24
50.6025633,15,25355,34
50.64423,15,25353,11
50.6858967,15,25350,8
50.7275633,15,25347,68
50.76923,15,25344,0
50.8108967,15,25340,60
50.8525633,15,25336,47
50.89423,15,25332,48
50.9358967,15,25327,40
50.9775633,15,25323,20
51.01923,15,25318,4
51.0608967,15,25312,5
51.1025633,15,25307,7
51.14423,15,25301,3
51.1858967,15,25295,1
51.2275633,15,25288,14
51.26923,15,25282,0
51.3108967,15,25275,18
51.3525633,15,25268,18
51.39423,15,25261,4
51.4358967,15,25254,4
51.4775633,15,25246,4
51.51923,15,25238,2
51.5608967,15,25230,2
51.6025633,15,25222,0
51.64423,15,25214,0
51.6858967,15,25206,0
51.7275633,15,25197,0
51.76923,15,25189,0
51.8108967,15,25180,0
51.8525633,15,25172,1
51.89423,15,25163,2
51.9358967,15,25154,0
51.9775633,15,25145,2
52.01923,15,25136,2
52.0608967,15,25127,30
52.1025633,15,25118,40
52.14423,15,25109,42
52.1858967,15,25099,16
52.2275633,15,25090,34
52.26923,15,25081,11
52.3108967,15,25072,9
52.3525633,15,25063,2
52.39423,15,25055,4
52.43589670000001,15,25046,4
52.47756329999999,15,25037,4
52.51923000000001,15,25029,1
52.56089670000001,15,25021,1
52.60256329999999,15,25013,0
52.64423000000001,15,25005,0
52.68589670000001,15,24998,0
52.72756329999999,16,24990,0
52.76923000000001,16,24983,0
52.81089670000001,16,24977,0
52.85256329999999,16,24970,0
52.89423000000001,16,24964,2
52.93589670000001,16,24958,3
52.97756329999999,16,24953,2
53.01923000000001,16,24948,13
53.06089670000001,16,24943,45
53.10256329999999,16,24939,54
53.14423000000001,16,24935,35
53.18589670000001,16,24931,10
53.22756329999999,16,24928,0
53.26923000000001,16,24925,9
53.31089670000001,15,24922,4
53.35256329999999,15,24920,18
53.39423000000001,15,24917,26
53.43589670000001,15,24915,4
53.47756329999999,15,24913,2
53.51923000000001,15,24912,0
53.56089670000001,15,24910,2
53.60256329999999,15,24909,0
53.64423000000001,15,24908,0
53.68589670000001,15,24907,0
53.72756329999999,15,24906,0
53.76923000000001,15,24905,0
53.81089670000001,15,24904,0
53.85256329999999,15,24903,0
53.89423000000001,15,24902,0
53.93589670000001,15,24901,0
53.97756329999999,15,24900,0
54.01923000000001,15,24900,0
54.06089670000001,15,24899,0
54.10256329999999,15,24898,0
54.14423000000001,15,24897,4
54.18589670000001,15,24896,4
54.22756329999999,15,24894,5
54.26923000000001,15,24893,0
54.31089670000001,15,24892,0
54.35256329999999,15,24890,3
54.39423000000001,15,24888,1
54.43589670000001,15,24886,0
54.47756329999999,15,24884,0
54.51923000000001,15,24882,0
54.56089670000001,15,24880,0
54.60256329999999,15,24877,0
54.64423000000001,15,24874,2
54.68589670000001,15,24871,0
54.72756329999999,15,24868,0
54.76923000000001,15,24864,0
54.81089670000001,15,24861,0
54.85256329999999,15,24857,1
54.89423000000001,15,24852,2
54.93589670000001,15,24848,1
54.97756329999999,15,24843,0
55.01923000000001,15,24838,2
55.06089670000001,15,24832,5
55.10256329999999,15,24826,32
55.14423000000001,15,24820,72
55.18589670000001,15,24814,79
55.22756329999999,15,24807,79
55.26923000000001,15,24800,15
55.31089670000001,15,24793,16
55.35256329999999,15,24785,25
55.39423000000001,15,24778,30
55.43589670000001,15,24770,31
55.47756329999999,15,24762,12
55.51923000000001,15,24754,15
55.56089670000001,15,24745,15
55.60256329999999,15,24737,6
55.64423000000001,15,24728,1
55.68589670000001,15,24719,0
55.72756329999999,15,24710,0
55.76923000000001,15,24701,2
55.81089670000001,15,24692,0
55.85256329999999,15,24683,0
55.89423000000001,15,24674,0
55.93589670000001,15,24664,0
55.97756329999999,15,24655,0
56.01923000000001,15,24646,0
56.06089670000001,15,24636,0
56.10256329999999,15,24627,0
56.14423000000001,15,24617,0
56.18589670000001,15,24608,0
56.22756329999999,15,24599,0
56.26923000000001,15,24589,0
56.31089670000001,14,24580,0
56.35256329999999,14,24571,0
56.39423000000001,14,24561,0
56.43589670000001,14,24552,0
56.47756329999999,14,24543,0
56.51923000000001,14,24533,0
56.56089670000001,14,24524,0
56.60256329999999,14,24515,0
56.64423000000001,14,24506,0
56.68589670000001,14,24497,0
56.72756329999999,14,24487,0
56.76923000000001,14,24478,0
56.81089670000001,14,24470,0
56.85256329999999,14,24461,6
56.89423000000001,14,24452,3
56.93589670000001,14,24443,13
56.97756329999999,14,24435,14
57.01923000000001,14,24426,18
57.06089670000001,15,24418,6
57.10256329999999,15,24409,3
57.14423000000001,15,24401,2
57.18589670000001,15,24393,0
57.22756329999999,15,24384,9
57.26923000000001,15,24376,33
57.31089670000001,15,24368,24
57.35256329999999,15,24360,30
57.39423000000001,15,24352,46
57.43589670000001,15,24344,64
57.47756329999999,15,24336,39
57.51923000000001,15,24328,22
57.56089670000001,15,24320,12
57.60256329999999,15,24311,1
57.64423000000001,15,24303,13
57.68589670000001,15,24295,7
57.72756329999999,15,24287,2
57.76923000000001,15,24278,0
57.81089670000001,15,24270,0
57.85256329999999,15,24261,0
57.89423000000001,15,24252,0
57.93589670000001,15,24244,1
57.97756329999999,15,24235,0
58.01923000000001,15,24226,2
58.06089670000001,15,24217,2
58.10256329999999,15,24208,10
58.14423000000001,15,24198,25
58.18589670000001,14,24189,18
58.22756329999999,14,24180,30
