time,births,population,reported_cases
44.01923,22,23803,0
44.0608967,22,23731,0
44.1025633,21,23669,0
44.14423,21,23617,0
44.1858967,21,23575,0
44.2275633,20,23542,0
44.26923,20,23517,0
44.3108967,20,23501,0
44.3525633,20,23493,4
44.39423,20,23493,0
44.4358967,19,23500,2
44.4775633,19,23513,0
44.51923,19,23534,0
44.5608967,19,23560,2
44.6025633,19,23593,0
44.64423,19,23630,3
44.6858967,19,23673,0
44.7275633,19,23721,0
44.76923,19,23772,0
44.8108967,19,23828,4
44.8525633,19,23887,2
44.89423,19,23950,0
44.9358967,19,24015,11
44.9775633,19,24083,48
45.01923,20,24152,159
45.0608967,20,24224,147
45.1025633,20,24297,106
45.14423,20,24371,77
45.1858967,20,24447,31
45.2275633,20,24523,18
45.26923,20,24600,0
45.3108967,21,24677,0
45.3525633,21,24755,4
45.39423,21,24832,2
45.4358967,21,24909,6
45.4775633,21,24986,0
45.51923,21,25062,4
45.5608967,22,25137,12
45.6025633,22,25210,8
45.64423,22,25283,0
45.6858967,22,25353,1
45.7275633,22,25422,0
45.76923,23,25489,0
45.8108967,23,25553,0
45.8525633,23,25615,1
45.89423,23,25674,0
45.9358967,23,25730,1
45.9775633,24,25783,0
46.01923,24,25832,0
46.0608967,24,25878,0
46.1025633,24,25921,0
46.14423,24,25961,1
46.1858967,24,25997,0
46.2275633,24,26031,0
46.26923,25,26063,0
46.3108967,25,26092,0
46.3525633,25,26120,1
46.39423,25,26145,0
46.4358967,25,26169,0
46.4775633,25,26192,0
46.51923,25,26213,0
46.5608967,25,26233,0
46.6025633,25,26253,0
46.64423,25,26272,1
46.6858967,25,26290,0
46.7275633,25,26309,0
46.76923,25,26327,2
46.8108967,25,26346,0
46.8525633,25,26365,0
46.89423,25,26385,2
46.9358967,25,26406,7
46.9775633,25,26428,25
47.01923,25,26451,85
47.0608967,25,26475,73
47.1025633,25,26501,42
47.14423,25,26528,27
47.1858967,25,26555,20
47.2275633,25,26584,4
47.26923,25,26613,0
47.3108967,25,26643,0
47.3525633,25,26673,3
47.39423,25,26703,0
47.4358967,24,26734,2
47.4775633,24,26765,1
47.51923,24,26795,1
47.5608967,24,26826,0
47.6025633,24,26856,8
47.64423,24,26885,16
47.6858967,24,26914,4
47.7275633,23,26943,9
47.76923,23,26970,7
47.8108967,23,26996,51
47.8525633,23,27022,31
47.89423,23,27046,21
47.9358967,23,27068,20
47.9775633,23,27089,20
48.01923,22,27109,2
48.0608967,22,27127,2
48.1025633,22,27143,1
48.14423,22,27158,4
48.1858967,22,27171,7
48.2275633,22,27183,2
48.26923,22,27194,9
48.3108967,21,27204,1
48.3525633,21,27213,4
48.39423,21,27221,0
48.4358967,21,27229,1
48.4775633,21,27236,31
48.51923,21,27242,31
48.5608967,21,27248,10
48.6025633,21,27253,3
48.64423,20,27259,2
48.6858967,20,27264,3
48.7275633,20,27269,0
48.76923,20,27274,4
48.8108967,20,27280,0
48.8525633,20,27286,0
48.89423,20,27292,0
48.9358967,20,27298,0
48.9775633,20,27306,0
49.01923,20,27314,4
49.0608967,20,27322,1
49.1025633,20,27332,1
49.14423,20,27342,18
49.1858967,20,27352,17
49.2275633,20,27363,5
49.26923,20,27373,11
49.3108967,20,27384,4
49.3525633,20,27396,4
49.39423,20,27407,3
49.4358967,20,27417,3
49.4775633,20,27428,3
49.51923,20,27438,0
49.5608967,20,27448,1
49.6025633,20,27457,0
49.64423,20,27466,0
49.6858967,20,27474,1
49.7275633,20,27481,0
49.76923,20,27487,0
49.8108967,20,27492,0
49.8525633,20,27496,1
49.89423,20,27499,0
49.9358967,20,27501,2
49.9775633,20,27501,0
50.01923,19,27499,0
50.0608967,19,27496,3
50.1025633,19,27492,30
50.14423,19,27486,176
50.1858967,19,27480,179
50.2275633,19,27472,111
50.26923,19,27463,31
50.3108967,19,27453,13
50.3525633,19,27443,4
50.39423,19,27432,0
50.4358967,19,27421,0
50.4775633,19,27409,2
50.51923,19,27397,2
50.5608967,19,27385,0
50.6025633,19,27373,0
50.64423,19,27361,3
50.6858967,19,27350,2
50.7275633,18,27338,2
50.76923,18,27327,0
50.8108967,18,27317,0
50.8525633,18,27307,3
50.89423,18,27298,6
50.9358967,18,27290,5
50.9775633,18,27283,1
51.01923,18,27277,2
51.0608967,18,27273,3
51.1025633,19,27269,0
51.14423,19,27267,2
51.1858967,19,27265,4
51.2275633,19,27264,20
51.26923,19,27265,9
51.3108967,19,27266,15
51.3525633,19,27268,57
51.39423,19,27270,58
51.4358967,19,27273,52
51.4775633,19,27277,13
51.51923,19,27281,20
51.5608967,19,27286,3
51.6025633,20,27291,4
51.64423,20,27297,0
51.6858967,20,27303,0
51.7275633,20,27309,0
51.76923,20,27315,2
51.8108967,20,27321,0
51.8525633,20,27328,0
51.89423,20,27334,0
51.9358967,20,27341,1
51.9775633,20,27347,0
52.01923,20,27353,0
52.0608967,20,27359,0
52.1025633,20,27364,0
52.14423,21,27370,1
52.1858967,21,27375,0
52.2275633,21,27380,0
52.26923,21,27386,0
52.3108967,21,27391,0
52.3525633,21,27396,0
52.39423,21,27401,0
52.43589670000001,21,27406,0
52.47756329999999,21,27411,1
52.51923000000001,21,27417,1
52.56089670000001,21,27422,7
52.60256329999999,21,27427,27
52.64423000000001,20,27433,4
52.68589670000001,20,27439,9
52.72756329999999,20,27445,15
52.76923000000001,20,27451,110
52.81089670000001,20,27457,147
52.85256329999999,20,27464,83
52.89423000000001,20,27471,42
52.93589670000001,20,27478,77
52.97756329999999,20,27486,15
53.01923000000001,20,27494,42
53.06089670000001,20,27502,2
53.10256329999999,20,27511,2
53.14423000000001,20,27520,0
53.18589670000001,20,27529,1
53.22756329999999,20,27538,0
53.26923000000001,20,27548,0
53.31089670000001,20,27558,2
53.35256329999999,20,27568,1
53.39423000000001,20,27578,1
53.43589670000001,20,27588,0
53.47756329999999,20,27598,0
53.51923000000001,20,27609,0
53.56089670000001,20,27619,0
53.60256329999999,20,27629,0
53.64423000000001,20,27639,0
53.68589670000001,20,27649,0
53.72756329999999,20,27659,0
53.76923000000001,20,27669,0
53.81089670000001,20,27679,0
53.85256329999999,20,27688,0
53.89423000000001,20,27698,0
53.93589670000001,20,27707,0
53.97756329999999,20,27715,0
54.01923000000001,21,27724,0
54.06089670000001,21,27732,6
54.10256329999999,21,27740,6
54.14423000000001,21,27747,17
54.18589670000001,21,27754,11
54.22756329999999,21,27761,35
54.26923000000001,21,27768,36
54.31089670000001,21,27775,20
54.35256329999999,21,27781,16
54.39423000000001,21,27788,20
54.43589670000001,21,27794,34
54.47756329999999,21,27800,33
54.51923000000001,21,27806,22
54.56089670000001,21,27812,4
54.60256329999999,21,27818,0
54.64423000000001,21,27824,1
54.68589670000001,21,27830,4
54.72756329999999,21,27837,4
54.76923000000001,21,27843,2
54.81089670000001,21,27849,1
54.85256329999999,21,27856,0
54.89423000000001,21,27862,0
54.93589670000001,21,27869,0
54.97756329999999,21,27876,0
55.01923000000001,21,27883,0
55.06089670000001,21,27891,2
55.10256329999999,21,27899,3
55.14423000000001,22,27907,1
55.18589670000001,22,27915,1
55.22756329999999,22,27923,7
55.26923000000001,22,27932,11
55.31089670000001,22,27940,12
55.35256329999999,22,27949,3
55.39423000000001,22,27958,2
55.43589670000001,22,27967,0
55.47756329999999,22,27977,1
55.51923000000001,22,27986,4
55.56089670000001,23,27996,19
55.60256329999999,23,28005,8
55.64423000000001,23,28015,6
55.68589670000001,23,28025,8
55.72756329999999,23,28035,1
55.76923000000001,23,28045,2
55.81089670000001,23,28055,3
55.85256329999999,23,28065,3
55.89423000000001,23,28075,0
55.93589670000001,23,28085,1
55.97756329999999,23,28095,0
56.01923000000001,23,28105,0
56.06089670000001,23,28115,0
56.10256329999999,23,28125,1
56.14423000000001,23,28134,2
56.18589670000001,23,28144,12
56.22756329999999,22,28154,51
56.26923000000001,22,28164,116
56.31089670000001,22,28173,28
56.35256329999999,22,28183,17
56.39423000000001,22,28192,21
56.43589670000001,22,28202,14
56.47756329999999,22,28211,5
56.51923000000001,21,28220,7
56.56089670000001,21,28229,0
56.60256329999999,21,28237,0
56.64423000000001,21,28246,1
56.68589670000001,21,28254,1
56.72756329999999,21,28262,0
56.76923000000001,21,28270,4
56.81089670000001,21,28278,4
56.85256329999999,21,28286,13
56.89423000000001,21,28293,3
56.93589670000001,21,28300,2
56.97756329999999,20,28306,0
57.01923000000001,21,28313,25
57.06089670000001,21,28319,62
57.10256329999999,21,28325,116
57.14423000000001,21,28331,129
57.18589670000001,21,28336,75
57.22756329999999,21,28341,31
57.26923000000001,21,28346,13
57.31089670000001,21,28351,2
57.35256329999999,21,28356,0
57.39423000000001,21,28360,2
57.43589670000001,22,28364,1
57.47756329999999,22,28368,2
57.51923000000001,22,28372,0
57.56089670000001,22,28376,4
57.60256329999999,22,28380,1
57.64423000000001,22,28383,1
57.68589670000001,23,28387,1
57.72756329999999,23,28390,0
57.76923000000001,23,28393,0
57.81089670000001,23,28396,0
57.85256329999999,23,28399,0
57.89423000000001,23,28402,0
57.93589670000001,23,28405,0
57.97756329999999,24,28408,0
58.01923000000001,24,28411,7
58.06089670000001,24,28414,6
58.10256329999999,24,28417,1
58.14423000000001,24,28420,1
58.18589670000001,24,28424,0
58.22756329999999,24,28427,0
58.26923000000001,24,28431,1
58.31089670000001,24,28435,1
58.35256329999999,24,28439,3
58.39423000000001,24,28444,0
58.43589670000001,24,28449,0
58.47756329999999,24,28454,0
58.51923000000001,23,28460,4
58.56089670000001,23,28467,2
58.60256329999999,23,28474,9
58.64423000000001,23,28482,2
58.68589670000001,23,28490,0
58.72756329999999,23,28499,0
58.76923000000001,23,28509,1
58.81089670000001,23,28520,0
58.85256329999999,23,28531,2
58.89423000000001,23,28544,29
58.93589670000001,23,28557,63
58.97756329999999,23,28572,84
59.01923000000001,23,28587,76
59.06089670000001,23,28604,30
59.10256329999999,23,28622,56
59.14423000000001,23,28641,51
59.18589670000001,22,28661,46
59.22756329999999,22,28683,39
59.26923000000001,22,28707,2
59.31089670000001,22,28732,6
59.35256329999999,23,28760,7
59.39423000000001,23,28789,1
59.43589670000001,23,28820,4
59.47756329999999,23,28853,0
59.51923000000001,23,28889,4
59.56089670000001,23,28927,6
59.60256329999999,23,28968,12
59.64423000000001,23,29011,7
59.68589670000001,23,29057,1
59.72756329999999,23,29105,2
59.76923000000001,23,29157,2
59.81089670000001,23,29212,0
59.85256329999999,23,29269,0
59.89423000000001,23,29330,7
59.93589670000001,24,29394,1
59.97756329999999,24,29462,0
60.01923000000001,24,29533,0
60.06089670000001,24,29608,4
60.10256329999999,24,29686,19
60.14423000000001,24,29766,6
60.18589670000001,24,29850,2
60.22756329999999,25,29935,15
60.26923000000001,25,30022,7
60.31089670000001,25,30111,17
60.35256329999999,25,30202,13
60.39423000000001,25,30293,19
60.43589670000001,25,30385,17
60.47756329999999,25,30477,15
60.51923000000001,26,30570,4
60.56089670000001,26,30662,4
60.60256329999999,26,30753,2
60.64423000000001,26,30844,0
60.68589670000001,26,30934,1
60.72756329999999,26,31022,3
60.76923000000001,26,31108,7
60.81089670000001,26,31192,3
60.85256329999999,27,31274,7
60.89423000000001,27,31353,8
60.93589670000001,27,31429,17
60.97756329999999,27,31502,20
61.01923000000001,27,31571,60
61.06089670000001,27,31637,31
61.10256329999999,27,31699,37
61.14423000000001,27,31758,116
61.18589670000001,27,31813,54
61.22756329999999,27,31865,35
61.26923000000001,27,31915,11
61.31089670000001,27,31962,32
61.35256329999999,27,32007,17
