time,births,population,reported_cases
44.01923,92,118254,9
44.0608967,91,118297,17
44.1025633,91,118324,4
44.14423,91,118338,2
44.1858967,91,118339,5
44.2275633,91,118328,7
44.26923,91,118304,20
44.3108967,91,118268,12
44.3525633,91,118222,14
44.39423,90,118164,19
44.4358967,90,118097,18
44.4775633,90,118021,9
44.51923,90,117935,17
44.5608967,90,117841,56
44.6025633,90,117740,40
44.64423,90,117631,12
44.6858967,90,117515,4
44.7275633,90,117393,2
44.76923,90,117265,0
44.8108967,90,117133,0
44.8525633,90,116995,3
44.89423,90,116854,0
44.9358967,90,116709,13
44.9775633,91,116561,13
45.01923,91,116410,65
45.0608967,91,116258,39
45.1025633,91,116104,75
45.14423,91,115948,76
45.1858967,91,115792,114
45.2275633,91,115636,198
45.26923,92,115479,102
45.3108967,92,115322,157
45.3525633,92,115167,83
45.39423,92,115012,73
45.4358967,92,114859,38
45.4775633,93,114707,8
45.51923,93,114558,15
45.5608967,93,114411,7
45.6025633,93,114268,16
45.64423,94,114127,3
45.6858967,94,113991,1
45.7275633,94,113858,0
45.76923,95,113730,2
45.8108967,95,113607,2
45.8525633,95,113489,0
45.89423,95,113377,0
45.9358967,96,113271,0
45.9775633,96,113171,0
46.01923,96,113078,0
46.0608967,97,112992,0
46.1025633,97,112912,3
46.14423,97,112839,0
46.1858967,98,112772,0
46.2275633,98,112711,0
46.26923,98,112656,0
46.3108967,99,112607,2
46.3525633,99,112563,1
46.39423,99,112524,0
46.4358967,100,112490,2
46.4775633,100,112460,4
46.51923,100,112435,4
46.5608967,100,112415,2
46.6025633,100,112398,5
46.64423,101,112385,11
46.6858967,101,112376,7
46.7275633,101,112370,3
46.76923,101,112368,0
46.8108967,101,112368,0
46.8525633,101,112371,0
46.89423,101,112376,0
46.9358967,101,112384,1
46.9775633,101,112394,0
47.01923,101,112406,2
47.0608967,101,112419,3
47.1025633,101,112434,1
47.14423,100,112450,2
47.1858967,100,112467,18
47.2275633,100,112485,19
47.26923,100,112505,32
47.3108967,99,112524,35
47.3525633,99,112545,124
47.39423,98,112565,221
47.4358967,98,112586,256
47.4775633,98,112607,339
47.51923,97,112627,333
47.5608967,97,112648,185
47.6025633,96,112668,153
47.64423,96,112687,95
47.6858967,95,112705,25
47.7275633,95,112722,29
47.76923,94,112739,60
47.8108967,94,112753,52
47.8525633,93,112767,65
47.89423,93,112779,47
47.9358967,92,112789,20
47.9775633,92,112797,67
48.01923,91,112802,87
48.0608967,91,112806,29
48.1025633,90,112808,59
48.14423,90,112808,41
48.1858967,89,112806,28
48.2275633,89,112802,13
48.26923,88,112797,2
48.3108967,88,112791,11
48.3525633,88,112784,3
48.39423,87,112775,4
48.4358967,87,112766,4
48.4775633,86,112756,0
48.51923,86,112746,0
48.5608967,86,112735,2
48.6025633,85,112724,2
48.64423,85,112712,2
48.6858967,85,112701,0
48.7275633,84,112690,4
48.76923,84,112679,2
48.8108967,84,112668,0
48.8525633,84,112658,1
48.89423,83,112649,0
48.9358967,83,112641,1
48.9775633,83,112633,0
49.01923,83,112627,0
49.0608967,83,112622,9
49.1025633,82,112618,10
49.14423,82,112615,62
49.1858967,82,112612,57
49.2275633,82,112609,48
49.26923,82,112606,141
49.3108967,82,112603,82
49.3525633,81,112599,89
49.39423,81,112594,42
49.4358967,81,112589,59
49.4775633,81,112582,28
49.51923,81,112574,26
49.5608967,81,112564,23
49.6025633,81,112553,15
49.64423,81,112539,3
49.6858967,81,112523,4
49.7275633,80,112504,4
49.76923,80,112482,0
49.8108967,80,112457,1
49.8525633,80,112429,33
49.89423,80,112398,13
49.9358967,80,112362,6
49.9775633,80,112323,13
50.01923,79,112279,24
50.0608967,79,112231,22
50.1025633,79,112180,46
50.14423,79,112124,45
50.1858967,79,112065,44
50.2275633,79,112004,16
50.26923,78,111939,26
50.3108967,78,111873,40
50.3525633,78,111804,30
50.39423,78,111733,100
50.4358967,77,111661,210
50.4775633,77,111588,190
50.51923,77,111514,220
50.5608967,77,111439,174
50.6025633,76,111364,98
50.64423,76,111290,21
50.6858967,76,111215,20
50.7275633,76,111142,1
50.76923,76,111069,0
50.8108967,75,110998,0
50.8525633,75,110928,3
50.89423,75,110861,4
50.9358967,75,110795,4
50.9775633,75,110733,8
51.01923,75,110673,9
51.0608967,75,110616,12
51.1025633,75,110562,9
51.14423,74,110510,8
51.1858967,74,110461,44
51.2275633,74,110415,150
51.26923,74,110370,137
51.3108967,74,110328,72
51.3525633,74,110288,115
51.39423,74,110250,113
51.4358967,74,110213,78
51.4775633,74,110177,61
51.51923,74,110143,28
51.5608967,74,110111,5
51.6025633,74,110079,9
51.64423,74,110048,11
51.6858967,74,110018,2
51.7275633,74,109988,14
51.76923,74,109959,7
51.8108967,74,109931,0
51.8525633,75,109902,1
51.89423,75,109873,2
51.9358967,75,109845,0
51.9775633,75,109816,5
52.01923,75,109786,9
52.0608967,75,109756,13
52.1025633,75,109726,30
52.14423,75,109695,36
52.1858967,75,109665,54
52.2275633,75,109633,57
52.26923,75,109602,73
52.3108967,75,109571,40
52.3525633,75,109539,36
52.39423,75,109508,35
52.43589670000001,75,109477,25
52.47756329999999,75,109446,24
52.51923000000001,75,109415,41
52.56089670000001,75,109384,38
52.60256329999999,75,109354,70
52.64423000000001,75,109325,18
52.68589670000001,75,109296,19
52.72756329999999,75,109267,36
52.76923000000001,74,109239,54
52.81089670000001,74,109212,62
52.85256329999999,74,109186,105
52.89423000000001,74,109160,57
52.93589670000001,74,109136,27
52.97756329999999,74,109112,33
53.01923000000001,74,109090,78
53.06089670000001,73,109068,79
53.10256329999999,73,109048,207
53.14423000000001,73,109028,271
53.18589670000001,73,109010,168
53.22756329999999,73,108992,63
53.26923000000001,72,108975,35
53.31089670000001,72,108959,26
53.35256329999999,72,108943,1
53.39423000000001,72,108928,3
53.43589670000001,71,108913,1
53.47756329999999,71,108899,7
53.51923000000001,71,108885,7
53.56089670000001,70,108871,2
53.60256329999999,70,108858,1
53.64423000000001,70,108845,0
53.68589670000001,70,108832,0
53.72756329999999,69,108819,4
53.76923000000001,69,108806,0
53.81089670000001,69,108792,20
53.85256329999999,69,108779,15
53.89423000000001,68,108766,1
53.93589670000001,68,108752,17
53.97756329999999,68,108738,1
54.01923000000001,68,108723,0
54.06089670000001,67,108708,2
54.10256329999999,67,108693,0
54.14423000000001,67,108677,1
54.18589670000001,67,108661,1
54.22756329999999,67,108644,2
54.26923000000001,67,108626,7
54.31089670000001,67,108608,2
54.35256329999999,66,108589,0
54.39423000000001,66,108570,0
54.43589670000001,66,108550,2
54.47756329999999,66,108530,1
54.51923000000001,66,108509,0
54.56089670000001,66,108487,1
54.60256329999999,66,108464,1
54.64423000000001,66,108441,1
54.68589670000001,66,108417,3
54.72756329999999,66,108392,3
54.76923000000001,66,108367,0
54.81089670000001,66,108340,7
54.85256329999999,66,108313,4
54.89423000000001,66,108285,7
54.93589670000001,66,108256,3
54.97756329999999,66,108226,4
55.01923000000001,66,108196,13
55.06089670000001,66,108164,7
55.10256329999999,66,108132,9
55.14423000000001,66,108099,0
55.18589670000001,66,108065,25
55.22756329999999,66,108031,42
55.26923000000001,66,107996,20
55.31089670000001,66,107961,38
55.35256329999999,66,107926,16
55.39423000000001,66,107890,13
55.43589670000001,66,107854,28
55.47756329999999,66,107819,58
55.51923000000001,67,107783,107
55.56089670000001,67,107747,73
55.60256329999999,67,107712,133
55.64423000000001,67,107677,113
55.68589670000001,67,107642,88
55.72756329999999,67,107608,53
55.76923000000001,67,107574,148
55.81089670000001,67,107541,174
55.85256329999999,68,107508,217
55.89423000000001,68,107476,261
55.93589670000001,68,107446,236
55.97756329999999,68,107416,168
56.01923000000001,68,107387,41
56.06089670000001,69,107359,7
56.10256329999999,69,107332,9
56.14423000000001,69,107306,7
56.18589670000001,69,107281,4
56.22756329999999,69,107257,2
56.26923000000001,70,107233,0
56.31089670000001,70,107211,2
56.35256329999999,70,107189,1
56.39423000000001,70,107168,37
56.43589670000001,70,107147,15
56.47756329999999,71,107127,4
56.51923000000001,71,107107,4
56.56089670000001,71,107088,2
56.60256329999999,71,107069,3
56.64423000000001,71,107051,3
56.68589670000001,71,107032,0
56.72756329999999,72,107014,0
56.76923000000001,72,106997,0
56.81089670000001,72,106979,2
56.85256329999999,72,106962,3
56.89423000000001,72,106944,5
56.93589670000001,72,106927,6
56.97756329999999,72,106909,0
57.01923000000001,72,106892,4
57.06089670000001,72,106874,1
57.10256329999999,72,106856,4
57.14423000000001,72,106838,3
57.18589670000001,72,106820,0
57.22756329999999,72,106802,3
57.26923000000001,72,106783,17
57.31089670000001,72,106764,26
57.35256329999999,72,106745,19
57.39423000000001,72,106726,9
57.43589670000001,71,106706,10
57.47756329999999,71,106686,3
57.51923000000001,71,106666,17
57.56089670000001,71,106645,44
57.60256329999999,71,106624,32
57.64423000000001,71,106602,11
57.68589670000001,71,106580,26
57.72756329999999,71,106558,3
57.76923000000001,70,106535,7
57.81089670000001,70,106512,5
57.85256329999999,70,106488,4
57.89423000000001,70,106464,8
57.93589670000001,70,106439,7
57.97756329999999,70,106414,24
58.01923000000001,70,106388,53
58.06089670000001,70,106362,16
58.10256329999999,69,106335,14
58.14423000000001,69,106308,22
58.18589670000001,69,106281,54
58.22756329999999,69,106254,26
58.26923000000001,69,106228,34
58.31089670000001,69,106202,47
58.35256329999999,69,106177,39
58.39423000000001,69,106153,48
58.43589670000001,69,106130,59
58.47756329999999,69,106107,131
58.51923000000001,69,106087,131
58.56089670000001,69,106067,90
58.60256329999999,69,106050,59
58.64423000000001,69,106034,13
58.68589670000001,69,106021,16
58.72756329999999,69,106009,9
58.76923000000001,69,106000,11
58.81089670000001,69,105993,22
58.85256329999999,69,105990,49
58.89423000000001,68,105989,41
58.93589670000001,68,105991,36
58.97756329999999,68,105996,30
59.01923000000001,68,106004,91
59.06089670000001,68,106016,92
59.10256329999999,68,106030,104
59.14423000000001,68,106045,96
59.18589670000001,68,106062,107
59.22756329999999,68,106078,71
59.26923000000001,68,106093,76
59.31089670000001,68,106106,66
59.35256329999999,68,106117,49
59.39423000000001,68,106124,66
59.43589670000001,68,106128,60
59.47756329999999,68,106126,26
59.51923000000001,68,106119,28
59.56089670000001,68,106105,25
59.60256329999999,68,106084,10
59.64423000000001,68,106055,10
59.68589670000001,68,106017,3
59.72756329999999,68,105969,8
59.76923000000001,68,105911,2
59.81089670000001,68,105841,40
59.85256329999999,68,105759,43
59.89423000000001,68,105664,21
59.93589670000001,68,105556,19
59.97756329999999,68,105433,7
60.01923000000001,69,105294,20
60.06089670000001,69,105141,0
60.10256329999999,69,104973,0
60.14423000000001,69,104794,2
60.18589670000001,69,104603,0
60.22756329999999,69,104402,3
60.26923000000001,69,104194,7
60.31089670000001,69,103978,0
60.35256329999999,69,103756,0
60.39423000000001,69,103530,0
60.43589670000001,69,103301,0
60.47756329999999,70,103071,0
60.51923000000001,70,102840,2
60.56089670000001,70,102610,0
60.60256329999999,70,102383,2
60.64423000000001,70,102160,0
60.68589670000001,70,101941,1
60.72756329999999,70,101730,0
60.76923000000001,70,101526,2
60.81089670000001,70,101331,0
60.85256329999999,70,101147,1
