time,births,population,reported_cases
44.01923,8,8878,0
44.0608967,8,8872,0
44.1025633,8,8866,0
44.14423,8,8860,0
44.1858967,7,8854,0
44.2275633,7,8849,0
44.26923,7,8843,0
44.3108967,7,8837,0
44.3525633,7,8831,1
44.39423,7,8826,0
44.4358967,7,8820,0
44.4775633,7,8815,0
44.51923,6,8810,2
44.5608967,6,8805,0
44.6025633,6,8800,0
44.64423,6,8795,0
44.6858967,6,8790,0
44.7275633,6,8786,0
44.76923,6,8782,0
44.8108967,6,8778,0
44.8525633,6,8774,0
44.89423,6,8770,0
44.9358967,6,8767,0
44.9775633,6,8764,0
45.01923,6,8761,0
45.0608967,6,8758,0
45.1025633,6,8756,0
45.14423,6,8754,0
45.1858967,7,8752,16
45.2275633,7,8750,65
45.26923,7,8749,72
45.3108967,7,8748,11
45.3525633,7,8747,4
45.39423,7,8747,2
45.4358967,7,8746,0
45.4775633,7,8746,0
45.51923,7,8747,4
45.5608967,7,8747,0
45.6025633,7,8748,0
45.64423,7,8750,0
45.6858967,7,8751,0
45.7275633,7,8753,0
45.76923,7,8755,0
45.8108967,7,8758,0
45.8525633,7,8761,0
45.89423,7,8764,0
45.9358967,7,8767,0
45.9775633,8,8771,0
46.01923,8,8775,0
46.0608967,8,8779,0
46.1025633,8,8784,0
46.14423,8,8789,0
46.1858967,8,8794,0
46.2275633,8,8800,0
46.26923,8,8805,0
46.3108967,8,8811,0
46.3525633,8,8817,1
46.39423,8,8823,0
46.4358967,8,8830,0
46.4775633,8,8836,0
46.51923,8,8843,0
46.5608967,8,8850,0
46.6025633,8,8857,0
46.64423,8,8863,0
46.6858967,8,8870,0
46.7275633,8,8877,0
46.76923,8,8884,0
46.8108967,8,8891,0
46.8525633,8,8898,0
46.89423,8,8905,0
46.9358967,8,8912,0
46.9775633,8,8918,0
47.01923,8,8925,0
47.0608967,8,8932,0
47.1025633,8,8938,0
47.14423,8,8944,0
47.1858967,8,8950,0
47.2275633,8,8956,0
47.26923,8,8963,2
47.3108967,8,8968,0
47.3525633,8,8974,0
47.39423,8,8980,0
47.4358967,8,8986,0
47.4775633,8,8991,6
47.51923,8,8997,6
47.5608967,8,9002,10
47.6025633,8,9008,21
47.64423,8,9013,19
47.6858967,8,9019,10
47.7275633,8,9024,3
47.76923,8,9029,5
47.8108967,8,9034,0
47.8525633,8,9040,41
47.89423,8,9045,7
47.9358967,8,9050,3
47.9775633,8,9055,0
48.01923,8,9060,0
48.0608967,8,9066,0
48.1025633,8,9071,0
48.14423,8,9076,0
48.1858967,8,9081,0
48.2275633,8,9085,0
48.26923,8,9090,0
48.3108967,8,9095,0
48.3525633,8,9099,0
48.39423,8,9104,2
48.4358967,8,9108,0
48.4775633,8,9112,0
48.51923,7,9116,0
48.5608967,7,9119,0
48.6025633,7,9122,2
48.64423,7,9125,0
48.6858967,7,9128,2
48.7275633,7,9130,0
48.76923,7,9132,0
48.8108967,7,9134,16
48.8525633,7,9135,16
48.89423,7,9136,1
48.9358967,7,9137,6
48.9775633,7,9137,17
49.01923,7,9137,56
49.0608967,7,9136,16
49.1025633,7,9135,32
49.14423,7,9133,35
49.1858967,7,9132,6
49.2275633,7,9129,4
49.26923,7,9127,0
49.3108967,7,9124,0
49.3525633,7,9121,0
49.39423,7,9118,0
49.4358967,7,9115,0
49.4775633,8,9112,0
49.51923,8,9108,0
49.5608967,8,9105,0
49.6025633,8,9101,0
49.64423,8,9097,0
49.6858967,8,9094,0
49.7275633,8,9090,0
49.76923,8,9087,0
49.8108967,8,9083,0
49.8525633,8,9080,0
49.89423,8,9077,0
49.9358967,8,9074,0
49.9775633,8,9071,0
50.01923,8,9069,0
50.0608967,8,9067,0
50.1025633,8,9065,8
50.14423,8,9063,2
50.1858967,8,9062,0
50.2275633,8,9060,2
50.26923,8,9059,0
50.3108967,8,9058,0
50.3525633,7,9057,0
50.39423,7,9057,3
50.4358967,7,9056,0
50.4775633,7,9056,9
50.51923,7,9055,0
50.5608967,7,9055,0
50.6025633,7,9054,0
50.64423,7,9054,0
50.6858967,7,9054,0
50.7275633,7,9053,0
50.76923,7,9053,0
50.8108967,6,9052,0
50.8525633,6,9052,0
50.89423,6,9051,0
50.9358967,6,9050,0
50.9775633,6,9050,0
51.01923,6,9049,0
51.0608967,6,9047,0
51.1025633,6,9046,0
51.14423,6,9045,0
51.1858967,6,9043,0
51.2275633,6,9041,13
51.26923,6,9040,16
51.3108967,6,9038,18
51.3525633,5,9036,8
51.39423,5,9034,17
51.4358967,5,9032,7
51.4775633,5,9030,0
51.51923,5,9028,0
51.5608967,5,9026,0
51.6025633,5,9024,0
51.64423,5,9022,0
51.6858967,5,9020,0
51.7275633,5,9018,0
51.76923,5,9016,0
51.8108967,5,9014,0
51.8525633,5,9012,0
51.89423,5,9010,0
51.9358967,5,9008,0
51.9775633,5,9007,0
52.01923,5,9005,0
52.0608967,5,9004,0
52.1025633,6,9003,0
52.14423,6,9001,0
52.1858967,6,9000,0
52.2275633,6,8999,0
52.26923,6,8998,0
52.3108967,6,8997,0
52.3525633,6,8996,0
52.39423,6,8995,0
52.43589670000001,6,8995,0
52.47756329999999,6,8994,0
52.51923000000001,6,8993,0
52.56089670000001,6,8992,0
52.60256329999999,6,8991,0
52.64423000000001,6,8990,2
52.68589670000001,6,8989,0
52.72756329999999,6,8988,0
52.76923000000001,6,8987,0
52.81089670000001,6,8986,0
52.85256329999999,6,8985,0
52.89423000000001,6,8984,0
52.93589670000001,6,8982,0
52.97756329999999,6,8981,0
53.01923000000001,6,8979,0
53.06089670000001,6,8978,0
53.10256329999999,6,8976,1
53.14423000000001,6,8974,0
53.18589670000001,6,8972,0
53.22756329999999,6,8970,40
53.26923000000001,6,8968,11
53.31089670000001,6,8965,1
53.35256329999999,6,8963,33
53.39423000000001,6,8960,34
53.43589670000001,6,8958,10
53.47756329999999,6,8955,58
53.51923000000001,6,8953,18
53.56089670000001,6,8950,13
53.60256329999999,6,8947,12
53.64423000000001,6,8945,1
53.68589670000001,6,8942,0
53.72756329999999,6,8939,0
53.76923000000001,6,8936,0
53.81089670000001,6,8933,0
53.85256329999999,6,8930,0
53.89423000000001,6,8927,0
53.93589670000001,6,8924,0
53.97756329999999,6,8922,0
54.01923000000001,6,8919,0
54.06089670000001,6,8916,0
54.10256329999999,6,8913,0
54.14423000000001,6,8910,0
54.18589670000001,6,8907,0
54.22756329999999,5,8904,0
54.26923000000001,5,8901,0
54.31089670000001,5,8898,0
54.35256329999999,5,8895,0
54.39423000000001,5,8893,0
54.43589670000001,5,8890,0
54.47756329999999,5,8887,0
54.51923000000001,5,8884,0
54.56089670000001,5,8881,0
54.60256329999999,5,8878,0
54.64423000000001,5,8875,0
54.68589670000001,5,8872,0
54.72756329999999,5,8869,0
54.76923000000001,5,8866,0
54.81089670000001,5,8863,0
54.85256329999999,5,8861,0
