time,births,population,reported_cases
44.01923,4,5829,0
44.0608967,4,5813,0
44.1025633,4,5801,0
44.14423,5,5793,0
44.1858967,5,5788,0
44.2275633,5,5787,0
44.26923,5,5789,0
44.3108967,5,5793,0
44.3525633,5,5801,0
44.39423,5,5811,0
44.4358967,5,5823,0
44.4775633,5,5838,0
44.51923,5,5855,0
44.5608967,5,5873,0
44.6025633,5,5893,0
44.64423,5,5914,0
44.6858967,5,5937,2
44.7275633,5,5961,0
44.76923,5,5985,0
44.8108967,5,6010,0
44.8525633,5,6036,0
44.89423,5,6061,0
44.9358967,5,6087,0
44.9775633,5,6112,0
45.01923,5,6138,0
45.0608967,5,6162,0
45.1025633,5,6186,0
45.14423,5,6210,0
45.1858967,5,6232,5
45.2275633,5,6254,19
45.26923,5,6275,24
45.3108967,5,6295,0
45.3525633,5,6313,6
45.39423,5,6330,0
45.4358967,5,6347,0
45.4775633,5,6361,0
45.51923,5,6374,0
45.5608967,5,6386,0
45.6025633,5,6396,0
45.64423,5,6404,0
45.6858967,5,6411,0
45.7275633,5,6415,0
45.76923,5,6417,0
45.8108967,4,6418,0
45.8525633,4,6416,0
45.89423,4,6412,0
45.9358967,4,6405,0
45.9775633,4,6396,0
46.01923,4,6384,0
46.0608967,4,6370,0
46.1025633,4,6354,0
46.14423,4,6335,0
46.1858967,4,6315,0
46.2275633,4,6293,0
46.26923,4,6269,0
46.3108967,4,6245,0
46.3525633,4,6219,0
46.39423,4,6192,0
46.4358967,5,6165,0
46.4775633,5,6137,0
46.51923,5,6109,0
46.5608967,5,6082,0
46.6025633,5,6054,0
46.64423,5,6027,0
46.6858967,5,6000,0
46.7275633,5,5974,0
46.76923,5,5949,0
46.8108967,5,5926,0
46.8525633,5,5904,0
46.89423,5,5883,0
46.9358967,5,5864,0
46.9775633,5,5848,0
47.01923,5,5834,0
47.0608967,5,5822,0
47.1025633,5,5812,9
47.14423,5,5805,0
47.1858967,5,5799,0
47.2275633,5,5796,0
47.26923,5,5794,0
47.3108967,5,5794,0
47.3525633,5,5795,0
47.39423,5,5798,0
47.4358967,5,5803,0
47.4775633,5,5808,0
47.51923,5,5815,0
47.5608967,5,5823,0
47.6025633,5,5831,0
47.64423,5,5841,0
47.6858967,5,5851,0
47.7275633,5,5862,0
47.76923,5,5873,0
47.8108967,5,5885,0
47.8525633,5,5897,0
47.89423,5,5909,0
47.9358967,5,5921,0
47.9775633,5,5934,0
48.01923,5,5946,0
48.0608967,5,5957,0
48.1025633,5,5969,0
48.14423,5,5980,0
48.1858967,5,5992,0
48.2275633,5,6003,0
48.26923,5,6015,0
48.3108967,5,6026,0
48.3525633,5,6037,0
48.39423,5,6049,0
48.4358967,5,6061,0
48.4775633,5,6072,0
48.51923,5,6084,0
48.5608967,5,6097,0
48.6025633,5,6109,0
48.64423,5,6122,0
48.6858967,5,6135,0
48.7275633,5,6149,0
48.76923,5,6163,0
48.8108967,5,6177,0
48.8525633,5,6192,0
48.89423,5,6208,0
48.9358967,5,6224,0
48.9775633,5,6241,0
49.01923,5,6258,0
49.0608967,5,6276,0
49.1025633,5,6295,0
49.14423,5,6313,5
49.1858967,5,6332,2
49.2275633,4,6352,0
49.26923,4,6371,0
49.3108967,4,6390,0
49.3525633,4,6409,0
49.39423,4,6427,0
49.4358967,4,6445,0
49.4775633,4,6463,0
49.51923,4,6480,0
49.5608967,4,6495,0
49.6025633,4,6510,0
49.64423,4,6524,0
49.6858967,4,6537,0
49.7275633,4,6548,0
49.76923,4,6558,0
49.8108967,4,6566,0
49.8525633,4,6572,0
49.89423,4,6577,0
49.9358967,4,6580,0
49.9775633,4,6581,0
50.01923,4,6579,0
50.0608967,4,6575,0
50.1025633,4,6570,0
50.14423,4,6562,0
50.1858967,4,6553,0
50.2275633,4,6542,0
50.26923,4,6530,0
50.3108967,4,6517,0
50.3525633,5,6503,0
50.39423,5,6488,0
50.4358967,5,6472,0
50.4775633,5,6456,0
50.51923,5,6440,0
50.5608967,5,6423,0
50.6025633,5,6407,0
50.64423,5,6390,0
50.6858967,5,6374,0
50.7275633,5,6359,0
50.76923,5,6344,0
50.8108967,5,6330,0
50.8525633,5,6317,0
50.89423,5,6306,0
50.9358967,5,6296,0
50.9775633,5,6287,0
51.01923,5,6280,0
51.0608967,5,6275,4
51.1025633,5,6271,6
51.14423,5,6269,4
51.1858967,5,6269,0
51.2275633,5,6269,2
51.26923,5,6271,7
51.3108967,5,6274,0
51.3525633,5,6279,0
51.39423,5,6283,0
51.4358967,5,6289,0
51.4775633,5,6296,0
51.51923,5,6303,0
51.5608967,5,6310,0
51.6025633,5,6318,0
51.64423,5,6326,0
51.6858967,5,6334,0
51.7275633,5,6342,2
51.76923,4,6350,21
51.8108967,4,6358,35
51.8525633,4,6366,39
51.89423,4,6373,33
51.9358967,4,6380,5
51.9775633,4,6386,0
52.01923,4,6391,0
52.0608967,4,6396,4
52.1025633,4,6400,0
52.14423,4,6403,0
52.1858967,4,6406,0
52.2275633,4,6408,0
52.26923,4,6409,0
52.3108967,4,6410,0
52.3525633,3,6410,0
52.39423,3,6411,0
52.43589670000001,3,6410,0
52.47756329999999,3,6410,0
52.51923000000001,3,6409,0
52.56089670000001,3,6408,0
52.60256329999999,3,6407,0
52.64423000000001,3,6406,0
52.68589670000001,3,6405,0
52.72756329999999,3,6404,0
52.76923000000001,3,6403,0
52.81089670000001,3,6402,0
52.85256329999999,3,6401,10
52.89423000000001,3,6400,0
52.93589670000001,3,6400,0
52.97756329999999,3,6400,0
53.01923000000001,3,6400,0
53.06089670000001,4,6401,0
53.10256329999999,4,6402,1
53.14423000000001,4,6403,1
53.18589670000001,4,6405,13
53.22756329999999,4,6406,15
53.26923000000001,4,6408,2
53.31089670000001,4,6411,4
53.35256329999999,4,6413,0
53.39423000000001,4,6416,2
53.43589670000001,4,6419,0
53.47756329999999,4,6422,0
53.51923000000001,5,6425,0
53.56089670000001,5,6428,0
53.60256329999999,5,6431,0
53.64423000000001,5,6434,0
53.68589670000001,5,6438,0
53.72756329999999,5,6441,0
53.76923000000001,5,6444,0
53.81089670000001,5,6447,0
53.85256329999999,5,6450,0
53.89423000000001,5,6453,0
53.93589670000001,5,6456,0
53.97756329999999,5,6459,0
54.01923000000001,5,6461,0
54.06089670000001,5,6463,0
54.10256329999999,5,6466,0
54.14423000000001,5,6468,0
54.18589670000001,5,6469,0
54.22756329999999,5,6471,0
54.26923000000001,5,6472,0
54.31089670000001,5,6474,0
54.35256329999999,5,6475,5
54.39423000000001,4,6476,0
54.43589670000001,4,6477,0
54.47756329999999,4,6478,0
54.51923000000001,4,6479,0
54.56089670000001,4,6479,0
54.60256329999999,4,6480,0
54.64423000000001,4,6480,0
54.68589670000001,4,6480,0
54.72756329999999,4,6480,0
54.76923000000001,4,6481,0
54.81089670000001,4,6481,0
54.85256329999999,3,6481,0
54.89423000000001,3,6480,0
54.93589670000001,3,6480,0
54.97756329999999,3,6480,0
55.01923000000001,3,6480,0
55.06089670000001,3,6480,0
55.10256329999999,3,6479,0
55.14423000000001,3,6479,0
55.18589670000001,3,6479,0
55.22756329999999,3,6478,0
55.26923000000001,3,6478,0
55.31089670000001,4,6478,2
55.35256329999999,4,6477,2
55.39423000000001,4,6477,1
55.43589670000001,4,6477,5
55.47756329999999,4,6476,7
55.51923000000001,4,6476,9
55.56089670000001,4,6476,13
55.60256329999999,4,6476,20
55.64423000000001,4,6476,7
55.68589670000001,4,6476,3
55.72756329999999,4,6476,0
55.76923000000001,4,6477,0
55.81089670000001,5,6477,0
55.85256329999999,5,6477,0
55.89423000000001,5,6478,0
55.93589670000001,5,6479,0
55.97756329999999,5,6479,0
56.01923000000001,5,6480,0
56.06089670000001,5,6482,0
56.10256329999999,5,6483,1
56.14423000000001,5,6484,0
56.18589670000001,5,6486,2
56.22756329999999,5,6487,0
56.26923000000001,5,6489,0
56.31089670000001,5,6490,0
56.35256329999999,5,6492,0
56.39423000000001,5,6493,1
56.43589670000001,5,6495,0
56.47756329999999,5,6497,0
56.51923000000001,5,6498,0
56.56089670000001,5,6500,0
56.60256329999999,5,6501,0
56.64423000000001,5,6503,0
56.68589670000001,5,6504,0
56.72756329999999,5,6505,0
56.76923000000001,4,6507,0
56.81089670000001,4,6508,0
56.85256329999999,4,6508,0
56.89423000000001,4,6509,0
56.93589670000001,4,6510,0
56.97756329999999,4,6510,0
57.01923000000001,4,6510,0
57.06089670000001,4,6510,0
57.10256329999999,4,6510,0
57.14423000000001,4,6509,0
57.18589670000001,4,6509,5
57.22756329999999,4,6508,15
57.26923000000001,4,6507,9
57.31089670000001,4,6506,20
57.35256329999999,4,6504,6
57.39423000000001,4,6503,0
57.43589670000001,4,6502,2
57.47756329999999,4,6500,0
57.51923000000001,4,6499,0
57.56089670000001,4,6497,0
57.60256329999999,4,6495,0
57.64423000000001,4,6494,0
57.68589670000001,4,6492,0
57.72756329999999,4,6490,2
57.76923000000001,4,6489,0
57.81089670000001,4,6487,0
57.85256329999999,4,6485,0
57.89423000000001,4,6484,0
57.93589670000001,4,6482,0
57.97756329999999,4,6481,0
58.01923000000001,4,6479,0
58.06089670000001,4,6478,2
58.10256329999999,4,6477,0
58.14423000000001,4,6476,0
58.18589670000001,4,6475,0
58.22756329999999,4,6474,0
58.26923000000001,4,6473,3
58.31089670000001,4,6473,0
58.35256329999999,4,6472,0
58.39423000000001,4,6472,0
58.43589670000001,4,6472,0
58.47756329999999,4,6472,0
58.51923000000001,4,6472,1
58.56089670000001,4,6473,0
58.60256329999999,4,6473,0
58.64423000000001,4,6474,0
58.68589670000001,4,6475,0
58.72756329999999,4,6476,0
58.76923000000001,4,6478,0
58.81089670000001,4,6479,0
58.85256329999999,4,6481,0
58.89423000000001,4,6483,2
58.93589670000001,4,6486,0
58.97756329999999,4,6488,0
59.01923000000001,4,6491,0
59.06089670000001,4,6495,2
59.10256329999999,4,6498,0
59.14423000000001,4,6501,1
59.18589670000001,4,6505,0
59.22756329999999,4,6509,0
59.26923000000001,4,6513,0
59.31089670000001,4,6516,0
59.35256329999999,4,6520,0
59.39423000000001,4,6524,0
59.43589670000001,4,6527,0
59.47756329999999,4,6531,0
59.51923000000001,4,6534,0
59.56089670000001,4,6537,0
59.60256329999999,4,6539,0
59.64423000000001,4,6541,0
59.68589670000001,4,6543,0
59.72756329999999,4,6544,0
59.76923000000001,4,6545,0
59.81089670000001,4,6546,0
59.85256329999999,4,6546,0
59.89423000000001,4,6545,1
59.93589670000001,4,6543,2
59.97756329999999,4,6541,0
60.01923000000001,4,6539,0
60.06089670000001,4,6535,0
60.10256329999999,4,6531,0
60.14423000000001,4,6526,0
60.18589670000001,4,6521,0
60.22756329999999,4,6515,0
60.26923000000001,4,6509,0
60.31089670000001,4,6502,0
60.35256329999999,4,6495,0
60.39423000000001,4,6488,0
60.43589670000001,4,6481,0
60.47756329999999,4,6473,0
60.51923000000001,4,6465,0
60.56089670000001,4,6458,0
60.60256329999999,4,6450,0
60.64423000000001,4,6443,0
60.68589670000001,4,6435,0
60.72756329999999,4,6428,0
