time,births,population,reported_cases
44.01923,78,75192,0
44.0608967,77,75057,0
44.1025633,76,74941,0
44.14423,75,74843,0
44.1858967,73,74761,3
44.2275633,72,74696,4
44.26923,71,74647,0
44.3108967,70,74613,4
44.3525633,70,74592,7
44.39423,69,74586,1
44.4358967,68,74593,3
44.4775633,68,74612,0
44.51923,67,74643,0
44.5608967,67,74684,0
44.6025633,66,74737,1
44.64423,66,74799,0
44.6858967,66,74870,1
44.7275633,66,74949,0
44.76923,66,75036,0
44.8108967,66,75131,0
44.8525633,66,75231,1
44.89423,66,75338,1
44.9358967,66,75450,6
44.9775633,66,75566,13
45.01923,66,75686,52
45.0608967,66,75809,34
45.1025633,67,75935,105
45.14423,67,76064,211
45.1858967,67,76195,344
45.2275633,68,76327,334
45.26923,68,76461,175
45.3108967,69,76596,66
45.3525633,69,76731,30
45.39423,70,76866,14
45.4358967,70,77001,7
45.4775633,71,77136,4
45.51923,71,77270,6
45.5608967,72,77402,13
45.6025633,72,77532,2
45.64423,73,77660,0
45.6858967,74,77786,1
45.7275633,74,77909,0
45.76923,75,78028,0
45.8108967,75,78143,0
45.8525633,76,78255,0
45.89423,77,78362,0
45.9358967,77,78464,1
45.9775633,78,78560,0
46.01923,78,78651,0
46.0608967,79,78737,2
46.1025633,79,78816,1
46.14423,80,78891,0
46.1858967,80,78962,0
46.2275633,81,79028,0
46.26923,81,79090,0
46.3108967,82,79149,0
46.3525633,82,79204,0
46.39423,83,79257,0
46.4358967,83,79307,0
46.4775633,83,79355,0
46.51923,84,79402,2
46.5608967,84,79447,1
46.6025633,84,79492,30
46.64423,84,79536,41
46.6858967,84,79579,21
46.7275633,84,79623,4
46.76923,85,79667,6
46.8108967,85,79713,3
46.8525633,85,79759,4
46.89423,84,79808,35
46.9358967,84,79858,56
46.9775633,84,79911,31
47.01923,84,79966,50
47.0608967,84,80024,72
47.1025633,83,80085,115
47.14423,83,80148,171
47.1858967,83,80213,92
47.2275633,82,80280,176
47.26923,82,80348,65
47.3108967,81,80417,28
47.3525633,81,80487,31
47.39423,80,80557,39
47.4358967,79,80627,38
47.4775633,79,80698,29
47.51923,78,80768,23
47.5608967,78,80837,26
47.6025633,77,80905,19
47.64423,76,80972,20
47.6858967,76,81038,8
47.7275633,75,81101,4
47.76923,75,81163,2
47.8108967,74,81222,2
47.8525633,74,81278,2
47.89423,73,81331,2
47.9358967,73,81381,1
47.9775633,72,81427,2
48.01923,72,81469,0
48.0608967,71,81507,8
48.1025633,71,81542,2
48.14423,71,81573,2
48.1858967,70,81601,10
48.2275633,70,81627,26
48.26923,70,81650,9
48.3108967,70,81672,14
48.3525633,69,81691,14
