time,births,population,reported_cases
44.01923,7,7467,0
44.0608967,7,7461,0
44.1025633,7,7456,0
44.14423,7,7452,0
44.1858967,7,7449,0
44.2275633,7,7447,0
44.26923,7,7445,0
44.3108967,7,7445,0
44.3525633,7,7445,0
44.39423,7,7447,0
44.4358967,7,7449,0
44.4775633,7,7452,0
44.51923,7,7455,0
44.5608967,7,7459,0
44.6025633,7,7464,0
44.64423,7,7469,0
44.6858967,7,7475,0
44.7275633,7,7481,0
44.76923,7,7488,0
44.8108967,7,7495,0
44.8525633,7,7503,0
44.89423,7,7511,0
44.9358967,7,7519,8
44.9775633,7,7527,0
45.01923,7,7536,17
45.0608967,7,7545,3
45.1025633,7,7554,3
45.14423,7,7564,0
45.1858967,7,7573,0
45.2275633,7,7583,0
45.26923,7,7592,0
45.3108967,7,7602,0
45.3525633,7,7612,0
45.39423,7,7622,0
45.4358967,7,7631,0
45.4775633,7,7641,0
45.51923,7,7651,0
45.5608967,7,7660,0
45.6025633,7,7670,0
45.64423,7,7679,0
45.6858967,7,7688,0
45.7275633,7,7697,0
45.76923,7,7706,0
45.8108967,7,7714,0
45.8525633,7,7722,0
45.89423,7,7730,0
45.9358967,7,7738,0
45.9775633,7,7745,0
46.01923,7,7752,0
46.0608967,7,7759,0
46.1025633,7,7765,0
46.14423,7,7771,0
46.1858967,7,7776,0
46.2275633,7,7781,0
46.26923,7,7786,0
46.3108967,7,7791,0
46.3525633,7,7795,0
46.39423,7,7799,0
46.4358967,7,7803,0
46.4775633,7,7807,0
46.51923,7,7811,0
46.5608967,7,7814,0
46.6025633,7,7817,1
46.64423,7,7820,0
46.6858967,7,7823,0
46.7275633,7,7826,0
46.76923,7,7829,0
46.8108967,7,7832,0
46.8525633,7,7835,0
46.89423,7,7837,0
46.9358967,7,7840,0
46.9775633,7,7843,0
47.01923,7,7845,0
47.0608967,7,7848,0
47.1025633,7,7851,0
47.14423,7,7854,0
47.1858967,7,7856,0
47.2275633,7,7859,0
47.26923,7,7862,0
47.3108967,7,7866,0
47.3525633,7,7869,0
47.39423,6,7872,0
47.4358967,6,7876,0
47.4775633,6,7879,0
47.51923,6,7883,0
47.5608967,6,7887,0
47.6025633,6,7891,0
47.64423,6,7895,0
47.6858967,6,7899,0
47.7275633,6,7904,1
47.76923,6,7909,0
47.8108967,6,7914,0
47.8525633,6,7919,0
47.89423,6,7924,2
47.9358967,6,7930,1
47.9775633,6,7936,0
48.01923,6,7942,0
48.0608967,6,7948,0
48.1025633,6,7955,2
48.14423,6,7962,31
48.1858967,6,7969,62
48.2275633,6,7976,86
48.26923,6,7983,21
48.3108967,6,7990,11
48.3525633,6,7998,1
48.39423,6,8005,1
48.4358967,6,8013,1
48.4775633,6,8021,3
48.51923,6,8028,0
48.5608967,6,8036,6
48.6025633,7,8044,3
48.64423,7,8051,0
48.6858967,7,8059,0
48.7275633,7,8066,0
48.76923,7,8073,0
48.8108967,7,8080,0
48.8525633,7,8087,0
48.89423,7,8094,0
48.9358967,7,8100,1
48.9775633,7,8107,0
49.01923,7,8113,0
49.0608967,7,8119,0
49.1025633,7,8124,0
49.14423,7,8129,0
49.1858967,7,8134,0
49.2275633,7,8139,0
49.26923,7,8143,0
49.3108967,7,8147,2
49.3525633,7,8151,1
49.39423,7,8154,6
49.4358967,7,8157,1
49.4775633,7,8160,0
49.51923,7,8163,0
49.5608967,7,8165,0
49.6025633,7,8166,0
49.64423,7,8168,0
49.6858967,7,8169,0
49.7275633,7,8170,0
49.76923,7,8170,4
49.8108967,7,8170,0
49.8525633,7,8169,2
