time,births,population,reported_cases
44.01923,12,13779,0
44.0608967,12,13718,2
44.1025633,12,13665,0
44.14423,12,13619,6
44.1858967,12,13580,1
44.2275633,11,13547,4
44.26923,11,13521,4
44.3108967,11,13501,3
44.3525633,11,13486,4
44.39423,11,13477,7
44.4358967,11,13473,24
44.4775633,11,13474,13
44.51923,11,13479,4
44.5608967,11,13489,61
44.6025633,11,13502,0
44.64423,11,13519,0
44.6858967,11,13540,0
44.7275633,11,13563,6
44.76923,11,13589,4
44.8108967,11,13618,2
44.8525633,11,13649,0
44.89423,11,13681,2
44.9358967,11,13715,4
44.9775633,11,13751,3
45.01923,11,13787,4
45.0608967,11,13824,10
45.1025633,11,13861,9
45.14423,11,13899,2
45.1858967,11,13937,3
45.2275633,11,13975,3
45.26923,11,14013,4
45.3108967,11,14051,4
45.3525633,11,14088,9
45.39423,11,14125,18
45.4358967,11,14161,1
45.4775633,11,14197,6
45.51923,11,14231,11
45.5608967,11,14264,10
45.6025633,11,14295,4
45.64423,11,14326,0
45.6858967,12,14354,0
45.7275633,12,14381,0
45.76923,12,14406,0
45.8108967,12,14428,0
45.8525633,12,14449,2
45.89423,12,14467,0
45.9358967,12,14482,0
45.9775633,12,14494,0
46.01923,12,14504,0
46.0608967,12,14511,0
46.1025633,13,14515,1
46.14423,13,14517,0
46.1858967,13,14516,1
46.2275633,13,14514,0
46.26923,13,14510,0
46.3108967,13,14505,0
46.3525633,13,14498,1
46.39423,13,14490,1
46.4358967,13,14481,0
46.4775633,14,14472,0
46.51923,14,14463,4
46.5608967,14,14454,2
46.6025633,14,14444,0
46.64423,14,14436,3
46.6858967,14,14427,1
46.7275633,14,14420,0
46.76923,14,14414,0
46.8108967,14,14409,0
46.8525633,14,14406,2
46.89423,14,14404,4
46.9358967,14,14405,3
46.9775633,14,14407,33
47.01923,14,14413,43
47.0608967,14,14421,97
47.1025633,14,14431,22
47.14423,14,14443,12
47.1858967,14,14458,9
47.2275633,14,14474,4
47.26923,14,14491,11
47.3108967,14,14510,0
47.3525633,13,14530,3
47.39423,13,14552,0
47.4358967,13,14573,0
47.4775633,13,14596,0
47.51923,13,14618,0
47.5608967,13,14641,1
47.6025633,13,14664,0
47.64423,12,14687,0
47.6858967,12,14709,0
47.7275633,12,14730,0
47.76923,12,14751,0
47.8108967,12,14770,0
47.8525633,12,14788,1
47.89423,11,14805,4
47.9358967,11,14820,0
47.9775633,11,14834,0
48.01923,11,14845,2
48.0608967,11,14854,2
48.1025633,11,14861,3
48.14423,11,14866,29
48.1858967,11,14870,0
48.2275633,10,14872,0
48.26923,10,14873,0
48.3108967,10,14872,5
48.3525633,10,14870,22
48.39423,10,14867,26
48.4358967,10,14863,10
48.4775633,10,14858,5
48.51923,10,14852,2
48.5608967,10,14846,6
48.6025633,10,14839,0
48.64423,10,14833,3
48.6858967,10,14825,1
48.7275633,10,14818,8
48.76923,10,14811,11
48.8108967,10,14805,1
48.8525633,10,14798,0
48.89423,10,14792,2
48.9358967,10,14787,1
48.9775633,10,14782,7
49.01923,10,14778,2
49.0608967,10,14775,5
49.1025633,10,14773,5
49.14423,10,14772,7
49.1858967,10,14771,1
49.2275633,10,14772,20
49.26923,10,14772,9
49.3108967,10,14773,5
49.3525633,10,14775,1
49.39423,10,14777,7
49.4358967,10,14779,0
49.4775633,10,14782,1
49.51923,10,14785,0
49.5608967,10,14787,9
49.6025633,10,14790,18
49.64423,10,14793,8
49.6858967,10,14796,1
49.7275633,10,14799,0
49.76923,10,14802,0
49.8108967,10,14804,0
49.8525633,10,14806,3
49.89423,10,14808,1
49.9358967,10,14809,1
49.9775633,10,14810,2
50.01923,10,14810,2
50.0608967,10,14810,6
50.1025633,10,14809,13
50.14423,10,14807,9
50.1858967,10,14805,4
50.2275633,10,14803,8
50.26923,10,14800,0
50.3108967,10,14797,5
50.3525633,10,14793,6
50.39423,10,14790,3
50.4358967,10,14785,10
50.4775633,10,14781,7
50.51923,9,14777,2
50.5608967,9,14772,1
50.6025633,9,14767,13
50.64423,9,14762,27
50.6858967,9,14757,13
50.7275633,9,14752,4
50.76923,9,14747,0
50.8108967,9,14742,2
50.8525633,9,14737,3
50.89423,9,14732,7
50.9358967,9,14727,18
50.9775633,9,14722,6
51.01923,9,14718,2
51.0608967,9,14714,13
51.1025633,9,14710,16
