time,births,population,reported_cases
44.01923,2,3373,0
44.0608967,2,3380,0
44.1025633,2,3387,0
44.14423,2,3394,0
44.1858967,2,3402,0
44.2275633,2,3409,0
44.26923,2,3416,0
44.3108967,2,3423,0
44.3525633,2,3430,0
44.39423,2,3437,0
44.4358967,2,3444,2
44.4775633,2,3451,0
44.51923,2,3457,3
44.5608967,2,3464,2
44.6025633,2,3471,0
44.64423,2,3477,0
44.6858967,2,3484,0
44.7275633,2,3490,0
44.76923,2,3496,0
44.8108967,2,3502,0
44.8525633,2,3507,0
44.89423,2,3513,0
44.9358967,2,3518,0
44.9775633,2,3523,0
45.01923,2,3528,0
45.0608967,2,3533,0
45.1025633,2,3537,1
45.14423,2,3541,0
45.1858967,2,3545,3
45.2275633,2,3549,5
45.26923,2,3553,15
45.3108967,2,3556,8
45.3525633,2,3559,6
45.39423,2,3561,4
45.4358967,2,3564,0
45.4775633,2,3566,3
45.51923,2,3568,0
45.5608967,2,3570,3
45.6025633,2,3571,0
45.64423,2,3573,0
45.6858967,2,3574,0
45.7275633,2,3574,0
45.76923,2,3575,0
45.8108967,2,3575,0
45.8525633,2,3575,0
45.89423,2,3575,0
45.9358967,2,3574,2
45.9775633,2,3574,0
46.01923,2,3572,0
46.0608967,2,3571,0
46.1025633,2,3570,0
46.14423,2,3568,0
46.1858967,2,3566,0
46.2275633,2,3564,0
46.26923,2,3562,0
46.3108967,2,3559,0
46.3525633,2,3557,0
46.39423,2,3555,0
46.4358967,2,3552,0
46.4775633,2,3550,0
46.51923,2,3547,0
46.5608967,2,3545,0
46.6025633,2,3542,0
46.64423,2,3540,0
46.6858967,2,3538,0
46.7275633,3,3536,0
46.76923,3,3534,0
46.8108967,3,3532,0
46.8525633,3,3531,0
46.89423,3,3530,0
46.9358967,3,3529,0
46.9775633,3,3528,0
47.01923,3,3528,0
47.0608967,3,3528,16
47.1025633,3,3528,1
47.14423,3,3529,3
47.1858967,3,3530,4
47.2275633,3,3531,5
47.26923,3,3532,0
47.3108967,3,3533,0
47.3525633,3,3535,0
47.39423,3,3537,0
47.4358967,3,3539,0
47.4775633,3,3541,0
47.51923,3,3544,0
47.5608967,2,3546,0
47.6025633,2,3548,0
47.64423,2,3551,4
47.6858967,2,3554,6
47.7275633,2,3556,0
47.76923,2,3559,0
47.8108967,2,3562,0
47.8525633,2,3564,0
47.89423,2,3567,0
47.9358967,2,3569,0
47.9775633,2,3572,0
48.01923,2,3574,0
48.0608967,2,3576,0
48.1025633,2,3578,0
48.14423,2,3581,0
48.1858967,2,3583,0
48.2275633,2,3585,0
48.26923,2,3587,0
48.3108967,2,3588,4
48.3525633,2,3590,2
48.39423,2,3592,0
48.4358967,2,3594,0
48.4775633,2,3596,0
48.51923,2,3598,0
48.5608967,2,3600,0
48.6025633,2,3602,0
48.64423,2,3604,0
48.6858967,2,3606,0
48.7275633,2,3608,0
48.76923,2,3610,0
48.8108967,2,3613,0
48.8525633,2,3615,0
48.89423,2,3618,0
48.9358967,2,3620,0
48.9775633,2,3623,0
49.01923,2,3626,0
49.0608967,2,3630,0
49.1025633,2,3633,0
49.14423,2,3636,0
49.1858967,2,3640,1
49.2275633,2,3644,27
49.26923,2,3647,13
49.3108967,2,3651,40
49.3525633,2,3655,20
49.39423,2,3658,15
49.4358967,2,3662,12
49.4775633,2,3665,6
49.51923,2,3669,0
49.5608967,2,3672,0
49.6025633,2,3676,0
49.64423,2,3679,0
49.6858967,2,3682,0
49.7275633,2,3685,0
49.76923,2,3688,0
49.8108967,2,3690,0
49.8525633,2,3692,0
49.89423,2,3694,0
49.9358967,2,3696,0
49.9775633,2,3697,0
50.01923,2,3698,0
50.0608967,2,3699,0
50.1025633,2,3700,0
50.14423,2,3700,0
50.1858967,2,3700,0
50.2275633,2,3699,0
50.26923,2,3699,0
50.3108967,2,3698,0
50.3525633,2,3697,0
50.39423,2,3695,0
50.4358967,2,3694,0
50.4775633,2,3692,0
50.51923,2,3690,0
50.5608967,2,3688,2
50.6025633,2,3685,0
50.64423,2,3683,0
50.6858967,2,3680,0
50.7275633,2,3677,0
50.76923,2,3674,0
50.8108967,2,3671,0
50.8525633,2,3668,0
50.89423,2,3665,0
50.9358967,2,3661,1
50.9775633,2,3658,0
51.01923,2,3654,0
51.0608967,2,3651,0
51.1025633,2,3647,8
51.14423,2,3644,0
51.1858967,2,3640,0
51.2275633,2,3636,0
51.26923,2,3633,0
51.3108967,2,3629,0
51.3525633,2,3626,0
51.39423,2,3622,1
51.4358967,2,3619,2
51.4775633,2,3616,0
51.51923,2,3612,0
51.5608967,2,3609,0
51.6025633,2,3606,0
51.64423,2,3603,0
51.6858967,2,3600,0
51.7275633,2,3598,0
51.76923,2,3595,0
51.8108967,2,3593,0
51.8525633,2,3591,3
51.89423,2,3589,6
51.9358967,2,3587,9
51.9775633,2,3586,2
52.01923,2,3584,0
52.0608967,2,3583,0
52.1025633,2,3583,0
52.14423,2,3582,0
52.1858967,2,3582,0
52.2275633,2,3582,0
52.26923,2,3582,0
52.3108967,2,3582,0
52.3525633,2,3582,0
52.39423,2,3582,0
52.43589670000001,2,3583,0
52.47756329999999,2,3584,0
52.51923000000001,2,3585,0
52.56089670000001,2,3585,0
52.60256329999999,2,3586,0
52.64423000000001,2,3588,0
52.68589670000001,2,3589,0
52.72756329999999,2,3590,0
52.76923000000001,2,3591,0
52.81089670000001,2,3592,0
52.85256329999999,2,3594,0
52.89423000000001,2,3595,0
52.93589670000001,2,3596,0
52.97756329999999,2,3597,0
53.01923000000001,2,3599,0
53.06089670000001,2,3600,0
53.10256329999999,2,3601,0
53.14423000000001,2,3602,0
53.18589670000001,2,3603,0
53.22756329999999,2,3604,0
53.26923000000001,2,3605,0
53.31089670000001,2,3606,3
53.35256329999999,2,3607,4
53.39423000000001,2,3609,1
53.43589670000001,2,3610,3
53.47756329999999,2,3611,4
53.51923000000001,2,3612,0
53.56089670000001,2,3613,0
53.60256329999999,2,3615,0
53.64423000000001,2,3616,0
53.68589670000001,2,3617,2
53.72756329999999,2,3619,0
53.76923000000001,2,3620,0
53.81089670000001,2,3622,0
53.85256329999999,2,3623,0
53.89423000000001,2,3625,0
53.93589670000001,2,3627,0
53.97756329999999,2,3629,0
54.01923000000001,2,3631,0
54.06089670000001,2,3633,0
54.10256329999999,2,3635,0
54.14423000000001,2,3638,0
54.18589670000001,2,3640,0
54.22756329999999,2,3642,2
54.26923000000001,2,3645,0
54.31089670000001,2,3647,0
54.35256329999999,2,3650,0
54.39423000000001,2,3652,0
54.43589670000001,2,3655,0
54.47756329999999,2,3657,0
54.51923000000001,2,3660,0
54.56089670000001,2,3662,0
54.60256329999999,2,3664,0
54.64423000000001,2,3666,0
54.68589670000001,2,3668,0
54.72756329999999,2,3670,0
54.76923000000001,2,3672,0
54.81089670000001,2,3674,0
54.85256329999999,2,3676,5
54.89423000000001,2,3677,1
54.93589670000001,2,3678,0
54.97756329999999,2,3679,0
55.01923000000001,2,3680,3
55.06089670000001,2,3681,5
55.10256329999999,2,3682,31
55.14423000000001,2,3682,100
55.18589670000001,2,3682,84
55.22756329999999,2,3682,19
55.26923000000001,2,3682,3
55.31089670000001,2,3682,0
55.35256329999999,2,3681,3
55.39423000000001,2,3681,1
55.43589670000001,2,3680,0
55.47756329999999,2,3680,2
55.51923000000001,2,3679,0
55.56089670000001,2,3678,2
55.60256329999999,2,3678,0
55.64423000000001,2,3677,1
55.68589670000001,2,3676,0
55.72756329999999,2,3675,0
55.76923000000001,2,3674,0
55.81089670000001,3,3673,0
55.85256329999999,3,3672,0
55.89423000000001,3,3672,0
55.93589670000001,3,3671,2
55.97756329999999,3,3670,0
56.01923000000001,3,3670,0
56.06089670000001,3,3669,0
56.10256329999999,3,3669,0
56.14423000000001,3,3668,0
56.18589670000001,3,3668,0
56.22756329999999,3,3668,0
56.26923000000001,3,3668,0
56.31089670000001,3,3668,0
56.35256329999999,2,3668,0
56.39423000000001,2,3668,0
56.43589670000001,2,3668,0
56.47756329999999,2,3668,0
56.51923000000001,2,3668,0
56.56089670000001,2,3668,0
56.60256329999999,2,3668,0
56.64423000000001,2,3668,0
56.68589670000001,2,3668,0
56.72756329999999,2,3669,0
56.76923000000001,2,3669,0
56.81089670000001,2,3669,0
56.85256329999999,2,3669,0
56.89423000000001,2,3669,0
56.93589670000001,2,3670,0
56.97756329999999,2,3670,0
57.01923000000001,2,3670,0
57.06089670000001,2,3670,0
57.10256329999999,2,3670,0
57.14423000000001,2,3671,0
57.18589670000001,2,3671,0
57.22756329999999,2,3671,0
57.26923000000001,2,3671,0
57.31089670000001,2,3671,0
57.35256329999999,2,3671,0
57.39423000000001,2,3671,1
57.43589670000001,2,3671,0
57.47756329999999,2,3671,0
57.51923000000001,2,3671,0
57.56089670000001,2,3671,0
57.60256329999999,2,3671,5
57.64423000000001,2,3671,27
57.68589670000001,2,3671,8
57.72756329999999,2,3671,0
57.76923000000001,2,3671,0
57.81089670000001,2,3671,0
57.85256329999999,2,3671,0
57.89423000000001,2,3671,0
57.93589670000001,2,3670,0
57.97756329999999,2,3670,0
58.01923000000001,2,3670,0
58.06089670000001,2,3670,0
58.10256329999999,2,3669,0
58.14423000000001,2,3669,0
58.18589670000001,2,3669,0
58.22756329999999,2,3669,0
58.26923000000001,2,3668,0
58.31089670000001,2,3668,0
58.35256329999999,2,3668,0
58.39423000000001,2,3668,0
58.43589670000001,2,3667,0
58.47756329999999,2,3667,0
58.51923000000001,2,3667,0
58.56089670000001,2,3667,0
58.60256329999999,2,3667,2
58.64423000000001,2,3667,0
58.68589670000001,2,3667,0
58.72756329999999,2,3667,0
58.76923000000001,2,3667,0
58.81089670000001,2,3668,0
58.85256329999999,2,3668,0
58.89423000000001,2,3668,0
58.93589670000001,2,3669,0
58.97756329999999,2,3670,0
59.01923000000001,2,3670,3
59.06089670000001,2,3671,0
59.10256329999999,2,3672,0
