time,births,population,reported_cases
44.01923,13,16725,0
44.0608967,13,16700,0
44.1025633,12,16682,1
44.14423,12,16672,0
44.1858967,12,16670,14
44.2275633,12,16674,158
44.26923,12,16684,37
44.3108967,12,16701,24
44.3525633,11,16724,116
44.39423,11,16752,4
44.4358967,11,16786,3
44.4775633,11,16824,4
44.51923,11,16868,0
44.5608967,11,16915,0
44.6025633,11,16966,0
44.64423,11,17021,0
44.6858967,11,17079,0
44.7275633,11,17140,1
44.76923,11,17204,0
44.8108967,11,17270,0
44.8525633,11,17338,0
44.89423,12,17408,0
44.9358967,12,17479,0
44.9775633,12,17551,0
45.01923,12,17624,2
45.0608967,12,17697,2
45.1025633,12,17770,3
45.14423,12,17843,2
45.1858967,12,17916,0
45.2275633,13,17989,1
45.26923,13,18062,9
45.3108967,13,18133,0
45.3525633,13,18204,4
45.39423,13,18275,1
45.4358967,13,18344,1
45.4775633,13,18411,2
45.51923,14,18477,2
45.5608967,14,18542,8
45.6025633,14,18605,1
45.64423,14,18665,10
45.6858967,14,18724,4
45.7275633,14,18780,2
45.76923,15,18834,0
45.8108967,15,18886,0
45.8525633,15,18934,0
45.89423,15,18979,0
45.9358967,15,19022,0
45.9775633,15,19060,0
46.01923,16,19096,0
46.0608967,16,19128,0
46.1025633,16,19157,0
46.14423,16,19182,0
46.1858967,16,19206,0
46.2275633,16,19226,0
46.26923,16,19244,0
46.3108967,16,19261,0
46.3525633,16,19276,1
46.39423,16,19289,0
46.4358967,16,19301,1
46.4775633,16,19312,2
46.51923,16,19322,6
46.5608967,17,19332,16
46.6025633,17,19341,15
46.64423,17,19351,0
46.6858967,17,19361,17
46.7275633,17,19371,2
46.76923,17,19383,0
46.8108967,17,19395,2
46.8525633,17,19408,0
46.89423,17,19423,0
46.9358967,16,19440,0
46.9775633,16,19459,0
47.01923,16,19480,2
47.0608967,16,19503,0
47.1025633,16,19529,11
47.14423,16,19556,16
47.1858967,16,19585,25
47.2275633,16,19615,9
47.26923,16,19646,32
47.3108967,16,19677,0
47.3525633,16,19710,0
47.39423,16,19742,0
47.4358967,16,19775,4
47.4775633,15,19807,6
47.51923,15,19839,26
47.5608967,15,19870,31
47.6025633,15,19901,12
47.64423,15,19930,4
47.6858967,15,19957,6
47.7275633,15,19983,4
47.76923,15,20006,3
47.8108967,15,20028,0
47.8525633,14,20047,0
47.89423,14,20063,0
47.9358967,14,20076,0
47.9775633,14,20086,0
48.01923,14,20093,4
48.0608967,14,20095,37
48.1025633,14,20095,55
48.14423,14,20092,56
48.1858967,14,20085,71
48.2275633,14,20076,9
48.26923,14,20065,13
48.3108967,14,20052,5
48.3525633,14,20036,1
48.39423,14,20019,2
48.4358967,14,20001,0
48.4775633,13,19981,2
48.51923,13,19961,2
48.5608967,13,19939,4
48.6025633,13,19917,1
48.64423,13,19895,1
48.6858967,13,19873,0
48.7275633,13,19851,0
48.76923,13,19830,0
48.8108967,13,19809,0
48.8525633,13,19789,0
48.89423,13,19771,0
48.9358967,13,19753,0
48.9775633,13,19738,0
49.01923,13,19724,0
49.0608967,13,19712,0
49.1025633,13,19702,0
49.14423,13,19693,0
49.1858967,13,19687,6
49.2275633,13,19682,2
49.26923,12,19678,0
49.3108967,12,19676,2
49.3525633,12,19675,0
49.39423,12,19675,3
49.4358967,12,19676,6
49.4775633,12,19678,22
49.51923,12,19681,15
49.5608967,12,19685,5
49.6025633,12,19690,0
49.64423,12,19695,0
49.6858967,12,19700,0
49.7275633,12,19706,2
49.76923,12,19713,0
49.8108967,12,19720,0
49.8525633,12,19726,0
49.89423,12,19733,0
49.9358967,11,19740,0
49.9775633,11,19747,1
50.01923,11,19753,0
50.0608967,11,19759,2
50.1025633,11,19765,0
50.14423,11,19770,0
50.1858967,11,19775,1
50.2275633,11,19780,2
50.26923,11,19785,0
50.3108967,11,19789,2
50.3525633,11,19793,0
50.39423,11,19797,0
50.4358967,11,19801,0
50.4775633,11,19804,0
50.51923,11,19807,2
50.5608967,11,19809,10
50.6025633,11,19812,24
50.64423,12,19814,34
50.6858967,12,19815,39
50.7275633,12,19817,2
50.76923,12,19818,0
50.8108967,12,19819,0
50.8525633,12,19820,0
50.89423,12,19820,0
50.9358967,12,19820,1
50.9775633,12,19820,2
51.01923,12,19820,2
51.0608967,12,19819,1
51.1025633,12,19818,0
51.14423,12,19817,27
51.1858967,12,19815,3
51.2275633,12,19814,2
51.26923,12,19812,0
51.3108967,12,19809,5
51.3525633,12,19807,10
51.39423,12,19804,17
51.4358967,12,19801,91
51.4775633,12,19797,157
51.51923,12,19794,45
51.5608967,12,19790,65
51.6025633,12,19785,48
51.64423,12,19781,31
51.6858967,12,19776,4
51.7275633,12,19771,0
51.76923,12,19765,0
51.8108967,12,19760,0
51.8525633,12,19754,1
51.89423,12,19747,0
51.9358967,12,19741,0
51.9775633,12,19734,0
52.01923,12,19727,0
52.0608967,12,19719,0
52.1025633,12,19712,0
52.14423,12,19704,0
52.1858967,12,19696,0
52.2275633,12,19688,0
52.26923,12,19680,0
52.3108967,12,19672,1
52.3525633,12,19664,0
52.39423,12,19656,0
52.43589670000001,12,19648,0
52.47756329999999,12,19641,0
52.51923000000001,12,19634,0
52.56089670000001,12,19627,5
52.60256329999999,12,19621,10
52.64423000000001,12,19615,0
52.68589670000001,12,19610,3
52.72756329999999,12,19605,0
52.76923000000001,12,19601,0
52.81089670000001,12,19597,2
52.85256329999999,12,19594,4
52.89423000000001,12,19592,2
52.93589670000001,12,19590,1
52.97756329999999,12,19590,0
53.01923000000001,12,19590,0
53.06089670000001,12,19592,14
53.10256329999999,12,19594,65
53.14423000000001,12,19597,95
53.18589670000001,12,19600,83
53.22756329999999,12,19605,43
53.26923000000001,12,19610,62
53.31089670000001,12,19616,25
53.35256329999999,12,19622,15
53.39423000000001,12,19629,10
53.43589670000001,12,19636,16
53.47756329999999,12,19644,16
53.51923000000001,12,19652,13
53.56089670000001,12,19661,7
53.60256329999999,12,19670,1
53.64423000000001,12,19679,1
53.68589670000001,12,19688,0
53.72756329999999,11,19697,2
53.76923000000001,11,19707,6
53.81089670000001,11,19717,0
53.85256329999999,11,19726,0
53.89423000000001,11,19736,0
53.93589670000001,11,19746,0
53.97756329999999,11,19755,0
54.01923000000001,11,19764,0
54.06089670000001,11,19773,0
54.10256329999999,11,19782,0
54.14423000000001,11,19791,0
54.18589670000001,11,19800,0
54.22756329999999,11,19808,0
54.26923000000001,12,19816,0
54.31089670000001,12,19824,0
54.35256329999999,12,19832,1
54.39423000000001,12,19839,0
54.43589670000001,12,19847,1
54.47756329999999,12,19854,0
54.51923000000001,12,19861,0
54.56089670000001,12,19868,1
54.60256329999999,12,19875,1
54.64423000000001,12,19881,1
54.68589670000001,12,19888,11
54.72756329999999,12,19894,25
54.76923000000001,12,19900,58
54.81089670000001,12,19906,55
54.85256329999999,12,19911,23
54.89423000000001,12,19917,20
54.93589670000001,12,19922,4
54.97756329999999,13,19927,13
55.01923000000001,13,19932,22
55.06089670000001,13,19937,10
55.10256329999999,13,19942,5
55.14423000000001,13,19946,8
55.18589670000001,12,19951,3
55.22756329999999,12,19955,2
55.26923000000001,12,19959,6
55.31089670000001,12,19963,23
55.35256329999999,12,19967,20
55.39423000000001,12,19971,2
55.43589670000001,12,19975,5
55.47756329999999,12,19979,0
55.51923000000001,12,19983,6
55.56089670000001,12,19987,7
55.60256329999999,12,19991,7
55.64423000000001,12,19995,8
55.68589670000001,12,19998,5
55.72756329999999,12,20002,0
55.76923000000001,12,20006,0
55.81089670000001,12,20010,2
55.85256329999999,12,20015,4
55.89423000000001,12,20019,1
55.93589670000001,12,20023,0
55.97756329999999,12,20028,0
56.01923000000001,12,20032,0
56.06089670000001,12,20037,0
56.10256329999999,12,20042,0
56.14423000000001,12,20047,0
56.18589670000001,12,20051,0
56.22756329999999,12,20056,0
56.26923000000001,12,20061,2
56.31089670000001,12,20066,4
56.35256329999999,12,20071,0
56.39423000000001,12,20076,1
56.43589670000001,12,20081,4
56.47756329999999,12,20085,2
56.51923000000001,12,20089,0
56.56089670000001,12,20094,0
56.60256329999999,12,20098,3
56.64423000000001,12,20101,0
56.68589670000001,12,20105,0
56.72756329999999,12,20108,0
56.76923000000001,12,20111,0
56.81089670000001,12,20113,0
56.85256329999999,12,20116,0
56.89423000000001,12,20117,0
56.93589670000001,12,20119,0
56.97756329999999,12,20120,4
57.01923000000001,12,20120,0
57.06089670000001,12,20120,0
57.10256329999999,12,20120,0
57.14423000000001,12,20119,2
57.18589670000001,12,20118,1
57.22756329999999,12,20116,0
57.26923000000001,12,20114,2
57.31089670000001,12,20112,2
57.35256329999999,12,20109,1
57.39423000000001,13,20107,2
57.43589670000001,13,20104,1
57.47756329999999,13,20101,5
57.51923000000001,13,20098,4
57.56089670000001,12,20094,9
57.60256329999999,12,20091,4
57.64423000000001,12,20087,1
57.68589670000001,12,20084,6
57.72756329999999,12,20080,2
57.76923000000001,12,20077,0
57.81089670000001,12,20074,0
57.85256329999999,12,20070,0
57.89423000000001,12,20067,0
57.93589670000001,12,20064,0
57.97756329999999,12,20061,0
58.01923000000001,12,20059,0
58.06089670000001,12,20056,0
58.10256329999999,12,20054,0
58.14423000000001,12,20052,0
58.18589670000001,12,20051,0
58.22756329999999,12,20049,0
58.26923000000001,12,20048,0
58.31089670000001,11,20047,0
58.35256329999999,11,20046,17
58.39423000000001,11,20046,33
58.43589670000001,11,20045,52
58.47756329999999,11,20045,35
58.51923000000001,11,20045,14
58.56089670000001,11,20046,32
58.60256329999999,11,20046,40
58.64423000000001,11,20047,13
58.68589670000001,11,20047,10
58.72756329999999,11,20049,26
58.76923000000001,11,20050,9
58.81089670000001,10,20051,7
58.85256329999999,10,20053,42
58.89423000000001,10,20055,96
58.93589670000001,10,20057,118
58.97756329999999,10,20059,77
59.01923000000001,10,20061,50
59.06089670000001,10,20064,3
59.10256329999999,10,20066,7
59.14423000000001,11,20069,5
59.18589670000001,11,20071,6
59.22756329999999,11,20073,9
59.26923000000001,11,20075,0
59.31089670000001,11,20077,0
59.35256329999999,11,20078,0
59.39423000000001,11,20078,1
59.43589670000001,11,20078,6
59.47756329999999,11,20077,4
59.51923000000001,11,20076,2
59.56089670000001,11,20073,6
59.60256329999999,12,20069,1
59.64423000000001,12,20065,1
59.68589670000001,12,20059,0
59.72756329999999,12,20052,0
59.76923000000001,12,20044,0
59.81089670000001,12,20034,0
59.85256329999999,12,20023,0
59.89423000000001,12,20010,0
59.93589670000001,12,19996,0
59.97756329999999,12,19979,2
60.01923000000001,13,19961,0
60.06089670000001,13,19942,0
60.10256329999999,13,19920,0
60.14423000000001,13,19897,0
60.18589670000001,13,19873,0
60.22756329999999,13,19848,0
60.26923000000001,13,19822,0
60.31089670000001,13,19796,0
60.35256329999999,13,19769,0
60.39423000000001,13,19742,0
60.43589670000001,13,19714,0
60.47756329999999,13,19687,7
60.51923000000001,13,19661,28
60.56089670000001,13,19634,10
60.60256329999999,13,19609,4
60.64423000000001,13,19584,5
60.68589670000001,13,19561,1
60.72756329999999,13,19539,0
60.76923000000001,13,19518,0
60.81089670000001,13,19499,0
60.85256329999999,13,19482,1
60.89423000000001,13,19467,0
60.93589670000001,13,19455,0
60.97756329999999,13,19444,0
61.01923000000001,13,19437,0
61.06089670000001,13,19432,2
61.10256329999999,13,19430,1
61.14423000000001,13,19430,3
61.18589670000001,13,19432,1
61.22756329999999,13,19436,1
61.26923000000001,13,19443,0
61.31089670000001,13,19451,4
61.35256329999999,13,19460,7
61.39423000000001,13,19471,5
61.43589670000001,13,19483,10
61.47756329999999,13,19497,18
61.51923000000001,13,19511,13
61.56089670000001,13,19526,4
61.60256329999999,13,19542,9
61.64423000000001,13,19558,2
61.68589670000001,13,19574,1
61.72756329999999,13,19591,0
61.76923000000001,13,19607,0
61.81089670000001,13,19623,0
61.85256329999999,13,19639,0
61.89423000000001,12,19654,0
61.93589670000001,12,19669,0
61.97756329999999,12,19683,0
62.01923000000001,12,19696,0
62.06089670000001,12,19708,0
62.10256329999999,12,19718,0
62.14423000000001,12,19728,0
62.18589670000001,12,19737,0
62.22756329999999,12,19745,0
62.26923000000001,12,19753,0
62.31089670000001,12,19759,0
62.35256329999999,12,19765,0
62.39423000000001,12,19771,0
62.43589670000001,12,19776,3
62.47756329999999,12,19780,6
62.51923000000001,12,19784,17
62.56089670000001,12,19788,4
62.60256329999999,11,19791,32
62.64423000000001,11,19794,20
62.68589670000001,11,19797,2
62.72756329999999,11,19800,0
62.76923000000001,11,19803,0
62.81089670000001,11,19806,7
62.85256329999999,11,19808,0
62.89423000000001,11,19811,0
62.93589670000001,11,19815,0
62.97756329999999,11,19818,0
63.01923000000001,11,19822,0
63.06089670000001,11,19826,2
63.10256329999999,11,19831,0
63.14423000000001,11,19836,0
63.18589670000001,11,19842,0
63.22756329999999,11,19849,0
63.26923000000001,11,19858,9
63.31089670000001,11,19867,64
63.35256329999999,11,19879,52
63.39423000000001,11,19891,18
63.43589670000001,12,19906,195
63.47756329999999,12,19922,177
63.51923000000001,12,19941,164
63.56089670000001,12,19961,54
63.60256329999999,12,19984,17
63.64423000000001,12,20010,3
63.68589670000001,12,20038,6
63.72756329999999,12,20069,7
63.76923000000001,13,20102,0
63.81089670000001,13,20139,0
63.85256329999999,13,20180,0
63.89423000000001,13,20223,0
63.93589670000001,14,20270,0
63.97756329999999,14,20321,0
