time,births,population,reported_cases
44.01923,6,7017,0
44.0608967,6,7012,0
44.1025633,6,7008,0
44.14423,6,7005,0
44.1858967,5,7002,0
44.2275633,5,7000,0
44.26923,5,6997,0
44.3108967,5,6995,0
44.3525633,5,6994,0
44.39423,5,6992,0
44.4358967,5,6991,10
44.4775633,5,6990,0
44.51923,5,6989,0
44.5608967,5,6989,0
44.6025633,5,6988,0
44.64423,5,6987,0
44.6858967,5,6986,0
44.7275633,5,6986,0
44.76923,5,6985,0
44.8108967,5,6984,0
44.8525633,5,6982,0
44.89423,5,6981,0
44.9358967,5,6979,0
44.9775633,5,6977,0
45.01923,5,6975,0
45.0608967,5,6972,0
45.1025633,5,6969,0
45.14423,5,6966,0
45.1858967,5,6962,11
45.2275633,5,6958,1
45.26923,5,6953,21
45.3108967,5,6948,2
45.3525633,5,6943,0
45.39423,5,6937,0
45.4358967,5,6930,0
45.4775633,5,6924,1
45.51923,5,6916,0
45.5608967,5,6909,0
45.6025633,5,6900,0
45.64423,5,6892,0
45.6858967,5,6883,0
45.7275633,5,6873,0
45.76923,5,6863,0
45.8108967,5,6852,0
45.8525633,5,6840,0
45.89423,5,6829,0
45.9358967,5,6816,0
45.9775633,5,6803,0
46.01923,5,6790,0
46.0608967,5,6776,0
46.1025633,5,6761,0
46.14423,5,6746,0
46.1858967,5,6731,0
46.2275633,5,6715,0
46.26923,5,6699,0
46.3108967,5,6683,0
46.3525633,5,6667,0
46.39423,5,6652,9
46.4358967,5,6636,3
46.4775633,6,6620,3
46.51923,6,6605,3
46.5608967,6,6590,7
46.6025633,6,6575,0
46.64423,6,6561,0
46.6858967,6,6547,0
46.7275633,6,6534,0
46.76923,6,6522,0
46.8108967,6,6511,0
46.8525633,6,6500,0
46.89423,6,6490,0
46.9358967,6,6481,0
46.9775633,6,6474,0
47.01923,6,6467,3
47.0608967,6,6462,1
47.1025633,6,6457,0
47.14423,6,6454,1
47.1858967,6,6452,0
47.2275633,6,6451,0
47.26923,6,6451,0
47.3108967,6,6452,0
47.3525633,6,6454,0
47.39423,6,6457,0
47.4358967,6,6461,0
47.4775633,6,6465,0
47.51923,6,6471,0
47.5608967,6,6477,1
47.6025633,6,6485,0
47.64423,6,6493,0
47.6858967,6,6501,0
47.7275633,6,6511,1
47.76923,6,6521,0
47.8108967,6,6532,0
47.8525633,6,6544,0
47.89423,6,6556,0
47.9358967,6,6569,0
47.9775633,6,6583,0
48.01923,6,6597,0
48.0608967,6,6611,0
48.1025633,6,6626,0
48.14423,5,6642,0
48.1858967,5,6657,0
48.2275633,5,6674,0
48.26923,5,6690,0
48.3108967,5,6707,0
48.3525633,5,6724,0
48.39423,5,6741,0
48.4358967,5,6758,0
48.4775633,5,6775,0
48.51923,5,6793,0
48.5608967,5,6810,0
48.6025633,5,6827,0
48.64423,5,6844,0
48.6858967,5,6861,0
48.7275633,5,6878,0
48.76923,5,6895,3
48.8108967,5,6911,11
48.8525633,5,6927,6
48.89423,5,6943,9
48.9358967,5,6958,10
48.9775633,5,6972,2
49.01923,5,6986,3
49.0608967,5,7000,0
49.1025633,5,7013,0
49.14423,5,7026,0
49.1858967,5,7038,0
49.2275633,5,7049,0
49.26923,4,7060,0
49.3108967,4,7071,0
49.3525633,4,7081,0
49.39423,4,7091,0
49.4358967,4,7100,0
49.4775633,4,7108,0
49.51923,4,7117,0
49.5608967,4,7124,0
49.6025633,4,7132,0
49.64423,4,7138,0
49.6858967,4,7145,0
49.7275633,4,7151,0
49.76923,4,7156,0
49.8108967,4,7162,0
49.8525633,4,7166,0
49.89423,4,7171,0
49.9358967,4,7175,0
49.9775633,4,7178,0
50.01923,4,7181,0
50.0608967,4,7184,0
50.1025633,4,7187,0
50.14423,4,7189,0
50.1858967,4,7191,0
50.2275633,4,7192,0
