time,births,population,reported_cases
44.01923,2,2168,0
44.0608967,2,2174,0
44.1025633,2,2180,0
44.14423,2,2186,0
44.1858967,2,2193,0
44.2275633,2,2200,0
44.26923,2,2207,0
44.3108967,2,2214,0
44.3525633,2,2222,0
44.39423,2,2230,0
44.4358967,2,2237,0
44.4775633,2,2245,2
44.51923,2,2253,0
44.5608967,2,2261,0
44.6025633,2,2269,0
44.64423,2,2277,0
44.6858967,2,2285,0
44.7275633,2,2293,0
44.76923,2,2301,0
44.8108967,2,2309,0
44.8525633,2,2317,0
44.89423,2,2325,0
44.9358967,2,2332,0
44.9775633,2,2340,0
45.01923,2,2347,0
45.0608967,2,2355,0
45.1025633,2,2362,0
45.14423,2,2368,1
45.1858967,2,2375,26
45.2275633,2,2382,1
45.26923,2,2388,0
45.3108967,2,2394,2
45.3525633,2,2400,7
45.39423,2,2405,19
45.4358967,2,2411,6
45.4775633,2,2416,16
45.51923,2,2421,13
45.5608967,2,2426,2
45.6025633,2,2430,2
45.64423,2,2434,0
45.6858967,2,2438,0
45.7275633,2,2442,0
45.76923,2,2445,0
45.8108967,2,2448,0
45.8525633,2,2451,0
45.89423,2,2453,0
45.9358967,2,2455,0
45.9775633,2,2457,0
46.01923,2,2459,0
46.0608967,2,2460,0
46.1025633,2,2461,0
46.14423,2,2461,2
46.1858967,2,2462,0
46.2275633,2,2462,0
46.26923,2,2462,0
46.3108967,2,2461,0
46.3525633,2,2461,0
46.39423,2,2460,0
46.4358967,2,2460,0
46.4775633,2,2459,0
46.51923,2,2458,0
46.5608967,2,2458,0
46.6025633,2,2457,0
46.64423,2,2456,0
46.6858967,2,2455,1
46.7275633,2,2454,0
46.76923,2,2454,0
46.8108967,2,2453,0
46.8525633,2,2453,0
46.89423,2,2453,0
46.9358967,2,2453,0
46.9775633,2,2453,0
47.01923,2,2453,0
47.0608967,2,2454,0
47.1025633,1,2455,0
47.14423,1,2456,0
47.1858967,1,2457,0
47.2275633,1,2458,0
47.26923,1,2460,0
47.3108967,1,2461,0
47.3525633,1,2463,0
47.39423,1,2464,0
47.4358967,1,2466,0
47.4775633,1,2468,0
47.51923,1,2470,0
47.5608967,1,2471,0
47.6025633,1,2473,0
47.64423,1,2475,0
47.6858967,1,2476,0
47.7275633,1,2477,0
47.76923,1,2479,0
47.8108967,1,2480,0
47.8525633,1,2481,0
47.89423,1,2481,0
47.9358967,1,2482,0
47.9775633,1,2482,0
48.01923,1,2482,0
48.0608967,1,2482,0
48.1025633,1,2481,0
48.14423,1,2480,0
48.1858967,1,2479,0
48.2275633,1,2478,0
48.26923,1,2477,0
48.3108967,1,2476,2
48.3525633,1,2474,0
48.39423,1,2472,0
48.4358967,1,2471,0
48.4775633,2,2469,0
48.51923,2,2467,0
48.5608967,2,2466,6
48.6025633,2,2464,2
48.64423,2,2462,1
48.6858967,2,2461,3
