time,births,population,reported_cases
44.01923,7,9763,0
44.0608967,8,9752,0
44.1025633,8,9746,1
44.14423,8,9746,2
44.1858967,9,9750,7
44.2275633,9,9760,12
44.26923,9,9774,39
44.3108967,9,9793,38
44.3525633,10,9816,16
44.39423,10,9842,42
44.4358967,10,9873,5
44.4775633,10,9907,16
44.51923,10,9945,0
44.5608967,10,9986,4
44.6025633,10,10030,3
44.64423,10,10077,5
44.6858967,10,10126,0
44.7275633,10,10178,0
44.76923,10,10232,0
44.8108967,10,10288,0
44.8525633,10,10345,0
44.89423,10,10404,0
44.9358967,10,10465,0
44.9775633,10,10526,0
45.01923,10,10589,0
45.0608967,10,10652,0
45.1025633,10,10716,1
45.14423,10,10781,2
45.1858967,10,10846,0
45.2275633,9,10911,0
45.26923,9,10976,0
45.3108967,9,11041,0
45.3525633,9,11107,0
45.39423,9,11172,1
45.4358967,9,11237,1
45.4775633,9,11301,3
45.51923,9,11365,0
45.5608967,9,11428,2
45.6025633,9,11490,0
45.64423,9,11551,0
45.6858967,9,11612,0
45.7275633,9,11671,0
45.76923,9,11728,0
45.8108967,9,11785,0
45.8525633,9,11840,0
45.89423,9,11893,0
45.9358967,9,11945,0
45.9775633,9,11994,0
46.01923,9,12042,0
46.0608967,9,12087,0
46.1025633,9,12131,0
46.14423,9,12173,0
46.1858967,9,12213,0
46.2275633,9,12251,0
46.26923,9,12288,0
46.3108967,9,12324,0
46.3525633,9,12358,0
46.39423,9,12391,2
46.4358967,9,12422,0
46.4775633,10,12453,5
46.51923,10,12483,4
46.5608967,10,12512,0
46.6025633,10,12540,4
46.64423,10,12567,1
46.6858967,10,12594,0
46.7275633,10,12621,0
46.76923,10,12647,0
46.8108967,10,12673,0
46.8525633,10,12699,0
46.89423,10,12724,13
46.9358967,10,12750,12
46.9775633,10,12776,27
47.01923,10,12802,68
47.0608967,10,12828,47
47.1025633,10,12855,10
47.14423,10,12881,24
47.1858967,10,12907,0
47.2275633,10,12933,2
47.26923,9,12958,2
47.3108967,9,12983,0
47.3525633,9,13007,1
47.39423,9,13030,0
47.4358967,9,13052,0
47.4775633,9,13072,7
47.51923,9,13092,4
47.5608967,8,13110,1
47.6025633,8,13126,0
47.64423,8,13140,0
47.6858967,8,13153,1
47.7275633,8,13163,0
47.76923,8,13171,0
47.8108967,8,13177,0
47.8525633,7,13180,0
47.89423,7,13181,0
47.9358967,7,13179,0
47.9775633,7,13174,0
48.01923,7,13166,0
48.0608967,7,13155,0
48.1025633,7,13141,0
48.14423,7,13124,0
48.1858967,7,13106,0
48.2275633,7,13085,0
48.26923,7,13062,0
48.3108967,7,13038,0
48.3525633,7,13013,0
48.39423,7,12987,0
48.4358967,7,12960,0
48.4775633,7,12932,5
48.51923,7,12904,4
48.5608967,7,12877,3
48.6025633,7,12849,0
48.64423,7,12822,0
48.6858967,7,12796,0
48.7275633,7,12771,0
48.76923,7,12747,0
48.8108967,7,12725,0
48.8525633,7,12704,0
48.89423,7,12686,0
48.9358967,7,12670,0
48.9775633,7,12656,0
49.01923,7,12645,0
49.0608967,7,12637,0
49.1025633,7,12632,2
49.14423,7,12629,3
49.1858967,7,12629,12
49.2275633,7,12630,23
49.26923,8,12634,27
49.3108967,8,12639,36
49.3525633,8,12646,12
49.39423,8,12653,5
49.4358967,8,12662,2
49.4775633,8,12672,0
49.51923,8,12683,0
49.5608967,8,12694,2
49.6025633,8,12705,0
49.64423,8,12717,2
49.6858967,8,12728,0
49.7275633,7,12739,0
49.76923,7,12749,0
49.8108967,7,12759,0
49.8525633,7,12768,0
49.89423,7,12776,0
49.9358967,7,12783,1
49.9775633,7,12788,0
50.01923,7,12791,0
50.0608967,7,12793,0
50.1025633,7,12793,0
50.14423,7,12791,1
50.1858967,7,12788,0
50.2275633,7,12784,0
50.26923,7,12777,0
50.3108967,7,12770,0
50.3525633,6,12761,0
50.39423,6,12750,0
50.4358967,6,12739,0
50.4775633,6,12726,2
50.51923,6,12712,8
50.5608967,6,12697,2
50.6025633,6,12682,0
50.64423,6,12665,2
50.6858967,6,12647,1
50.7275633,6,12628,0
50.76923,6,12609,0
50.8108967,6,12589,0
50.8525633,5,12568,0
50.89423,5,12547,0
50.9358967,5,12525,2
50.9775633,5,12502,12
51.01923,5,12479,78
51.0608967,5,12456,4
51.1025633,5,12433,60
51.14423,5,12409,55
51.1858967,5,12385,89
51.2275633,5,12362,11
51.26923,5,12338,27
51.3108967,5,12315,10
51.3525633,5,12292,22
51.39423,5,12270,10
51.4358967,5,12248,4
51.4775633,6,12227,0
51.51923,6,12207,2
51.5608967,6,12188,2
51.6025633,6,12170,1
51.64423,6,12153,5
51.6858967,6,12137,0
51.7275633,6,12123,0
51.76923,6,12110,0
51.8108967,6,12099,0
51.8525633,6,12089,0
51.89423,6,12081,0
51.9358967,6,12075,0
51.9775633,6,12071,0
52.01923,6,12069,0
52.0608967,6,12070,0
52.1025633,6,12072,0
52.14423,6,12076,0
52.1858967,6,12082,0
52.2275633,6,12089,2
52.26923,6,12098,0
52.3108967,6,12108,0
52.3525633,6,12120,1
52.39423,6,12132,0
52.43589670000001,6,12145,1
52.47756329999999,6,12160,0
52.51923000000001,6,12174,1
52.56089670000001,6,12190,1
52.60256329999999,6,12205,10
52.64423000000001,6,12221,12
52.68589670000001,6,12238,1
52.72756329999999,6,12254,0
52.76923000000001,6,12270,0
52.81089670000001,6,12285,0
52.85256329999999,6,12301,0
52.89423000000001,6,12316,0
52.93589670000001,6,12330,0
52.97756329999999,6,12343,0
53.01923000000001,6,12356,0
53.06089670000001,6,12367,24
