time,births,population,reported_cases
44.01923,2,2931,0
44.0608967,2,2940,0
44.1025633,2,2950,0
44.14423,2,2959,1
44.1858967,2,2969,1
44.2275633,2,2978,0
44.26923,2,2987,0
44.3108967,2,2996,4
44.3525633,2,3005,14
44.39423,2,3014,11
44.4358967,2,3023,32
44.4775633,2,3031,10
44.51923,2,3040,0
44.5608967,2,3049,2
44.6025633,2,3057,0
44.64423,2,3066,0
44.6858967,2,3075,0
44.7275633,2,3083,0
44.76923,2,3092,0
44.8108967,2,3100,0
44.8525633,2,3109,0
44.89423,2,3118,0
44.9358967,2,3126,0
44.9775633,3,3135,0
45.01923,3,3144,0
45.0608967,3,3153,0
45.1025633,3,3162,0
45.14423,3,3171,0
45.1858967,3,3180,1
45.2275633,3,3189,0
45.26923,3,3199,0
45.3108967,3,3208,2
45.3525633,3,3217,0
45.39423,3,3227,0
45.4358967,3,3237,0
45.4775633,3,3246,0
45.51923,3,3256,0
45.5608967,3,3266,0
45.6025633,3,3276,0
45.64423,3,3286,0
45.6858967,3,3296,1
45.7275633,3,3306,0
45.76923,3,3316,0
45.8108967,3,3327,0
45.8525633,3,3337,0
45.89423,3,3348,1
45.9358967,3,3358,0
45.9775633,3,3369,0
46.01923,4,3380,0
46.0608967,4,3391,0
46.1025633,4,3402,0
46.14423,4,3413,0
46.1858967,4,3424,0
46.2275633,4,3435,0
46.26923,4,3446,0
46.3108967,4,3458,0
46.3525633,4,3469,0
46.39423,4,3480,0
46.4358967,4,3491,0
46.4775633,4,3501,0
46.51923,4,3512,0
46.5608967,4,3523,0
46.6025633,4,3533,2
46.64423,4,3543,6
46.6858967,4,3553,0
46.7275633,4,3563,2
46.76923,4,3572,0
46.8108967,4,3582,0
46.8525633,4,3591,0
46.89423,4,3599,1
46.9358967,4,3608,0
46.9775633,4,3616,0
47.01923,4,3624,0
47.0608967,4,3631,0
47.1025633,4,3638,0
47.14423,4,3644,0
47.1858967,4,3651,0
47.2275633,4,3657,2
47.26923,4,3662,0
47.3108967,4,3668,0
47.3525633,4,3673,0
47.39423,4,3678,0
47.4358967,4,3682,0
47.4775633,4,3686,1
47.51923,4,3690,0
47.5608967,4,3694,0
47.6025633,4,3697,0
47.64423,4,3701,4
47.6858967,4,3704,2
47.7275633,4,3706,23
47.76923,3,3709,9
47.8108967,3,3711,2
47.8525633,3,3714,15
47.89423,3,3716,9
47.9358967,3,3717,5
47.9775633,3,3719,0
48.01923,3,3721,7
48.0608967,3,3722,4
48.1025633,3,3723,3
48.14423,3,3725,0
48.1858967,3,3726,0
48.2275633,3,3727,0
48.26923,3,3728,0
48.3108967,3,3729,0
48.3525633,3,3730,0
48.39423,3,3731,0
48.4358967,3,3732,0
48.4775633,3,3733,0
48.51923,3,3734,0
48.5608967,2,3736,0
48.6025633,2,3737,0
48.64423,2,3739,0
48.6858967,2,3740,0
48.7275633,2,3742,2
48.76923,2,3744,0
48.8108967,2,3747,0
48.8525633,2,3749,0
48.89423,2,3752,1
48.9358967,2,3755,0
48.9775633,2,3758,0
49.01923,2,3762,0
49.0608967,2,3766,0
49.1025633,2,3770,0
49.14423,2,3774,0
49.1858967,2,3779,0
49.2275633,2,3785,0
49.26923,2,3791,5
49.3108967,2,3797,43
49.3525633,2,3803,32
