time,births,population,reported_cases
44.01923,4,5135,0
44.0608967,4,5090,0
44.1025633,4,5047,0
44.14423,4,5007,0
44.1858967,4,4971,0
44.2275633,3,4936,4
44.26923,3,4905,0
44.3108967,3,4876,0
44.3525633,3,4849,0
44.39423,3,4825,0
44.4358967,3,4804,0
44.4775633,3,4785,0
44.51923,3,4768,0
44.5608967,3,4753,0
44.6025633,3,4741,0
44.64423,3,4731,0
44.6858967,3,4722,0
44.7275633,3,4716,0
44.76923,3,4712,0
44.8108967,3,4710,0
44.8525633,3,4709,0
44.89423,3,4711,0
44.9358967,3,4714,0
44.9775633,3,4719,0
45.01923,3,4725,0
45.0608967,3,4733,0
45.1025633,4,4743,1
45.14423,4,4754,3
45.1858967,4,4766,0
45.2275633,4,4780,0
45.26923,4,4795,2
45.3108967,4,4811,2
45.3525633,4,4828,0
45.39423,4,4846,0
45.4358967,4,4865,0
45.4775633,4,4885,0
45.51923,4,4905,0
45.5608967,4,4927,0
45.6025633,4,4949,0
45.64423,4,4972,0
45.6858967,4,4995,0
45.7275633,4,5019,0
45.76923,5,5043,0
45.8108967,5,5067,0
45.8525633,5,5092,0
45.89423,5,5117,0
45.9358967,5,5142,0
45.9775633,5,5167,0
46.01923,5,5192,0
46.0608967,5,5216,0
46.1025633,5,5241,0
46.14423,5,5266,0
46.1858967,5,5290,0
46.2275633,5,5314,0
46.26923,5,5337,0
46.3108967,5,5360,0
46.3525633,4,5383,0
46.39423,4,5405,0
46.4358967,4,5427,0
46.4775633,4,5447,0
46.51923,4,5468,0
46.5608967,4,5487,0
46.6025633,4,5506,1
46.64423,4,5523,2
46.6858967,4,5540,0
46.7275633,4,5556,0
46.76923,4,5571,0
46.8108967,4,5584,0
46.8525633,4,5597,0
46.89423,4,5608,0
46.9358967,4,5618,3
46.9775633,4,5627,20
47.01923,4,5634,0
47.0608967,4,5640,0
47.1025633,4,5645,1
47.14423,4,5649,1
47.1858967,4,5651,4
47.2275633,4,5653,4
47.26923,4,5654,0
47.3108967,4,5655,0
47.3525633,4,5655,0
47.39423,4,5655,0
47.4358967,4,5654,0
47.4775633,4,5653,0
47.51923,4,5653,0
47.5608967,4,5652,0
47.6025633,4,5651,0
47.64423,4,5651,0
47.6858967,4,5652,3
47.7275633,4,5653,0
47.76923,4,5655,0
47.8108967,4,5657,0
47.8525633,4,5661,0
47.89423,4,5665,0
47.9358967,4,5671,0
47.9775633,4,5679,0
48.01923,4,5687,0
48.0608967,4,5697,0
48.1025633,4,5709,0
48.14423,4,5722,0
48.1858967,4,5736,0
48.2275633,4,5751,0
48.26923,4,5767,0
48.3108967,4,5784,0
48.3525633,4,5802,0
48.39423,4,5820,0
48.4358967,4,5840,0
48.4775633,4,5859,0
48.51923,4,5880,2
48.5608967,4,5901,0
48.6025633,4,5922,0
48.64423,4,5943,1
48.6858967,4,5964,1
48.7275633,4,5986,0
48.76923,3,6007,0
48.8108967,3,6028,0
48.8525633,3,6049,0
48.89423,3,6070,2
48.9358967,3,6090,1
48.9775633,3,6110,0
49.01923,3,6129,0
49.0608967,3,6147,0
49.1025633,3,6165,0
49.14423,3,6182,2
49.1858967,3,6198,24
49.2275633,3,6214,5
49.26923,3,6229,4
49.3108967,4,6243,2
