time,births,population,reported_cases
44.01923,30,35693,0
44.0608967,29,35685,0
44.1025633,28,35688,1
44.14423,28,35701,2
44.1858967,27,35724,0
44.2275633,26,35756,16
44.26923,26,35798,2
44.3108967,25,35848,2
44.3525633,25,35907,1
44.39423,24,35973,3
44.4358967,24,36048,0
44.4775633,24,36129,0
44.51923,24,36218,0
44.5608967,23,36313,0
44.6025633,23,36415,1
44.64423,23,36522,0
44.6858967,23,36636,0
44.7275633,23,36754,0
44.76923,23,36877,0
44.8108967,23,37004,0
44.8525633,23,37136,0
44.89423,23,37272,0
44.9358967,24,37410,1
44.9775633,24,37552,0
45.01923,24,37697,4
45.0608967,24,37844,2
45.1025633,25,37993,8
45.14423,25,38144,15
45.1858967,25,38297,32
45.2275633,25,38452,56
45.26923,26,38607,74
45.3108967,26,38763,51
45.3525633,27,38921,26
45.39423,27,39078,15
45.4358967,27,39236,7
45.4775633,28,39394,0
45.51923,28,39552,4
45.5608967,29,39709,0
45.6025633,29,39866,1
45.64423,29,40022,0
45.6858967,30,40176,0
45.7275633,30,40330,0
45.76923,31,40481,0
45.8108967,31,40631,0
45.8525633,31,40778,0
45.89423,32,40924,0
45.9358967,32,41066,0
45.9775633,32,41206,0
46.01923,33,41343,0
46.0608967,33,41476,0
46.1025633,33,41607,1
46.14423,34,41734,0
46.1858967,34,41859,0
46.2275633,34,41981,0
46.26923,35,42100,0
46.3108967,35,42216,0
46.3525633,35,42329,2
46.39423,35,42440,0
46.4358967,35,42549,1
46.4775633,36,42655,4
46.51923,36,42759,2
46.5608967,36,42860,2
46.6025633,36,42960,0
46.64423,36,43057,0
46.6858967,36,43152,0
46.7275633,36,43245,2
46.76923,36,43336,2
46.8108967,36,43426,5
46.8525633,36,43513,11
46.89423,36,43599,18
46.9358967,36,43683,46
46.9775633,36,43766,79
47.01923,36,43847,16
47.0608967,36,43927,7
47.1025633,36,44005,29
47.14423,36,44081,18
47.1858967,36,44155,11
47.2275633,36,44227,5
47.26923,35,44296,10
47.3108967,35,44362,10
47.3525633,35,44425,2
47.39423,35,44485,2
47.4358967,35,44542,4
47.4775633,34,44595,10
47.51923,34,44644,8
47.5608967,34,44689,16
47.6025633,34,44730,15
47.64423,34,44767,11
47.6858967,33,44799,2
47.7275633,33,44826,0
47.76923,33,44848,2
47.8108967,33,44865,0
47.8525633,32,44877,0
47.89423,32,44882,0
47.9358967,32,44882,0
47.9775633,32,44876,0
48.01923,31,44863,0
48.0608967,31,44845,0
48.1025633,31,44820,0
48.14423,31,44791,0
48.1858967,30,44757,0
48.2275633,30,44718,0
48.26923,30,44676,0
48.3108967,30,44630,0
48.3525633,30,44581,0
