time,births,population,reported_cases
44.01923,49,45660,0
44.0608967,49,45481,0
44.1025633,48,45327,4
44.14423,48,45196,0
44.1858967,47,45086,15
44.2275633,47,44997,20
44.26923,47,44929,16
44.3108967,46,44879,9
44.3525633,46,44848,1
44.39423,45,44834,2
44.4358967,45,44836,1
44.4775633,45,44854,0
44.51923,44,44886,0
44.5608967,44,44932,0
44.6025633,44,44991,3
44.64423,43,45061,0
44.6858967,43,45143,1
44.7275633,43,45234,0
44.76923,43,45334,4
44.8108967,42,45442,17
44.8525633,42,45558,40
44.89423,42,45679,103
44.9358967,42,45806,74
44.9775633,42,45938,106
45.01923,42,46073,74
45.0608967,42,46210,95
45.1025633,42,46350,96
45.14423,42,46492,47
45.1858967,42,46635,38
45.2275633,41,46778,20
45.26923,42,46922,13
45.3108967,42,47066,10
45.3525633,42,47209,10
45.39423,42,47351,4
45.4358967,42,47491,1
45.4775633,42,47628,6
45.51923,42,47763,9
45.5608967,42,47895,3
45.6025633,42,48023,4
45.64423,42,48147,1
45.6858967,43,48266,1
45.7275633,43,48380,1
45.76923,43,48488,2
45.8108967,43,48590,0
45.8525633,44,48685,0
45.89423,44,48773,1
45.9358967,44,48853,0
45.9775633,44,48925,2
46.01923,45,48988,0
46.0608967,45,49043,0
46.1025633,45,49089,0
46.14423,46,49128,0
46.1858967,46,49161,0
46.2275633,46,49187,0
46.26923,47,49208,0
46.3108967,47,49224,0
46.3525633,47,49237,0
46.39423,48,49245,6
46.4358967,48,49252,0
46.4775633,48,49256,2
46.51923,49,49258,0
46.5608967,49,49260,2
46.6025633,49,49262,6
46.64423,50,49264,7
46.6858967,50,49267,1
46.7275633,50,49273,13
46.76923,51,49280,7
46.8108967,51,49291,30
46.8525633,51,49306,40
46.89423,51,49326,56
46.9358967,51,49350,55
46.9775633,51,49381,105
47.01923,51,49418,188
47.0608967,51,49461,151
47.1025633,51,49511,94
47.14423,51,49566,30
47.1858967,51,49627,8
47.2275633,51,49692,2
47.26923,51,49761,4
47.3108967,51,49833,6
47.3525633,51,49909,7
47.39423,51,49987,7
47.4358967,51,50068,4
47.4775633,51,50150,2
47.51923,50,50233,7
47.5608967,50,50316,10
47.6025633,50,50400,7
47.64423,50,50483,4
47.6858967,49,50565,3
47.7275633,49,50645,1
47.76923,49,50724,0
47.8108967,49,50800,0
47.8525633,49,50873,9
47.89423,48,50943,21
47.9358967,48,51008,30
47.9775633,48,51069,8
48.01923,48,51125,13
48.0608967,47,51176,24
48.1025633,47,51223,111
48.14423,47,51265,90
48.1858967,47,51303,82
48.2275633,47,51339,48
48.26923,47,51372,36
48.3108967,46,51402,24
48.3525633,46,51431,32
48.39423,46,51459,29
48.4358967,46,51486,26
48.4775633,46,51513,15
48.51923,46,51540,2
48.5608967,46,51568,4
48.6025633,46,51597,6
48.64423,46,51628,1
48.6858967,46,51661,1
48.7275633,45,51696,4
48.76923,45,51735,2
48.8108967,45,51778,0
48.8525633,45,51824,1
48.89423,45,51876,2
48.9358967,45,51932,9
48.9775633,45,51994,0
49.01923,45,52062,7
49.0608967,45,52136,3
49.1025633,45,52216,1
49.14423,45,52300,1
49.1858967,45,52389,3
49.2275633,45,52481,2
49.26923,45,52576,4
49.3108967,45,52674,1
49.3525633,45,52774,7
49.39423,45,52874,8
49.4358967,45,52975,11
49.4775633,45,53077,17
49.51923,45,53177,9
49.5608967,45,53276,27
49.6025633,45,53374,56
49.64423,45,53469,15
49.6858967,45,53560,3
49.7275633,45,53648,0
49.76923,45,53732,0
49.8108967,45,53811,1
49.8525633,45,53884,2
49.89423,45,53951,1
49.9358967,45,54012,0
49.9775633,45,54065,0
50.01923,45,54110,0
50.0608967,45,54147,0
50.1025633,45,54176,9
50.14423,45,54199,48
50.1858967,45,54215,114
50.2275633,45,54225,209
50.26923,45,54230,178
50.3108967,45,54230,241
50.3525633,45,54226,178
50.39423,45,54218,172
50.4358967,45,54207,136
50.4775633,45,54193,69
50.51923,45,54178,29
50.5608967,45,54161,6
50.6025633,45,54143,9
50.64423,45,54124,7
50.6858967,46,54106,6
50.7275633,46,54089,3
50.76923,46,54072,4
50.8108967,46,54058,0
50.8525633,46,54046,4
50.89423,46,54037,6
50.9358967,46,54031,3
50.9775633,46,54029,12
51.01923,46,54032,4
51.0608967,46,54039,8
51.1025633,46,54051,7
51.14423,46,54067,1
51.1858967,46,54088,1
51.2275633,46,54112,4
51.26923,46,54139,2
51.3108967,46,54170,10
51.3525633,46,54203,4
51.39423,46,54240,13
51.4358967,46,54279,31
51.4775633,46,54320,18
51.51923,46,54363,47
51.5608967,46,54408,72
51.6025633,45,54455,86
51.64423,45,54503,53
51.6858967,45,54552,31
51.7275633,45,54602,22
51.76923,45,54652,103
51.8108967,45,54703,143
51.8525633,45,54753,173
51.89423,45,54804,126
51.9358967,45,54854,97
51.9775633,45,54904,39
52.01923,45,54952,18
52.0608967,45,55000,16
