time,births,population,reported_cases
44.01923,6,5244,2
44.0608967,6,5275,10
44.1025633,5,5308,3
44.14423,5,5343,2
44.1858967,5,5379,4
44.2275633,5,5418,0
44.26923,5,5458,2
44.3108967,5,5501,0
44.3525633,5,5545,0
44.39423,5,5591,1
44.4358967,5,5639,1
44.4775633,5,5689,0
44.51923,5,5740,0
44.5608967,5,5793,0
44.6025633,5,5848,0
44.64423,5,5905,1
44.6858967,5,5963,0
44.7275633,5,6023,0
44.76923,5,6084,0
44.8108967,5,6147,0
44.8525633,5,6211,0
44.89423,5,6277,1
44.9358967,6,6344,0
44.9775633,6,6412,0
45.01923,6,6482,0
45.0608967,6,6554,0
45.1025633,6,6626,4
45.14423,6,6700,4
45.1858967,6,6775,0
45.2275633,6,6851,1
45.26923,6,6928,4
45.3108967,6,7005,16
45.3525633,6,7084,30
45.39423,6,7163,52
45.4358967,7,7242,19
45.4775633,7,7322,1
45.51923,7,7403,7
45.5608967,7,7484,4
45.6025633,7,7565,3
45.64423,7,7646,2
45.6858967,7,7727,0
45.7275633,7,7809,0
45.76923,7,7890,0
45.8108967,7,7971,0
45.8525633,7,8052,0
45.89423,7,8132,0
45.9358967,7,8212,0
45.9775633,7,8291,0
46.01923,7,8370,0
46.0608967,7,8448,0
46.1025633,7,8526,0
46.14423,7,8602,0
46.1858967,7,8677,0
46.2275633,7,8751,2
46.26923,7,8824,0
46.3108967,7,8895,0
46.3525633,7,8964,0
46.39423,7,9031,0
46.4358967,7,9097,0
46.4775633,7,9160,0
46.51923,7,9221,0
46.5608967,7,9280,0
46.6025633,7,9336,1
46.64423,7,9389,2
46.6858967,7,9439,1
46.7275633,7,9487,0
46.76923,7,9531,0
46.8108967,7,9572,13
46.8525633,7,9610,0
46.89423,7,9644,3
46.9358967,7,9675,0
46.9775633,7,9701,0
47.01923,6,9724,0
47.0608967,6,9743,7
47.1025633,6,9758,9
47.14423,6,9769,67
47.1858967,6,9778,16
47.2275633,6,9784,20
47.26923,6,9787,38
47.3108967,6,9788,23
47.3525633,6,9787,7
47.39423,6,9785,0
47.4358967,6,9781,3
47.4775633,6,9775,0
47.51923,6,9769,0
47.5608967,6,9763,0
47.6025633,6,9756,0
47.64423,6,9749,0
47.6858967,6,9742,0
47.7275633,6,9736,0
47.76923,6,9731,0
47.8108967,6,9727,0
47.8525633,6,9724,0
47.89423,6,9723,0
47.9358967,6,9724,0
47.9775633,6,9727,0
48.01923,6,9733,0
48.0608967,6,9741,2
48.1025633,6,9752,43
48.14423,6,9765,28
48.1858967,6,9780,21
48.2275633,6,9796,3
48.26923,6,9815,20
48.3108967,6,9835,0
48.3525633,6,9857,0
48.39423,6,9880,1
48.4358967,6,9904,23
48.4775633,6,9930,17
48.51923,5,9956,2
48.5608967,5,9982,2
48.6025633,5,10009,1
48.64423,5,10037,0
48.6858967,5,10064,0
48.7275633,5,10092,2
48.76923,5,10119,0
48.8108967,5,10146,2
48.8525633,5,10172,1
48.89423,5,10198,2
48.9358967,5,10223,0
48.9775633,5,10247,0
49.01923,5,10270,0
49.0608967,5,10292,4
49.1025633,5,10313,17
49.14423,5,10332,78
49.1858967,5,10350,60
49.2275633,5,10366,30
49.26923,5,10382,2
49.3108967,5,10396,0
49.3525633,5,10409,3
49.39423,5,10420,1
49.4358967,5,10430,7
49.4775633,5,10439,2
49.51923,5,10446,0
49.5608967,5,10452,0
49.6025633,5,10457,2
49.64423,5,10460,3
49.6858967,5,10462,0
49.7275633,5,10463,0
49.76923,5,10462,0
49.8108967,4,10459,0
49.8525633,4,10455,1
49.89423,4,10450,0
49.9358967,4,10443,0
49.9775633,4,10435,0
50.01923,4,10425,0
50.0608967,4,10414,2
50.1025633,4,10402,0
50.14423,4,10388,0
50.1858967,4,10373,0
50.2275633,4,10358,0
50.26923,4,10342,4
50.3108967,4,10325,1
50.3525633,4,10308,1
50.39423,4,10291,4
50.4358967,4,10274,9
50.4775633,4,10257,6
50.51923,4,10240,2
50.5608967,4,10223,0
50.6025633,4,10207,0
50.64423,4,10192,0
50.6858967,4,10177,0
50.7275633,4,10164,0
50.76923,4,10151,0
50.8108967,4,10140,0
50.8525633,4,10130,1
50.89423,4,10122,0
50.9358967,4,10116,0
50.9775633,4,10112,0
51.01923,4,10109,0
51.0608967,4,10109,0
51.1025633,4,10110,0
51.14423,4,10114,1
51.1858967,4,10119,1
51.2275633,4,10125,0
51.26923,4,10133,0
51.3108967,4,10142,41
51.3525633,4,10152,1
51.39423,4,10163,2
51.4358967,4,10175,13
51.4775633,4,10187,0
51.51923,4,10200,2
51.5608967,4,10213,2
51.6025633,4,10227,0
51.64423,4,10241,0
51.6858967,4,10254,0
51.7275633,4,10268,0
51.76923,4,10281,0
51.8108967,4,10293,0
51.8525633,4,10305,0
51.89423,4,10316,0
51.9358967,4,10326,0
51.9775633,4,10336,0
52.01923,4,10344,0
52.0608967,4,10350,0
52.1025633,4,10356,0
52.14423,4,10360,0
52.1858967,4,10364,0
52.2275633,4,10367,0
52.26923,4,10369,0
52.3108967,4,10370,0
52.3525633,4,10370,0
52.39423,4,10370,0
52.43589670000001,4,10370,0
52.47756329999999,4,10369,0
52.51923000000001,4,10368,2
52.56089670000001,4,10366,0
52.60256329999999,4,10365,4
52.64423000000001,4,10363,0
52.68589670000001,4,10362,0
52.72756329999999,4,10360,0
52.76923000000001,4,10359,0
52.81089670000001,4,10358,0
52.85256329999999,4,10358,0
52.89423000000001,4,10358,0
52.93589670000001,4,10358,0
52.97756329999999,4,10359,0
53.01923000000001,4,10361,0
53.06089670000001,4,10363,0
53.10256329999999,4,10367,1
53.14423000000001,4,10370,0
53.18589670000001,4,10375,35
53.22756329999999,4,10380,11
53.26923000000001,4,10385,13
53.31089670000001,4,10391,39
53.35256329999999,4,10397,227
53.39423000000001,4,10404,75
53.43589670000001,4,10410,18
53.47756329999999,4,10417,6
53.51923000000001,4,10424,4
53.56089670000001,4,10432,0
53.60256329999999,4,10439,0
53.64423000000001,4,10446,0
53.68589670000001,4,10453,0
53.72756329999999,4,10460,0
53.76923000000001,4,10467,0
53.81089670000001,4,10474,0
53.85256329999999,4,10480,0
53.89423000000001,4,10486,0
53.93589670000001,4,10492,0
53.97756329999999,4,10497,0
54.01923000000001,4,10502,0
54.06089670000001,4,10506,0
54.10256329999999,4,10510,0
54.14423000000001,4,10514,0
54.18589670000001,4,10517,0
54.22756329999999,4,10519,0
54.26923000000001,4,10522,0
54.31089670000001,4,10524,0
54.35256329999999,4,10526,0
54.39423000000001,4,10527,0
54.43589670000001,4,10529,0
54.47756329999999,4,10530,0
54.51923000000001,4,10532,0
54.56089670000001,4,10533,0
54.60256329999999,4,10534,0
54.64423000000001,4,10535,1
54.68589670000001,4,10536,0
54.72756329999999,4,10537,0
54.76923000000001,4,10539,0
54.81089670000001,4,10540,0
54.85256329999999,4,10542,0
54.89423000000001,4,10544,0
54.93589670000001,4,10546,0
54.97756329999999,4,10549,0
55.01923000000001,4,10551,0
55.06089670000001,4,10554,0
55.10256329999999,4,10558,0
55.14423000000001,4,10562,0
55.18589670000001,4,10566,0
55.22756329999999,4,10570,0
55.26923000000001,4,10574,0
55.31089670000001,4,10579,0
55.35256329999999,4,10584,0
55.39423000000001,4,10589,1
55.43589670000001,4,10594,1
55.47756329999999,4,10600,1
55.51923000000001,4,10605,0
55.56089670000001,4,10611,6
55.60256329999999,4,10616,1
55.64423000000001,4,10622,0
55.68589670000001,4,10628,0
55.72756329999999,4,10634,0
55.76923000000001,4,10639,0
55.81089670000001,4,10645,2
55.85256329999999,4,10651,3
55.89423000000001,4,10656,4
55.93589670000001,4,10662,8
55.97756329999999,4,10667,5
56.01923000000001,4,10672,9
56.06089670000001,4,10678,11
56.10256329999999,4,10683,6
56.14423000000001,4,10687,47
56.18589670000001,4,10692,46
56.22756329999999,4,10697,52
56.26923000000001,4,10702,7
56.31089670000001,4,10706,1
56.35256329999999,4,10711,1
56.39423000000001,4,10715,1
56.43589670000001,4,10719,0
56.47756329999999,4,10724,0
56.51923000000001,4,10728,0
56.56089670000001,4,10732,0
56.60256329999999,4,10737,0
56.64423000000001,4,10741,0
56.68589670000001,4,10745,0
56.72756329999999,4,10750,0
56.76923000000001,4,10754,0
56.81089670000001,4,10759,0
56.85256329999999,4,10763,0
56.89423000000001,4,10768,0
56.93589670000001,4,10773,0
56.97756329999999,4,10777,0
57.01923000000001,4,10782,0
