time,births,population,reported_cases
44.01923,21,24280,0
44.0608967,21,24261,0
44.1025633,20,24247,1
44.14423,20,24237,0
44.1858967,20,24231,0
44.2275633,20,24229,0
44.26923,19,24231,0
44.3108967,19,24237,0
44.3525633,19,24246,0
44.39423,19,24259,0
44.4358967,19,24275,0
44.4775633,19,24293,8
44.51923,18,24315,0
44.5608967,18,24339,25
44.6025633,18,24366,16
44.64423,18,24396,8
44.6858967,18,24427,2
44.7275633,18,24461,0
44.76923,18,24496,0
44.8108967,18,24534,2
44.8525633,19,24572,4
44.89423,19,24613,4
44.9358967,19,24654,1
44.9775633,19,24697,5
45.01923,19,24740,23
45.0608967,19,24784,17
45.1025633,19,24829,19
45.14423,19,24875,22
45.1858967,19,24921,32
45.2275633,20,24967,12
45.26923,20,25014,21
45.3108967,20,25060,8
45.3525633,20,25107,8
45.39423,20,25154,23
45.4358967,20,25200,12
45.4775633,20,25246,5
45.51923,21,25292,11
45.5608967,21,25337,0
45.6025633,21,25381,0
45.64423,21,25425,0
45.6858967,21,25467,0
45.7275633,21,25509,0
45.76923,21,25550,0
45.8108967,21,25589,0
45.8525633,21,25627,0
45.89423,22,25664,0
45.9358967,22,25699,0
45.9775633,22,25733,0
46.01923,22,25764,0
46.0608967,22,25794,0
46.1025633,22,25823,0
46.14423,22,25849,0
46.1858967,22,25874,0
46.2275633,22,25897,2
46.26923,22,25919,0
46.3108967,22,25940,0
46.3525633,22,25959,1
46.39423,22,25977,0
46.4358967,22,25994,0
46.4775633,21,26010,0
46.51923,21,26024,0
46.5608967,21,26038,0
46.6025633,21,26051,0
46.64423,21,26063,2
46.6858967,21,26074,4
46.7275633,21,26084,2
46.76923,21,26094,0
46.8108967,21,26103,1
46.8525633,21,26112,10
46.89423,20,26120,8
46.9358967,20,26128,34
46.9775633,20,26136,62
47.01923,20,26143,59
47.0608967,20,26151,58
47.1025633,20,26158,26
47.14423,20,26165,12
47.1858967,20,26171,4
47.2275633,20,26178,4
47.26923,19,26184,3
47.3108967,19,26191,1
47.3525633,19,26197,0
47.39423,19,26204,0
47.4358967,19,26210,4
47.4775633,19,26216,0
47.51923,19,26222,5
47.5608967,19,26229,3
47.6025633,19,26235,2
47.64423,19,26241,7
47.6858967,19,26248,0
47.7275633,19,26254,0
47.76923,19,26261,2
47.8108967,19,26268,0
47.8525633,18,26274,0
47.89423,18,26281,0
47.9358967,18,26289,1
47.9775633,18,26296,0
48.01923,18,26304,2
48.0608967,18,26311,13
48.1025633,19,26319,39
48.14423,19,26327,56
48.1858967,19,26336,46
48.2275633,19,26344,55
48.26923,19,26352,15
48.3108967,19,26361,34
48.3525633,19,26369,100
48.39423,19,26378,42
48.4358967,19,26386,8
48.4775633,19,26395,2
48.51923,19,26403,0
48.5608967,19,26412,4
48.6025633,19,26420,2
48.64423,19,26428,2
48.6858967,19,26436,6
48.7275633,19,26444,2
48.76923,19,26452,0
48.8108967,20,26459,4
48.8525633,20,26467,1
48.89423,20,26474,0
48.9358967,20,26480,0
48.9775633,20,26487,0
49.01923,20,26493,0
49.0608967,20,26499,0
49.1025633,20,26504,1
49.14423,20,26509,11
49.1858967,20,26514,14
49.2275633,20,26518,8
49.26923,20,26522,19
49.3108967,20,26525,7
49.3525633,20,26529,2
49.39423,20,26531,7
49.4358967,20,26534,5
49.4775633,20,26536,35
49.51923,19,26537,4
49.5608967,19,26538,4
49.6025633,19,26539,20
49.64423,19,26539,0
49.6858967,19,26538,5
49.7275633,19,26538,1
49.76923,19,26536,2
49.8108967,19,26535,0
49.8525633,19,26532,0
49.89423,19,26529,0
49.9358967,19,26526,1
49.9775633,19,26522,0
50.01923,19,26518,2
50.0608967,19,26513,0
50.1025633,18,26508,0
50.14423,18,26502,2
50.1858967,18,26495,1
50.2275633,18,26489,2
50.26923,18,26482,4
50.3108967,18,26474,5
50.3525633,18,26467,15
50.39423,18,26459,5
50.4358967,18,26450,52
50.4775633,18,26442,16
50.51923,18,26433,19
50.5608967,17,26424,42
50.6025633,17,26416,50
50.64423,17,26406,30
50.6858967,17,26397,8
50.7275633,17,26388,0
50.76923,17,26379,2
50.8108967,17,26370,0
50.8525633,17,26361,0
50.89423,17,26352,2
50.9358967,17,26343,0
50.9775633,17,26335,0
51.01923,17,26326,0
51.0608967,17,26318,2
51.1025633,17,26310,0
51.14423,17,26302,2
51.1858967,17,26294,21
51.2275633,17,26287,132
51.26923,17,26280,101
51.3108967,17,26273,30
51.3525633,17,26266,68
51.39423,17,26260,21
51.4358967,17,26253,53
51.4775633,17,26248,39
51.51923,17,26242,36
51.5608967,17,26237,2
51.6025633,17,26232,1
51.64423,17,26227,2
51.6858967,17,26223,9
51.7275633,17,26218,6
51.76923,17,26215,15
51.8108967,17,26211,2
51.8525633,17,26208,4
51.89423,17,26205,5
51.9358967,17,26203,1
51.9775633,17,26201,1
52.01923,17,26199,2
52.0608967,17,26198,0
52.1025633,17,26197,6
52.14423,17,26196,2
52.1858967,17,26196,1
52.2275633,17,26196,2
52.26923,17,26196,14
52.3108967,17,26196,18
52.3525633,17,26197,29
52.39423,16,26197,43
52.43589670000001,16,26198,24
52.47756329999999,16,26199,21
52.51923000000001,16,26200,1
52.56089670000001,16,26201,5
52.60256329999999,16,26202,8
52.64423000000001,16,26203,4
52.68589670000001,16,26204,1
52.72756329999999,16,26205,3
52.76923000000001,16,26206,4
52.81089670000001,16,26207,2
52.85256329999999,16,26208,3
52.89423000000001,16,26209,1
52.93589670000001,16,26210,1
52.97756329999999,16,26210,0
53.01923000000001,16,26210,8
53.06089670000001,16,26210,12
53.10256329999999,16,26210,9
53.14423000000001,16,26209,27
53.18589670000001,16,26209,20
53.22756329999999,16,26208,13
53.26923000000001,16,26207,4
53.31089670000001,16,26206,14
53.35256329999999,16,26204,15
53.39423000000001,16,26203,34
53.43589670000001,16,26201,48
53.47756329999999,16,26200,5
53.51923000000001,16,26198,8
53.56089670000001,16,26196,0
53.60256329999999,16,26194,0
53.64423000000001,16,26192,0
53.68589670000001,16,26189,0
53.72756329999999,16,26187,4
53.76923000000001,16,26185,0
53.81089670000001,16,26182,2
53.85256329999999,16,26179,0
53.89423000000001,16,26177,0
53.93589670000001,16,26174,0
53.97756329999999,16,26171,0
54.01923000000001,16,26169,0
54.06089670000001,16,26166,0
54.10256329999999,16,26163,0
54.14423000000001,16,26161,0
54.18589670000001,16,26158,0
54.22756329999999,16,26155,0
54.26923000000001,16,26153,0
