time,births,population,reported_cases
44.01923,3,4853,0
44.0608967,3,4846,0
44.1025633,3,4840,0
44.14423,4,4834,0
44.1858967,4,4829,0
44.2275633,4,4825,0
44.26923,4,4822,0
44.3108967,4,4819,0
44.3525633,4,4817,1
44.39423,4,4815,0
44.4358967,4,4814,0
44.4775633,4,4813,1
44.51923,4,4813,0
44.5608967,4,4813,2
44.6025633,4,4813,3
44.64423,4,4814,0
44.6858967,4,4815,0
44.7275633,4,4816,0
44.76923,4,4817,0
44.8108967,4,4819,0
44.8525633,4,4820,0
44.89423,4,4822,0
44.9358967,4,4824,0
44.9775633,4,4825,0
45.01923,4,4827,0
45.0608967,4,4828,0
45.1025633,4,4829,0
45.14423,4,4830,0
45.1858967,4,4831,2
45.2275633,4,4832,0
45.26923,4,4833,4
45.3108967,4,4833,4
45.3525633,4,4833,1
45.39423,4,4833,13
45.4358967,4,4833,7
45.4775633,4,4833,6
45.51923,4,4832,0
45.5608967,3,4831,2
45.6025633,3,4829,0
45.64423,3,4828,0
45.6858967,3,4826,0
45.7275633,3,4823,0
45.76923,3,4821,0
45.8108967,3,4817,0
45.8525633,3,4814,0
45.89423,3,4810,0
45.9358967,3,4806,0
45.9775633,3,4801,0
46.01923,3,4796,0
46.0608967,3,4790,0
46.1025633,3,4784,0
46.14423,4,4777,0
46.1858967,4,4771,0
46.2275633,4,4764,0
46.26923,4,4756,0
46.3108967,4,4749,0
46.3525633,4,4742,0
46.39423,4,4734,0
46.4358967,4,4727,0
46.4775633,4,4719,0
46.51923,4,4712,0
46.5608967,4,4705,0
46.6025633,4,4698,0
46.64423,4,4691,0
46.6858967,4,4684,0
46.7275633,4,4678,0
46.76923,4,4673,0
46.8108967,4,4667,1
46.8525633,4,4662,11
46.89423,4,4658,1
46.9358967,4,4654,0
46.9775633,4,4651,0
47.01923,4,4649,0
47.0608967,4,4647,0
47.1025633,4,4646,0
47.14423,4,4646,1
47.1858967,4,4646,0
47.2275633,4,4646,0
47.26923,4,4647,1
47.3108967,4,4648,0
47.3525633,4,4650,1
47.39423,4,4652,2
47.4358967,4,4654,19
47.4775633,4,4656,9
47.51923,4,4659,34
47.5608967,4,4661,14
47.6025633,4,4664,2
47.64423,4,4667,0
47.6858967,4,4669,4
47.7275633,4,4671,0
47.76923,4,4673,0
47.8108967,4,4675,0
47.8525633,4,4677,0
47.89423,4,4678,0
47.9358967,4,4679,0
47.9775633,4,4680,0
48.01923,4,4680,0
48.0608967,4,4680,0
48.1025633,4,4679,0
48.14423,4,4677,0
48.1858967,4,4676,0
48.2275633,4,4674,0
48.26923,4,4672,9
48.3108967,4,4669,0
48.3525633,4,4667,0
48.39423,4,4664,1
48.4358967,4,4661,0
48.4775633,4,4659,0
48.51923,4,4656,0
48.5608967,4,4653,0
48.6025633,4,4651,0
48.64423,4,4648,0
48.6858967,4,4646,0
48.7275633,4,4644,0
48.76923,4,4642,0
48.8108967,4,4641,0
